energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.85959066,0.16447971,0.00000000,0.05583073,1.54090718,1.20451571,0.61778561
-5.99399700,2.82563576,0.16173586,0.00000000,0.05552092,1.52928910,1.18230135,0.61690415
-5.98799400,2.77709685,0.15810004,0.00000000,0.05496783,1.51002324,1.15354091,0.61326713
-5.98199100,2.71542149,0.15365404,0.00000000,0.05419872,1.48391241,1.11893860,0.60719246
-5.97598799,2.64237550,0.14849756,0.00000000,0.05324723,1.45193012,1.07931895,0.59906874
-5.96998499,2.55997695,0.14274445,0.00000000,0.05215192,1.41518526,1.03559840,0.58934084
-5.96398199,2.47042258,0.13651858,0.00000000,0.05095480,1.37488221,0.98875457,0.57849352
-5.95797899,2.37600988,0.12994945,0.00000000,0.04969964,1.33227834,0.93979450,0.56703362
-5.95197599,2.27905828,0.12316784,0.00000000,0.04843031,1.28864050,0.88972331,0.55547169
-5.94597299,2.18183269,0.11630162,0.00000000,0.04718917,1.24520255,0.83951436,0.54430393
-5.93996998,2.08647245,0.10947191,0.00000000,0.04601556,1.20312558,0.79008231,0.53399501
-5.93396698,1.99492844,0.10278964,0.00000000,0.04494444,1.16346244,0.74225970,0.52496268
-5.92796398,1.90891052,0.09635280,0.00000000,0.04400526,1.12712789,0.69677796,0.51756461
-5.92196098,1.82984679,0.09024431,0.00000000,0.04322116,1.09487524,0.65425331,0.51208803
-5.91595798,1.75885576,0.08453058,0.00000000,0.04260833,1.06728030,0.61517757,0.50874246
-5.90995498,1.69673155,0.07926083,0.00000000,0.04217577,1.04473263,0.57991404,0.50765559
-5.90395198,1.64394187,0.07446708,0.00000000,0.04192533,1.02743418,0.54869797,0.50887245
-5.89794897,1.60063781,0.07016476,0.00000000,0.04185196,1.01540478,0.52164132,0.51235760
-5.89194597,1.56667400,0.06635390,0.00000000,0.04194431,1.00849359,0.49874113,0.51800004
-5.88594297,1.54163746,0.06302071,0.00000000,0.04218541,1.00639583,0.47989068,0.52562044
-5.87993997,1.52488300,0.06013959,0.00000000,0.04255365,1.00867328,0.46489285,0.53498023
-5.87393697,1.51557322,0.05767528,0.00000000,0.04302374,1.01477765,0.45347476,0.54579197
-5.86793397,1.51272076,0.05558517,0.00000000,0.04356780,1.02407536,0.44530301,0.55773039
-5.86193097,1.51523111,0.05382156,0.00000000,0.04415645,1.03587273,0.43999886,0.57044379
-5.85592796,1.52194395,0.05233393,0.00000000,0.04475982,1.04944035,0.43715278,0.58356502
-5.84992496,1.53167181,0.05107090,0.00000000,0.04534852,1.06403603,0.43633791,0.59672193
-5.84392196,1.54323483,0.04998203,0.00000000,0.04589446,1.07892540,0.43712217,0.60954684
-5.83791896,1.55549086,0.04901940,0.00000000,0.04637158,1.09339987,0.43907879,0.62168482
-5.83191596,1.56736068,0.04813874,0.00000000,0.04675643,1.10679180,0.44179524,0.63280084
-5.82591296,1.57784815,0.04730041,0.00000000,0.04702853,1.11848660,0.44488057,0.64258558
-5.81990995,1.58605573,0.04646998,0.00000000,0.04717069,1.12793222,0.44797129,0.65076015
-5.81390695,1.59119562,0.04561858,0.00000000,0.04716915,1.13464617,0.45073601,0.65707975
-5.80790395,1.59259737,0.04472302,0.00000000,0.04701358,1.13822042,0.45287896,0.66133658
-5.80190095,1.58971255,0.04376567,0.00000000,0.04669706,1.13832467,0.45414275,0.66336201
-5.79589795,1.58211706,0.04273422,0.00000000,0.04621594,1.13470841,0.45431036,0.66302830
-5.78989495,1.56951200,0.04162131,0.00000000,0.04556966,1.12720201,0.45320680,0.66025009
-5.78389195,1.55172329,0.04042411,0.00000000,0.04476055,1.11571733,0.45070030,0.65498552
-5.77788894,1.52870063,0.03914382,0.00000000,0.04379364,1.10024779,0.44670323,0.64723731
-5.77188594,1.50051588,0.03778521,0.00000000,0.04267641,1.08086820,0.44117281,0.63705357
-5.76588294,1.46736104,0.03635615,0.00000000,0.04141860,1.05773420,0.43411143,0.62452843
-5.75987994,1.42954552,0.03486719,0.00000000,0.04003202,1.03108119,0.42556665,0.60980222
-5.75387694,1.38749280,0.03333118,0.00000000,0.03853035,1.00122269,0.41563068,0.59306126
-5.74787394,1.34173592,0.03176293,0.00000000,0.03692895,0.96854775,0.40443927,0.57453692
-5.74187094,1.29291172,0.03017897,0.00000000,0.03524472,0.93351733,0.39216996,0.55450393
-5.73586793,1.24175350,0.02859728,0.00000000,0.03349585,0.89665937,0.37903947,0.53327774
-5.72986493,1.18908181,0.02703710,0.00000000,0.03170170,0.85856241,0.36530031,0.51121091
-5.72386193,1.13579341,0.02551879,0.00000000,0.02988251,0.81986773,0.35123646,0.48868839
-5.71785893,1.08284831,0.02406374,0.00000000,0.02805925,0.78125999,0.33715832,0.46612183
-5.71185593,1.03125503,0.02269416,0.00000000,0.02625335,0.74345643,0.32339679,0.44394284
-5.70585293,0.98205426,0.02143313,0.00000000,0.02448644,0.70719487,0.31029675,0.42259550
-5.69984992,0.93630146,0.02030442,0.00000000,0.02278013,0.67322081,0.29821008,0.40252806
-5.69384692,0.89504862,0.01933249,0.00000000,0.02115571,0.64227385,0.28748836,0.38418431
-5.68784392,0.85932591,0.01854245,0.00000000,0.01963391,0.61507392,0.27847543,0.36799457
-5.68184092,0.83012351,0.01796003,0.00000000,0.01823466,0.59230766,0.27150017,0.35436678
-5.67583792,0.80837452,0.01761159,0.00000000,0.01697685,0.57461538,0.26686964,0.34367778
-5.66983492,0.79493917,0.01752410,0.00000000,0.01587810,0.56257899,0.26486271,0.33626510
-5.66383192,0.79059094,0.01772525,0.00000000,0.01495460,0.55671125,0.26572457,0.33241950
-5.65782891,0.79600514,0.01824343,0.00000000,0.01422088,0.55744671,0.26966216,0.33237835
-5.65182591,0.81175001,0.01910783,0.00000000,0.01368973,0.56513446,0.27684072,0.33632018
-5.64582291,0.83828083,0.02034850,0.00000000,0.01337202,0.58003310,0.28738151,0.34436043
-5.63981991,0.87593701,0.02199639,0.00000000,0.01327656,0.60230788,0.30136081,0.35654852
-5.63381691,0.92494226,0.02408343,0.00000000,0.01341009,0.63203009,0.31881021,0.37286645
-5.62781391,0.98540756,0.02664247,0.00000000,0.01377707,0.66917881,0.33971812,0.39322878
-5.62181091,1.05733691,0.02970724,0.00000000,0.01437971,0.71364473,0.36403239,0.41748414
-5.61580790,1.14063531,0.03331218,0.00000000,0.01521782,0.76523604,0.39166399,0.44541822
-5.60980490,1.23511853,0.03749220,0.00000000,0.01628882,0.82368604,0.42249149,0.47675820
-5.60380190,1.34052417,0.04228228,0.00000000,0.01758765,0.88866214,0.45636604,0.51117837
-5.59779890,1.45652322,0.04771691,0.00000000,0.01910679,0.95977605,0.49311680,0.54830707
-5.59179590,1.58273142,0.05382939,0.00000000,0.02083625,1.03659444,0.53255628,0.58773449
-5.58579290,1.71871971,0.06065088,0.00000000,0.02276362,1.11864986,0.57448557,0.62902132
