energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.57756379,1.22634950,2.01919381,0.00708213,0.20797178,0.01121321,1.01977483,0.79471295,0.28600545
-5.99399700,3.49431207,1.20031020,1.96062709,0.00721639,0.19692786,0.01111076,1.00906534,0.79712056,0.28492186
-5.98799400,3.41182873,1.17305650,1.90365844,0.00733215,0.18636656,0.01096499,0.99712497,0.79807277,0.28356183
-5.98199100,3.32957049,1.14466054,1.84794012,0.00742390,0.17629552,0.01077632,0.98382290,0.79741496,0.28184903
-5.97598799,3.24715096,1.11525128,1.79320631,0.00748687,0.16672023,0.01054638,0.96908927,0.79505149,0.27972699
-5.96998499,3.16434905,1.08501322,1.73927705,0.00751716,0.15764510,0.01027791,0.95291701,0.79094813,0.27716037
-5.96398199,3.08111091,1.05418293,1.68605870,0.00751187,0.14907430,0.00997462,0.93536127,0.78513236,0.27413535
-5.95797899,2.99754546,1.02304335,1.63354131,0.00746919,0.14101246,0.00964110,0.91653671,0.77769144,0.27065939
-5.95197599,2.91391395,0.99191611,1.58179315,0.00738838,0.13346489,0.00928264,0.89661270,0.76876831,0.26676015
-5.94597299,2.83061403,0.96115178,1.53095279,0.00726987,0.12643768,0.00890505,0.87580647,0.75855542,0.26248372
-5.93996998,2.74815911,0.93111865,1.48121930,0.00711512,0.11993741,0.00851448,0.85437451,0.74728673,0.25789221
-5.93396698,2.66715372,0.90219009,1.43284082,0.00692658,0.11397063,0.00811726,0.83260255,0.73522796,0.25306074
-5.92796398,2.58826587,0.87473113,1.38610212,0.00670759,0.10854304,0.00771972,0.81079439,0.72266571,0.24807402
-5.92196098,2.51219753,0.84908454,1.34131165,0.00646219,0.10365857,0.00732800,0.78926004,0.70989553,0.24302258
-5.91595798,2.43965423,0.82555719,1.29878837,0.00619497,0.09931831,0.00694797,0.76830356,0.69720958,0.23799885
-5.90995498,2.37131498,0.80440701,1.25884895,0.00591090,0.09551936,0.00658504,0.74821109,0.68488434,0.23309317
-5.90395198,2.30780366,0.78583122,1.22179570,0.00561515,0.09225379,0.00624409,0.72923961,0.67316874,0.22839002
-5.89794897,2.24966308,0.76995640,1.18790567,0.00531288,0.08950760,0.00592939,0.71160675,0.66227347,0.22396444
-5.89194597,2.19733251,0.75683090,1.15742104,0.00500909,0.08725999,0.00564451,0.69548221,0.65236161,0.21987899
-5.88594297,2.15112982,0.74641993,1.13054140,0.00470850,0.08548274,0.00539233,0.68098107,0.64354138,0.21618127
