energy_ev,total_up,Ag_p_up,Ag_d_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,5.80867889,1.59390204,3.28229344,0.92097941,0.55156418,0.00864297,0.42501558,0.01779387,1.38890901
-5.99399700,5.91414523,1.61252839,3.35632009,0.92351866,0.55780440,0.00868007,0.44062510,0.01733734,1.40044337
-5.98799400,6.00882292,1.62729293,3.42512766,0.92367177,0.56259353,0.00867691,0.45556615,0.01680835,1.40895732
-5.98199100,6.09180211,1.63792513,3.48815186,0.92142081,0.56589994,0.00863200,0.46963524,0.01621337,1.41437013
-5.97598799,6.16244974,1.64426399,3.54495916,0.91682073,0.56772673,0.00854470,0.48264039,0.01556024,1.41668658
-5.96998499,6.22040135,1.64625341,3.59524439,0.90999513,0.56810941,0.00841532,0.49440370,0.01485791,1.41599160
-5.96398199,6.26554359,1.64393381,3.63882417,0.90112908,0.56711244,0.00824505,0.50476369,0.01411623,1.41244157
-5.95797899,6.29798885,1.63743069,3.67562669,0.89045965,0.56482477,0.00803597,0.51357737,0.01334567,1.40625288
-5.95197599,6.31804358,1.62694093,3.70567845,0.87826439,0.56135472,0.00779096,0.52072197,0.01255703,1.39768846
-5.94597299,6.32617226,1.61271775,3.72908888,0.86484866,0.55682442,0.00751362,0.52609651,0.01176112,1.38704298
-5.93996998,6.32295903,1.59505514,3.74603346,0.85053213,0.55136407,0.00720816,0.52962297,0.01096852,1.37462746
-5.93396698,6.30906873,1.57427265,3.75673625,0.83563534,0.54510639,0.00687923,0.53124725,0.01018929,1.36075424
-5.92796398,6.28520931,1.55070116,3.76145261,0.82046682,0.53818130,0.00653180,0.53093974,0.00943276,1.34572284
-5.92196098,6.25209716,1.52467032,3.76045274,0.80531130,0.53071135,0.00617103,0.52869558,0.00870732,1.32980744
-5.91595798,6.21042665,1.49649803,3.75400684,0.79041965,0.52280779,0.00580206,0.52453455,0.00802032,1.31324654
-5.90995498,6.16084500,1.46648231,3.74237225,0.77600075,0.51456756,0.00542992,0.51850062,0.00737789,1.29623511
-5.90395198,6.10393318,1.43489555,3.72578312,0.76221569,0.50607121,0.00505936,0.51066104,0.00678497,1.27891954
-5.89794897,6.04019308,1.40198132,3.70444279,0.74917437,0.49738185,0.00469477,0.50110513,0.00624522,1.26139539
-5.89194597,5.97004112,1.36795337,3.67851905,0.73693453,0.48854495,0.00434005,0.48994260,0.00576107,1.24370793
-5.88594297,5.89380780,1.33299659,3.64814235,0.72550314,0.47958908,0.00399858,0.47730157,0.00533379,1.22585529
-5.87993997,5.81174284,1.29726961,3.61340659,0.71483992,0.47052738,0.00367312,0.46332619,0.00496352,1.20779373
-5.87393697,5.72402488,1.26090860,3.57437260,0.70486260,0.46135961,0.00336585,0.44817398,0.00464941,1.18944485
-5.86793397,5.63077486,1.22403176,3.53107359,0.69545377,0.45207474,0.00307831,0.43201290,0.00438969,1.17070405
-5.86193097,5.53207204,1.18674406,3.48352239,0.68646861,0.44265374,0.00281148,0.41501825,0.00418180,1.15144975
-5.85592796,5.42797142,1.14914197,3.43171993,0.67774336,0.43307250,0.00256576,0.39736938,0.00402251,1.13155300
-5.84992496,5.31852154,1.11131759,3.37566438,0.66910385,0.42330473,0.00234107,0.37924644,0.00390801,1.11088667
-5.84392196,5.20378159,1.07336209,3.31536053,0.66037382,0.41332471,0.00213690,0.36082709,0.00383402,1.08933407
-5.83791896,5.08383692,1.03536821,3.25082886,0.65138267,0.40310958,0.00195237,0.34228335,0.00379591,1.06679642
-5.83191596,4.95881226,0.99743167,3.18211392,0.64197220,0.39264144,0.00178633,0.32377865,0.00378877,1.04319884
-5.82591296,4.82888208,0.95965155,3.10929155,0.63200234,0.38190877,0.00163739,0.30546516,0.00380751,1.01849486
-5.81990995,4.69427766,0.92212963,3.03247476,0.62135543,0.37090754,0.00150406,0.28748147,0.00384695,0.99266902
-5.81390695,4.55529088,0.88496896,2.95181798,0.60993926,0.35964168,0.00138474,0.26995067,0.00390186,0.96573789
-5.80790395,4.41227477,0.84827162,2.86751954,0.59768870,0.34812312,0.00127786,0.25297889,0.00396710,0.93774933
-5.80190095,4.26564091,0.81213619,2.77982253,0.58456598,0.33637149,0.00118183,0.23665433,0.00403765,0.90878027
-5.79589795,4.11585436,0.77665488,2.68901388,0.57055985,0.32441328,0.00109520,0.22104679,0.00410868,0.87893324
-5.78989495,3.96342627,0.74191086,2.59542198,0.55568382,0.31228094,0.00101659,0.20620771,0.00417565,0.84833196
-5.78389195,3.80890515,0.70797574,2.49941299,0.53997347,0.30001159,0.00094477,0.19217066,0.00423439,0.81711618
-5.77788894,3.65286704,0.67490762,2.40138611,0.52348334,0.28764582,0.00087864,0.17895230,0.00428112,0.78543629
-5.77188594,3.49590552,0.64274968,2.30176804,0.50628342,0.27522630,0.00081727,0.16655374,0.00431258,0.75344783
-5.76588294,3.33862183,0.61152962,2.20100699,0.48845562,0.26279663,0.00075989,0.15496220,0.00432602,0.72130631
-5.75987994,3.18161584,0.58125973,2.09956654,0.47009017,0.25040015,0.00070586,0.14415294,0.00431929,0.68916260
-5.75387694,3.02547810,0.55193785,1.99791955,0.45128248,0.23807907,0.00065469,0.13409136,0.00429087,0.65715896
-5.74787394,2.87078333,0.52354897,1.89654235,0.43213016,0.22587373,0.00060599,0.12473522,0.00423988,0.62542601
-5.74187094,2.71808541,0.49606741,1.79590947,0.41273070,0.21382207,0.00055952,0.11603682,0.00416606,0.59408063
-5.73586793,2.56791406,0.46945951,1.69648896,0.39317953,0.20195936,0.00051510,0.10794516,0.00406983,0.56322485
-5.72986493,2.42077294,0.44368655,1.59873830,0.37356861,0.19031810,0.00047263,0.10040797,0.00395216,0.53294556
-5.72386193,2.27713912,0.41870784,1.50310117,0.35398559,0.17892811,0.00043208,0.09337350,0.00381462,0.50331523
-5.71785893,2.13746354,0.39448363,1.41000468,0.33451326,0.16781672,0.00039347,0.08679208,0.00365926,0.47439309
-5.71185593,2.00217238,0.37097794,1.31985732,0.31522950,0.15700912,0.00035681,0.08061748,0.00348853,0.44622706
-5.70585293,1.87166860,0.34816085,1.23304732,0.29620738,0.14652862,0.00032218,0.07480785,0.00330526,0.41885585
-5.69984992,1.74633376,0.32601041,1.14994130,0.27751554,0.13639709,0.00028963,0.06932644,0.00311251,0.39231130
-5.69384692,1.62652950,0.30451390,1.07088321,0.25921850,0.12663524,0.00025922,0.06414200,0.00291351,0.36662074
-5.68784392,1.51259847,0.28366850,0.99619331,0.24137715,0.11726288,0.00023101,0.05922891,0.00271158,0.34180902
-5.68184092,1.40486465,0.26348137,0.92616708,0.22404904,0.10829910,0.00020503,0.05456703,0.00251002,0.31790042
-5.67583792,1.30363271,0.24396903,0.86107404,0.20728863,0.09976239,0.00018132,0.05014138,0.00231205,0.29492004
-5.66983492,1.20918659,0.22515632,0.80115641,0.19114733,0.09167057,0.00015989,0.04594160,0.00212076,0.27289473
-5.66383192,1.12178711,0.20707493,0.74662752,0.17567342,0.08404076,0.00014074,0.04196132,0.00193902,0.25185358
-5.65782891,1.04166888,0.18976149,0.69767007,0.16091185,0.07688912,0.00012384,0.03819745,0.00176949,0.23182788
-5.65182591,0.96903658,0.17325556,0.65443422,0.14690385,0.07023063,0.00010918,0.03464938,0.00161455,0.21285071
-5.64582291,0.90406084,0.15759753,0.61703562,0.13368643,0.06407879,0.00009670,0.03131826,0.00147629,0.19495606
-5.63981991,0.84687392,0.14282649,0.58555346,0.12129192,0.05844529,0.00008638,0.02820623,0.00135653,0.17817774
-5.63381691,0.79756551,0.12897831,0.56002863,0.10974738,0.05333966,0.00007816,0.02531578,0.00125678,0.16254811
-5.62781391,0.75617878,0.11608394,0.54046212,0.09907411,0.04876892,0.00007200,0.02264921,0.00117830,0.14809663
-5.62181091,0.72270692,0.10416793,0.52681366,0.08928717,0.04473731,0.00006784,0.02020807,0.00112205,0.13484848
-5.61580790,0.69709039,0.09324746,0.51900090,0.08039508,0.04124600,0.00006564,0.01799287,0.00108875,0.12282324
-5.60980490,0.67921495,0.08333154,0.51689892,0.07239952,0.03829285,0.00006536,0.01600277,0.00107887,0.11203370
-5.60380190,0.66891056,0.07442075,0.52034032,0.06529527,0.03587229,0.00006696,0.01423544,0.00109264,0.10248491
-5.59779890,0.66595120,0.06650718,0.52911581,0.05907021,0.03397511,0.00007040,0.01268697,0.00113007,0.09417345
-5.59179590,0.67005559,0.05957479,0.54297534,0.05370548,0.03258852,0.00007566,0.01135188,0.00119093,0.08708694
-5.58579290,0.68088872,0.05359990,0.56162967,0.04917576,0.03169605,0.00008268,0.01022321,0.00127473,0.08120386
-5.57978989,0.69806427,0.04855201,0.58475250,0.04544965,0.03127767,0.00009145,0.00929257,0.00138077,0.07649357
-5.57378689,0.72114756,0.04439464,0.61198290,0.04249012,0.03130988,0.00010190,0.00855035,0.00150806,0.07291659
-5.56778389,0.74965924,0.04108624,0.64292816,0.04025500,0.03176588,0.00011399,0.00798587,0.00165535,0.07042509
-5.56178089,0.78307941,0.03858122,0.67716698,0.03869759,0.03261584,0.00012764,0.00758748,0.00182110,0.06896353
-5.55577789,0.82085219,0.03683076,0.71425287,0.03776722,0.03382714,0.00014276,0.00734281,0.00200348,0.06846945
-5.54977489,0.86239068,0.03578373,0.75371784,0.03740987,0.03536475,0.00015925,0.00723886,0.00220035,0.06887434
-5.54377189,0.90708223,0.03538735,0.79507633,0.03756875,0.03719160,0.00017698,0.00726213,0.00240928,0.07010465
-5.53776888,0.95429403,0.03558780,0.83782938,0.03818500,0.03926903,0.00019578,0.00739880,0.00262755,0.07208276
-5.53176588,1.00337903,0.03633072,0.88146899,0.03919824,0.04155726,0.00021548,0.00763477,0.00285216,0.07472805
-5.52576288,1.05368208,0.03756152,0.92548279,0.04054724,0.04401595,0.00023586,0.00795578,0.00307989,0.07795792
-5.51975988,1.10454647,0.03922567,0.96935890,0.04217057,0.04660466,0.00025668,0.00834752,0.00330732,0.08168887
-5.51375688,1.15532067,0.04126886,1.01259113,0.04400724,0.04928346,0.00027768,0.00879569,0.00353091,0.08583748
-5.50775388,1.20536535,0.04363711,1.05468429,0.04599740,0.05201341,0.00029858,0.00928611,0.00374703,0.09032139
-5.50175088,1.25406061,0.04627688,1.09515983,0.04808299,0.05475712,0.00031909,0.00980483,0.00395207,0.09506024
-5.49574787,1.30081330,0.04913515,1.13356156,0.05020847,0.05747915,0.00033888,0.01033820,0.00414250,0.09997652
-5.48974487,1.34506434,0.05215958,1.16946138,0.05232147,0.06014649,0.00035765,0.01087305,0.00431494,0.10499638
-5.48374187,1.38629588,0.05529864,1.20246500,0.05437345,0.06272883,0.00037509,0.01139677,0.00446630,0.11005032
-5.47773887,1.42403812,0.05850189,1.23221741,0.05632036,0.06519886,0.00039089,0.01189751,0.00459379,0.11507379
-5.47173587,1.45787557,0.06172026,1.25840797,0.05812320,0.06753241,0.00040478,0.01236428,0.00469503,0.12000768
-5.46573287,1.48745263,0.06490639,1.28077492,0.05974847,0.06970856,0.00041649,0.01278713,0.00476811,0.12479870
-5.45972986,1.51247810,0.06801512,1.29910919,0.06116859,0.07170959,0.00042581,0.01315729,0.00481165,0.12939959
-5.45372686,1.53272857,0.07100386,1.31325723,0.06236213,0.07352092,0.00043256,0.01346730,0.00482483,0.13376921
