energy_ev,total_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.56263577,0.57726299,0.00000000,0.00623950,0.34119799,1.76292576,2.43346691,0.74944343,0.00000000
-5.99399700,3.67963698,0.58358457,0.00000000,0.00618294,0.34630781,1.79160316,2.53234051,0.78098466,0.00000000
-5.98799400,3.79462335,0.59349255,0.00000000,0.00613255,0.35050065,1.81748074,2.62944654,0.81274021,0.00000000
-5.98199100,3.90705177,0.60728920,0.00000000,0.00609193,0.35381557,1.84080138,2.72411232,0.84453650,0.00000000
-5.97598799,4.01645705,0.62524402,0.00000000,0.00606563,0.35631264,1.86190656,2.81570591,0.87621500,0.00000000
-5.96998499,4.12246033,0.64759038,0.00000000,0.00605902,0.35807051,1.88122362,2.90364838,0.90763628,0.00000000
-5.96398199,4.22477394,0.67452190,0.00000000,0.00607821,0.35918350,1.89924935,2.98742448,0.93868306,0.00000000
-5.95797899,4.32320220,0.70618829,0.00000000,0.00612978,0.35975799,1.91653011,3.06659093,0.96926202,0.00000000
-5.95197599,4.41763779,0.74269074,0.00000000,0.00622063,0.35990833,1.93363946,3.14078209,0.99930420,0.00000000
-5.94597299,4.50805366,0.78407677,0.00000000,0.00635769,0.35975256,1.95115394,3.20971274,1.02876403,0.00000000
-5.93996998,4.59449078,0.83033462,0.00000000,0.00654770,0.35940783,1.96962826,3.27317759,1.05761673,0.00000000
-5.93396698,4.67704198,0.88138747,0.00000000,0.00679688,0.35898604,1.98957057,3.33104789,1.08585452,0.00000000
-5.92796398,4.75583291,0.93708768,0.00000000,0.00711067,0.35858956,2.01141931,3.38326517,1.11348142,0.00000000
-5.92196098,4.83100082,0.99721138,0.00000000,0.00749345,0.35830739,2.03552222,3.42983248,1.14050732,0.00000000
-5.91595798,4.90267235,1.06145387,0.00000000,0.00794823,0.35821194,2.06211884,3.47080387,1.16694126,0.00000000
-5.90995498,4.97094171,1.12942622,0.00000000,0.00847644,0.35835641,2.09132699,3.50627249,1.19278461,0.00000000
-5.90395198,5.03585026,1.20065345,0.00000000,0.00907771,0.35877303,2.12313406,3.53635821,1.21802444,0.00000000
-5.89794897,5.09736898,1.27457481,0.00000000,0.00974965,0.35947219,2.15739345,3.56119540,1.24262747,0.00000000
-5.89194597,5.15538477,1.35054643,0.00000000,0.01048780,0.36044240,2.19382639,3.58092164,1.26653519,0.00000000
-5.88594297,5.20969162,1.42784661,0.00000000,0.01128553,0.36165129,2.23202908,3.59566791,1.28966031,0.00000000
-5.87993997,5.25998735,1.50568402,0.00000000,0.01213404,0.36304736,2.27148487,3.60555093,1.31188507,0.00000000
-5.87393697,5.30587623,1.58320877,0.00000000,0.01302253,0.36456254,2.31158111,3.61066789,1.33306137,0.00000000
-5.86793397,5.34687767,1.65952624,0.00000000,0.01393827,0.36611550,2.35162982,3.61109393,1.35301313,0.00000000
-5.86193097,5.38244067,1.73371352,0.00000000,0.01486692,0.36761538,2.39089137,3.60688233,1.37154053,0.00000000
-5.85592796,5.41196339,1.80483803,0.00000000,0.01579281,0.36896591,2.42860027,3.59806738,1.38842629,0.00000000
-5.84992496,5.43481703,1.87197768,0.00000000,0.01669934,0.37006975,2.46399191,3.58466954,1.40344348,0.00000000
-5.84392196,5.45037282,1.93424211,0.00000000,0.01756938,0.37083272,2.49632914,3.56670259,1.41636463,0.00000000
-5.83791896,5.45803065,1.99079407,0.00000000,0.01838579,0.37116795,2.52492759,3.54418209,1.42697164,0.00000000
-5.83191596,5.45724815,2.04087022,0.00000000,0.01913186,0.37099954,2.54917873,3.51713469,1.43506593,0.00000000
-5.82591296,5.44756835,2.08380057,0.00000000,0.01979184,0.37026577,2.56856970,3.48560752,1.44047830,0.00000000
-5.81990995,5.42864474,2.11902555,0.00000000,0.02035139,0.36892157,2.58269914,3.44967701,1.44307786,0.00000000
-5.81390695,5.40026221,2.14611023,0.00000000,0.02079804,0.36694027,2.59128840,3.40945662,1.44277971,0.00000000
-5.80790395,5.36235293,2.16475485,0.00000000,0.02112155,0.36431454,2.59418783,3.36510292,1.43955062,0.00000000
-5.80190095,5.31500616,2.17480131,0.00000000,0.02131427,0.36105640,2.59137793,3.31681957,1.43341270,0.00000000
-5.79589795,5.25847162,2.17623528,0.00000000,0.02137129,0.35719649,2.58296552,3.26485898,1.42444454,0.00000000
-5.78989495,5.19315622,2.16918384,0.00000000,0.02129066,0.35278248,2.56917525,3.20952151,1.41277999,0.00000000
-5.78389195,5.11961440,2.15390890,0.00000000,0.02107336,0.34787683,2.55033696,3.15115225,1.39860442,0.00000000
-5.77788894,5.03853258,2.13079646,0.00000000,0.02072329,0.34255403,2.52686974,3.09013553,1.38214894,0.00000000
-5.77188594,4.95070874,2.10034261,0.00000000,0.02024708,0.33689732,2.49926340,3.02688751,1.36368254,0.00000000
-5.76588294,4.85702804,2.06313658,0.00000000,0.01965385,0.33099533,2.46805844,2.96184716,1.34350301,0.00000000
-5.75987994,4.75843598,2.01984192,0.00000000,0.01895492,0.32493846,2.43382551,2.89546634,1.32192675,0.00000000
-5.75387694,4.65591030,1.97117652,0.00000000,0.01816338,0.31881550,2.39714523,2.82819916,1.29927821,0.00000000
