energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,10.94897328,0.03257594,1.04830424,1.41916866,0.62854433,2.95644699,6.44067764,2.85322446,0.00000000
-5.99399700,11.15428283,0.03396950,1.06148893,1.45358159,0.64316744,3.02719816,6.55653179,2.91770118,0.00000000
-5.98799400,11.34349835,0.03535087,1.07165431,1.48636943,0.65805652,3.09567871,6.65976079,2.98225803,0.00000000
-5.98199100,11.51367026,0.03669393,1.07866196,1.51731413,0.67295877,3.16126492,6.74853990,3.04603859,0.00000000
-5.97598799,11.66219328,0.03797322,1.08243675,1.54623149,0.68762253,3.22343387,6.82128464,3.10821297,0.00000000
-5.96998499,11.78687769,0.03916460,1.08296976,1.57297512,0.70180494,3.28177569,6.87669369,3.16799987,0.00000000
-5.96398199,11.88600671,0.04024575,1.08031887,1.59743900,0.71527951,3.33600086,6.91378272,3.22468639,0.00000000
-5.95797899,11.95837774,0.04119674,1.07460677,1.61955855,0.72784327,3.38594226,6.93190806,3.27764507,0.00000000
-5.95197599,12.00332670,0.04200049,1.06601650,1.63931027,0.73932314,3.43155188,6.93077971,3.32634756,0.00000000
-5.94597299,12.02073492,0.04264319,1.05478475,1.65670993,0.74958151,3.47289238,6.91046368,3.37037472,0.00000000
-5.93996998,12.01101939,0.04311463,1.04119315,1.67180946,0.75852069,3.51012410,6.87137402,3.40942296,0.00000000
-5.93396698,11.97510745,0.04340849,1.02555796,1.68469279,0.76608610,3.54348828,6.81425548,3.44330695,0.00000000
-5.92796398,11.91439802,0.04352248,1.00821884,1.69547096,0.77226821,3.57328756,6.74015795,3.47195896,0.00000000
-5.92196098,11.83071165,0.04345844,0.98952692,1.70427662,0.77710311,3.59986481,6.65040424,3.49542506,0.00000000
-5.91595798,11.72623217,0.04322238,0.96983307,1.71125843,0.78067162,3.62358170,6.54655271,3.51385880,0.00000000
-5.90995498,11.60344260,0.04282430,0.94947669,1.71657554,0.78309724,3.64479794,6.43035642,3.52751274,0.00000000
-5.90395198,11.46505811,0.04227808,0.92877564,1.72039231,0.78454272,3.66385259,6.30372041,3.53672829,0.00000000
-5.89794897,11.31395832,0.04160112,0.90801770,1.72287363,0.78520560,3.68104807,6.16865859,3.54192440,0.00000000
-5.89194597,11.15312108,0.04081404,0.88745381,1.72418079,0.78531269,3.69663772,6.02725128,3.54358528,0.00000000
-5.88594297,10.98555917,0.03994015,0.86729346,1.72446813,0.78511369,3.71081729,5.88160457,3.54224756,0.00000000
-5.87993997,10.81426097,0.03900494,0.84770210,1.72388016,0.78487408,3.72372028,5.73381197,3.53848695,0.00000000
-5.87393697,10.64213571,0.03803551,0.82880067,1.72254938,0.78486745,3.73541719,5.58591894,3.53290434,0.00000000
-5.86793397,10.47196323,0.03705983,0.81066702,1.72059446,0.78536735,3.74591792,5.43989030,3.52611154,0.00000000
-5.86193097,10.30634814,0.03610608,0.79333898,1.71811870,0.78663887,3.75517692,5.29758062,3.51871638,0.00000000
-5.85592796,10.14767789,0.03520192,0.77681878,1.71520857,0.78893005,3.76310009,5.16070747,3.51130715,0.00000000
-5.84992496,9.99808423,0.03437367,0.76107830,1.71193227,0.79246335,3.76955254,5.03082723,3.50443648,0.00000000
-5.84392196,9.85940768,0.03364564,0.74606501,1.70833813,0.79742725,3.77436650,4.90931348,3.49860451,0.00000000
-5.83791896,9.73316485,0.03303938,0.73170788,1.70445280,0.80396835,3.77734845,4.79733773,3.49424180,0.00000000
-5.83191596,9.62051870,0.03257300,0.71792319,1.70027932,0.81218402,3.77828496,4.69585275,3.49169215,0.00000000
-5.82591296,9.52225231,0.03226059,0.70461978,1.69579510,0.82211598,3.77694685,4.60557845,3.49119604,0.00000000
-5.81990995,9.43874713,0.03211174,0.69170357,1.69094999,0.83374504,3.77309157,4.52699098,3.49287528,0.00000000
-5.81390695,9.36996687,0.03213114,0.67908118,1.68566466,0.84698728,3.76646385,4.46031531,3.49671974,0.00000000
-5.80790395,9.31544878,0.03231835,0.66666257,1.67982946,0.86169204,3.75679517,4.40552204,3.50257714,0.00000000
-5.80190095,9.27430385,0.03266770,0.65436286,1.67330424,0.87764184,3.74380251,4.36232905,3.51014682,0.00000000
-5.79589795,9.24522771,0.03316841,0.64210318,1.66591913,0.89455460,3.72718717,4.33020861,3.51897847,0.00000000
-5.78989495,9.22652360,0.03380478,0.62981099,1.65747674,0.91208832,3.70663443,4.30840042,3.52847647,0.00000000
-5.78389195,9.21613856,0.03455665,0.61741981,1.64775577,0.92984817,3.68181491,4.29593096,3.53791064,0.00000000
-5.77788894,9.21171322,0.03539997,0.60486874,1.63651631,0.94739612,3.65238821,4.29163911,3.54643346,0.00000000
-5.77188594,9.21064497,0.03630754,0.59210193,1.62350658,0.96426294,3.61800948,4.29420789,3.55310390,0.00000000
-5.76588294,9.21016353,0.03724986,0.57906810,1.60847127,0.97996222,3.57833899,4.30220165,3.55691730,0.00000000
-5.75987994,9.20741699,0.03819610,0.56572047,1.59116093,0.99400606,3.53305487,4.31410783,3.55684057,0.00000000
-5.75387694,9.19956559,0.03911510,0.55201700,1.57134228,1.00592199,3.48186855,4.32838193,3.55185142,0.00000000
-5.74787394,9.18388005,0.03997646,0.53792105,1.54880898,1.01527037,3.42454241,4.34349437,3.54098016,0.00000000
-5.74187094,9.15784034,0.04075151,0.52340253,1.52339218,1.02166163,3.36090857,4.35797728,3.52335222,0.00000000
-5.73586793,9.11923086,0.04141435,0.50843938,1.49497050,1.02477264,3.29088792,4.37046966,3.49822945,0.00000000
-5.72986493,9.06622762,0.04194265,0.49301926,1.46347879,1.02436145,3.21450811,4.37975896,3.46504826,0.00000000
-5.72386193,8.99747358,0.04231846,0.47714141,1.42891515,1.02027968,3.13191918,4.38481751,3.42345251,0.00000000
-5.71785893,8.91213819,0.04252872,0.46081838,1.39134576,1.01248198,3.04340575,4.38483236,3.37331964,0.00000000
-5.71185593,8.80995868,0.04256568,0.44407760,1.35090729,1.00103204,2.94939467,4.37922741,3.31477835,0.00000000
-5.70585293,8.69126066,0.04242702,0.42696243,1.30780646,0.98610475,2.85045738,4.36767712,3.24821704,0.00000000
-5.69984992,8.55695735,0.04211584,0.40953280,1.26231686,0.96798440,2.74730639,4.35011147,3.17428221,0.00000000
-5.69384692,8.40852728,0.04164038,0.39186508,1.21477313,0.94705893,2.64078576,4.32671236,3.09386690,0.00000000
-5.68784392,8.24797159,0.04101357,0.37405139,1.16556252,0.92381019,2.53185572,4.29790188,3.00808945,0.00000000
-5.68184092,8.07775308,0.04025240,0.35619803,1.11511446,0.89880090,2.42157194,4.26432337,2.91826358,0.00000000
-5.67583792,7.90071960,0.03937719,0.33842336,1.06388842,0.87265842,2.31106024,4.22681637,2.82586090,0.00000000
-5.66983492,7.72001547,0.03841065,0.32085498,1.01236079,0.84605623,2.20148779,4.18638689,2.73246765,0.00000000
-5.66383192,7.53898451,0.03737703,0.30362642,0.96101120,0.81969368,2.09403195,4.14417419,2.63973731,0.00000000
-5.65782891,7.36106874,0.03630110,0.28687349,0.91030907,0.79427466,1.98984820,4.10141569,2.54934112,0.00000000
-5.65182591,7.18970658,0.03520726,0.27073041,0.86070085,0.77048621,1.89003827,4.05941113,2.46291840,0.00000000
-5.64582291,7.02823410,0.03411864,0.25532585,0.81259856,0.74897748,1.79562000,4.01948720,2.38202860,0.00000000
-5.63981991,6.87979253,0.03305637,0.24077914,0.76636999,0.73033998,1.70749973,3.98296353,2.30810668,0.00000000
