energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.22770016,0.34844120,0.77039484,0.01933706,0.01451124,0.26168808,0.07800663,0.01066827,0.32993276
-5.99399700,1.16871563,0.34606335,0.71622047,0.01893259,0.01417642,0.26137429,0.07642306,0.01092391,0.32513887
-5.98799400,1.11910484,0.34560802,0.66877983,0.01850253,0.01401182,0.26188161,0.07540407,0.01123557,0.32210854
-5.98199100,1.07935683,0.34726612,0.62832423,0.01806069,0.01402277,0.26332260,0.07498789,0.01160170,0.32099770
-5.97598799,1.04980375,0.35120641,0.59497619,0.01762164,0.01421197,0.26580500,0.07520441,0.01201993,0.32194269
-5.96998499,1.03062477,0.35757084,0.56873936,0.01720039,0.01457939,0.26942782,0.07607440,0.01248696,0.32505662
-5.96398199,1.02185227,0.36647027,0.54951037,0.01681203,0.01512230,0.27427741,0.07760878,0.01299852,0.33042600
-5.95797899,1.02337979,0.37798067,0.53709216,0.01647137,0.01583536,0.28042357,0.07980818,0.01354931,0.33810760
-5.95197599,1.03497147,0.39213996,0.53120814,0.01619263,0.01671064,0.28791592,0.08266259,0.01413298,0.34812564
-5.94597299,1.05627261,0.40894551,0.53151671,0.01598905,0.01773782,0.29678074,0.08615132,0.01474219,0.36046953
-5.93996998,1.08682107,0.42835264,0.53762566,0.01587264,0.01890432,0.30701829,0.09024312,0.01536869,0.37509221
-5.93396698,1.12605956,0.45027404,0.54910638,0.01585390,0.02019552,0.31860092,0.09489651,0.01600343,0.39190918
-5.92796398,1.17334854,0.47458030,0.56550738,0.01594156,0.02159498,0.33147201,0.10006040,0.01663677,0.41079842
-5.92196098,1.22797995,0.50110173,0.58636707,0.01614243,0.02308472,0.34554582,0.10567489,0.01725867,0.43160124
-5.91595798,1.28919150,0.52963122,0.61122572,0.01646123,0.02464556,0.36070836,0.11167235,0.01785894,0.45412407
