energy_ev,total_up,Bi_p_up,Bi_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,0.51824509,0.21350841,0.00132011,0.58920534,0.14984189,0.17962202,0.00000000
-5.99399700,0.54834698,0.22280114,0.00142166,0.62473891,0.15676218,0.19272327,0.00000000
-5.98799400,0.57651916,0.23102956,0.00152164,0.65812964,0.16297501,0.20537198,0.00000000
-5.98199100,0.60224648,0.23802668,0.00161820,0.68878286,0.16835699,0.21735305,0.00000000
-5.97598799,0.62504613,0.24364929,0.00170953,0.71613495,0.17280032,0.22845333,0.00000000
-5.96998499,0.64448135,0.24778189,0.00179387,0.73966974,0.17621573,0.23846782,0.00000000
-5.96398199,0.66017464,0.25034001,0.00186962,0.75893437,0.17853521,0.24720603,0.00000000
-5.95797899,0.67181980,0.25127269,0.00193534,0.77355393,0.17971408,0.25449834,0.00000000
-5.95197599,0.67919237,0.25056407,0.00198985,0.78324427,0.17973254,0.26020181,0.00000000
-5.94597299,0.68215811,0.24823398,0.00203222,0.78782249,0.17859659,0.26420556,0.00000000
-5.93996998,0.68067894,0.24433756,0.00206191,0.78721452,0.17633825,0.26643515,0.00000000
-5.93396698,0.67481639,0.23896395,0.00207874,0.78145973,0.17301513,0.26685604,0.00000000
-5.92796398,0.66473234,0.23223406,0.00208293,0.77071215,0.16870944,0.26547582,0.00000000
-5.92196098,0.65068695,0.22429763,0.00207518,0.75523847,0.16352638,0.26234521,0.00000000
-5.91595798,0.63303428,0.21532972,0.00205665,0.73541288,0.15759211,0.25755779,0.00000000
-5.90995498,0.61221550,0.20552674,0.00202896,0.71170914,0.15105148,0.25124854,0.00000000
-5.90395198,0.58875033,0.19510228,0.00199423,0.68469019,0.14406545,0.24359120,0.00000000
-5.89794897,0.56322701,0.18428292,0.00195506,0.65499585,0.13680846,0.23479473,0.00000000
-5.89194597,0.53629138,0.17330417,0.00191450,0.62332923,0.12946591,0.22509894,0.00000000
-5.88594297,0.50863537,0.16240665,0.00187607,0.59044237,0.12223167,0.21476961,0.00000000
-5.87993997,0.48098554,0.15183274,0.00184369,0.55712170,0.11530587,0.20409322,0.00000000
-5.87393697,0.45409191,0.14182368,0.00182169,0.52417378,0.10889292,0.19337157,0.00000000
