energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.31095073,0.34106355,1.48476590,0.00366717,0.05269056,0.00984052,0.44955521,0.41003105,0.10667068
-5.99399700,2.16081339,0.30912770,1.41065668,0.00349596,0.04710388,0.00877036,0.41203019,0.36921566,0.09669072
-5.98799400,2.01796746,0.27910423,1.33894623,0.00332405,0.04184794,0.00778005,0.37683732,0.33132652,0.08737088
-5.98199100,1.88293536,0.25108393,1.26999674,0.00315155,0.03694829,0.00687112,0.34405359,0.29637755,0.07873573
-5.97598799,1.75608524,0.22511676,1.20411171,0.00297873,0.03242135,0.00604341,0.31371124,0.26433933,0.07079655
-5.96998499,1.63764930,0.20121602,1.14154227,0.00280603,0.02827497,0.00529539,0.28580360,0.23514600,0.06355293
-5.96398199,1.52774360,0.17936297,1.08249390,0.00263408,0.02450934,0.00462441,0.26029126,0.20870239,0.05699458
-5.95797899,1.42638837,0.15951193,1.02713321,0.00246368,0.02111786,0.00402703,0.23710854,0.18489113,0.05110313
-5.95197599,1.33352747,0.14159534,0.97559414,0.00229576,0.01808828,0.00349923,0.21616971,0.16357937,0.04585392
-5.94597299,1.24904633,0.12552873,0.92798331,0.00213143,0.01540373,0.00303671,0.19737489,0.14462501,0.04121767
-5.93996998,1.17278751,0.11121538,0.88438415,0.00197185,0.01304385,0.00263511,0.18061525,0.12788224,0.03716202
-5.93396698,1.10456364,0.09855048,0.84485978,0.00181832,0.01098579,0.00229021,0.16577760,0.11320629,0.03365282
-5.92796398,1.04416745,0.08742478,0.80945460,0.00167215,0.00920519,0.00199809,0.15274809,0.10045731,0.03065532
-5.92196098,0.99137909,0.07772766,0.77819481,0.00153468,0.00767701,0.00175527,0.14141509,0.08950346,0.02813501
-5.91595798,0.94597081,0.06934956,0.75108792,0.00140726,0.00637627,0.00155883,0.13167128,0.08022316,0.02605834
-5.90995498,0.90770959,0.06218392,0.72812172,0.00129119,0.00527867,0.00140649,0.12341500,0.07250662,0.02439320
-5.90395198,0.87635812,0.05612852,0.70926301,0.00118770,0.00436102,0.00129663,0.11655097,0.06625663,0.02310926
-5.89794897,0.85167470,0.05108639,0.69445637,0.00109796,0.00360165,0.00122839,0.11099050,0.06138884,0.02217810
-5.89194597,0.83341252,0.04696644,0.68362334,0.00102304,0.00298063,0.00120159,0.10665132,0.05783145,0.02157329
-5.88594297,0.82131892,0.04368366,0.67666234,0.00096389,0.00247989,0.00121679,0.10345715,0.05552444,0.02127033
-5.87993997,0.81513492,0.04115921,0.67344935,0.00092134,0.00208331,0.00127521,0.10133711,0.05441848,0.02124652
-5.87393697,0.81459522,0.03932032,0.67383959,0.00089609,0.00177669,0.00137868,0.10022512,0.05447349,0.02148086
-5.86793397,0.81942895,0.03810011,0.67767013,0.00088868,0.00154764,0.00152956,0.10005933,0.05565685,0.02195382
-5.86193097,0.82936099,0.03743740,0.68476330,0.00089950,0.00138554,0.00173066,0.10078153,0.05794146,0.02264715
-5.85592796,0.84411380,0.03727642,0.69493071,0.00092876,0.00128131,0.00198506,0.10233682,0.06130357,0.02354370
-5.84992496,0.86340950,0.03756664,0.70797751,0.00097650,0.00122728,0.00229601,0.10467318,0.06572045,0.02462722
-5.84392196,0.88697186,0.03826247,0.72370677,0.00104255,0.00121699,0.00266672,0.10774124,0.07116788,0.02588211
-5.83791896,0.91452781,0.03932308,0.74192330,0.00112652,0.00124503,0.00310020,0.11149395,0.07761769,0.02729325
-5.83191596,0.94580819,0.04071209,0.76243686,0.00122779,0.00130684,0.00359900,0.11588631,0.08503520,0.02884577
-5.82591296,0.98054736,0.04239725,0.78506423,0.00134549,0.00139856,0.00416504,0.12087491,0.09337678,0.03052481
-5.81990995,1.01848143,0.04435013,0.80962997,0.00147847,0.00151684,0.00479935,0.12641741,0.10258757,0.03231528
-5.81390695,1.05934496,0.04654558,0.83596577,0.00162533,0.00165874,0.00550182,0.13247176,0.11259944,0.03420164
-5.80790395,1.10286630,0.04896126,0.86390812,0.00178437,0.00182154,0.00627102,0.13899533,0.12332928,0.03616762
-5.80190095,1.14876137,0.05157691,0.89329463,0.00195361,0.00200272,0.00710399,0.14594372,0.13467784,0.03819599
-5.79589795,1.19672657,0.05437368,0.92395896,0.00213081,0.00219978,0.00799607,0.15326957,0.14652906,0.04026833
-5.78989495,1.24643097,0.05733324,0.95572476,0.00231347,0.00241022,0.00894080,0.16092113,0.15875004,0.04236488
-5.78389195,1.29750832,0.06043697,0.98839895,0.00249889,0.00263150,0.00992985,0.16884095,0.17119182,0.04446436
-5.77788894,1.34954974,0.06366501,1.02176484,0.00268417,0.00286095,0.01095303,0.17696453,0.18369079,0.04654394
-5.77188594,1.40209738,0.06699546,1.05557559,0.00286628,0.00309581,0.01199838,0.18521929,0.19607097,0.04857931
-5.76588294,1.45464009,0.07040356,1.08954854,0.00304216,0.00333319,0.01305230,0.19352377,0.20814704,0.05054473
-5.75987994,1.50661139,0.07386106,1.12336101,0.00320872,0.00357010,0.01409983,0.20178726,0.21972802,0.05241339
-5.75387694,1.55739048,0.07733577,1.15664787,0.00336297,0.00380348,0.01512495,0.20991001,0.23062154,0.05415768
-5.74787394,1.60630654,0.08079133,1.18900148,0.00350206,0.00403025,0.01611095,0.21778398,0.24063863,0.05574979
-5.74187094,1.65264670,0.08418724,1.21997425,0.00362342,0.00424734,0.01704089,0.22529422,0.24959874,0.05716221
-5.73586793,1.69566753,0.08747924,1.24908388,0.00372476,0.00445176,0.01789809,0.23232094,0.25733491,0.05836849
-5.72986493,1.73461005,0.09061991,1.27582140,0.00380421,0.00464069,0.01866665,0.23874219,0.26369883,0.05934399
-5.72386193,1.76871778,0.09355967,1.29966195,0.00386036,0.00481153,0.01933194,0.24443700,0.26856555,0.06006663
-5.71785893,1.79725731,0.09624799,1.32007778,0.00389229,0.00496199,0.01988117,0.24928908,0.27183779,0.06051777
