energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,0.90377580,0.02658568,0.82409118,0.00042150,0.00902579,0.05249695,0.05360027,0.00100579,0.02865239
-5.99399700,0.91496766,0.02569839,0.83606115,0.00044432,0.00882326,0.05251000,0.05399565,0.00103369,0.02771015
-5.98799400,0.92366280,0.02497360,0.84536175,0.00046657,0.00863303,0.05254906,0.05432203,0.00105762,0.02703670
-5.98199100,0.92987047,0.02439163,0.85202211,0.00048794,0.00845090,0.05256601,0.05459023,0.00107726,0.02662158
-5.97598799,0.93370567,0.02394009,0.85616205,0.00050817,0.00827458,0.05252172,0.05481826,0.00109241,0.02646134
-5.96998499,0.93538619,0.02361365,0.85798954,0.00052700,0.00810358,0.05238639,0.05503099,0.00110291,0.02655967
-5.96398199,0.93522625,0.02341343,0.85779505,0.00054425,0.00793908,0.05213964,0.05525954,0.00110874,0.02692718
-5.95797899,0.93362661,0.02334637,0.85594292,0.00055974,0.00778371,0.05177032,0.05554046,0.00110994,0.02758098
-5.95197599,0.93106152,0.02342441,0.85286000,0.00057335,0.00764136,0.05127620,0.05591468,0.00110663,0.02854394
-5.94597299,0.92806280,0.02366350,0.84902176,0.00058498,0.00751692,0.05066324,0.05642623,0.00109901,0.02984367
-5.93996998,0.92520131,0.02408255,0.84493620,0.00059457,0.00741603,0.04994486,0.05712083,0.00108733,0.03151128
-5.93396698,0.92306651,0.02470233,0.84112619,0.00060211,0.00734477,0.04914083,0.05804425,0.00107191,0.03357982
-5.92796398,0.92224457,0.02554415,0.83811063,0.00060758,0.00730938,0.04827610,0.05924063,0.00105310,0.03608257
-5.92196098,0.92329583,0.02662867,0.83638512,0.00061100,0.00731596,0.04737948,0.06075068,0.00103127,0.03905109
-5.91595798,0.92673226,0.02797456,0.83640278,0.00061243,0.00737017,0.04648218,0.06260987,0.00100680,0.04251319
-5.90995498,0.93299578,0.02959725,0.83855599,0.00061192,0.00747696,0.04561642,0.06484669,0.00098011,0.04649078
-5.90395198,0.94243820,0.03150766,0.84315961,0.00060953,0.00764028,0.04481385,0.06748095,0.00095157,0.05099774
-5.89794897,0.95530354,0.03371106,0.85043643,0.00060535,0.00786284,0.04410422,0.07052228,0.00092158,0.05603791
-5.89194597,0.97171359,0.03620607,0.86050551,0.00059946,0.00814589,0.04351403,0.07396882,0.00089047,0.06160317
-5.88594297,0.99165718,0.03898375,0.87337375,0.00059195,0.00848907,0.04306534,0.07780626,0.00085859,0.06767186
-5.87993997,1.01498384,0.04202697,0.88893138,0.00058292,0.00889023,0.04277477,0.08200717,0.00082625,0.07420754
-5.87393697,1.04140221,0.04531006,0.90695140,0.00057246,0.00934543,0.04265277,0.08653074,0.00079370,0.08115817
-5.86793397,1.07048347,0.04879862,0.92709324,0.00056070,0.00984886,0.04270305,0.09132297,0.00076120,0.08845588
-5.86193097,1.10166968,0.05244979,0.94891063,0.00054773,0.01039292,0.04292237,0.09631733,0.00072897,0.09601726
-5.85592796,1.13428716,0.05621278,0.97186335,0.00053368,0.01096834,0.04330051,0.10143591,0.00069717,0.10374435
-5.84992496,1.16756425,0.06002970,0.99533273,0.00051866,0.01156437,0.04382062,0.10659097,0.00066598,0.11152618
-5.84392196,1.20065312,0.06383680,1.01864007,0.00050283,0.01216898,0.04445973,0.11168704,0.00063553,0.11924105
-5.83791896,1.23265482,0.06756595,1.04106762,0.00048630,0.01276924,0.04518956,0.11662327,0.00060594,0.12675930
-5.83191596,1.26264664,0.07114638,1.06188121,0.00046922,0.01335161,0.04597748,0.12129625,0.00057730,0.13394663
-5.82591296,1.28971093,0.07450665,1.08035370,0.00045174,0.01390236,0.04678771,0.12560286,0.00054970,0.14066780
-5.81990995,1.31296407,0.07757672,1.09578834,0.00043400,0.01440795,0.04758255,0.12944344,0.00052319,0.14679059
-5.81390695,1.33158479,0.08029008,1.10754127,0.00041614,0.01485551,0.04832371,0.13272479,0.00049783,0.15218981
-5.80790395,1.34484043,0.08258589,1.11504217,0.00039831,0.01523319,0.04897364,0.13536318,0.00047364,0.15675137
-5.80190095,1.35211039,0.08441089,1.11781232,0.00038062,0.01553059,0.04949686,0.13728704,0.00045066,0.16037598
-5.79589795,1.35290573,0.08572122,1.11547950,0.00036320,0.01573908,0.04986113,0.13843931,0.00042887,0.16298254
-5.78989495,1.34688432,0.08648393,1.10778907,0.00034613,0.01585213,0.05003856,0.13877940,0.00040827,0.16451090
-5.78389195,1.33386082,0.08667807,1.09461095,0.00032950,0.01586548,0.05000646,0.13828456,0.00038883,0.16492405
-5.77788894,1.31381141,0.08629552,1.07594234,0.00031338,0.01577735,0.04974812,0.13695071,0.00037052,0.16420941
-5.77188594,1.28687306,0.08534124,1.05190608,0.00029780,0.01558849,0.04925322,0.13479263,0.00035329,0.16237945
-5.76588294,1.25333757,0.08383325,1.02274504,0.00028278,0.01530218,0.04851819,0.13184357,0.00033709,0.15947127
