energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.08997900,0.01436970,0.01793659,0.42501968,0.30856008,0.01224694,0.71776679,0.22275947,0.07659701
-5.99399700,1.09391172,0.01395792,0.01845517,0.44168620,0.30298654,0.01149695,0.72421913,0.22144029,0.07862549
-5.98799400,1.10463213,0.01368973,0.01903317,0.46123448,0.29931227,0.01078914,0.73518400,0.22216174,0.08098477
-5.98199100,1.12262612,0.01357759,0.01967180,0.48372893,0.29775412,0.01013494,0.75094247,0.22505169,0.08367566
-5.97598799,1.14820054,0.01363062,0.02037026,0.50916625,0.29847498,0.00954394,0.77165879,0.23019089,0.08668994
-5.96998499,1.18146624,0.01385430,0.02112570,0.53746981,0.30157785,0.00902372,0.79736974,0.23760903,0.09000984
-5.96398199,1.22232575,0.01425024,0.02193305,0.56848554,0.30710148,0.00857965,0.82797677,0.24728168,0.09360789
-5.95797899,1.27046590,0.01481607,0.02278509,0.60197943,0.31501757,0.00821488,0.86324152,0.25912838,0.09744702
-5.95197599,1.32535584,0.01554528,0.02367246,0.63763677,0.32522962,0.00793031,0.90278458,0.27301191,0.10148082
-5.94597299,1.38625063,0.01642730,0.02458379,0.67506356,0.33757360,0.00772469,0.94608810,0.28873893,0.10565417
-5.93996998,1.45220075,0.01744754,0.02550586,0.71379008,0.35182036,0.00759466,0.99250204,0.30606196,0.10990405
-5.93396698,1.52206764,0.01858763,0.02642391,0.75327688,0.36767988,0.00753502,1.04125445,0.32468303,0.11416066
-5.92796398,1.59454515,0.01982567,0.02732181,0.79292320,0.38480742,0.00753886,1.09146571,0.34425879,0.11834866
-5.92196098,1.66818701,0.02113671,0.02818255,0.83207802,0.40281122,0.00759786,1.14216655,0.36440727,0.12238878
-5.91595798,1.74143967,0.02249321,0.02898852,0.87005341,0.42126204,0.00770252,1.19231982,0.38471612,0.12619955
-5.90995498,1.81268017,0.02386566,0.02972201,0.90614029,0.43970396,0.00784252,1.24084546,0.40475227,0.12969920
-5.90395198,1.88025801,0.02522335,0.03036564,0.93962596,0.45766643,0.00800696,1.28664830,0.42407275,0.13280774
-5.89794897,1.94254008,0.02653507,0.03090289,0.96981319,0.47467720,0.00818476,1.32864773,0.44223645,0.13544912
-5.89194597,1.99795724,0.02776999,0.03131852,0.99604023,0.49027569,0.00836488,1.36580865,0.45881641,0.13755340
-5.88594297,2.04505112,0.02889851,0.03159911,1.01770101,0.50402647,0.00853669,1.39717248,0.47341223,0.13905891
-5.87993997,2.08251933,0.02989312,0.03173345,1.03426482,0.51553226,0.00869024,1.42188724,0.48566227,0.13991429
-5.87393697,2.10925763,0.03072921,0.03171298,1.04529471,0.52444615,0.00881651,1.43923549,0.49525498,0.14008034
-5.86793397,2.12439715,0.03138583,0.03153212,1.05046378,0.53048238,0.00890763,1.44865909,0.50193907,0.13953165
-5.86193097,2.12733521,0.03184633,0.03118851,1.04956865,0.53342541,0.00895709,1.44977968,0.50553203,0.13825780
-5.85592796,2.11775848,0.03209890,0.03068320,1.04253950,0.53313680,0.00895983,1.44241399,0.50592655,0.13626431
-5.84992496,2.09565730,0.03213696,0.03002070,1.02944614,0.52955971,0.00891239,1.42658335,0.50309474,0.13357305
-5.84392196,2.06133064,0.03195932,0.02920897,1.01049984,0.52272069,0.00881290,1.40251685,0.49708979,0.13022223
-5.83791896,2.01538145,0.03157028,0.02825924,0.98605072,0.51272894,0.00866111,1.37064816,0.48804505,0.12626594
-5.83191596,1.95870247,0.03097942,0.02718580,0.95658090,0.49977277,0.00845827,1.33160592,0.47617065,0.12177320
-5.82591296,1.89245335,0.03020135,0.02600568,0.92269353,0.48411372,0.00820707,1.28619831,0.46174762,0.11682665
-5.81990995,1.81802988,0.02925516,0.02473818,0.88509829,0.46607840,0.00791147,1.23539237,0.44512002,0.11152083
-5.81390695,1.73702672,0.02816390,0.02340449,0.84459385,0.44604861,0.00757652,1.18028893,0.42668521,0.10596021
-5.80790395,1.65119529,0.02695376,0.02202709,0.80204806,0.42445001,0.00720813,1.12209428,0.40688275,0.10025698
-5.80190095,1.56239831,0.02565338,0.02062931,0.75837669,0.40173987,0.00681288,1.06208954,0.38618235,0.09452870
-5.79589795,1.47256286,0.02429291,0.01923474,0.71452130,0.37839448,0.00639775,1.00159907,0.36507139,0.08889597
-5.78989495,1.38363364,0.02290317,0.01786676,0.67142729,0.35489658,0.00596992,0.94195885,0.34404231,0.08348001
-5.78389195,1.29752770,0.02151485,0.01654807,0.63002254,0.33172327,0.00553652,0.88448583,0.32358040,0.07840040
-5.77788894,1.21609220,0.02015762,0.01530025,0.59119734,0.30933489,0.00510446,0.83044920,0.30415225,0.07377298
-5.77188594,1.14106596,0.01885944,0.01414346,0.55578607,0.28816503,0.00468021,0.78104415,0.28619519,0.06970784
-5.76588294,1.07404566,0.01764592,0.01309609,0.52455092,0.26861193,0.00426972,0.73736849,0.27010787,0.06630755
-5.75987994,1.01645703,0.01653967,0.01217460,0.49816778,0.25103153,0.00387823,0.70040267,0.25624221,0.06366562
-5.75387694,0.96953119,0.01555996,0.01139330,0.47721450,0.23573202,0.00351026,0.67099300,0.24489661,0.06186506
-5.74787394,0.93428619,0.01472226,0.01076434,0.46216144,0.22297005,0.00316951,0.64983836,0.23631071,0.06097721
-5.74187094,0.91151343,0.01403811,0.01029757,0.45336425,0.21294846,0.00285888,0.63748002,0.23066139,0.06106066
-5.73586793,0.90176883,0.01351489,0.01000065,0.45105881,0.20581542,0.00258048,0.63429466,0.22806018,0.06216039
-5.72986493,0.90536835,0.01315587,0.00987901,0.45535823,0.20166484,0.00233567,0.64049034,0.22855194,0.06430696
-5.72386193,0.92238773,0.01296022,0.00993594,0.46625187,0.20053798,0.00212512,0.65610521,0.23211475,0.06751595
-5.71785893,0.95266621,0.01292317,0.01017272,0.48360636,0.20242601,0.00194890,0.68100921,0.23866108,0.07178751
-5.71185593,0.99581413,0.01303628,0.01058868,0.50716864,0.20727351,0.00180658,0.71490845,0.24804006,0.07710607
-5.70585293,1.05122459,0.01328767,0.01118132,0.53657115,0.21498278,0.00169732,0.75735256,0.26004101,0.08344034
-5.69984992,1.11808904,0.01366244,0.01194650,0.57133916,0.22541878,0.00161998,0.80774507,0.27439815,0.09074355
-5.69384692,1.19541718,0.01414306,0.01287852,0.61090052,0.23841477,0.00157324,0.86535695,0.29079654,0.09895406
-5.68784392,1.28206092,0.01470986,0.01397032,0.65459781,0.25377851,0.00155569,0.92934347,0.30887913,0.10799622
-5.68184092,1.37674276,0.01534154,0.01521362,0.70170281,0.27129896,0.00156596,0.99876423,0.32825513,0.11778182
-5.67583792,1.47808804,0.01601574,0.01659916,0.75143349,0.29075332,0.00160278,1.07260647,0.34850926,0.12821178
-5.66983492,1.58466095,0.01670958,0.01811687,0.80297296,0.31191448,0.00166508,1.14981113,0.36921209,0.13917843
-5.66383192,1.69500337,0.01740028,0.01975610,0.85549031,0.33455851,0.00175205,1.22930133,0.38993101,0.15056803
-5.65782891,1.80767581,0.01806573,0.02150584,0.90816262,0.35847215,0.00186322,1.31001247,0.41024166,0.16226373
-5.65182591,1.92129896,0.01868508,0.02335494,0.96019762,0.38345999,0.00199848,1.39092301,0.42973952,0.17414877
-5.64582291,2.03459454,0.01923924,0.02529236,1.01085610,0.40935118,0.00215813,1.47108479,0.44805114,0.18610968
-5.63981991,2.14642366,0.01971141,0.02730732,1.05947313,0.43600523,0.00234284,1.54965177,0.46484477,0.19803962
-5.63381691,2.25582100,0.02008748,0.02938947,1.10547729,0.46331677,0.00255370,1.62590562,0.47983978,0.20984144
-5.62781391,2.36202290,0.02035635,0.03152902,1.14840685,0.49121896,0.00279211,1.69927708,0.49281452,0.22143038
-5.62181091,2.46448786,0.02051021,0.03371674,1.18792198,0.51968514,0.00305980,1.76936168,0.50361230,0.23273630
-5.61580790,2.56290807,0.02054464,0.03594398,1.22381238,0.54872884,0.00335868,1.83592896,0.51214505,0.24370525
-5.60980490,2.65721087,0.02045865,0.03820255,1.25599973,0.57840172,0.00369079,1.89892423,0.51839452,0.25430022
-5.60380190,2.74754964,0.02025462,0.04048456,1.28453455,0.60878960,0.00405815,1.95846265,0.52241088,0.26450110
-5.59779890,2.83428422,0.01993805,0.04278215,1.30958763,0.64000662,0.00446266,2.01481547,0.52430877,0.27430371
-5.59179590,2.91795126,0.01951732,0.04508722,1.33143617,0.67218757,0.00490591,2.06838892,0.52426088,0.28371796
-5.58579290,2.99922575,0.01900329,0.04739105,1.35044521,0.70547885,0.00538906,2.11969652,0.52248933,0.29276525
-5.57978989,3.07887542,0.01840886,0.04968398,1.36704527,0.74002827,0.00591266,2.16932601,0.51925532,0.30147524
-5.57378689,3.15770995,0.01774846,0.05195502,1.38170715,0.77597414,0.00647654,2.21790246,0.51484739,0.30988199
-5.56778389,3.23652765,0.01703752,0.05419156,1.39491520,0.81343414,0.00707961,2.26604932,0.50956892,0.31802002
-5.56178089,3.31606195,0.01629196,0.05637912,1.40714043,0.85249447,0.00771978,2.31434932,0.50372542,0.32592010
-5.55577789,3.39693066,0.01552767,0.05850120,1.41881466,0.89319972,0.00839386,2.36330709,0.49761214,0.33360544
-5.54977489,3.47959014,0.01476001,0.06053924,1.43030718,0.93554392,0.00909751,2.41331551,0.49150261,0.34108810
-5.54377189,3.56429703,0.01400338,0.06247272,1.44190494,0.97946320,0.00982517,2.46462719,0.48563855,0.34836616
-5.53776888,3.65107895,0.01327087,0.06427946,1.45379724,1.02483037,0.01057013,2.51733267,0.48022160,0.35542162
-5.53176588,3.73971581,0.01257395,0.06593596,1.46606561,1.07145152,0.01132456,2.57134613,0.47540706,0.36221927
-5.52576288,3.82973235,0.01192222,0.06741795,1.47867924,1.11906498,0.01207962,2.62639926,0.47129994,0.36870653
-5.51975988,3.92040200,0.01132334,0.06870108,1.49149599,1.16734245,0.01282563,2.68204345,0.46795328,0.37481429
-5.51375688,4.01076180,0.01078290,0.06976161,1.50426887,1.21589234,0.01355223,2.73765987,0.46536876,0.38045870
-5.50775388,4.09963724,0.01030445,0.07057725,1.51665728,1.26426515,0.01424864,2.79247690,0.46349931,0.38554388
-5.50175088,4.18567579,0.00988958,0.07112798,1.52824245,1.31196070,0.01490391,2.84559377,0.46225368,0.38996526
-5.49574787,4.26738727,0.00953800,0.07139677,1.53854604,1.35843685,0.01550718,2.89600928,0.46150238,0.39361345
-5.48974487,4.34318921,0.00924774,0.07137042,1.54705094,1.40311961,0.01604799,2.94265404,0.46108479,0.39637854
-5.48374187,4.41145512,0.00901531,0.07104004,1.55322311,1.44541414,0.01651657,2.98442489,0.46081710,0.39815432
-5.47773887,4.47056374,0.00883597,0.07040163,1.55653348,1.48471654,0.01690413,3.02021989,0.46050050,0.39884251
-5.47173587,4.51894726,0.00870387,0.06945633,1.55647887,1.52042602,0.01720307,3.04897270,0.45992944,0.39835668
-5.46573287,4.55513712,0.00861237,0.06821056,1.55260111,1.55195736,0.01740728,3.06968489,0.45889956,0.39662566
-5.45972986,4.57780573,0.00855419,0.06667595,1.54450372,1.57875323,0.01751228,3.08145540,0.45721498,0.39359634
