energy_ev,total_up,Ga_p_up,Ga_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,3.55541790,0.21796384,0.00000000,2.17150075,1.02825730,0.01197433,0.24133020
-5.99399700,3.50664751,0.21467116,0.00000000,2.16453066,1.01078066,0.01210035,0.22802214
-5.98799400,3.45184616,0.21084979,0.00000000,2.15206012,0.99195743,0.01220267,0.21579455
-5.98199100,3.39048620,0.20650518,0.00000000,2.13371998,0.97161774,0.01227655,0.20443112
-5.97598799,3.32215086,0.20164647,0.00000000,2.10920631,0.94962533,0.01231767,0.19375765
-5.96998499,3.24655270,0.19628711,0.00000000,2.07829649,0.92588267,0.01232238,0.18363908
-5.96398199,3.16355036,0.19044543,0.00000000,2.04086415,0.90033568,0.01228789,0.17397613
-5.95797899,3.07316297,0.18414509,0.00000000,1.99689239,0.87297771,0.01221253,0.16470191
-5.95197599,2.97558144,0.17741541,0.00000000,1.94648446,0.84385275,0.01209590,0.15577860
-5.94597299,2.87117606,0.17029164,0.00000000,1.88987134,0.81305752,0.01193901,0.14719446
-5.93996998,2.76049963,0.16281491,0.00000000,1.82741556,0.78074251,0.01174442,0.13896107
-5.93396698,2.64428583,0.15503210,0.00000000,1.75961089,0.74711162,0.01151625,0.13111107
-5.92796398,2.52344223,0.14699542,0.00000000,1.68707775,0.71242043,0.01126021,0.12369620
-5.92196098,2.39903816,0.13876180,0.00000000,1.61055411,0.67697313,0.01098351,0.11678569
-5.91595798,2.27228731,0.13039207,0.00000000,1.53088223,0.64111786,0.01069479,0.11046497
-5.90995498,2.14452559,0.12194991,0.00000000,1.44899151,0.60524094,0.01040393,0.10483446
-5.90395198,2.01718475,0.11350066,0.00000000,1.36587812,0.56975974,0.01012186,0.10000853
-5.89794897,1.89176267,0.10511008,0.00000000,1.28258214,0.53511468,0.00986031,0.09611439
-5.89194597,1.76979124,0.09684288,0.00000000,1.20016295,0.50176039,0.00963152,0.09329073
-5.88594297,1.65280272,0.08876145,0.00000000,1.11967403,0.47015640,0.00944797,0.09168620
-5.87993997,1.54229594,0.08092444,0.00000000,1.04213793,0.44075751,0.00932203,0.09145736
-5.87393697,1.43970305,0.07338563,0.00000000,0.96852237,0.41400414,0.00926563,0.09276619
-5.86793397,1.34635801,0.06619282,0.00000000,0.89971831,0.39031294,0.00928998,0.09577692
-5.86193097,1.26346746,0.05938698,0.00000000,0.83652069,0.37006770,0.00940522,0.10065226
-5.85592796,1.19208472,0.05300163,0.00000000,0.77961227,0.35361083,0.00962013,0.10754886
-5.84992496,1.13308730,0.04706247,0.00000000,0.72955105,0.34123555,0.00994188,0.11661214
-5.84392196,1.08715832,0.04158723,0.00000000,0.68676136,0.33317879,0.01037579,0.12797041
-5.83791896,1.05477185,0.03658575,0.00000000,0.65152861,0.32961492,0.01092511,0.14172847
-5.83191596,1.03618232,0.03206038,0.00000000,0.62399767,0.33065040,0.01159092,0.15796091
-5.82591296,1.03141790,0.02800642,0.00000000,0.60417445,0.33631932,0.01237192,0.17670512
-5.81990995,1.04027766,0.02441285,0.00000000,0.59193047,0.34658003,0.01326448,0.19795458
-5.81390695,1.06233261,0.02126307,0.00000000,0.58700990,0.36131280,0.01426254,0.22165246
-5.80790395,1.09693023,0.01853577,0.00000000,0.58903874,0.38031870,0.01535768,0.24768607
-5.80190095,1.14320276,0.01620581,0.00000000,0.59753564,0.40331984,0.01653919,0.27588247
-5.79589795,1.20007902,0.01424510,0.00000000,0.61192398,0.42996111,0.01779423,0.30600565
-5.78989495,1.26629989,0.01262345,0.00000000,0.63154495,0.45981348,0.01910797,0.33775551
-5.78389195,1.34043745,0.01130931,0.00000000,0.65567127,0.49237919,0.02046384,0.37076909
-5.77788894,1.42091793,0.01027054,0.00000000,0.68352135,0.52709877,0.02184379,0.40462419
-5.77188594,1.50604833,0.00947494,0.00000000,0.71427374,0.56336005,0.02322863,0.43884545
-5.76588294,1.59404661,0.00889085,0.00000000,0.74708180,0.60050913,0.02459829,0.47291303
-5.75987994,1.68307535,0.00848752,0.00000000,0.78108836,0.63786328,0.02593227,0.50627364
-5.75387694,1.77127823,0.00823552,0.00000000,0.81544050,0.67472553,0.02720996,0.53835374
-5.74787394,1.85681896,0.00810696,0.00000000,0.84930413,0.71040062,0.02841111,0.56857443
-5.74187094,1.93792163,0.00807571,0.00000000,0.88187850,0.74421206,0.02951616,0.59636762
-5.73586793,2.01291166,0.00811759,0.00000000,0.91241023,0.77551964,0.03050671,0.62119277
-5.72986493,2.08025599,0.00821045,0.00000000,0.94020695,0.80373689,0.03136589,0.64255358
-5.72386193,2.13860136,0.00833427,0.00000000,0.96465006,0.82834785,0.03207873,0.66001386
-5.71785893,2.18680910,0.00847118,0.00000000,0.98520643,0.84892243,0.03263251,0.67321186
-5.71185593,2.22398522,0.00860555,0.00000000,1.00143872,0.86512967,0.03301705,0.68187242
-5.70585293,2.24950426,0.00872393,0.00000000,1.01301386,0.87674830,0.03322497,0.68581638
-5.69984992,2.26302588,0.00881512,0.00000000,1.01970946,0.88367408,0.03325189,0.68496666
-5.69384692,2.26450311,0.00887007,0.00000000,1.02141765,0.88592329,0.03309653,0.67935087
-5.68784392,2.25418157,0.00888187,0.00000000,1.01814617,0.88363226,0.03276077,0.66910020
-5.68184092,2.23258939,0.00884570,0.00000000,1.01001647,0.87705275,0.03224964,0.65444461
-5.67583792,2.20051788,0.00875869,0.00000000,0.99725856,0.86654306,0.03157115,0.63570469
-5.66983492,2.15899328,0.00861982,0.00000000,0.98020278,0.85255536,0.03073616,0.61328040
-5.66383192,2.10924062,0.00842977,0.00000000,0.95926845,0.83561947,0.02975808,0.58763733
-5.65782891,2.05264081,0.00819077,0.00000000,0.93494981,0.81632370,0.02865254,0.55929109
-5.65182591,1.99068259,0.00790638,0.00000000,0.90779950,0.79529362,0.02743700,0.52879055
-5.64582291,1.92491113,0.00758130,0.00000000,0.87841023,0.77316936,0.02613027,0.49670063
-5.63981991,1.85687534,0.00722113,0.00000000,0.84739522,0.75058265,0.02475207,0.46358543
-5.63381691,1.78807594,0.00683220,0.00000000,0.81536819,0.72813432,0.02332255,0.42999236
-5.62781391,1.71991643,0.00642129,0.00000000,0.78292359,0.70637331,0.02186174,0.39643781
-5.62181091,1.65365893,0.00599546,0.00000000,0.75061796,0.68577812,0.02038915,0.36339500
-5.61580790,1.59038662,0.00556185,0.00000000,0.71895315,0.66674133,0.01892328,0.33128415
-5.60980490,1.53097427,0.00512756,0.00000000,0.68836195,0.64955796,0.01748128,0.30046534
-5.60380190,1.47606801,0.00469947,0.00000000,0.65919696,0.63441808,0.01607862,0.27123417
-5.59779890,1.42607498,0.00428418,0.00000000,0.63172290,0.62140402,0.01472884,0.24381999
-5.59179590,1.38116309,0.00388800,0.00000000,0.60611272,0.61049211,0.01344344,0.21838669
