energy_ev,total_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-2.89644822,1.04469893,0.03812438,0.15307464,0.41231548,0.05114845,0.08257228,0.64378502,0.01066942,0.03049951
-2.89044522,1.12702863,0.04068221,0.16133524,0.43189409,0.05402963,0.08246818,0.70503739,0.01195130,0.03219179
-2.88444222,1.21861574,0.04319971,0.16963913,0.45196045,0.05695163,0.08292132,0.77526752,0.01337874,0.03417837
-2.87843922,1.31942442,0.04565518,0.17791819,0.47233485,0.05989274,0.08394959,0.85460697,0.01495510,0.03646375
-2.87243622,1.42928169,0.04802972,0.18610487,0.49282413,0.06283156,0.08556013,0.94304728,0.01668235,0.03904789
-2.86643322,1.54786175,0.05030781,0.19413419,0.51322645,0.06574758,0.08774900,1.04041967,0.01856072,0.04192565
-2.86043022,1.67467156,0.05247774,0.20194547,0.53333617,0.06862160,0.09050099,1.14637671,0.02058836,0.04508633
-2.85442721,1.80903807,0.05453179,0.20948369,0.55294831,0.07143609,0.09378973,1.26037675,0.02276097,0.04851331
-2.84842421,1.95009822,0.05646613,0.21670040,0.57186271,0.07417533,0.09757783,1.38167235,0.02507145,0.05218372
-2.84242121,2.09679226,0.05828062,0.22355420,0.58988740,0.07682538,0.10181727,1.50930344,0.02750957,0.05606826
-2.83641821,2.24786170,0.05997823,0.23001054,0.60684121,0.07937393,0.10644994,1.64209646,0.03006173,0.06013117
-2.83041521,2.40185233,0.06156438,0.23604111,0.62255560,0.08180997,0.11140824,1.77866996,0.03271072,0.06433036
-2.82441221,2.55712357,0.06304606,0.24162278,0.63687566,0.08412327,0.11661599,1.91744758,0.03543564,0.06861768
-2.81840920,2.71186444,0.06443078,0.24673613,0.64966040,0.08630391,0.12198935,2.05667846,0.03821189,0.07293949
-2.81240620,2.86411678,0.06572564,0.25136375,0.66078247,0.08834161,0.12743808,2.19446539,0.04101128,0.07723737
-2.80640320,3.01180577,0.06693619,0.25548854,0.67012755,0.09022524,0.13286687,2.32880022,0.04380230,0.08144904
-2.80040020,3.15277753,0.06806557,0.25909195,0.67759356,0.09194224,0.13817690,2.45760594,0.04655055,0.08550959
-2.79439720,3.28484330,0.06911368,0.26215258,0.68308990,0.09347830,0.14326766,2.57878440,0.04921930,0.08935274
-2.78839420,3.40582899,0.07007659,0.26464511,0.68653698,0.09481712,0.14803880,2.69026824,0.05177013,0.09291243
-2.78239120,3.51362898,0.07094624,0.26653970,0.68786618,0.09594043,0.15239229,2.79007538,0.05416387,0.09612440
-2.77638819,3.60626221,0.07171039,0.26780202,0.68702033,0.09682818,0.15623451,2.87636416,0.05636145,0.09892792
-2.77038519,3.68192874,0.07235284,0.26839386,0.68395478,0.09745904,0.15947858,2.94748693,0.05832494,0.10126747
-2.76438219,3.73906440,0.07285403,0.26827440,0.67863902,0.09781101,0.16204649,3.00204007,0.06001865,0.10309443
-2.75837919,3.77639145,0.07319181,0.26740200,0.67105890,0.09786233,0.16387123,3.03890837,0.06141016,0.10436860
-2.75237619,3.79296289,0.07334250,0.26573654,0.66121906,0.09759245,0.16489880,3.05730164,0.06247132,0.10505952
-2.74637319,3.78819839,0.07328211,0.26324199,0.64914569,0.09698315,0.16508980,3.05678225,0.06317928,0.10514763
-2.74037019,3.76191011,0.07298760,0.25988928,0.63488914,0.09601962,0.16442089,3.03728197,0.06351719,0.10462501
-2.73436718,3.71431696,0.07243822,0.25565907,0.61852631,0.09469159,0.16288569,2.99910751,0.06347495,0.10349589
-2.72836418,3.64604658,0.07161682,0.25054440,0.60016246,0.09299426,0.16049530,2.94293440,0.06304961,0.10177671
-2.72236118,3.55812454,0.07051090,0.24455299,0.57993236,0.09092909,0.15727837,2.86978927,0.06224561,0.09949588
-2.71635818,3.45195110,0.06911365,0.23770894,0.55800048,0.08850442,0.15328055,2.78102138,0.06107475,0.09669308
-2.71035518,3.32926628,0.06742455,0.23005393,0.53456014,0.08573571,0.14856355,2.67826444,0.05955601,0.09341830
-2.70435218,3.19210472,0.06544985,0.22164757,0.50983162,0.08264560,0.14320368,2.56339036,0.05771498,0.08973053
-2.69834917,3.04274186,0.06320262,0.21256701,0.48405909,0.07926362,0.13728994,2.43845681,0.05558326,0.08569616
-2.69234617,2.88363374,0.06070256,0.20290585,0.45750655,0.07562561,0.13092175,2.30565071,0.05319750,0.08138722
-2.68634317,2.71735280,0.05797549,0.19277222,0.43045285,0.07177294,0.12420648,2.16722976,0.05059844,0.07687949
-2.68034017,2.54652195,0.05505258,0.18228627,0.40318594,0.06775138,0.11725664,2.02546430,0.04782971,0.07225054
-2.67433717,2.37374951,0.05196938,0.17157715,0.37599673,0.06360996,0.11018708,1.88258155,0.04493672,0.06757773
-2.66833417,2.20156715,0.04876464,0.16077957,0.34917248,0.05939958,0.10311213,1.74071394,0.04196537,0.06293637
-2.66233117,2.03237296,0.04547913,0.15003016,0.32299040,0.05517168,0.09614287,1.60185320,0.03896095,0.05839796
-2.65632816,1.86838120,0.04215427,0.13946376,0.29771129,0.05097681,0.08938455,1.46781135,0.03596701,0.05402858
-2.65032516,1.71158010,0.03883096,0.12920981,0.27357380,0.04686340,0.08293420,1.34018934,0.03302441,0.04988760
-2.64432216,1.56369843,0.03554835,0.11938898,0.25078928,0.04287653,0.07687864,1.22035380,0.03017044,0.04602652
-2.63831916,1.42618140,0.03234282,0.11011021,0.22953749,0.03905693,0.07129277,1.10942190,0.02743820,0.04248818
-2.63231616,1.30017579,0.02924710,0.10146812,0.20996333,0.03544020,0.06623821,1.00825416,0.02485608,0.03930613
-2.62631316,1.18652403,0.02628956,0.09354108,0.19217450,0.03205614,0.06176240,0.91745443,0.02244745,0.03650441
-2.62031016,1.08576656,0.02349377,0.08638980,0.17624037,0.02892844,0.05789805,0.83737657,0.02023051,0.03409742
-2.61430715,0.99815169,0.02087821,0.08005651,0.16219181,0.02607446,0.05466295,0.76813673,0.01821832,0.03209014
-2.60830415,0.92365190,0.01845622,0.07456479,0.15002209,0.02350529,0.05206017,0.70963034,0.01641897,0.03047850
-2.60230115,0.86198552,0.01623610,0.06991989,0.13968877,0.02122600,0.05007859,0.66155286,0.01483586,0.02925002
-2.59629815,0.81264278,0.01422139,0.06610964,0.13111634,0.01923597,0.04869374,0.62342331,0.01346809,0.02838447
-2.59029515,0.77491506,0.01241130,0.06310572,0.12419965,0.01752944,0.04786895,0.59460982,0.01231095,0.02785484
-2.58429215,0.74792657,0.01080119,0.06086538,0.11880798,0.01609611,0.04755668,0.57435628,0.01135639,0.02762828
-2.57828914,0.73066730,0.00938317,0.05933342,0.11478949,0.01492178,0.04770009,0.56180961,0.01059365,0.02766722
-2.57228614,0.72202677,0.00814670,0.05844444,0.11197611,0.01398908,0.04823488,0.55604690,0.01000974,0.02793049
-2.56628314,0.72082767,0.00707921,0.05812517,0.11018852,0.01327821,0.04909109,0.55610217,0.00959003,0.02837458
-2.56028014,0.72585889,0.00616675,0.05829698,0.10924134,0.01276757,0.05019519,0.56099221,0.00931878,0.02895479
-2.55427714,0.73590744,0.00539448,0.05887835,0.10894814,0.01243455,0.05147206,0.56974114,0.00917965,0.02962651
-2.54827414,0.74978867,0.00474730,0.05978732,0.10912640,0.01225608,0.05284714,0.58140353,0.00915616,0.03034638
-2.54227114,0.76637445,0.00421022,0.06094386,0.10960211,0.01220928,0.05424842,0.59508561,0.00923211,0.03107348
-2.53626813,0.78461884,0.00376885,0.06227206,0.11021408,0.01227196,0.05560842,0.60996442,0.00939198,0.03177036
-2.53026513,0.80358090,0.00340964,0.06370226,0.11081772,0.01242315,0.05686600,0.62530460,0.00962124,0.03240405
-2.52426213,0.82244418,0.00312023,0.06517284,0.11128836,0.01264351,0.05796800,0.64047245,0.00990663,0.03294691
-2.51825913,0.84053267,0.00288962,0.06663184,0.11152394,0.01291573,0.05887066,0.65494722,0.01023644,0.03337736
-2.51225613,0.85732294,0.00270831,0.06803832,0.11144710,0.01322480,0.05954071,0.66832927,0.01060066,0.03368041
-2.50625313,0.87245214,0.00256845,0.06936346,0.11100655,0.01355835,0.05995618,0.68034506,0.01099112,0.03384806
-2.50025013,0.88572202,0.00246382,0.07059127,0.11017791,0.01390685,0.06010691,0.69084883,0.01140160,0.03387949
-2.49424712,0.89709869,0.00238993,0.07171915,0.10896374,0.01426379,0.05999461,0.69982119,0.01182788,0.03378106
-2.48824412,0.90670855,0.00234398,0.07275799,0.10739313,0.01462577,0.05963264,0.70736449,0.01226770,0.03356614
-2.48224112,0.91483041,0.00232483,0.07373211,0.10552061,0.01499266,0.05904542,0.71369547,0.01272072,0.03325472
-2.47623812,0.92188435,0.00233296,0.07467884,0.10342461,0.01536752,0.05826751,0.71913537,0.01318843,0.03287296
-2.47023512,0.92841761,0.00237040,0.07564779,0.10120550,0.01575668,0.05734244,0.72409799,0.01367399,0.03245246
-2.46423212,0.93508831,0.00244065,0.07669992,0.09898331,0.01616954,0.05632127,0.72907617,0.01418204,0.03202953
-2.45822911,0.94264731,0.00254861,0.07790633,0.09689515,0.01661852,0.05526104,0.73462721,0.01471846,0.03164433
-2.45222611,0.95191897,0.00270044,0.07934686,0.09509244,0.01711878,0.05422301,0.74135773,0.01529014,0.03133993
-2.44622311,0.96378137,0.00290346,0.08110841,0.09373808,0.01768795,0.05327096,0.74990853,0.01590467,0.03116142
-2.44022011,0.97914646,0.00316597,0.08328314,0.09300343,0.01834581,0.05246947,0.76093973,0.01657003,0.03115491
-2.43421711,0.99894057,0.00349714,0.08596651,0.09306538,0.01911382,0.05188226,0.77511679,0.01729430,0.03136662
-2.42821411,1.02408566,0.00390673,0.08925511,0.09410328,0.02001464,0.05157069,0.79309743,0.01808533,0.03184203
-2.42221111,1.05548154,0.00440491,0.09324445,0.09629592,0.02107159,0.05159246,0.81551975,0.01895042,0.03262503
-2.41620810,1.09398911,0.00500196,0.09802661,0.09981847,0.02230799,0.05200045,0.84299167,0.01989604,0.03375715
-2.41020510,1.14041480,0.00570800,0.10368780,0.10483932,0.02374645,0.05284190,0.87608150,0.02092751,0.03527691
-2.40420210,1.19549616,0.00653260,0.11030587,0.11151695,0.02540817,0.05415772,0.91530974,0.02204882,0.03721917
-2.39819910,1.25988842,0.00748442,0.11794789,0.11999663,0.02731216,0.05598215,0.96114191,0.02326230,0.03961458
-2.39219610,1.33415229,0.00857082,0.12666762,0.13040711,0.02947443,0.05834256,1.01398231,0.02456853,0.04248914
-2.38619310,1.41874264,0.00979742,0.13650318,0.14285720,0.03190717,0.06125952,1.07416860,0.02596612,0.04586370
-2.38019010,1.51399832,0.01116768,0.14747476,0.15743233,0.03461808,0.06474706,1.14196706,0.02745159,0.04975365
-2.37418709,1.62013330,0.01268246,0.15958259,0.17419115,0.03760957,0.06881303,1.21756863,0.02901934,0.05416857
