energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,8.31853658,0.00162287,1.23756672,2.68840843,4.87783040,0.04050118,1.61212689
-5.99399700,8.51513604,0.00159747,1.27331645,2.74969602,5.00179377,0.04168495,1.64005016
-5.98799400,8.70472319,0.00158615,1.31091787,2.81072219,5.12458354,0.04308815,1.66228225
-5.98199100,8.88854687,0.00158929,1.35054880,2.87148382,5.24719010,0.04469420,1.67905958
-5.97598799,9.06840669,0.00160754,1.39242434,2.93219174,5.37086893,0.04648487,1.69079704
-5.96998499,9.24652917,0.00164190,1.43677467,2.99323757,5.49705995,0.04843998,1.69806985
-5.96398199,9.42541830,0.00169367,1.48382019,3.05515171,5.62729289,0.05053707,1.70158859
-5.95797899,9.60768870,0.00176448,1.53374543,3.11855491,5.76308392,0.05275121,1.70216855
-5.95197599,9.79589079,0.00185624,1.58667334,3.18410643,5.90582922,0.05505481,1.70069507
-5.94597299,9.99233767,0.00197115,1.64264155,3.25245167,6.05670154,0.05741766,1.69808640
-5.93996998,10.19894375,0.00211160,1.70158216,3.32417237,6.21655576,0.05980706,1.69525601
-5.93396698,10.41708404,0.00228018,1.76330641,3.39974219,6.38584880,0.06218819,1.69307619
-5.92796398,10.64748202,0.00247957,1.82749523,3.47949003,6.56457862,0.06452467,1.69234447
-5.92196098,10.89013213,0.00271246,1.89369660,3.56357295,6.75224580,0.06677933,1.69375443
-5.91595798,11.14426065,0.00298149,1.96132984,3.65196006,6.94783984,0.06891510,1.69787210
-5.90995498,11.40832674,0.00328915,2.02969687,3.74442761,7.14985080,0.07089615,1.70511863
-5.90395198,11.68006252,0.00363767,2.09799990,3.84056547,7.35630574,0.07268895,1.71575992
-5.89794897,11.95654930,0.00402890,2.16536461,3.93979378,7.56482740,0.07426354,1.72990306
-5.89194597,12.23432475,0.00446428,2.23086768,4.04138863,7.77271197,0.07559464,1.74749951
-5.88594297,12.50951426,0.00494462,2.29356704,4.14451473,7.97702150,0.07666268,1.76835431
-5.87993997,12.77797897,0.00547012,2.35253345,4.24826299,8.17468572,0.07745470,1.79214060
-5.87393697,13.03547192,0.00604023,2.40688157,4.35169074,8.36260820,0.07796498,1.81841845
-5.86793397,13.27779430,0.00665359,2.45579907,4.45386240,8.53777121,0.07819539,1.84665681
-5.86193097,13.50094407,0.00730797,2.49857227,4.55388845,8.69733469,0.07815547,1.87625762
-5.85592796,13.70125035,0.00800030,2.53460730,4.65096122,8.83872476,0.07786214,1.90658077
-5.84992496,13.87548825,0.00872661,2.56344584,4.74438592,8.95970855,0.07733915,1.93696911
-5.84392196,14.02097049,0.00948211,2.58477509,4.83360626,9.05845299,0.07661619,1.96677244
-5.83791896,14.13561374,0.01026124,2.59843170,4.91822401,9.13356621,0.07572777,1.99536981
-5.83191596,14.21797922,0.01105775,2.60440015,4.99801245,9.18412127,0.07471189,2.02218956
-5.82591296,14.26728846,0.01186487,2.60280586,5.07292403,9.20966310,0.07360864,2.04672647
-5.81990995,14.28341650,0.01267539,2.59390409,5.14309240,9.21019995,0.07245865,2.06855595
-5.81390695,14.26686526,0.01348188,2.57806534,5.20882960,9.18618147,0.07130162,2.08734482
