energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
4.74537269,0.38105286,-0.82910626,0.31559505,-1.10858149,0.02180353,-0.06081806,0.00941651,-0.03811751,0.02367824,-0.04232213,0.04300492,-0.08228000,0.04046421,-0.02852382
4.75137569,0.37115074,-0.84517708,0.30353986,-1.12878717,0.02078392,-0.06310320,0.00951214,-0.03882935,0.02472423,-0.04283897,0.04324857,-0.08200329,0.04113419,-0.02944477
4.75737869,0.36320602,-0.85839160,0.29460400,-1.14506261,0.01990314,-0.06523993,0.00989988,-0.03939935,0.02581225,-0.04320238,0.04342865,-0.08137338,0.04186129,-0.03034048
4.76338169,0.35704091,-0.86855809,0.28865968,-1.15719006,0.01915176,-0.06718979,0.01059155,-0.03982089,0.02694028,-0.04340741,0.04351255,-0.08040613,0.04264207,-0.03118463
4.76938469,0.35249726,-0.87550717,0.28559269,-1.16498001,0.01852029,-0.06891552,0.01159924,-0.04008818,0.02810990,-0.04345045,0.04347369,-0.07912086,0.04347616,-0.03195292
4.77538769,0.34944159,-0.87909424,0.28530472,-1.16827384,0.01799968,-0.07038185,0.01293481,-0.04019646,0.02932605,-0.04332922,0.04329210,-0.07753955,0.04436644,-0.03262314
4.78139070,0.34776802,-0.87920286,0.28771358,-1.16694764,0.01758158,-0.07155629,0.01460925,-0.04014209,0.03059666,-0.04304273,0.04295468,-0.07568609,0.04531902,-0.03317542
4.78739370,0.34739879,-0.87574919,0.29275123,-1.16091736,0.01725863,-0.07241004,0.01663193,-0.03992281,0.03193199,-0.04259129,0.04245534,-0.07358571,0.04634285,-0.03359246
4.79339670,0.34828250,-0.86868697,0.30035988,-1.15014468,0.01702449,-0.07291891,0.01900963,-0.03953793,0.03334382,-0.04197662,0.04179474,-0.07126441,0.04744911,-0.03385988
4.79939970,0.35039020,-0.85801281,0.31048622,-1.13464338,0.01687384,-0.07306425,0.02174564,-0.03898855,0.03484451,-0.04120191,0.04097987,-0.06874861,0.04865032,-0.03396652
4.80540270,0.35370947,-0.84377149,0.32307421,-1.11448562,0.01680222,-0.07283381,0.02483865,-0.03827780,0.03644589,-0.04027197,0.04002343,-0.06606480,0.04995926,-0.03390476
4.81140570,0.35823719,-0.82606065,0.33805693,-1.08980757,0.01680583,-0.07222244,0.02828179,-0.03741103,0.03815811,-0.03919332,0.03894297,-0.06323944,0.05138767,-0.03367083
4.81740870,0.36397121,-0.80503450,0.35534790,-1.06081388,0.01688120,-0.07123264,0.03206165,-0.03639595,0.03998844,-0.03797430,0.03775995,-0.06029882,0.05294496,-0.03326501
4.82341171,0.37090162,-0.78090634,0.37483258,-1.02778043,0.01702483,-0.06987489,0.03615744,-0.03524272,0.04194018,-0.03662511,0.03649869,-0.05726904,0.05463682,-0.03269178
