energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-5.64582291,4.32775791,0.21227497,0.00506915,2.20530189,1.94695293,0.02238175,2.53096736
-5.63981991,4.48334183,0.22453432,0.00534332,2.29260466,2.02199599,0.02386733,2.60089600
-5.63381691,4.63818307,0.23654852,0.00561443,2.38108883,2.09669648,0.02532694,2.67101033
-5.62781391,4.79095328,0.24813901,0.00587861,2.47031162,2.17051088,0.02673785,2.74104355
-5.62181091,4.94017877,0.25911933,0.00613169,2.55976973,2.24286110,0.02807646,2.81065875
-5.61580790,5.08429578,0.26930034,0.00636935,2.64892074,2.31315828,0.02931889,2.87946985
-5.60980490,5.22171414,0.27849603,0.00658724,2.73720716,2.38082848,0.03044175,2.94706619
-5.60380190,5.35088567,0.28652964,0.00678112,2.82408151,2.44533869,0.03142289,3.01303897
-5.59779890,5.47037361,0.29323994,0.00694703,2.90903077,2.50622137,0.03224215,3.07700765
-5.59179590,5.57891898,0.29848719,0.00708143,2.99159848,2.56309619,0.03288209,3.13864445
-5.58579290,5.67550031,0.30215877,0.00718137,3.07140318,2.61568745,0.03332866,3.19769535
-5.57978989,5.75938338,0.30417398,0.00724455,3.14815199,2.66383619,0.03357173,3.25399609
-5.57378689,5.83015844,0.30448794,0.00726951,3.22164863,2.70750626,0.03360555,3.30748244
-5.56778389,5.88776296,0.30309431,0.00725566,3.29179544,2.74678414,0.03342902,3.35819404
-5.56178089,5.93248917,0.30002667,0.00720335,3.35858984,2.78187251,0.03304583,3.40627207
-5.55577789,5.96497633,0.29535862,0.00711386,3.42211535,2.81307837,0.03246443,3.45195100
-5.54977489,5.98618862,0.28920231,0.00698943,3.48252857,2.84079630,0.03169778,3.49554551
-5.54377189,5.99738039,0.28170576,0.00683318,3.54004289,2.86548833,0.03076307,3.53743366
-5.53776888,6.00005101,0.27304881,0.00664902,3.59491059,2.88766158,0.02968114,3.57803766
-5.53176588,5.99589193,0.26343802,0.00644157,3.64740440,2.90784499,0.02847592,3.61780374
-5.52576288,5.98672880,0.25310063,0.00621601,3.69780011,2.92656673,0.02717371,3.65718238
-5.51975988,5.97446150,0.24227789,0.00597793,3.74636086,2.94433315,0.02580242,3.69661007
-5.51375688,5.96100450,0.23121800,0.00573319,3.79332428,2.96161034,0.02439079,3.73649332
-5.50775388,5.94822983,0.22016883,0.00548774,3.83889260,2.97880891,0.02296759,3.77719556
-5.50175088,5.93791430,0.20937092,0.00524744,3.88322585,2.99627228,0.02156090,3.81902685
-5.49574787,5.93169212,0.19905074,0.00501796,3.92643791,3.01426845,0.02019744,3.86223635
-5.48974487,5.93101362,0.18941459,0.00480456,3.96859484,3.03298502,0.01890190,3.90700692
-5.48374187,5.93711030,0.18064337,0.00461203,4.00971469,3.05252700,0.01769653,3.95345122
-5.47773887,5.95096616,0.17288821,0.00444453,4.04976817,3.07291682,0.01660066,4.00160862
-5.47173587,5.97329496,0.16626720,0.00430555,4.08867925,3.09409595,0.01563048,4.05144214
-5.46573287,6.00452328,0.16086328,0.00419780,4.12632532,3.11592763,0.01479883,4.10283504
-5.45972986,6.04477897,0.15672326,0.00412318,4.16253646,3.13820020,0.01411515,4.15558676
-5.45372686,6.09388503,0.15385793,0.00408278,4.19709393,3.16063104,0.01358551,4.20940831
-5.44772386,6.15135916,0.15224338,0.00407688,4.22972817,3.18287084,0.01321272,4.26391755
-5.44172086,6.21641931,0.15182316,0.00410493,4.26011697,3.20450864,0.01299653,4.31863520
-5.43571786,6.28799580,0.15251148,0.00416566,4.28788475,3.22507792,0.01293383,4.37298245
-5.42971486,6.36475081,0.15419704,0.00425709,4.31260385,3.24406415,0.01301898,4.42628155
-5.42371186,6.44510586,0.15674753,0.00437661,4.33379911,3.26091453,0.01324406,4.47776037
-5.41770885,6.52727770,0.16001453,0.00452107,4.35095647,3.27505006,0.01359923,4.52656218
-5.41170585,6.60932282,0.16383869,0.00468688,4.36353635,3.28588053,0.01407301,4.57176136
-5.40570285,6.68919033,0.16805497,0.00487011,4.37099222,3.29282244,0.01465259,4.61238550
-5.39969985,6.76478219,0.17249785,0.00506658,4.37279405,3.29531946,0.01532418,4.64744390
-5.39369685,6.83401960,0.17700620,0.00527197,4.36845611,3.29286535,0.01607322,4.67596177
-5.38769385,6.89491320,0.18142789,0.00548197,4.35756798,3.28502812,0.01688473,4.69701905
-5.38169085,6.94563473,0.18562374,0.00569229,4.33982712,3.27147466,0.01774347,4.70979219
-5.37568784,6.98458712,0.18947095,0.00589886,4.31507109,3.25199444,0.01863429,4.71359687
-5.36968484,7.01046961,0.19286574,0.00609784,4.28330725,3.22652097,0.01954226,4.70792921
-5.36368184,7.02233494,0.19572525,0.00628576,4.24473775,3.19514951,0.02045296,4.69250309
-5.35767884,7.01963527,0.19798866,0.00645952,4.19977766,3.15814981,0.02135267,4.66728106
-5.35167584,7.00225420,0.19961752,0.00661649,4.14906448,3.11597267,0.02222860,4.63249676
-5.34567284,6.97052289,0.20059528,0.00675454,4.09345762,3.06924946,0.02306905,4.58866686
-5.33966983,6.92521882,0.20092617,0.00687205,4.03402711,3.01878420,0.02386364,4.53659142
-5.33366683,6.86754670,0.20063347,0.00696791,3.97203129,2.96553795,0.02460350,4.47734181
-5.32766383,6.79910194,0.19975723,0.00704153,3.90888409,2.91060587,0.02528139,4.41223644
-5.32166083,6.72181799,0.19835161,0.00709279,3.84611307,2.85518772,0.02589183,4.34280477
-5.31565783,6.63789959,0.19648198,0.00712204,3.78530988,2.80055278,0.02643123,4.27074107
-5.30965483,6.54974480,0.19422178,0.00713002,3.72807552,2.74800060,0.02689789,4.19784993
