energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.89312244,0.69076956,1.90551804,0.01014694,0.25835179,1.66301746,0.00000000,0.77488614,0.56548662
-5.99399700,3.81496069,0.65027623,1.89647207,0.00978732,0.24470293,1.62353396,0.00000000,0.74662847,0.54796966
-5.98799400,3.73365153,0.61070108,1.88492544,0.00941886,0.23096164,1.58289191,0.00000000,0.71854011,0.53017066
-5.98199100,3.64964928,0.57245405,1.87069948,0.00904481,0.21728007,1.54136752,0.00000000,0.69086484,0.51227261
-5.97598799,3.56337524,0.53590391,1.85362883,0.00866829,0.20380446,1.49921448,0.00000000,0.66382103,0.49444559
-5.96998499,3.47522800,0.50137697,1.83357309,0.00829220,0.19067239,1.45666872,0.00000000,0.63760304,0.47684656
-5.96398199,3.38559891,0.46915768,1.81043000,0.00791921,0.17801066,1.41395529,0.00000000,0.61238429,0.45962019
-5.95797899,3.29489114,0.43949084,1.78414930,0.00755173,0.16593398,1.37129676,0.00000000,0.58832149,0.44290053
-5.95197599,3.20354112,0.41258501,1.75474660,0.00719190,0.15454427,1.32892245,0.00000000,0.56555977,0.42681338
-5.94597299,3.11204042,0.38861685,1.72231629,0.00684166,0.14393054,1.28707781,0.00000000,0.54423821,0.41147909
-5.93996998,3.02095634,0.36773585,1.68704277,0.00650272,0.13416931,1.24603305,0.00000000,0.52449526,0.39701535
-5.93396698,2.93094935,0.35006913,1.64920892,0.00617666,0.12532537,1.20609036,0.00000000,0.50647379,0.38353984
-5.92796398,2.84278561,0.33572584,1.60920120,0.00586495,0.11745274,1.16758907,0.00000000,0.49032504,0.37117226
-5.92196098,2.75734325,0.32480089,1.56751064,0.00556906,0.11059578,1.13090811,0.00000000,0.47621148,0.36003568
-5.91595798,2.67561112,0.31737755,1.52472921,0.00529046,0.10479021,1.09646532,0.00000000,0.46430793,0.35025684
-5.90995498,2.59867933,0.31352897,1.48154134,0.00503071,0.10006401,1.06471354,0.00000000,0.45480105,0.34196529
-5.90395198,2.52772125,0.31331816,1.43871054,0.00479153,0.09643808,1.03613316,0.00000000,0.44788684,0.33529144
-5.89794897,2.46396719,0.31679658,1.39706128,0.00457479,0.09392661,1.01122147,0.00000000,0.44376645,0.33036326
-5.89194597,2.40867042,0.32400142,1.35745656,0.00438258,0.09253713,0.99047891,0.00000000,0.44264012,0.32730202
-5.88594297,2.36306655,0.33495151,1.32077198,0.00421721,0.09227018,0.97439284,0.00000000,0.44469964,0.32621707
-5.87993997,2.32832799,0.34964221,1.28786694,0.00408123,0.09311878,0.96341943,0.00000000,0.45011967,0.32719988
-5.87393697,2.30551512,0.36803957,1.25955432,0.00397739,0.09506752,0.95796433,0.00000000,0.45904805,0.33031780
-5.86793397,2.29552655,0.39007406,1.23656963,0.00390863,0.09809157,0.95836301,0.00000000,0.47159591,0.33560767
-5.86193097,2.29905051,0.41563421,1.21954099,0.00387806,0.10215550,0.96486176,0.00000000,0.48782768,0.34306986
-5.85592796,2.31651995,0.44456072,1.20896120,0.00388885,0.10721220,0.97760003,0.00000000,0.50775174,0.35266291
-5.84992496,2.34807346,0.47664125,1.20516322,0.00394421,0.11320181,0.99659523,0.00000000,0.53131213,0.36429926
-5.84392196,2.39352421,0.51160647,1.20830024,0.00404730,0.12005094,1.02173065,0.00000000,0.55838172,0.37784233
-5.83791896,2.45233884,0.54912767,1.21833130,0.00420108,0.12767212,1.05274727,0.00000000,0.58875736,0.39310525
-5.83191596,2.52362763,0.58881614,1.23501345,0.00440829,0.13596367,1.08924005,0.00000000,0.62215735,0.40985137
-5.82591296,2.60614725,0.63022475,1.25790086,0.00467126,0.14481007,1.13065906,0.00000000,0.65822142,0.42779676
-5.81990995,2.69831644,0.67285172,1.28635145,0.00499180,0.15408275,1.17631580,0.00000000,0.69651351,0.44661466
-5.81390695,2.79824473,0.71614672,1.31954083,0.00537110,0.16364147,1.22539454,0.00000000,0.73652740,0.46594184
-5.80790395,2.90377365,0.75951926,1.35648340,0.00580954,0.17333624,1.27696868,0.00000000,0.77769508,0.48538668
-5.80190095,3.01252933,0.80234913,1.39605997,0.00630660,0.18300972,1.33002161,0.00000000,0.81939778,0.50453880
-5.79589795,3.12198471,0.84399877,1.43705097,0.00686073,0.19250009,1.38347144,0.00000000,0.86097939,0.52297981
-5.78989495,3.22952945,0.88382708,1.47817408,0.00746923,0.20164432,1.43619891,0.00000000,0.90176180,0.54029481
-5.78389195,3.33254475,0.92120434,1.51812491,0.00812816,0.21028169,1.48707745,0.00000000,0.94106176,0.55608434
-5.77788894,3.42848060,0.95552769,1.55561904,0.00883231,0.21825757,1.53500426,0.00000000,0.97820866,0.56997600
-5.77188594,3.51493212,0.98623654,1.58943392,0.00957512,0.22542711,1.57893142,0.00000000,1.01256259,0.58163568
-5.76588294,3.58971226,1.01282757,1.61844877,0.01034877,0.23165902,1.61789567,0.00000000,1.04353205,0.59077753
-5.75987994,3.65091787,1.03486845,1.64168094,0.01114418,0.23683896,1.65104584,0.00000000,1.07059063,0.59717259
-5.75387694,3.69698647,1.05201001,1.65831715,0.01195116,0.24087269,1.67766680,0.00000000,1.09329200,0.60065548
-5.74787394,3.72674147,1.06399617,1.66773852,0.01275856,0.24368869,1.69719903,0.00000000,1.11128263,0.60112913
-5.74187094,3.73942411,1.07067137,1.66953809,0.01355447,0.24524020,1.70925300,0.00000000,1.12431175,0.59856705
-5.73586793,3.73471092,1.07198520,1.66353048,0.01432649,0.24550661,1.71361791,0.00000000,1.13223815,0.59301345
-5.72986493,3.71271613,1.06799387,1.64975324,0.01506204,0.24449411,1.71026444,0.00000000,1.13503345,0.58458083
-5.72386193,3.67397915,1.05885874,1.62845991,0.01574865,0.24223554,1.69934145,0.00000000,1.13278190,0.57344552
-5.71785893,3.61943798,1.04484167,1.60010551,0.01637431,0.23878956,1.68116699,0.00000000,1.12567654,0.55984121
-5.71185593,3.55038972,1.02629760,1.56532502,0.01692782,0.23423899,1.65621394,0.00000000,1.11401196,0.54405070
-5.70585293,3.46844038,1.00366455,1.52490602,0.01739913,0.22868853,1.62509101,0.00000000,1.09817401,0.52639652
