energy_ev,total_up,Co_p_up,Co_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-4.26513257,6.98647292,1.31175598,1.43458774,1.74703551,0.63689858,0.00247726,0.93424367,0.01470623,3.84663630
-4.25912956,7.06971237,1.37028612,1.44606074,1.77279253,0.63345495,0.00265516,0.91963225,0.01495193,3.91242157
-4.25312656,7.13285880,1.42535455,1.45406868,1.79341305,0.62822061,0.00283606,0.90200888,0.01514560,3.96710978
-4.24712356,7.17637802,1.47646890,1.45876104,1.80920804,0.62136057,0.00301881,0.88187167,0.01528757,4.01067976
-4.24112056,7.20101960,1.52320267,1.46031949,1.82063358,0.61305371,0.00320226,0.85976470,0.01537919,4.04327400
-4.23511756,7.20780558,1.56520662,1.45895506,1.82828147,0.60348982,0.00338524,0.83626667,0.01542284,4.06519729
-4.22911456,7.19801483,1.60221791,1.45490547,1.83286593,0.59286682,0.00356656,0.81197900,0.01542193,4.07691232
-4.22311156,7.17316242,1.63406642,1.44843239,1.83520653,0.58138827,0.00374511,0.78751382,0.01538087,4.07903169
-4.21710855,7.13497351,1.66067800,1.43981848,1.83620757,0.56926094,0.00391978,0.76348186,0.01530496,4.07230635
-4.21110555,7.08535153,1.68207411,1.42936413,1.83683422,0.55669243,0.00408954,0.74048056,0.01520037,4.05761000
-4.20510255,7.02634057,1.69836792,1.41738383,1.83808589,0.54388885,0.00425345,0.71908241,0.01507397,4.03591971
-4.19909955,6.96008226,1.70975683,1.40420200,1.84096753,0.53105230,0.00441061,0.69982372,0.01493325,4.00829295
-4.19309655,6.88876791,1.71651175,1.39014854,1.84645946,0.51837824,0.00456022,0.68319400,0.01478611,3.97584151
-4.18709355,6.81458716,1.71896361,1.37555399,1.85548661,0.50605269,0.00470156,0.66962592,0.01464076,3.93970314
-4.18109055,6.73967459,1.71748768,1.36074459,1.86888814,0.49424926,0.00483399,0.65948615,0.01450547,3.90101196
-4.17508754,6.66605635,1.71248663,1.34603747,1.88738851,0.48312612,0.00495695,0.65306724,0.01438843,3.86086865
-4.16908454,6.59559904,1.70437308,1.33173623,1.91157085,0.47282295,0.00506998,0.65058056,0.01429751,3.82031198
-4.16308154,6.52996315,1.69355266,1.31812713,1.94185397,0.46345803,0.00517269,0.65215080,0.01424011,3.78029283
-4.15707854,6.47056337,1.68040850,1.30547630,1.97847383,0.45512559,0.00526482,0.65781197,0.01422298,3.74165215
-4.15107554,6.41853797,1.66528796,1.29402807,2.02147036,0.44789366,0.00534618,0.66750542,0.01425200,3.70510392
-4.14507254,6.37472893,1.64849234,1.28400455,2.07068051,0.44180241,0.00541674,0.68107978,0.01433213,3.67122403
-4.13906953,6.33967417,1.63027009,1.27560669,2.12573800,0.43686330,0.00547658,0.69829338,0.01446721,3.64044577
-4.13306653,6.31361247,1.61081381,1.26901653,2.18608007,0.43305904,0.00552591,0.71881891,0.01465995,3.61306201
-4.12706353,6.29650105,1.59026116,1.26440071,2.25096126,0.43034438,0.00556511,0.74225065,0.01491185,3.58923416
-4.12106053,6.28804511,1.56869944,1.26191483,2.31947396,0.42864795,0.00559471,0.76811409,0.01522317,3.56900697
-4.11505753,6.28773773,1.54617352,1.26170842,2.39057520,0.42787481,0.00561537,0.79587792,0.01559299,3.55232869
-4.10905453,6.29490830,1.52269638,1.26393006,2.46311867,0.42790996,0.00562793,0.82496793,0.01601923,3.53907498
-4.10305153,6.30877663,1.49826166,1.26873222,2.53589108,0.42862243,0.00563331,0.85478270,0.01649877,3.52907526
-4.09704852,6.32851013,1.47285717,1.27627546,2.60765129,0.42986987,0.00563256,0.88471043,0.01702750,3.52213997
-4.09104552,6.35328065,1.44647856,1.28673143,2.67717084,0.43150357,0.00562680,0.91414644,0.01760048,3.51808683
-4.08504252,6.38231827,1.41914211,1.30028448,2.74327433,0.43337344,0.00561715,0.94251064,0.01821205,3.51676480
-4.07903952,6.41495888,1.39089590,1.31713153,2.80487790,0.43533306,0.00560476,0.96926436,0.01885600,3.51807410
-4.07303652,6.45068322,1.36182850,1.33748007,2.86102439,0.43724428,0.00559071,0.99392592,0.01952568,3.52198130
-4.06703352,6.48914525,1.33207475,1.36154418,2.91091370,0.43898146,0.00557597,1.01608409,0.02021416,3.52852844
-4.06103052,6.53018862,1.30181810,1.38953877,2.95392712,0.44043503,0.00556140,1.03540915,0.02091433,3.53783590
-4.05502751,6.57385037,1.27128946,1.42167211,2.98964471,0.44151434,0.00554772,1.05166083,0.02161906,3.55009866
-4.04902451,6.62035181,1.24076260,1.45813700,3.01785490,0.44214965,0.00553544,1.06469293,0.02232126,3.56557644
