energy_ev,total_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,15.44374139,1.63452059,11.56524681,0.02062028,1.50060771,0.08350776,1.87875612
-5.99399700,15.28613481,1.64313056,11.45488743,0.02065736,1.49280490,0.08282235,1.82675883
-5.98799400,15.12294686,1.65465908,11.33730587,0.02067628,1.48409282,0.08236671,1.77469913
-5.98199100,14.95579449,1.66897933,11.21380978,0.02067438,1.47454079,0.08212661,1.72301902
-5.97598799,14.78588951,1.68583747,11.08545211,0.02064877,1.46420055,0.08208495,1.67209665
-5.96998499,14.61397223,1.70486123,10.95297276,0.02059638,1.45309811,0.08222166,1.62223964
-5.96398199,14.44027189,1.72557309,10.81675935,0.02051395,1.44122761,0.08251379,1.57368193
-5.95797899,14.26449670,1.74740736,10.67682981,0.02039808,1.42854767,0.08293571,1.52658401
-5.95197599,14.08585441,1.76973051,10.53283827,0.02024539,1.41498048,0.08345946,1.48103641
-5.94597299,13.90310299,1.79186361,10.38410426,0.02005254,1.40041378,0.08405526,1.43706622
-5.93996998,13.71462898,1.81310611,10.22966406,0.01981644,1.38470566,0.08469217,1.39464600
-5.93396698,13.51854971,1.83275982,10.06834154,0.01953437,1.36769185,0.08533876,1.35370464
-5.92796398,13.31283419,1.85015242,9.89883473,0.01920413,1.34919521,0.08596394,1.31413958
-5.92196098,13.09543627,1.86465934,9.71981360,0.01882420,1.32903674,0.08653775,1.27582968
-5.91595798,12.86443340,1.87572357,9.53002362,0.01839390,1.30704762,0.08703219,1.23864816
-5.90995498,12.61816368,1.88287265,9.32838956,0.01791345,1.28308134,0.08742195,1.20247504
-5.90395198,12.35535421,1.88573252,9.11411395,0.01738410,1.25702547,0.08768514,1.16720856
-5.89794897,12.07523445,1.88403782,8.88676500,0.01680815,1.22881225,0.08780384,1.13277521
-5.89194597,11.77762891,1.87763878,8.64634929,0.01618897,1.19842739,0.08776459,1.09913793
-5.88594297,11.46302508,1.86650451,8.39336568,0.01553099,1.16591667,0.08755871,1.06630241
-5.87993997,11.13261336,1.85072303,8.12883784,0.01483959,1.13138998,0.08718251,1.03432137
-5.87393697,10.78829784,1.83049824,7.85432379,0.01412102,1.09502256,0.08663729,1.00329668
-5.86793397,10.43267766,1.80614418,7.57190243,0.01338228,1.05705336,0.08592932,0.97337951
-5.86193097,10.06900044,1.77807702,7.28413778,0.01263094,1.01778082,0.08506959,0.94476857
-5.85592796,9.70109018,1.74680504,6.99402293,0.01187497,0.97755606,0.08407350,0.91770665
-5.84992496,9.33325321,1.71291717,6.70490625,0.01112260,0.93677397,0.08296047,0.89247554
-5.84392196,8.97016624,1.67707012,6.42040345,0.01038212,0.89586258,0.08175345,0.86938960
-5.83791896,8.61675102,1.63997470,6.14429891,0.00966173,0.85527123,0.08047842,0.84878817
-5.83191596,8.27804049,1.60238131,5.88044035,0.00896939,0.81545793,0.07916374,0.83102691
-5.82591296,7.95904084,1.56506486,5.63263074,0.00831272,0.77687653,0.07783960,0.81646830
-5.81990995,7.66459411,1.52880933,5.40452100,0.00769886,0.73996401,0.07653738,0.80547155
-5.81390695,7.39924517,1.49439198,5.19950702,0.00713443,0.70512851,0.07528903,0.79838186
-5.80790395,7.16711690,1.46256754,5.02063389,0.00662549,0.67273820,0.07412641,0.79551950
-5.80190095,6.97179672,1.43405240,4.87051017,0.00617747,0.64311153,0.07308067,0.79716880
-5.79589795,6.81623717,1.40950918,4.75123414,0.00579519,0.61650897,0.07218170,0.80356731
-5.78989495,6.70267313,1.38953189,4.66433400,0.00548287,0.59312646,0.07145749,0.81489553
-5.78389195,6.63255745,1.37463219,4.61072348,0.00524413,0.57309070,0.07093364,0.83126749
-5.77788894,6.60651698,1.36522703,4.59067384,0.00508201,0.55645639,0.07063289,0.85272261
-5.77188594,6.62433008,1.36162826,4.60380313,0.00499896,0.54320545,0.07057470,0.87921924
-5.76588294,6.68492677,1.36403468,4.64908309,0.00499691,0.53324815,0.07077497,0.91063025
-5.75987994,6.78641189,1.37252687,4.72486374,0.00507722,0.52642631,0.07124577,0.94674105
-5.75387694,6.92611144,1.38706532,4.82891543,0.00524068,0.52251826,0.07199529,0.98725034
-5.74787394,7.10064121,1.40749205,4.95848739,0.00548753,0.52124554,0.07302780,1.03177373
-5.74187094,7.30599668,1.43353588,5.11038161,0.00581735,0.52228125,0.07434381,1.07985034
-5.73586793,7.53766166,1.46482126,5.28104025,0.00622909,0.52525963,0.07594031,1.13095234
-5.72986493,7.79073308,1.50088051,5.46664403,0.00672097,0.52978681,0.07781104,1.18449713
-5.72386193,8.06005784,1.54116898,5.66321876,0.00729045,0.53545220,0.07994702,1.23986183
-5.71785893,8.34037740,1.58508263,5.86674659,0.00793418,0.54184032,0.08233691,1.29639953
-5.71185593,8.62647504,1.63197715,6.07327810,0.00864792,0.54854262,0.08496757,1.35345671
-5.70585293,8.91332017,1.68118803,6.27904126,0.00942650,0.55516882,0.08782454,1.41039101
-5.69984992,9.19620431,1.73205038,6.48054298,0.01026382,0.56135750,0.09089249,1.46658866
-5.69384692,9.47086322,1.78391792,6.67465950,0.01115282,0.56678540,0.09415561,1.52148079
-5.68784392,9.73358020,1.83618009,6.85871178,0.01208548,0.57117523,0.09759792,1.57455777
-5.68184092,9.98126648,1.88827659,7.03052296,0.01305289,0.57430165,0.10120343,1.62538113
-5.67583792,10.21151550,1.93970884,7.18845562,0.01404528,0.57599520,0.10495624,1.67359236
-5.66983492,10.42262903,1.99004789,7.33142734,0.01505218,0.57614416,0.10884047,1.71891836
-5.66383192,10.61361471,2.03893860,7.45890429,0.01606247,0.57469422,0.11284010,1.76117338
-5.65782891,10.78415568,2.08610011,7.57087355,0.01706458,0.57164611,0.11693871,1.80025728
-5.65182591,10.93455447,2.13132273,7.66779573,0.01804671,0.56705146,0.12111917,1.83615062
