energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,1.40858757,0.10924888,0.00203856,0.04915068,0.63291469,0.48985318,0.19959451
-5.99399700,1.38334413,0.10772040,0.00199231,0.04736145,0.62747501,0.47293417,0.19445915
-5.98799400,1.35333015,0.10571865,0.00193757,0.04546051,0.62009288,0.45439362,0.18876318
-5.98199100,1.31892329,0.10326902,0.00187518,0.04347611,0.61082054,0.43450918,0.18257650
-5.97598799,1.28055523,0.10040379,0.00180609,0.04143667,0.59973170,0.41357397,0.17597352
-5.96998499,1.23870095,0.09716125,0.00173134,0.03937014,0.58691991,0.39188873,0.16903123
-5.96398199,1.19386857,0.09358471,0.00165200,0.03730340,0.57249719,0.36975452,0.16182767
-5.95797899,1.14658995,0.08972145,0.00156921,0.03526179,0.55659303,0.34746602,0.15444048
-5.95197599,1.09741203,0.08562171,0.00148411,0.03326876,0.53935355,0.32530574,0.14694577
-5.94597299,1.04688901,0.08133759,0.00139782,0.03134566,0.52094063,0.30353906,0.13941727
-5.93996998,0.99557506,0.07692207,0.00131144,0.02951153,0.50153096,0.28241030,0.13192556
-5.93396698,0.94401756,0.07242799,0.00122603,0.02778307,0.48131478,0.26213962,0.12453756
-5.92796398,0.89275056,0.06790716,0.00114259,0.02617465,0.46049410,0.24292081,0.11731608
-5.92196098,0.84228850,0.06340944,0.00106201,0.02469828,0.43928044,0.22491990,0.11031940
-5.91595798,0.79311988,0.05898201,0.00098512,0.02336368,0.41789189,0.20827433,0.10360098
-5.90995498,0.74570100,0.05466863,0.00091264,0.02217833,0.39654959,0.19309276,0.09720900
-5.90395198,0.70044968,0.05050906,0.00084518,0.02114749,0.37547367,0.17945526,0.09118605
-5.89794897,0.65773916,0.04653858,0.00078324,0.02027420,0.35487869,0.16741396,0.08556867
-5.89194597,0.61789237,0.04278760,0.00072721,0.01955929,0.33496889,0.15699386,0.08038693
-5.88594297,0.58117664,0.03928146,0.00067734,0.01900133,0.31593339,0.14819405,0.07566400
-5.87993997,0.54779930,0.03604027,0.00063378,0.01859658,0.29794157,0.14098903,0.07141580
-5.87393697,0.51790447,0.03307897,0.00059658,0.01833902,0.28113888,0.13533033,0.06765066
-5.86793397,0.49157108,0.03040744,0.00056565,0.01822024,0.26564338,0.13114832,0.06436917
-5.86193097,0.46881263,0.02803082,0.00054084,0.01822953,0.25154306,0.12835435,0.06156415
