energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.13614666,0.30950288,1.15692553,0.11777183,0.76977782,0.00223983,0.02975242,0.00198605,0.15229629
-5.99399700,2.16622379,0.31568851,1.17083452,0.11830066,0.78242124,0.00204484,0.03019058,0.00211234,0.15513649
-5.98799400,2.19555933,0.32177775,1.18483348,0.11906841,0.79398283,0.00188081,0.03068278,0.00225734,0.15793586
-5.98199100,2.22311440,0.32752885,1.19831329,0.11997226,0.80417927,0.00174468,0.03121178,0.00241960,0.16060806
-5.97598799,2.24806041,0.33273527,1.21077153,0.12092538,0.81281196,0.00163325,0.03176395,0.00259771,0.16308073
-5.96998499,2.26979410,0.33722896,1.22182313,0.12185829,0.81976911,0.00154325,0.03232951,0.00279030,0.16529678
-5.96398199,2.28794231,0.34088242,1.23120569,0.12271939,0.82502379,0.00147142,0.03290249,0.00299606,0.16721500
-5.95797899,2.30235675,0.34360920,1.23877922,0.12347486,0.82862837,0.00141458,0.03348063,0.00321378,0.16881006
-5.95197599,2.31309929,0.34536317,1.24452075,0.12410775,0.83070553,0.00136966,0.03406505,0.00344239,0.17007199
-5.94597299,2.32041888,0.34613645,1.24851397,0.12461656,0.83143646,0.00133379,0.03465987,0.00368090,0.17100508
-5.93996998,2.32472132,0.34595620,1.25093473,0.12501323,0.83104694,0.00130433,0.03527162,0.00392849,0.17162639
-5.93396698,2.32653375,0.34488050,1.25203316,0.12532074,0.82979198,0.00127890,0.03590867,0.00418450,0.17196380
-5.92796398,2.32646554,0.34299337,1.25211327,0.12557044,0.82793986,0.00125543,0.03658051,0.00444840,0.17205394
-5.92196098,2.32516771,0.34039926,1.25151118,0.12579918,0.82575644,0.00123216,0.03729706,0.00471983,0.17193982
-5.91595798,2.32329286,0.33721721,1.25057302,0.12604651,0.82349051,0.00120765,0.03806795,0.00499859,0.17166851
-5.90995498,2.32145762,0.33357490,1.24963354,0.12635189,0.82136078,0.00118080,0.03890189,0.00528462,0.17128882
-5.90395198,2.32020921,0.32960289,1.24899656,0.12675219,0.81954539,0.00115084,0.03980600,0.00557805,0.17084925
-5.89794897,2.31999797,0.32542920,1.24891812,0.12727959,0.81817412,0.00111729,0.04078539,0.00587910,0.17039609
-5.89194597,2.32115668,0.32117457,1.24959305,0.12795982,0.81732376,0.00107999,0.04184269,0.00618820,0.16997189
-5.88594297,2.32388785,0.31694841,1.25114564,0.12881101,0.81701679,0.00103903,0.04297787,0.00650586,0.16961434
-5.87993997,2.32825901,0.31284580,1.25362482,0.12984302,0.81722315,0.00099475,0.04418811,0.00683276,0.16935556
-5.87393697,2.33420637,0.30894540,1.25700378,0.13105740,0.81786514,0.00094768,0.04546789,0.00716971,0.16922177
-5.86793397,2.34154598,0.30530857,1.26118418,0.13244787,0.81882477,0.00089855,0.04680917,0.00751763,0.16923340
-5.86193097,2.34999194,0.30197948,1.26600452,0.13400132,0.81995338,0.00084820,0.04820182,0.00787759,0.16940558
-5.85592796,2.35918013,0.29898627,1.27125205,0.13569924,0.82108263,0.00079760,0.04963408,0.00825074,0.16974889
-5.84992496,2.36869626,0.29634318,1.27667772,0.13751951,0.82203645,0.00074780,0.05109315,0.00863836,0.17027042
