energy_ev,total_up,Pd_p_up,Pd_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,8.32198158,2.56083935,6.76510359,1.87667169,0.00000000,0.83654310,0.00000000
-5.99399700,7.96288480,2.49432132,6.45011376,1.77165653,0.00000000,0.82450838,0.00000000
-5.98799400,7.62437355,2.44522345,6.14997863,1.67181005,0.00000000,0.81429856,0.00000000
-5.98199100,7.30816086,2.41352262,5.86635796,1.57784935,0.00000000,0.80592082,0.00000000
-5.97598799,7.01573352,2.39899736,5.60070303,1.49039046,0.00000000,0.79940389,0.00000000
-5.96998499,6.74833231,2.40123027,5.35423568,1.40993760,0.00000000,0.79479996,0.00000000
-5.96398199,6.50693410,2.41961278,5.12793072,1.33687502,0.00000000,0.79218463,0.00000000
-5.95797899,6.29223699,2.45335269,4.92250279,1.27146170,0.00000000,0.79165498,0.00000000
-5.95197599,6.10464987,2.50148497,4.73839873,1.21382938,0.00000000,0.79332597,0.00000000
-5.94597299,5.94428746,2.56288589,4.57579605,1.16398397,0.00000000,0.79732525,0.00000000
-5.93996998,5.81097139,2.63629068,4.43460791,1.12181025,0.00000000,0.80378668,0.00000000
-5.93396698,5.70423781,2.72031446,4.31449463,1.08707976,0.00000000,0.81284295,0.00000000
-5.92796398,5.62335144,2.81347610,4.21488133,1.05946152,0.00000000,0.82461752,0.00000000
-5.92196098,5.56732550,2.91422428,4.13498105,1.03853498,0.00000000,0.83921632,0.00000000
-5.91595798,5.53494690,3.02096508,4.07382229,1.02380487,0.00000000,0.85671956,0.00000000
-5.90995498,5.52480539,3.13208999,4.03027982,1.01471695,0.00000000,0.87717390,0.00000000
-5.90395198,5.53532563,3.24600359,4.00310732,1.01067429,0.00000000,0.90058548,0.00000000
-5.89794897,5.56480072,3.36114962,3.99097061,1.01105317,0.00000000,0.92691395,0.00000000
-5.89194597,5.61142594,3.47603476,3.99248002,1.01521806,0.00000000,0.95606790,0.00000000
-5.88594297,5.67333163,3.58924922,4.00622079,1.02253517,0.00000000,0.98790184,0.00000000
-5.87993997,5.74861423,3.69948374,4.03078070,1.03238405,0.00000000,1.02221503,0.00000000
-5.87393697,5.83536497,3.80554253,4.06477410,1.04416705,0.00000000,1.05875217,0.00000000
-5.86793397,5.93169582,3.90635226,4.10686217,1.05731639,0.00000000,1.09720624,0.00000000
-5.86193097,6.03576286,4.00096728,4.15576947,1.07129903,0.00000000,1.13722341,0.00000000
-5.85592796,6.14578727,4.08857152,4.21029680,1.08561934,0.00000000,1.17840993,0.00000000
-5.84992496,6.26007439,4.16847768,4.26933122,1.09982000,0.00000000,1.22034107,0.00000000
-5.84392196,6.37703162,4.24012453,4.33185358,1.11348137,0.00000000,1.26257181,0.00000000
-5.83791896,6.49518557,4.30307311,4.39694449,1.12621998,0.00000000,1.30464892,0.00000000
-5.83191596,6.61319913,4.35700252,4.46378938,1.13768647,0.00000000,1.34612430,0.00000000
-5.82591296,6.72988864,4.40170608,4.53168311,1.14756347,0.00000000,1.38656884,0.00000000
-5.81990995,6.84424125,4.43708830,4.60003478,1.15556393,0.00000000,1.42558662,0.00000000
-5.81390695,6.95543234,4.46316294,4.66837272,1.16143014,0.00000000,1.46282856,0.00000000
-5.80790395,7.06284211,4.48005222,4.73634958,1.16493364,0.00000000,1.49800525,0.00000000
-5.80190095,7.16607075,4.48798709,4.80374739,1.16587627,0.00000000,1.53089811,0.00000000
-5.79589795,7.26495080,4.48730800,4.87048170,1.16409216,0.00000000,1.56136852,0.00000000
-5.78989495,7.35955554,4.47846575,4.93660432,1.15945064,0.00000000,1.58936432,0.00000000
-5.78389195,7.45020185,4.46202149,5.00230351,1.15185969,0.00000000,1.61492322,0.00000000
-5.77788894,7.53744638,4.43864542,5.06790095,1.14126976,0.00000000,1.63817299,0.00000000
-5.77188594,7.62207366,4.40911299,5.13384445,1.12767727,0.00000000,1.65932806,0.00000000
-5.76588294,7.70507550,4.37429835,5.20069577,1.11112775,0.00000000,1.67868261,0.00000000
-5.75987994,7.78762097,4.33516412,5.26911293,1.09171781,0.00000000,1.69660025,0.00000000
-5.75387694,7.87101720,4.29274746,5.33982698,1.06959590,0.00000000,1.71350059,0.00000000
-5.74787394,7.95666126,4.24814206,5.41361323,1.04496139,0.00000000,1.72984310,0.00000000
-5.74187094,8.04598446,4.20247645,5.49125736,1.01806182,0.00000000,1.74610889,0.00000000
-5.73586793,8.14039040,4.15688902,5.57351749,0.98918832,0.00000000,1.76278100,0.00000000
-5.72986493,8.24118908,4.11250036,5.66108306,0.95866921,0.00000000,1.78032403,0.00000000
-5.72386193,8.34952928,4.07038405,5.75453236,0.92686186,0.00000000,1.79916395,0.00000000
-5.71785893,8.46633218,4.03153699,5.85429008,0.89414337,0.00000000,1.81966883,0.00000000
-5.71185593,8.59222896,3.99685052,5.96058703,0.86090010,0.00000000,1.84213146,0.00000000
-5.70585293,8.72750545,3.96708370,6.07342368,0.82751683,0.00000000,1.86675441,0.00000000
-5.69984992,8.87205656,3.94284024,6.19253975,0.79436579,0.00000000,1.89363845,0.00000000
-5.69384692,9.02535307,3.92455011,6.31739129,0.76179622,0.00000000,1.92277467,0.00000000
-5.68784392,9.18642305,3.91245721,6.44713714,0.73012487,0.00000000,1.95404089,0.00000000
-5.68184092,9.35384949,3.90661385,6.58063584,0.69962785,0.00000000,1.98720246,0.00000000
-5.67583792,9.52578537,3.90688277,6.71645404,0.67053429,0.00000000,2.02191759,0.00000000
-5.66983492,9.69998646,3.91294698,6.85288682,0.64302190,0.00000000,2.05774714,0.00000000
-5.66383192,9.87386159,3.92432740,6.98799003,0.61721479,0.00000000,2.09416854,0.00000000
-5.65782891,10.04453955,3.94040797,7.11962415,0.59318345,0.00000000,2.13059328,0.00000000
-5.65182591,10.20895052,3.96046737,7.24550868,0.57094687,0.00000000,2.16638761,0.00000000
-5.64582291,10.36391990,3.98371633,7.36328558,0.55047666,0.00000000,2.20089543,0.00000000
-5.63981991,10.50627122,4.00933905,7.47058990,0.53170287,0.00000000,2.23346271,0.00000000
-5.63381691,10.63293474,4.03653706,7.56512512,0.51452120,0.00000000,2.26346244,0.00000000
-5.62781391,10.74105733,4.06457352,7.64474055,0.49880120,0.00000000,2.29031907,0.00000000
-5.62181091,10.82810977,4.09281600,7.70750788,0.48439496,0.00000000,2.31353166,0.00000000
-5.61580790,10.89198656,4.12077546,7.75179366,0.47114605,0.00000000,2.33269452,0.00000000
-5.60980490,10.93109417,4.14813955,7.77632469,0.45889796,0.00000000,2.34751466,0.00000000
-5.60380190,10.94442351,4.17479798,7.78024324,0.44750203,0.00000000,2.35782516,0.00000000
-5.59779890,10.93160282,4.20085855,7.76314937,0.43682409,0.00000000,2.36359380,0.00000000
-5.59179590,10.89292816,4.22665217,7.72512812,0.42674999,0.00000000,2.36492645,0.00000000
-5.58579290,10.82936906,4.25272611,7.66675957,0.41718933,0.00000000,2.36206491,0.00000000
-5.57978989,10.74254834,4.27982498,7.58911097,0.40807771,0.00000000,2.35537914,0.00000000
-5.57378689,10.63469573,4.30885957,7.49371023,0.39937716,0.00000000,2.34535397,0.00000000
-5.56778389,10.50857667,4.34086440,7.38250166,0.39107494,0.00000000,2.33257071,0.00000000
-5.56178089,10.36739826,4.37694540,7.25778501,0.38318082,0.00000000,2.31768431,0.00000000
-5.55577789,10.21469613,4.41821981,7.12214018,0.37572313,0.00000000,2.30139684,0.00000000
-5.54977489,10.05420656,4.46575097,6.97834054,0.36874367,0.00000000,2.28442860,0.00000000
-5.54377189,9.88972953,4.52048111,6.82925853,0.36229207,0.00000000,2.26748782,0.00000000
-5.53776888,9.72498861,4.58316572,6.67776762,0.35641976,0.00000000,2.25124060,0.00000000
-5.53176588,9.56349438,4.65431303,6.52664520,0.35117400,0.00000000,2.23628240,0.00000000
-5.52576288,9.40841792,4.73413239,6.37848082,0.34659231,0.00000000,2.22311258,0.00000000
-5.51975988,9.26248056,4.82249485,6.23559421,0.34269769,0.00000000,2.21211329,0.00000000
-5.51375688,9.12786554,4.91890879,6.09996693,0.33949489,0.00000000,2.20353395,0.00000000
-5.50775388,9.00615616,5.02251305,5.97319114,0.33696785,0.00000000,2.19748223,0.00000000
-5.50175088,8.89830366,5.13208870,5.85643772,0.33507868,0.00000000,2.19392213,0.00000000
-5.49574787,8.80462662,5.24608978,5.75044541,0.33376803,0.00000000,2.19267941,0.00000000
-5.48974487,8.72484184,5.36269250,5.65553116,0.33295695,0.00000000,2.19345425,0.00000000
-5.48374187,8.65812513,5.47986059,5.57162108,0.33255006,0.00000000,2.19584049,0.00000000
-5.47773887,8.60319866,5.59542415,5.49829997,0.33243990,0.00000000,2.19935054,0.00000000
-5.47173587,8.55843994,5.70716801,5.43487667,0.33251215,0.00000000,2.20344464,0.00000000
-5.46573287,8.52200648,5.81292481,5.38046133,0.33265134,0.00000000,2.20756281,0.00000000
-5.45972986,8.49196911,5.91066795,5.33405051,0.33274692,0.00000000,2.21115778,0.00000000
-5.45372686,8.46644652,5.99859904,5.29461508,0.33269896,0.00000000,2.21372701,0.00000000
-5.44772386,8.44373361,6.07522486,5.26118623,0.33242356,0.00000000,2.21484191,0.00000000
-5.44172086,8.42241647,6.13941927,5.23293485,0.33185723,0.00000000,2.21417273,0.00000000
-5.43571786,8.40146791,6.19046656,5.20923998,0.33096027,0.00000000,2.21150753,0.00000000
-5.42971486,8.38031825,6.22808345,5.18974281,0.32971881,0.00000000,2.20676438,0.00000000
-5.42371186,8.35889799,6.25241867,5.17438330,0.32814539,0.00000000,2.19999597,0.00000000
-5.41770885,8.33765028,6.26403010,5.16341783,0.32627808,0.00000000,2.19138656,0.00000000
-5.41170585,8.31751301,6.26384100,5.15741701,0.32417823,0.00000000,2.18124159,0.00000000
-5.40570285,8.29987207,6.25307806,5.15724405,0.32192682,0.00000000,2.16997059,0.00000000
-5.39969985,8.28648876,6.23319523,5.16401505,0.31961986,0.00000000,2.15806464,0.00000000
