energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-5.86793397,2.45095777,0.01178016,0.05534795,1.35965535,0.95382283,0.00621313,1.25188345,0.53393344,0.20015504
-5.86193097,2.60207779,0.01315488,0.05759823,1.43444819,1.01424242,0.00641374,1.32973603,0.56506611,0.21307560
-5.85592796,2.75629679,0.01462339,0.06021170,1.50968454,1.07642642,0.00661780,1.40824379,0.59591271,0.22617117
-5.84992496,2.91222919,0.01617594,0.06317738,1.58457741,1.13987311,0.00682346,1.48665756,0.62613652,0.23932177
-5.84392196,3.06847946,0.01780052,0.06648469,1.65835445,1.20407455,0.00702924,1.56422686,0.65540923,0.25240435
-5.83791896,3.22366234,0.01948303,0.07012313,1.73027119,1.26852348,0.00723403,1.64021193,0.68341707,0.26529463
-5.83191596,3.37642185,0.02120741,0.07408177,1.79962264,1.33271958,0.00743701,1.71389525,0.70986649,0.27786892
-5.82591296,3.52544878,0.02295594,0.07834857,1.86575326,1.39617520,0.00763761,1.78459239,0.73448927,0.29000611
-5.81990995,3.66949665,0.02470962,0.08290965,1.92806514,1.45842062,0.00783542,1.85166202,0.75704697,0.30158955
-5.81390695,3.80739594,0.02644856,0.08774849,1.98602443,1.51900871,0.00803013,1.91451484,0.77733454,0.31250899
-5.80790395,3.93806683,0.02815250,0.09284526,2.03916614,1.57751913,0.00822142,1.97262148,0.79518307,0.32266240
-5.80190095,4.06053028,0.02980130,0.09817625,2.08709738,1.63356213,0.00840893,2.02551908,0.81046172,0.33195778
-5.79589795,4.17391774,0.03137555,0.10371351,2.12949936,1.68678191,0.00859212,2.07281669,0.82307863,0.34031475
-5.78989495,4.27747952,0.03285708,0.10942473,2.16612825,1.73685978,0.00877030,2.11419935,0.83298115,0.34766607
-5.78389195,4.37059184,0.03422954,0.11527351,2.19681518,1.78351698,0.00894253,2.14943095,0.84015511,0.35395885
-5.77788894,4.45276269,0.03547888,0.12121980,2.22146561,1.82651732,0.00910765,2.17835575,0.84462347,0.35915556
-5.77188594,4.52363652,0.03659380,0.12722084,2.24005816,1.86566951,0.00926425,2.20089879,0.84644432,0.36323474
-5.76588294,4.58299748,0.03756610,0.13323219,2.25264304,1.90082925,0.00941073,2.21706502,0.84570833,0.36619132
-5.75987994,4.63077134,0.03839089,0.13920912,2.25934017,1.93190095,0.00954532,2.22693735,0.84253583,0.36803667
-5.75387694,4.66702564,0.03906679,0.14510809,2.26033687,1.95883884,0.00966611,2.23067351,0.83707346,0.36879815
-5.74787394,4.69196780,0.03959584,0.15088830,2.25588510,1.98164758,0.00977119,2.22850188,0.82949069,0.36851837
-5.74187094,4.70594106,0.03998345,0.15651314,2.24629798,2.00038183,0.00985866,2.22071616,0.81997603,0.36725399
-5.73586793,4.70941761,0.04023807,0.16195158,2.23194553,2.01514502,0.00992672,2.20766891,0.80873319,0.36507419
-5.72986493,4.70298893,0.04037087,0.16717915,2.21324931,2.02608667,0.00997376,2.18976416,0.79597714,0.36205878
-5.72386193,4.68735288,0.04039520,0.17217873,2.19067585,2.03339863,0.00999843,2.16744882,0.78193002,0.35829599
-5.71785893,4.66329773,0.04032604,0.17694077,2.16472858,2.03730969,0.00999966,2.14120323,0.76681717,0.35388005
-5.71185593,4.63168291,0.04017939,0.18146317,2.13593847,2.03807897,0.00997675,2.11153079,0.75086297,0.34890862
-5.70585293,4.59341717,0.03997155,0.18575061,2.10485316,2.03598787,0.00992935,2.07894698,0.73428688,0.34348010
-5.69984992,4.54943437,0.03971851,0.18981352,2.07202494,2.03133100,0.00985752,2.04396784,0.71729946,0.33769096
-5.69384692,4.50066786,0.03943528,0.19366661,2.03799792,2.02440624,0.00976173,2.00709836,0.70009860,0.33163317
-5.68784392,4.44802439,0.03913528,0.19732725,2.00329475,2.01550450,0.00964281,1.96882105,0.68286594,0.32539185
-5.68184092,4.39235860,0.03882991,0.20081358,1.96840365,2.00489950,0.00950198,1.92958517,0.66576374,0.31904324
-5.67583792,4.33444952,0.03852808,0.20414276,1.93376628,1.99283824,0.00934079,1.88979691,0.64893219,0.31265292
-5.66983492,4.27498024,0.03823600,0.20732930,1.89976737,1.97953272,0.00916110,1.84981116,0.63248724,0.30627469
-5.66383192,4.21452201,0.03795701,0.21038374,1.86672664,1.96515337,0.00896506,1.80992514,0.61651936,0.29994974
-5.65782891,4.15352388,0.03769161,0.21331182,1.83489386,1.94982479,0.00875509,1.77037430,0.60109296,0.29370656
-5.65182591,4.09230870,0.03743760,0.21611417,1.80444750,1.93362420,0.00853382,1.73133083,0.58624685,0.28756124
-5.64582291,4.03107597,0.03719037,0.21878665,1.77549740,1.91658274,0.00830408,1.69290483,0.57199569,0.28151839
-5.63981991,3.96991181,0.03694326,0.22132137,1.74809149,1.89868989,0.00806889,1.65514826,0.55833239,0.27557259
-5.63381691,3.90880559,0.03668808,0.22370835,1.72222664,1.87990072,0.00783145,1.61806153,0.54523146,0.26971014
-5.62781391,3.84767265,0.03641566,0.22593776,1.69786305,1.86014590,0.00759510,1.58160251,0.53265323,0.26391133
-5.62181091,3.78638195,0.03611639,0.22800261,1.67494171,1.83934385,0.00736332,1.54569745,0.52054875,0.25815275
-5.61580790,3.72478720,0.03578087,0.22990177,1.65340392,1.81741443,0.00713969,1.51025339,0.50886514,0.25240990
-5.60980490,3.66275972,0.03540045,0.23164304,1.63321184,1.79429349,0.00692789,1.47517135,0.49755120,0.24665962
-5.60380190,3.60022108,0.03496774,0.23324616,1.61436876,1.76994735,0.00673164,1.44035963,0.48656295,0.24088255
-5.59779890,3.53717362,0.03447706,0.23474549,1.59693794,1.74438633,0.00655468,1.40574652,0.47586885,0.23506518
-5.59179590,3.47372683,0.03392479,0.23619214,1.58105853,1.71767656,0.00640066,1.37129163,0.46545439,0.22920164
-5.58579290,3.41011799,0.03330954,0.23765536,1.56695753,1.68994920,0.00627313,1.33699532,0.45532579,0.22329498
