energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.91951211,0.61071137,0.35000599,0.00309994,0.19480906,0.52550796,0.33209656,0.02050208,1.10989457
-5.99399700,1.96356194,0.63133918,0.35129265,0.00290834,0.20276778,0.54275353,0.33850024,0.01976385,1.13918410
-5.98799400,2.00662817,0.65121626,0.35253732,0.00271689,0.21016420,0.55916583,0.34494502,0.01907685,1.16788551
-5.98199100,2.04785191,0.66993516,0.35365913,0.00252880,0.21685759,0.57435485,0.35130504,0.01845256,1.19547727
-5.97598799,2.08636560,0.68710280,0.35457187,0.00234707,0.22271668,0.58794501,0.35744964,0.01789993,1.22143331
-5.96998499,2.12132159,0.70235240,0.35518807,0.00217446,0.22762320,0.59958603,0.36324828,0.01742530,1.24523974
-5.96398199,2.15192063,0.71535476,0.35542316,0.00201347,0.23147511,0.60896329,0.36857542,0.01703220,1.26641156
-5.95797899,2.17743917,0.72582837,0.35519942,0.00186636,0.23418927,0.61580713,0.37331530,0.01672137,1.28450868
-5.95197599,2.19725443,0.73354807,0.35444973,0.00173510,0.23570370,0.61990090,0.37736642,0.01649082,1.29915068
-5.94597299,2.21086613,0.73835181,0.35312079,0.00162141,0.23597910,0.62108737,0.38064548,0.01633597,1.31002965
-5.93996998,2.21791422,0.74014540,0.35117578,0.00152678,0.23499977,0.61927323,0.38309076,0.01624985,1.31692068
-5.93396698,2.21819172,0.73890503,0.34859634,0.00145249,0.23277376,0.61443167,0.38466459,0.01622341,1.31968947
-5.92796398,2.21165228,0.73467742,0.34538366,0.00139959,0.22933237,0.60660269,0.38535510,0.01624583,1.31829692
-5.92196098,2.19841207,0.72757771,0.34155893,0.00136897,0.22472895,0.59589139,0.38517686,0.01630497,1.31280034
-5.91595798,2.17874606,0.71778512,0.33716276,0.00136134,0.21903711,0.58246413,0.38417072,0.01638773,1.30335134
-5.90995498,2.15307873,0.70553653,0.33225396,0.00137726,0.21234839,0.56654285,0.38240251,0.01648050,1.29019043
-5.90395198,2.12196960,0.69111828,0.32690750,0.00141708,0.20476946,0.54839768,0.37996099,0.01656969,1.27363854
-5.89794897,2.08609419,0.67485656,0.32121184,0.00148102,0.19641906,0.52833819,0.37695480,0.01664209,1.25408575
-5.89194597,2.04622122,0.65710653,0.31526572,0.00156905,0.18742468,0.50670370,0.37350886,0.01668530,1.23197780
-5.88594297,2.00318679,0.63824091,0.30917458,0.00168095,0.17791916,0.48385293,0.36976002,0.01668817,1.20780073
-5.87993997,1.95786683,0.61863819,0.30304675,0.00181619,0.16803736,0.46015342,0.36585247,0.01664107,1.18206443
-5.87393697,1.91114868,0.59867100,0.29698957,0.00197398,0.15791288,0.43597123,0.36193288,0.01653617,1.15528561
-5.86793397,1.86390313,0.57869514,0.29110557,0.00215316,0.14767516,0.41166118,0.35814549,0.01636767,1.12797107
-5.86193097,1.81695801,0.55903953,0.28548898,0.00235220,0.13744672,0.38755807,0.35462753,0.01613187,1.10060173
-5.85592796,1.77107429,0.53999757,0.28022265,0.00256918,0.12734097,0.36396906,0.35150496,0.01582724,1.07361823
-5.84992496,1.72692583,0.52182007,0.27537551,0.00280173,0.11746031,0.34116767,0.34888886,0.01545438,1.04740870
-5.84392196,1.68508341,0.50471015,0.27100068,0.00304706,0.10789476,0.31938926,0.34687260,0.01501590,1.02229903
-5.83791896,1.64600381,0.48882013,0.26713445,0.00330194,0.09872106,0.29882833,0.34552987,0.01451623,0.99854624
-5.83191596,1.61002412,0.47425053,0.26379593,0.00356276,0.09000220,0.27963746,0.34491371,0.01396141,0.97633507
-5.82591296,1.57736155,0.46105111,0.26098760,0.00382555,0.08178739,0.26192795,0.34505657,0.01335884,0.95577787
-5.81990995,1.54811861,0.44922398,0.25869662,0.00408604,0.07411242,0.24577187,0.34597130,0.01271690,0.93691784
-5.81390695,1.52229308,0.43872835,0.25689690,0.00433975,0.06700037,0.23120547,0.34765314,0.01204472,0.91973529
-5.80790395,1.49979234,0.42948691,0.25555167,0.00458211,0.06046263,0.21823352,0.35008243,0.01135180,0.90415662
-5.80190095,1.48045106,0.42139324,0.25461667,0.00480854,0.05450005,0.20683446,0.35322789,0.01064777,0.89006542
-5.79589795,1.46405128,0.41432015,0.25404346,0.00501460,0.04910436,0.19696592,0.35705041,0.00994208,0.87731522
-5.78989495,1.45034374,0.40812831,0.25378299,0.00519607,0.04425961,0.18857045,0.36150684,0.00924379,0.86574307
-5.78389195,1.43906928,0.40267484,0.25378905,0.00534915,0.03994366,0.18158095,0.36655379,0.00856136,0.85518331
-5.77788894,1.42997912,0.39782155,0.25402139,0.00547050,0.03612965,0.17592584,0.37215105,0.00790253,0.84548075
-5.77188594,1.42285300,0.39344229,0.25444849,0.00555741,0.03278737,0.17153344,0.37826440,0.00727422,0.83650264
-5.76588294,1.41751423,0.38942925,0.25504974,0.00560783,0.02988459,0.16833564,0.38486778,0.00668248,0.82814876
-5.75987994,1.41384091,0.38569787,0.25581690,0.00562050,0.02738818,0.16627059,0.39194450,0.00613247,0.82035927
-5.75387694,1.41177286,0.38219024,0.25675483,0.00559494,0.02526507,0.16528439,0.39948756,0.00562853,0.81311983
-5.74787394,1.41131407,0.37887689,0.25788142,0.00553150,0.02348308,0.16533184,0.40749899,0.00517420,0.80646389
-5.74187094,1.41253071,0.37575699,0.25922682,0.00543133,0.02201157,0.16637619,0.41598838,0.00477228,0.80047212
-5.73586793,1.41554495,0.37285696,0.26083193,0.00529634,0.02082180,0.16838810,0.42497059,0.00442499,0.79526909
-5.72986493,1.42052527,0.37022785,0.26274629,0.00512913,0.01988732,0.17134382,0.43446295,0.00413397,0.79101745
-5.72386193,1.42767379,0.36794142,0.26502554,0.00493293,0.01918402,0.17522284,0.44448202,0.00390039,0.78791004
-5.71785893,1.43721162,0.36608546,0.26772859,0.00471145,0.01869015,0.18000522,0.45504031,0.00372503,0.78616038
-5.71185593,1.44936305,0.36475837,0.27091454,0.00446879,0.01838622,0.18566865,0.46614306,0.00360831,0.78599201
