energy_ev,total_up,Cd_p_up,Cd_d_up,P_s_up,P_p_up,Se_s_up,Se_p_up
-6.00000000,0.52524336,0.11375165,0.02934031,0.00602788,0.03446289,0.01340461,0.40266418
-5.99399700,0.52068964,0.10761470,0.02920480,0.00577940,0.03247962,0.01392977,0.40943461
-5.98799400,0.51561320,0.10193844,0.02913293,0.00552518,0.03063227,0.01443678,0.41491245
-5.98199100,0.51002601,0.09679096,0.02913485,0.00527158,0.02893495,0.01492484,0.41898626
-5.97598799,0.50396193,0.09223424,0.02922130,0.00502485,0.02739994,0.01539448,0.42158118
-5.96998499,0.49747750,0.08832309,0.02940327,0.00479095,0.02603766,0.01584755,0.42266188
-5.96398199,0.49065147,0.08510403,0.02969167,0.00457539,0.02485658,0.01628708,0.42223384
-5.95797899,0.48358314,0.08261421,0.03009696,0.00438307,0.02386316,0.01671717,0.42034307
-5.95197599,0.47638945,0.08088051,0.03062863,0.00421818,0.02306173,0.01714270,0.41707411
-5.94597299,0.46920097,0.07991863,0.03129477,0.00408409,0.02245448,0.01756914,0.41254646
-5.93996998,0.46215699,0.07973247,0.03210151,0.00398325,0.02204138,0.01800218,0.40690957
-5.93396698,0.45539997,0.08031364,0.03305262,0.00391722,0.02182023,0.01844749,0.40033662
-5.92796398,0.44906966,0.08164140,0.03414901,0.00388660,0.02178668,0.01891032,0.39301745
-5.92196098,0.44329731,0.08368271,0.03538845,0.00389110,0.02193432,0.01939528,0.38515108
-5.91595798,0.43820031,0.08639290,0.03676537,0.00392956,0.02225495,0.01990605,0.37693808
-5.90995498,0.43387768,0.08971652,0.03827076,0.00400004,0.02273875,0.02044525,0.36857337
-5.90395198,0.43040676,0.09358880,0.03989233,0.00409997,0.02337475,0.02101427,0.36023971
-5.89794897,0.42784134,0.09793736,0.04161478,0.00422622,0.02415120,0.02161332,0.35210236
-5.89194597,0.42621140,0.10268443,0.04342036,0.00437533,0.02505620,0.02224153,0.34430497
-5.88594297,0.42552464,0.10774938,0.04528949,0.00454366,0.02607830,0.02289710,0.33696713
