energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.23032405,0.92070871,0.23579996,0.00917185,0.41131497,1.35748812,0.52313084,0.01010751,0.89437681
-5.99399700,2.19174257,0.92406515,0.23150863,0.00833470,0.40075587,1.31718804,0.51770278,0.00902425,0.88707147
-5.98799400,2.15999668,0.92988980,0.22794563,0.00753663,0.39100862,1.27961706,0.51372491,0.00803464,0.88296603
-5.98199100,2.13549011,0.93841404,0.22516514,0.00678528,0.38209642,1.24504169,0.51122945,0.00713958,0.88228170
-5.97598799,2.11852625,0.94984120,0.22320294,0.00608683,0.37402675,1.21371480,0.51022697,0.00633831,0.88519649
-5.96998499,2.10930818,0.96434205,0.22207682,0.00544605,0.36679257,1.18587324,0.51070693,0.00562863,0.89184345
-5.96398199,2.10793901,0.98205039,0.22178746,0.00486634,0.36037359,1.16173388,0.51263821,0.00500718,0.90230905
-5.95797899,2.11442236,1.00305888,0.22231963,0.00434985,0.35473761,1.14148826,0.51596966,0.00446969,0.91663177
-5.95197599,2.12866295,1.02741512,0.22364365,0.00389755,0.34984207,1.12529646,0.52063079,0.00401124,0.93480070
-5.94597299,2.15046762,1.05511796,0.22571711,0.00350940,0.34563572,1.11328056,0.52653260,0.00362644,0.95675432
-5.93996998,2.17954665,1.08611430,0.22848657,0.00318445,0.34206053,1.10551821,0.53356862,0.00330961,0.98237935
-5.93396698,2.21551571,1.12029631,0.23188936,0.00292099,0.33905379,1.10203671,0.54161615,0.00305500,1.01150970
-5.92796398,2.25789847,1.15749913,0.23585529,0.00271665,0.33655043,1.10280820,0.55053790,0.00285684,1.04392571
-5.92196098,2.30613006,1.19749919,0.24030823,0.00256853,0.33448547,1.10774606,0.56018384,0.00270953,1.07935367
-5.91595798,2.35956153,1.24001316,0.24516760,0.00247329,0.33279656,1.11670291,0.57039333,0.00260766,1.11746576
-5.90995498,2.41746554,1.28469782,0.25034964,0.00242722,0.33142652,1.12947045,0.58099758,0.00254611,1.15788062
-5.90395198,2.47904331,1.33115072,0.25576856,0.00242632,0.33032580,1.14578098,0.59182237,0.00252009,1.20016472
-5.89794897,2.54343323,1.37891211,0.26133753,0.00246634,0.32945470,1.16531086,0.60269098,0.00252521,1.24383473
-5.89194597,2.60972114,1.42746815,0.26696958,0.00254285,0.32878541,1.18768569,0.61342730,0.00255746,1.28836119
-5.88594297,2.67695258,1.47625557,0.27257857,0.00265126,0.32830352,1.21248711,0.62385919,0.00261330,1.33317360
-5.87993997,2.74414711,1.52466825,0.27808004,0.00278688,0.32800925,1.23926112,0.63382187,0.00268964,1.37766728
-5.87393697,2.81031486,1.57206547,0.28339232,0.00294496,0.32791809,1.26752759,0.64316154,0.00278393,1.42121194
-5.86793397,2.87447507,1.61778232,0.28843772,0.00312070,0.32806095,1.29679090,0.65173894,0.00289410,1.46316229
-5.86193097,2.93567681,1.66114199,0.29314396,0.00330936,0.32848381,1.32655127,0.65943299,0.00301869,1.50287041
-5.85592796,2.99302117,1.70147000,0.29744584,0.00350630,0.32924686,1.35631658,0.66614424,0.00315679,1.53969993
-5.84992496,3.04568470,1.73811002,0.30128709,0.00370703,0.33042309,1.38561443,0.67179825,0.00330814,1.57304158
-5.84392196,3.09294324,1.77044096,0.30462248,0.00390732,0.33209654,1.41400387,0.67634854,0.00347307,1.60232979
