energy_ev,total_up,Ag_p_up,Ag_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,8.81986070,1.70133737,8.04454902,0.29800685,0.02343709,0.06687345,0.28140017
-5.99399700,8.76552949,1.72051102,7.97954298,0.29587643,0.02303444,0.06922695,0.28868608
-5.98799400,8.71193233,1.73954482,7.91494167,0.29391595,0.02260049,0.07175293,0.29638488
-5.98199100,8.65884776,1.75821691,7.85056560,0.29213498,0.02213850,0.07441834,0.30447366
-5.97598799,8.60571609,1.77620461,7.78594602,0.29051761,0.02165135,0.07718127,0.31291071
-5.96998499,8.55165960,1.79309245,7.72034348,0.28902344,0.02114155,0.07999184,0.32163580
-5.96398199,8.49551900,1.80838526,7.65278062,0.28758964,0.02061116,0.08279339,0.33057119
-5.95797899,8.43590430,1.82152563,7.58208711,0.28613418,0.02006185,0.08552412,0.33962328
-5.95197599,8.37125732,1.83191510,7.50695461,0.28455992,0.01949492,0.08811886,0.34868486
-5.94597299,8.29992254,1.83893813,7.42599862,0.28275950,0.01891137,0.09051109,0.35763773
-5.93996998,8.22022277,1.84198753,7.33782416,0.28062055,0.01831202,0.09263512,0.36635579
-5.93396698,8.13053544,1.84049032,7.24109173,0.27803126,0.01769758,0.09442824,0.37470824
-5.92796398,8.02936606,1.83393260,7.13458031,0.27488572,0.01706876,0.09583286,0.38256285
-5.92196098,7.91541486,1.82188230,7.01724425,0.27108904,0.01642637,0.09679850,0.38978916
-5.91595798,7.78763376,1.80400861,6.88826141,0.26656184,0.01577144,0.09728352,0.39626150
-5.90995498,7.64527113,1.78009734,6.74707035,0.26124393,0.01510525,0.09725657,0.40186174
-5.90395198,7.48790244,1.75006141,6.59339522,0.25509719,0.01442939,0.09669769,0.40648162
-5.89794897,7.31544624,1.71394618,6.42725753,0.24810727,0.01374581,0.09559893,0.41002475
-5.89194597,7.12816515,1.67192952,6.24897496,0.24028431,0.01305682,0.09396463,0.41240826
-5.88594297,6.92665290,1.62431677,6.05914781,0.23166261,0.01236504,0.09181114,0.41356403
-5.87993997,6.71180886,1.57153119,5.85863465,0.22229924,0.01167341,0.08916628,0.41343961
-5.87393697,6.48480233,1.51410049,5.64851904,0.21227187,0.01098506,0.08606823,0.41199899
-5.86793397,6.24702909,1.45264042,5.43006955,0.20167581,0.01030330,0.08256423,0.40922310
-5.86193097,6.00006314,1.38783625,5.20469572,0.19062050,0.00963149,0.07870894,0.40511022
-5.85592796,5.74560644,1.32042336,4.97390247,0.17922573,0.00897297,0.07456266,0.39967641
