energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-6.00000000,8.54135302,0.02215581,0.82455704,0.35174332,5.62522487,4.02996943,0.15465818,3.30923426
-5.99399700,8.27832931,0.02167893,0.78745253,0.34246114,5.42556159,3.88486800,0.15259681,3.24283310
-5.98799400,8.00773365,0.02116236,0.75189767,0.33157420,5.23562645,3.73628811,0.15008036,3.16914078
-5.98199100,7.73137976,0.02061008,0.71798143,0.31923897,5.05543698,3.58521020,0.14716012,3.08899965
-5.97598799,7.45108981,0.02002669,0.68575956,0.30563442,4.88474175,3.43264887,0.14388960,3.00329736
-5.96998499,7.16864447,0.01941723,0.65525479,0.29095700,4.72304948,3.27962392,0.14032257,2.91293851
-5.96398199,6.88573396,0.01878697,0.62645729,0.27541518,4.56966083,3.12713073,0.13651122,2.81881725
-5.95797899,6.60391297,0.01814118,0.59932581,0.25922392,4.42370286,2.97611151,0.13250461,2.72179208
-5.95197599,6.32456191,0.01748496,0.57378947,0.24259917,4.28416544,2.82742906,0.12834737,2.62266409
-5.94597299,6.04885681,0.01682302,0.54975022,0.22575263,4.14993937,2.68184443,0.12407876,2.52215942
-5.93996998,5.77774962,0.01615960,0.52708616,0.20888691,4.01985561,2.53999957,0.11973212,2.42091682
-5.93396698,5.51195991,0.01549833,0.50565562,0.19219135,3.89272518,2.40240605,0.11533468,2.31948048
-5.92796398,5.25197827,0.01484217,0.48530201,0.17583846,3.76737877,2.26944004,0.11090767,2.21829834
-5.92196098,4.99808110,0.01419342,0.46585916,0.15998113,3.64270527,2.14134385,0.10646684,2.11772554
-5.91595798,4.75035544,0.01355374,0.44715720,0.14475071,3.51768821,2.01823352,0.10202308,2.01803236
-5.90995498,4.50873217,0.01292422,0.42902854,0.13025589,3.39143882,1.90011177,0.09758344,1.91941605
-5.90395198,4.27302518,0.01230551,0.41131382,0.11658228,3.26322481,1.78688537,0.09315209,1.82201526
-5.89794897,4.04297403,0.01169791,0.39386749,0.10379291,3.13249353,1.67838558,0.08873143,1.72592619
-5.89194597,3.81828714,0.01110156,0.37656281,0.09192917,2.99888876,1.57439035,0.08432317,1.63121922
-5.88594297,3.59868305,0.01051657,0.35929598,0.08101247,2.86226027,1.47464688,0.07992929,1.53795482
-5.87993997,3.38392722,0.00994320,0.34198925,0.07104622,2.72266589,1.37889312,0.07555292,1.44619793
-5.87393697,3.17386235,0.00938195,0.32459281,0.06201820,2.58036571,1.28687715,0.07119898,1.35602983
-5.86793397,2.96843078,0.00883375,0.30708549,0.05390307,2.43580907,1.19837347,0.06687460,1.26755702
-5.86193097,2.76768806,0.00830002,0.28947414,0.04666502,2.28961456,1.11319538,0.06258943,1.18091667
-5.85592796,2.57180742,0.00778276,0.27179186,0.04026037,2.14254426,1.03120328,0.05835558,1.09627861
-5.84992496,2.38107555,0.00728459,0.25409517,0.03464006,1.99547341,0.95230863,0.05418743,1.01384397
-5.84392196,2.19588052,0.00680880,0.23646031,0.02975201,1.84935681,0.87647391,0.05010132,0.93384088
-5.83791896,2.01669319,0.00635929,0.21897885,0.02554319,1.70519375,0.80370892,0.04611496,0.85651762
-5.83191596,1.84404384,0.00594059,0.20175294,0.02196147,1.56399286,0.73406410,0.04224685,0.78213413
-5.82591296,1.67849578,0.00555778,0.18489041,0.01895719,1.42673859,0.66762169,0.03851565,0.71095238
-5.81990995,1.52061788,0.00521642,0.16849993,0.01648431,1.29436055,0.60448551,0.03493945,0.64322640
-5.81390695,1.37095787,0.00492248,0.15268655,0.01450147,1.16770710,0.54477018,0.03153517,0.57919273
-5.80790395,1.23001798,0.00468223,0.13754769,0.01297254,1.04752390,0.48859069,0.02831797,0.51906194
-5.80190095,1.09823435,0.00450211,0.12316989,0.01186711,0.93443814,0.43605290,0.02530079,0.46301155
-5.79589795,0.97596107,0.00438861,0.10962619,0.01116055,0.82894881,0.38724564,0.02249397,0.41118097
-5.78989495,0.86345976,0.00434817,0.09697448,0.01083401,0.73142282,0.34223473,0.01990503,0.36366850
-5.78389195,0.76089469,0.00438695,0.08525657,0.01087416,0.64209692,0.30105923,0.01753855,0.32053056
-5.77788894,0.66833357,0.00451074,0.07449810,0.01127279,0.56108475,0.26373003,0.01539620,0.28178318
