energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,2.59275546,0.36328465,1.26521478,0.02328353,0.08595320,0.09178499,0.71621016
-5.99399700,2.72783483,0.37996492,1.30553402,0.02147838,0.08966701,0.09780598,0.77252055
-5.98799400,2.87812742,0.39850309,1.35570144,0.02031419,0.09375629,0.10424778,0.83131845
-5.98199100,3.04028216,0.41850278,1.41380668,0.01977682,0.09811726,0.11101579,0.89183821
-5.97598799,3.21088654,0.43954051,1.47795737,0.01985623,0.10263865,0.11800736,0.95327438
-5.96998499,3.38655014,0.46117882,1.54631835,0.02054679,0.10720494,0.12511489,1.01480539
-5.96398199,3.56398965,0.48297981,1.61715004,0.02184714,0.11169989,0.13222913,1.07561870
-5.95797899,3.74011237,0.50451863,1.68884482,0.02375980,0.11601007,0.13924246,1.13493627
-5.95197599,3.91209453,0.52539623,1.75995986,0.02629026,0.12002826,0.14605215,1.19203913
-5.94597299,4.07745077,0.54525113,1.82924512,0.02944591,0.12365670,0.15256335,1.24628993
-5.93996998,4.23409142,0.56376928,1.89566499,0.03323450,0.12680996,0.15869169,1.29715219
-5.93396698,4.38036431,0.58069206,1.95841247,0.03766248,0.12941732,0.16436536,1.34420515
-5.92796398,4.51507868,0.59582164,2.01691472,0.04273309,0.13142463,0.16952661,1.38715348
-5.92196098,4.63750945,0.60902373,2.07082965,0.04844430,0.13279550,0.17413251,1.42583106
-5.91595798,4.74738119,0.62022754,2.12003310,0.05478681,0.13351182,0.17815506,1.46019867
-5.90995498,4.84483220,0.62942293,2.16459714,0.06174206,0.13357358,0.18158056,1.49033559
-5.90395198,4.93036034,0.63665507,2.20476030,0.06928040,0.13299800,0.18440829,1.51642541
-5.89794897,5.00475321,0.64201683,2.24089093,0.07735958,0.13181802,0.18664868,1.53873703
-5.89194597,5.06900647,0.64563937,2.27344570,0.08592356,0.13008032,0.18832104,1.55760165
-5.88594297,5.12423467,0.64768154,2.30292515,0.09490183,0.12784279,0.18945092,1.57338734
-5.87993997,5.17157971,0.64831862,2.32982881,0.10420926,0.12517183,0.19006751,1.58647242
-5.87393697,5.21212203,0.64773114,2.35461222,0.11374652,0.12213938,0.19020094,1.59721939
-5.86793397,5.24679972,0.64609429,2.37764832,0.12340117,0.11882002,0.18987997,1.60595084
-5.86193097,5.27634028,0.64356864,2.39919530,0.13304938,0.11528812,0.18912999,1.61292890
-5.85592796,5.30120879,0.64029253,2.41937288,0.14255826,0.11161533,0.18797154,1.61833921
-5.84992496,5.32157573,0.63637659,2.43814816,0.15178876,0.10786841,0.18641947,1.62228056
-5.84392196,5.33730589,0.63190062,2.45533211,0.16059902,0.10410745,0.18448274,1.62476067
-5.83791896,5.34796919,0.62691290,2.47058655,0.16884811,0.10038471,0.18216486,1.62569823
-5.83191596,5.35287231,0.62143188,2.48344155,0.17639997,0.09674390,0.17946490,1.62493117
-5.82591296,5.35110922,0.61545010,2.49332188,0.18312737,0.09322007,0.17637907,1.62223041
-5.81990995,5.34162739,0.60893993,2.49958118,0.18891585,0.08983989,0.17290261,1.61731841
-5.81390695,5.32330552,0.60186075,2.50154172,0.19366732,0.08662250,0.16903194,1.60989117
-5.80790395,5.29503824,0.59416712,2.49853746,0.19730326,0.08358056,0.16476688,1.59964240
-5.80190095,5.25582260,0.58581733,2.48995798,0.19976733,0.08072173,0.16011278,1.58628854
-5.79589795,5.20484129,0.57678179,2.47529071,0.20102732,0.07805015,0.15508235,1.56959293
-5.78989495,5.14153786,0.56705083,2.45415904,0.20107628,0.07556808,0.14969720,1.54938795
-5.78389195,5.06567949,0.55664128,2.42635433,0.19993284,0.07327742,0.14398875,1.52559374
-5.77788894,4.97740395,0.54560166,2.39185980,0.19764069,0.07118117,0.13799871,1.49823258
-5.77188594,4.87724794,0.53401538,2.35086520,0.19426718,0.06928454,0.13177886,1.46743802
-5.76588294,4.76615545,0.52200206,2.30377133,0.18990123,0.06759588,0.12539033,1.43345838
-5.75987994,4.64546534,0.50971667,2.25118410,0.18465046,0.06612719,0.11890226,1.39665446
-5.75387694,4.51687903,0.49734653,2.19389855,0.17863782,0.06489431,0.11238999,1.35749140
-5.74787394,4.38240962,0.48510635,2.13287344,0.17199774,0.06391668,0.10593293,1.31652536
-5.74187094,4.24431494,0.47323151,2.06919774,0.16487209,0.06321674,0.09961209,1.27438546
-5.73586793,4.10501775,0.46196979,2.00405054,0.15740590,0.06281903,0.09350750,1.23175193
-5.72986493,3.96701679,0.45157197,1.93865641,0.14974317,0.06274892,0.08769567,1.18933147
-5.72386193,3.83279274,0.44228177,1.87423820,0.14202293,0.06303110,0.08224702,1.14783107
-5.71785893,3.70471333,0.43432532,1.81196945,0.13437547,0.06368797,0.07722372,1.10793122
-5.71185593,3.58494194,0.42790101,1.75292865,0.12691919,0.06473785,0.07267761,1.07026004
-5.70585293,3.47535346,0.42316976,1.69805732,0.11975782,0.06619323,0.06864874,1.03536909
-5.69984992,3.37746129,0.42024643,1.64812380,0.11297835,0.06805910,0.06516410,1.00371229
-5.69384692,3.29235835,0.41919268,1.60369429,0.10664953,0.07033143,0.06223704,0.97562845
-5.68784392,3.22067471,0.42001159,1.56511229,0.10082112,0.07299593,0.05986697,0.95132850
-5.68184092,3.16255346,0.42264435,1.53248743,0.09552375,0.07602713,0.05803967,0.93088763
-5.67583792,3.11764579,0.42696926,1.50569383,0.09076938,0.07938788,0.05672790,0.91424292
-5.66983492,3.08512535,0.43280312,1.48437818,0.08655240,0.08302923,0.05589252,0.90119629
-5.66383192,3.06372122,0.43990501,1.46797695,0.08285123,0.08689092,0.05548391,0.89142279
-5.65782891,3.05176800,0.44798239,1.45574185,0.07963031,0.09090223,0.05544363,0.88448376
-5.65182591,3.04727077,0.45669935,1.44677253,0.07684245,0.09498337,0.05570640,0.87984436
-5.64582291,3.04798217,0.46568669,1.44005463,0.07443144,0.09904735,0.05620212,0.87689460
-5.63981991,3.05148843,0.47455354,1.43450192,0.07233478,0.10300216,0.05685808,0.87497309
-5.63381691,3.05530046,0.48289991,1.42900030,0.07048639,0.10675335,0.05760112,0.87339241
-5.62781391,3.05694656,0.49032993,1.42245193,0.06881932,0.11020675,0.05835973,0.87146513
-5.62181091,3.05406273,0.49646494,1.41381761,0.06726828,0.11327138,0.05906613,0.86852936
-5.61580790,3.04447712,0.50095621,1.40215569,0.06577189,0.11586230,0.05965805,0.86397277
-5.60980490,3.02628536,0.50349653,1.38665589,0.06427472,0.11790333,0.06008040,0.85725430
-5.60380190,2.99791385,0.50383035,1.36666700,0.06272886,0.11932959,0.06028661,0.84792256
-5.59779890,2.95816917,0.50176201,1.34171734,0.06109519,0.12008959,0.06023974,0.83563044
-5.59179590,2.90627180,0.49716173,1.31152759,0.05934421,0.12014698,0.05991319,0.82014541
-5.58579290,2.84187370,0.48996922,1.27601576,0.05745644,0.11948170,0.05929117,0.80135532
-5.57978989,2.76505967,0.48019476,1.23529455,0.05542249,0.11809065,0.05836881,0.77926966
-5.57378689,2.67633323,0.46791779,1.18966165,0.05324272,0.11598765,0.05715190,0.75401647
-5.56778389,2.57658860,0.45328313,1.13958377,0.05092660,0.11320296,0.05565649,0.72583530
-5.56178089,2.46707047,0.43649512,1.08567559,0.04849186,0.10978217,0.05390804,0.69506665
-5.55577789,2.34932429,0.41780993,1.02867473,0.04596334,0.10578460,0.05194052,0.66213873
-5.54977489,2.22513931,0.39752649,0.96941420,0.04337176,0.10128129,0.04979520,0.62755201
-5.54377189,2.09648749,0.37597643,0.90879359,0.04075247,0.09635272,0.04751941,0.59186255
-5.53776888,1.96546070,0.35351354,0.84775024,0.03814402,0.09108627,0.04516519,0.55566469
-5.53176588,1.83420885,0.33050309,0.78723152,0.03558693,0.08557357,0.04278784,0.51957383
-5.52576288,1.70488112,0.30731158,0.72816927,0.03312241,0.07990786,0.04044460,0.48421004
-5.51975988,1.57957202,0.28429711,0.67145695,0.03079126,0.07418151,0.03819324,0.45018268
-5.51375688,1.46027371,0.26180082,0.61793012,0.02863283,0.06848368,0.03609079,0.41807682
-5.50775388,1.34883533,0.24013950,0.56835045,0.02668419,0.06289820,0.03419236,0.38844130
-5.50175088,1.24692978,0.21959966,0.52339326,0.02497938,0.05750194,0.03255003,0.36177882
-5.49574787,1.15602800,0.20043296,0.48363857,0.02354885,0.05236332,0.03121180,0.33853789
-5.48974487,1.07738011,0.18285315,0.44956510,0.02241896,0.04754138,0.03022078,0.31910666
-5.48374187,1.01200312,0.16703438,0.42154708,0.02161165,0.04308511,0.02961427,0.30380838
-5.47773887,0.96067406,0.15311069,0.39985320,0.02114419,0.03903319,0.02942316,0.29289838
-5.47173587,0.92392794,0.14117673,0.38464737,0.02102897,0.03541400,0.02967122,0.28656224
-5.46573287,0.90205952,0.13128933,0.37599074,0.02127344,0.03224594,0.03037459,0.28491509
-5.45972986,0.89512831,0.12346984,0.37384476,0.02188003,0.02953799,0.03154130,0.28800190
-5.45372686,0.90296610,0.11770706,0.37807490,0.02284619,0.02729042,0.03317095,0.29579843
-5.44772386,0.92518682,0.11396058,0.38845505,0.02416445,0.02549567,0.03525443,0.30821318
-5.44172086,0.96119849,0.11216439,0.40467237,0.02582260,0.02413925,0.03777379,0.32509001
-5.43571786,1.01021731,0.11223064,0.42633290,0.02780391,0.02320078,0.04070229,0.34621172
-5.42971486,1.07128402,0.11405351,0.45296779,0.03008746,0.02265495,0.04400461,0.37130456
-5.42371186,1.14328282,0.11751305,0.48404069,0.03264860,0.02247252,0.04763724,0.40004378
-5.41770885,1.22496300,0.12247890,0.51895608,0.03545945,0.02262126,0.05154913,0.43206043
-5.41170585,1.31496344,0.12881398,0.55706902,0.03848963,0.02306682,0.05568252,0.46694911
-5.40570285,1.41183989,0.13637801,0.59769626,0.04170699,0.02377359,0.05997409,0.50427700
-5.39969985,1.51409481,0.14503075,0.64012864,0.04507847,0.02470543,0.06435622,0.54359374
-5.39369685,1.62020915,0.15463503,0.68364469,0.04857103,0.02582635,0.06875854,0.58444198
-5.38769385,1.72867534,0.16505940,0.72752516,0.05215260,0.02710109,0.07310959,0.62636833
-5.38169085,1.83803030,0.17618043,0.77106802,0.05579300,0.02849566,0.07733861,0.66893417
-5.37568784,1.94688727,0.18788441,0.81360343,0.05946478,0.02997776,0.08137737,0.71172581
-5.36968484,2.05396497,0.20006850,0.85450809,0.06314397,0.03151711,0.08516194,0.75436357
-5.36368184,2.15811260,0.21264126,0.89321828,0.06681056,0.03308571,0.08863441,0.79650901
-5.35767884,2.25832941,0.22552243,0.92924101,0.07044886,0.03465798,0.09174433,0.83787011
-5.35167584,2.35377755,0.23864191,0.96216270,0.07404751,0.03621086,0.09445002,0.87820372
-5.34567284,2.44378737,0.25193812,0.99165486,0.07759919,0.03772378,0.09671944,0.91731523
-5.33966983,2.52785477,0.26535559,1.01747651,0.08110006,0.03917856,0.09853078,0.95505526
