energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.59644838,0.00008650,0.00000000,0.00000076,0.00451103,0.98758218,0.18699591
-5.99399700,0.60127261,0.00008343,0.00000000,0.00000052,0.00447593,0.99557768,0.18867688
-5.98799400,0.60230749,0.00008082,0.00000000,0.00000036,0.00441194,0.99725621,0.18916444
-5.98199100,0.59948845,0.00007841,0.00000000,0.00000024,0.00431991,0.99252274,0.18843688
-5.97598799,0.59283710,0.00007603,0.00000000,0.00000016,0.00420137,0.98142299,0.18649920
-5.96998499,0.58245799,0.00007356,0.00000000,0.00000011,0.00405840,0.96413846,0.18338228
-5.96398199,0.56853320,0.00007092,0.00000000,0.00000007,0.00389361,0.94097765,0.17914131
-5.95797899,0.55131489,0.00006807,0.00000000,0.00000005,0.00370998,0.91236380,0.17385363
-5.95197599,0.53111594,0.00006500,0.00000000,0.00000003,0.00351078,0.87881967,0.16761584
-5.94597299,0.50829923,0.00006170,0.00000000,0.00000002,0.00329945,0.84094973,0.16054057
-5.93996998,0.48326579,0.00005822,0.00000000,0.00000001,0.00307950,0.79942073,0.15275282
-5.93396698,0.45644236,0.00005459,0.00000000,0.00000001,0.00285442,0.75494123,0.14438607
-5.92796398,0.42826887,0.00005085,0.00000000,0.00000001,0.00262754,0.70824083,0.13557836
-5.92196098,0.39918622,0.00004706,0.00000000,0.00000000,0.00240201,0.66005004,0.12646845
-5.91595798,0.36962476,0.00004327,0.00000000,0.00000000,0.00218068,0.61108138,0.11719221
-5.90995498,0.33999396,0.00003954,0.00000000,0.00000000,0.00196609,0.56201229,0.10787927
-5.90395198,0.31067353,0.00003592,0.00000000,0.00000000,0.00176038,0.51347046,0.09865024
-5.89794897,0.28200610,0.00003246,0.00000000,0.00000000,0.00156535,0.46602190,0.08961427
-5.89194597,0.25429176,0.00002923,0.00000000,0.00000000,0.00138237,0.42016191,0.08086736
-5.88594297,0.22778442,0.00002628,0.00000000,0.00000000,0.00121244,0.37630914,0.07249106
-5.87993997,0.20268994,0.00002367,0.00000000,0.00000000,0.00105621,0.33480257,0.06455187
-5.87393697,0.17916597,0.00002146,0.00000000,0.00000000,0.00091400,0.29590131,0.05710111
-5.86793397,0.15732334,0.00001975,0.00000000,0.00000000,0.00078582,0.25978690,0.05017527
-5.86193097,0.13722869,0.00001864,0.00000000,0.00000000,0.00067147,0.22656776,0.04379685
-5.85592796,0.11890821,0.00001825,0.00000000,0.00000000,0.00057055,0.19628536,0.03797545
-5.84992496,0.10235219,0.00001877,0.00000000,0.00000000,0.00048252,0.16892169,0.03270916
-5.84392196,0.08752000,0.00002042,0.00000000,0.00000000,0.00040675,0.14440760,0.02798617
-5.83791896,0.07434551,0.00002350,0.00000000,0.00000000,0.00034261,0.12263161,0.02378636
-5.83191596,0.06274240,0.00002840,0.00000000,0.00000000,0.00028947,0.10344870,0.02008308
-5.82591296,0.05260944,0.00003563,0.00000000,0.00000000,0.00024679,0.08668893,0.01684470
-5.81990995,0.04383538,0.00004583,0.00000000,0.00000000,0.00021413,0.07216545,0.01403621
-5.81390695,0.03630343,0.00005983,0.00000000,0.00000000,0.00019126,0.05968179,0.01162064
-5.80790395,0.02989525,0.00007865,0.00000000,0.00000000,0.00017815,0.04903831,0.00956025
-5.80190095,0.02449428,0.00010357,0.00000000,0.00000000,0.00017502,0.04003757,0.00781767
-5.79589795,0.01998859,0.00013616,0.00000000,0.00000000,0.00018242,0.03248884,0.00635674
-5.78989495,0.01627300,0.00017832,0.00000000,0.00000000,0.00020123,0.02621151,0.00514319
-5.78389195,0.01325078,0.00023233,0.00000000,0.00000000,0.00023271,0.02103765,0.00414517
-5.77788894,0.01083476,0.00030090,0.00000000,0.00000000,0.00027855,0.01681371,0.00333361
-5.77188594,0.00894798,0.00038720,0.00000000,0.00000000,0.00034087,0.01340147,0.00268239
-5.76588294,0.00752401,0.00049489,0.00000000,0.00000000,0.00042229,0.01067837,0.00216846
-5.75987994,0.00650683,0.00062817,0.00000000,0.00000000,0.00052587,0.00853729,0.00177181
-5.75387694,0.00585054,0.00079174,0.00000000,0.00000000,0.00065517,0.00688601,0.00147535
-5.74787394,0.00551876,0.00099084,0.00000000,0.00000000,0.00081424,0.00564622,0.00126475
-5.74187094,0.00548389,0.00123116,0.00000000,0.00000000,0.00100751,0.00475248,0.00112823
-5.73586793,0.00572621,0.00151885,0.00000000,0.00000000,0.00123983,0.00415089,0.00105631
-5.72986493,0.00623287,0.00186034,0.00000000,0.00000000,0.00151633,0.00379780,0.00104153
-5.72386193,0.00699680,0.00226228,0.00000000,0.00000000,0.00184229,0.00365842,0.00107819
-5.71785893,0.00801554,0.00273132,0.00000000,0.00000000,0.00222307,0.00370548,0.00116204
-5.71185593,0.00928999,0.00327395,0.00000000,0.00000000,0.00266388,0.00391793,0.00129000
-5.70585293,0.01082317,0.00389620,0.00000000,0.00000000,0.00316958,0.00427970,0.00145992
-5.69984992,0.01261894,0.00460344,0.00000000,0.00000000,0.00374450,0.00477853,0.00167023
-5.69384692,0.01468068,0.00539999,0.00000000,0.00000000,0.00439213,0.00540488,0.00191978
-5.68784392,0.01701006,0.00628890,0.00000000,0.00000000,0.00511492,0.00615097,0.00220752
-5.68184092,0.01960580,0.00727153,0.00000000,0.00000000,0.00591397,0.00700990,0.00253231
-5.67583792,0.02246255,0.00834732,0.00000000,0.00000000,0.00678882,0.00797481,0.00289273
-5.66983492,0.02556984,0.00951345,0.00000000,0.00000000,0.00773716,0.00903827,0.00328686
-5.66383192,0.02891128,0.01076464,0.00000000,0.00000000,0.00875469,0.01019167,0.00371218
-5.65782891,0.03246386,0.01209290,0.00000000,0.00000000,0.00983492,0.01142482,0.00416541
-5.65182591,0.03619753,0.01348751,0.00000000,0.00000000,0.01096910,0.01272560,0.00464247
-5.64582291,0.04007511,0.01493492,0.00000000,0.00000000,0.01214624,0.01407979,0.00513841
-5.63981991,0.04405237,0.01641890,0.00000000,0.00000000,0.01335311,0.01547103,0.00564744
-5.63381691,0.04807858,0.01792070,0.00000000,0.00000000,0.01457449,0.01688091,0.00616297
-5.62781391,0.05209726,0.01941941,0.00000000,0.00000000,0.01579335,0.01828916,0.00667769
-5.62181091,0.05604733,0.02089234,0.00000000,0.00000000,0.01699125,0.01967404,0.00718372
-5.61580790,0.05986446,0.02231557,0.00000000,0.00000000,0.01814872,0.02101275,0.00767278
-5.60980490,0.06348276,0.02366458,0.00000000,0.00000000,0.01924584,0.02228200,0.00813642
-5.60380190,0.06683655,0.02491493,0.00000000,0.00000000,0.02026272,0.02345865,0.00856619
-5.59779890,0.06986235,0.02604296,0.00000000,0.00000000,0.02118012,0.02452033,0.00895394
-5.59179590,0.07250083,0.02702658,0.00000000,0.00000000,0.02198008,0.02544617,0.00929207
-5.58579290,0.07469870,0.02784593,0.00000000,0.00000000,0.02264644,0.02621744,0.00957374
-5.57978989,0.07641055,0.02848410,0.00000000,0.00000000,0.02316544,0.02681817,0.00979313
-5.57378689,0.07760036,0.02892764,0.00000000,0.00000000,0.02352617,0.02723570,0.00994561
-5.56778389,0.07824276,0.02916712,0.00000000,0.00000000,0.02372094,0.02746113,0.01002794
-5.56178089,0.07832398,0.02919740,0.00000000,0.00000000,0.02374557,0.02748961,0.01003834
-5.55577789,0.07784225,0.02901782,0.00000000,0.00000000,0.02359954,0.02732051,0.00997660
-5.54977489,0.07680795,0.02863225,0.00000000,0.00000000,0.02328598,0.02695747,0.00984404
-5.54377189,0.07524319,0.02804892,0.00000000,0.00000000,0.02281160,0.02640824,0.00964349
-5.53776888,0.07318104,0.02728017,0.00000000,0.00000000,0.02218644,0.02568443,0.00937919
-5.53176588,0.07066440,0.02634199,0.00000000,0.00000000,0.02142350,0.02480108,0.00905664
-5.52576288,0.06774447,0.02525344,0.00000000,0.00000000,0.02053832,0.02377615,0.00868240
-5.51975988,0.06447908,0.02403608,0.00000000,0.00000000,0.01954842,0.02262992,0.00826389
-5.51375688,0.06093078,0.02271321,0.00000000,0.00000000,0.01847279,0.02138431,0.00780911
-5.50775388,0.05716488,0.02130916,0.00000000,0.00000000,0.01733125,0.02006222,0.00732643
-5.50175088,0.05324754,0.01984856,0.00000000,0.00000000,0.01614387,0.01868680,0.00682433
-5.49574787,0.04924385,0.01835562,0.00000000,0.00000001,0.01493043,0.01728084,0.00631116
-5.48974487,0.04521623,0.01685357,0.00000000,0.00000001,0.01370990,0.01586613,0.00579489
-5.48374187,0.04122291,0.01536402,0.00000000,0.00000001,0.01249999,0.01446298,0.00528299
-5.47773887,0.03731681,0.01390658,0.00000000,0.00000002,0.01131685,0.01308978,0.00478222
-5.47173587,0.03354465,0.01249852,0.00000000,0.00000003,0.01017477,0.01176266,0.00429857
-5.46573287,0.02994649,0.01115456,0.00000000,0.00000004,0.00908605,0.01049534,0.00383713
-5.45972986,0.02655545,0.00988677,0.00000000,0.00000006,0.00806098,0.00929900,0.00340212
-5.45372686,0.02339795,0.00870461,0.00000000,0.00000008,0.00710785,0.00818230,0.00299690
-5.44772386,0.02049407,0.00761509,0.00000000,0.00000011,0.00623316,0.00715153,0.00262398
-5.44172086,0.01785829,0.00662296,0.00000000,0.00000016,0.00544183,0.00621076,0.00228516
-5.43571786,0.01550043,0.00573105,0.00000000,0.00000021,0.00473749,0.00536215,0.00198159
-5.42971486,0.01342679,0.00494064,0.00000000,0.00000029,0.00412292,0.00460630,0.00171399
-5.42371186,0.01164142,0.00425191,0.00000000,0.00000040,0.00360045,0.00394260,0.00148273
-5.41770885,0.01014759,0.00366436,0.00000000,0.00000053,0.00317243,0.00336968,0.00128805
-5.41170585,0.00894924,0.00317737,0.00000000,0.00000071,0.00284179,0.00288583,0.00113024
-5.40570285,0.00805254,0.00279063,0.00000000,0.00000094,0.00261249,0.00248949,0.00100983
