energy_ev,total_up,Al_p_up,Al_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.35137790,0.06456585,0.00000000,0.01616331,1.44316553,0.71943435,0.73842942
-5.99399700,2.46661671,0.07096183,0.00000000,0.01665552,1.49440514,0.73556929,0.74087760
-5.98799400,2.60705206,0.07767861,0.00000000,0.01731384,1.56382837,0.75997651,0.75272372
-5.98199100,2.77113202,0.08465809,0.00000000,0.01810689,1.65063289,0.79186601,0.77366176
-5.97598799,2.95700018,0.09183544,0.00000000,0.01900474,1.75380614,0.83040306,0.80327687
-5.96998499,3.16250798,0.09914001,0.00000000,0.01997910,1.87212843,0.87471492,0.84104859
-5.96398199,3.38523238,0.10649630,0.00000000,0.02100347,2.00417916,0.92389804,0.88635533
-5.95797899,3.62249920,0.11382522,0.00000000,0.02205333,2.14834666,0.97702601,0.93848019
-5.95197599,3.87141213,0.12104539,0.00000000,0.02310623,2.30284201,1.03315821,0.99661826
-5.94597299,4.12888748,0.12807463,0.00000000,0.02414190,2.46571702,1.09134908,1.05988558
-5.93996998,4.39169386,0.13483144,0.00000000,0.02514227,2.63488632,1.15065799,1.12732955
-5.93396698,4.65649646,0.14123648,0.00000000,0.02609155,2.80815342,1.21015948,1.19794095
-5.92796398,4.91990463,0.14721412,0.00000000,0.02697620,2.98324014,1.26895361,1.27066727
-5.92196098,5.17852194,0.15269380,0.00000000,0.02778488,3.15781902,1.32617620,1.34442718
-5.91595798,5.42899725,0.15761140,0.00000000,0.02850840,3.32954783,1.38100868,1.41812582
-5.90995498,5.66807570,0.16191034,0.00000000,0.02913958,3.49610527,1.43268732,1.49067074
-5.90395198,5.89264815,0.16554265,0.00000000,0.02967313,3.65522717,1.48051151,1.56098794
-5.89794897,6.09979817,0.16846972,0.00000000,0.03010547,3.80474205,1.52385107,1.62803777
-5.89194597,6.28684526,0.17066297,0.00000000,0.03043456,3.94260529,1.56215236,1.69083035
-5.88594297,6.45138373,0.17210424,0.00000000,0.03065971,4.06693113,1.59494310,1.74844014
-5.87993997,6.59131638,0.17278604,0.00000000,0.03078142,4.17602172,1.62183613,1.80001938
-5.87393697,6.70488284,0.17271154,0.00000000,0.03080116,4.26839281,1.64253181,1.84481024
-5.86793397,6.79068209,0.17189448,0.00000000,0.03072126,4.34279556,1.65681961,1.88215532
-5.86193097,6.84768947,0.17035884,0.00000000,0.03054480,4.39823427,1.66457862,1.91150665
-5.85592796,6.87526808,0.16813845,0.00000000,0.03027546,4.43397994,1.66577740,1.93243280
-5.84992496,6.87317501,0.16527640,0.00000000,0.02991755,4.44957953,1.66047329,1.94462436
-5.84392196,6.84156256,0.16182449,0.00000000,0.02947594,4.44486102,1.64881111,1.94789752
-5.83791896,6.78097487,0.15784248,0.00000000,0.02895610,4.41993436,1.63102162,1.94219604
-5.83191596,6.69234018,0.15339734,0.00000000,0.02836417,4.37518850,1.60741946,1.92759138
-5.82591296,6.57695874,0.14856253,0.00000000,0.02770702,4.31128445,1.57840077,1.90428125
-5.81990995,6.43648681,0.14341708,0.00000000,0.02699232,4.22914465,1.54444030,1.87258646
-5.81390695,6.27291635,0.13804485,0.00000000,0.02622867,4.12993869,1.50608783,1.83294616
