energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,6.21263076,0.00974803,1.01090670,0.77102259,0.25849175,2.67312072,2.40839973,0.11974672,1.73593646
-5.99399700,6.20466852,0.00993271,1.00447068,0.75963928,0.26358805,2.64422758,2.40927684,0.12128666,1.73417522
-5.98799400,6.20287329,0.01010529,1.00041243,0.74848917,0.26883863,2.61868161,2.41466284,0.12260824,1.73196960
-5.98199100,6.20808958,0.01026663,0.99881254,0.73783615,0.27429677,2.59684712,2.42479770,0.12372126,1.72965130
-5.97598799,6.22131700,0.01041866,0.99977300,0.72795627,0.28003144,2.57906840,2.43997419,0.12463743,1.72761739
-5.96998499,6.24367248,0.01056439,1.00341062,0.71913256,0.28612541,2.56566015,2.46052152,0.12536985,1.72631970
-5.96398199,6.27634691,0.01070768,1.00984965,0.71164915,0.29267253,2.55689835,2.48678778,0.12593249,1.72625160
-5.95797899,6.32055667,0.01085312,1.01921365,0.70578467,0.29977413,2.55301150,2.51912116,0.12633974,1.72793222
-5.95197599,6.37749067,0.01100575,1.03161672,0.70180514,0.30753472,2.55417220,2.55785021,0.12660602,1.73188859
-5.94597299,6.44825388,0.01117078,1.04715417,0.69995621,0.31605705,2.56048901,2.60326320,0.12674550,1.73863600
-5.93996998,6.53380830,0.01135328,1.06589304,0.70045509,0.32543657,2.57199860,2.65558715,0.12677185,1.74865718
-5.93396698,6.63491304,0.01155792,1.08786243,0.70348245,0.33575567,2.58865816,2.71496662,0.12669801,1.76238082
-5.92796398,6.75206524,0.01178858,1.11304425,0.70917437,0.34707777,2.61033832,2.78144297,0.12653608,1.78016035
-5.92196098,6.88544387,0.01204812,1.14136454,0.71761486,0.35944156,2.63681683,2.85493481,0.12629709,1.80225352
-5.91595798,7.03485911,0.01233810,1.17268589,0.72882938,0.37285570,2.66777331,2.93522031,0.12599088,1.82880397
-5.90995498,7.19970970,0.01265858,1.20680134,0.74277951,0.38729426,2.70278562,3.02192248,0.12562589,1.85982541
-5.90395198,7.37895117,0.01300797,1.24343026,0.75935943,0.40269314,2.74132842,3.11449830,0.12520898,1.89518956
-5.89794897,7.57107761,0.01338296,1.28221655,0.77839437,0.41894787,2.78277437,3.21223285,0.12474519,1.93461847
-5.89194597,7.77411927,0.01377850,1.32272956,0.79964135,0.43591277,2.82639876,3.31423930,0.12423756,1.97768213
-5.88594297,7.98565815,0.01418792,1.36446798,0.82279244,0.45340197,2.87138776,3.41946568,0.12368689,2.02380179
-5.87993997,8.20286275,0.01460303,1.40686693,0.84748046,0.47119210,2.91685095,3.52670902,0.12309163,2.07225938
-5.87393697,8.42254261,0.01501441,1.44930821,0.87328727,0.48902689,2.96183797,3.63463713,0.12244777,2.12221317
-5.86793397,8.64122204,0.01541165,1.49113357,0.89975426,0.50662344,3.00535946,3.74181807,0.12174889,2.17271930
-5.86193097,8.85523179,0.01578374,1.53166076,0.92639479,0.52368019,3.04641173,3.84675660,0.12098624,2.22275878
-5.85592796,9.06081577,0.01611945,1.57020187,0.95270819,0.53988608,3.08400470,3.94793696,0.12014907,2.27126907
-5.84992496,9.25424943,0.01640773,1.60608326,0.97819469,0.55493091,3.11719202,4.04387037,0.11922499,2.31717908
-5.84392196,9.43196520,0.01663810,1.63866641,1.00237074,0.56851605,3.14510241,4.13314548,0.11820055,2.35944627
-5.83791896,9.59067960,0.01680111,1.66736874,1.02478404,0.58036547,3.16697067,4.21447980,0.11706185,2.39709429
-5.83191596,9.72751640,0.01688864,1.69168352,1.04502763,0.59023623,3.18216706,4.28676947,0.11579535,2.42924943
-5.82591296,9.84011982,0.01689427,1.71119774,1.06275254,0.59792820,3.19022352,4.34913508,0.11438859,2.45517430
-5.81990995,9.92675192,0.01681351,1.72560727,1.07767827,0.60329236,3.19085525,4.40096095,0.11283109,2.47429711
-5.81390695,9.98636908,0.01664400,1.73472821,1.08960088,0.60623729,3.18397629,4.44192555,0.11111503,2.48623503
-5.80790395,10.01867290,0.01638561,1.73850386,1.09839824,0.60673357,3.16970824,4.47202111,0.10923598,2.49081067
-5.80190095,10.02413241,0.01604048,1.73700682,1.10403236,0.60481577,3.14838119,4.49156089,0.10719346,2.48806058
-5.79589795,10.00397552,0.01561295,1.73043582,1.10654874,0.60058192,3.12052662,4.50117312,0.10499127,2.47823556
-5.78989495,9.96014937,0.01510944,1.71910744,1.10607285,0.59419046,3.08686218,4.50178136,0.10263772,2.46179257
-5.78389195,9.89525075,0.01453827,1.70344274,1.10280408,0.58585478,3.04826905,4.49457162,0.10014557,2.43937869
-5.77788894,9.81242937,0.01390938,1.68394954,1.09700742,0.57583565,3.00576257,4.48094750,0.09753181,2.41180788
-5.77188594,9.71526818,0.01323406,1.66120098,1.08900335,0.56443176,2.96045751,4.46247502,0.09481716,2.38003166
-5.76588294,9.60764615,0.01252460,1.63581131,1.07915651,0.55196902,2.91352957,4.44081966,0.09202550,2.34510520
-5.75987994,9.49359000,0.01179397,1.60841020,1.06786352,0.53878891,2.86617483,4.41767839,0.08918300,2.30815024
-5.75387694,9.37712168,0.01105546,1.57961659,1.05554061,0.52523661,2.81956920,4.39470989,0.08631729,2.27031679
-5.74787394,9.26210887,0.01032236,1.55001363,1.04261144,0.51164934,2.77482961,4.37346635,0.08345646,2.23274516
-5.74187094,9.15212539,0.00960765,1.52012559,1.02949554,0.49834550,2.73297897,4.35533003,0.08062810,2.19653004
-5.73586793,9.05032784,0.00892375,1.49039827,1.01659774,0.48561501,2.69491632,4.34145774,0.07785836,2.16268808
-5.72986493,8.95935398,0.00828221,1.46118354,1.00429882,0.47371135,2.66139366,4.33273573,0.07517104,2.13213020
-5.72386193,8.88124685,0.00769360,1.43272891,0.99294752,0.46284550,2.63300017,4.32974727,0.07258692,2.10563950
-5.71785893,8.81740746,0.00716730,1.40517254,0.98285412,0.45318192,2.61015455,4.33275409,0.07012313,2.08385538
-5.71185593,8.76857725,0.00671143,1.37854390,0.97428542,0.44483684,2.59310530,4.34169261,0.06779271,2.06726416
-5.70585293,8.73484979,0.00633273,1.35276983,0.96746127,0.43787854,2.58193864,4.35618460,0.06560440,2.05619591
-5.69984992,8.71570987,0.00603657,1.32768573,0.96255237,0.43232965,2.57659326,4.37556152,0.06356258,2.05082729
-5.69384692,8.71009671,0.00582692,1.30305103,0.95967938,0.42817113,2.57688049,4.39890106,0.06166739,2.05118957
-5.68784392,8.71648687,0.00570638,1.27856813,0.95891312,0.42534768,2.58250875,4.42507354,0.05991502,2.05718098
-5.68184092,8.73299171,0.00567621,1.25390365,0.96027572,0.42377412,2.59311022,4.45279568,0.05829817,2.06858237
-5.67583792,8.75746373,0.00573639,1.22871086,0.96374255,0.42334239,2.60826832,4.48068891,0.05680657,2.08507511
-5.66983492,8.78760601,0.00588569,1.20265205,0.96924495,0.42392875,2.62754414,4.50733918,0.05542760,2.10626017
-5.66383192,8.82107922,0.00612171,1.17541975,0.97667346,0.42540086,2.65050021,4.53135534,0.05414703,2.13167733
-5.65782891,8.85560118,0.00644100,1.14675555,0.98588163,0.42762433,2.67672048,4.55142354,0.05294968,2.16082368
-5.65182591,8.88903482,0.00683916,1.11646584,0.99669021,0.43046852,2.70582538,4.56635521,0.05182010,2.19317078
-5.64582291,8.91946131,0.00731085,1.08443370,1.00889183,0.43381137,2.73748136,4.57512705,0.05074325,2.22817982
-5.63981991,8.94523643,0.00785000,1.05062648,1.02225591,0.43754319,2.77140477,4.57691162,0.04970509,2.26531465
-5.63381691,8.96502911,0.00844983,1.01509892,1.03653402,0.44156928,2.80736024,4.57109816,0.04869303,2.30405260
-5.62781391,8.97784268,0.00910303,0.97799186,1.05146537,0.44581153,2.84515417,4.55730339,0.04769641,2.34389301
-5.62181091,8.98301989,0.00980187,0.93952696,1.06678265,0.45020904,2.88462415,4.53537310,0.04670674,2.38436398
-5.61580790,8.98023397,0.01053836,0.89999772,1.08221800,0.45471785,2.92562570,4.50537541,0.04571791,2.42502753
-5.60980490,8.96946845,0.01130440,0.85975778,1.09750904,0.45931017,2.96801742,4.46758702,0.04472628,2.46548369
-5.60380190,8.95098881,0.01209196,0.81920704,1.11240496,0.46397304,3.01164606,4.42247426,0.04373064,2.50537395
-5.59779890,8.92530922,0.01289326,0.77877663,1.12667255,0.46870687,3.05633297,4.37067038,0.04273212,2.54438447
-5.59179590,8.89315741,0.01370095,0.73891345,1.14010195,0.47352393,3.10186290,4.31295090,0.04173400,2.58224940
-5.58579290,8.85544027,0.01450833,0.70006519,1.15251211,0.47844693,3.14797651,4.25020850,0.04074147,2.61875448
-5.57978989,8.81321245,0.01530948,0.66266647,1.16375579,0.48350788,3.19436693,4.18342856,0.03976131,2.65374109
-5.57378689,8.76764917,0.01609948,0.62712678,1.17372388,0.48874723,3.24068111,4.11366648,0.03880161,2.68711063
-5.56778389,8.72002420,0.01687452,0.59382045,1.18234900,0.49421336,3.28652571,4.04202719,0.03787140,2.71882891
-5.56178089,8.67169280,0.01763203,0.56307917,1.18960810,0.49996231,3.33147744,3.96964718,0.03698034,2.74893048
-5.55577789,8.62407900,0.01837080,0.53518693,1.19552413,0.50605782,3.37509704,3.89767890,0.03613840,2.77752218
-5.54977489,8.57866608,0.01909096,0.51037743,1.20016642,0.51257133,3.41694613,3.82727719,0.03535557,2.80478560
-5.54377189,8.53698859,0.01979403,0.48883368,1.20364991,0.51958216,3.45660575,3.75958722,0.03464156,2.83097784
-5.53776888,8.50062416,0.02048283,0.47068957,1.20613298,0.52717735,3.49369540,3.69573311,0.03400562,2.85643021
-5.53176588,8.47118337,0.02116141,0.45603286,1.20781406,0.53545136,3.52789138,3.63680685,0.03345634,2.88154438
-5.52576288,8.45029609,0.02183482,0.44490934,1.20892691,0.54450537,3.55894326,3.58385647,0.03300147,2.90678573
-5.51975988,8.43959309,0.02250899,0.43732747,1.20973467,0.55444611,3.58668724,3.53787343,0.03264785,2.93267390
-5.51375688,8.44068218,0.02319040,0.43326325,1.21052289,0.56538422,3.61105594,3.49977858,0.03240132,2.95977045
-5.50775388,8.45511871,0.02388581,0.43266484,1.21159166,0.57743219,3.63208363,3.47040685,0.03226667,2.98866405
-5.50175088,8.48437090,0.02460197,0.43545659,1.21324698,0.59070185,3.64990691,3.45049078,0.03224765,3.01995353
-5.49574787,8.52978091,0.02534525,0.44154232,1.21579189,0.60530156,3.66476064,3.44064335,0.03234696,3.05422944
-5.48974487,8.59252321,0.02612134,0.45080759,1.21951733,0.62133325,3.67696945,3.44134071,0.03256630,3.09205489
-5.48374187,8.67356219,0.02693493,0.46312093,1.22469327,0.63888935,3.68693540,3.45290560,0.03290646,3.13394638
-5.47773887,8.77361108,0.02778945,0.47833422,1.23156038,0.65804997,3.69512235,3.47549244,0.03336732,3.18035563
-5.47173587,8.89309443,0.02868681,0.49628203,1.24032248,0.67888024,3.70203806,3.50907481,0.03394802,3.23165312
-5.46573287,9.03211645,0.02962729,0.51678040,1.25114013,0.70142822,3.70821477,3.55343636,0.03464700,3.28811415
-5.45972986,9.19043718,0.03060940,0.53962510,1.26412557,0.72572328,3.71418940,3.60816583,0.03546212,3.34990815
-5.45372686,9.36745798,0.03162988,0.56458972,1.27933923,0.75177519,3.72048406,3.67265686,0.03639079,3.41709161
-5.44772386,9.56221773,0.03268381,0.59142385,1.29678792,0.77957385,3.72758786,3.74611286,0.03743007,3.48960505
-5.44172086,9.77340038,0.03376476,0.61985164,1.31642482,0.80908977,3.73594056,3.82755731,0.03857677,3.56727402
-5.43571786,9.99935375,0.03486501,0.64957095,1.33815120,0.84027516,3.74591874,3.91584932,0.03982756,3.64981418
-5.42971486,10.23811947,0.03597593,0.68025345,1.36181982,0.87306560,3.75782462,4.00970417,0.04117909,3.73683995
-5.42371186,10.48747277,0.03708828,0.71154566,1.38723990,0.90738210,3.77187802,4.10771848,0.04262804,3.82787642
-5.41770885,10.74497080,0.03819272,0.74307131,1.41418341,0.94313345,3.78821121,4.20839911,0.04417119,3.92237371
-5.41170585,11.00800774,0.03928017,0.77443487,1.44239239,0.98021866,3.80686680,4.31019520,0.04580546,4.01972313
-5.40570285,11.27387432,0.04034229,0.80522634,1.47158706,1.01852922,3.82779825,4.41153220,0.04752790,4.11927420
-5.39969985,11.53981975,0.04137188,0.83502733,1.50147428,1.05795118,3.85087285,4.51084706,0.04933568,4.22035177
-5.39369685,11.80311343,0.04236323,0.86341812,1.53175610,1.09836662,3.87587682,4.60662332,0.05122603,4.32227222
-5.38769385,12.06110426,0.04331241,0.88998567,1.56213795,1.13965460,3.90252200,4.69742524,0.05319611,4.42435811
-5.38169085,12.31127526,0.04421746,0.91433221,1.59233626,1.18169136,3.93045384,4.78192979,0.05524290,4.52595054
-5.37568784,12.55129155,0.04507849,0.93608420,1.62208495,1.22434966,3.95926033,4.85895558,0.05736296,4.62641865
-5.36968484,12.77904001,0.04589765,0.95490122,1.65114086,1.26749739,3.98848141,4.92748783,0.05955227,4.72516583
-5.36368184,12.99265927,0.04667899,0.97048459,1.67928759,1.31099535,4.01761849,4.98669867,0.06180593,4.82163269
-5.35767884,13.19055927,0.04742823,0.98258511,1.70633784,1.35469439,4.04614398,5.03596203,0.06411792,4.91529647
-5.35167584,13.37142991,0.04815238,0.99100984,1.73213404,1.39843200,4.07351041,5.07486270,0.06648079,5.00566741
