energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,1.42619962,0.00577102,0.08226731,0.49151324,0.54124324,0.68299408,0.00000000,0.50510776,0.23341170
-5.99399700,1.33172290,0.00503289,0.07552067,0.45364160,0.51711535,0.63442451,0.00000000,0.46326191,0.21500212
-5.98799400,1.24280213,0.00438621,0.06897256,0.41724288,0.49521921,0.58835155,0.00000000,0.42302740,0.19753468
-5.98199100,1.16054131,0.00382459,0.06270528,0.38281663,0.47592698,0.54530449,0.00000000,0.38485120,0.18119682
-5.97598799,1.08594902,0.00334210,0.05679309,0.35082396,0.45958066,0.50576374,0.00000000,0.34913798,0.16615914
-5.96998499,1.01992874,0.00293335,0.05130154,0.32168251,0.44648896,0.47015623,0.00000000,0.31624653,0.15257383
-5.96398199,0.96327303,0.00259346,0.04628711,0.29576342,0.43692547,0.43885279,0.00000000,0.28648814,0.14057372
-5.95797899,0.91666112,0.00231811,0.04179733,0.27338988,0.43112747,0.41216752,0.00000000,0.26012670,0.13027190
-5.95197599,0.88065907,0.00210350,0.03787106,0.25483726,0.42929557,0.39035856,0.00000000,0.23738036,0.12176172
-5.94597299,0.85572170,0.00194632,0.03453906,0.24033417,0.43159342,0.37362994,0.00000000,0.21842419,0.11511701
-5.93996998,0.84219530,0.00184373,0.03182467,0.23006419,0.43814753,0.36213405,0.00000000,0.20339364,0.11039254
-5.93396698,0.84032038,0.00179326,0.02974453,0.22416787,0.44904678,0.35597425,0.00000000,0.19238831,0.10762438
-5.92796398,0.85023355,0.00179281,0.02830940,0.22274456,0.46434140,0.35520718,0.00000000,0.18547563,0.10683008
-5.92196098,0.87196812,0.00184051,0.02752477,0.22585382,0.48404153,0.35984455,0.00000000,0.18269405,0.10800880
-5.91595798,0.90545304,0.00193466,0.02739143,0.23351609,0.50811504,0.36985405,0.00000000,0.18405561,0.11114092
-5.90995498,0.95050999,0.00207370,0.02790586,0.24571261,0.53648491,0.38515930,0.00000000,0.18954744,0.11618756
-5.90395198,1.00684882,0.00225602,0.02906041,0.26238437,0.56902626,0.40563887,0.00000000,0.19913223,0.12308973
-5.89794897,1.07406174,0.00247997,0.03084330,0.28343025,0.60556318,0.43112439,0.00000000,0.21274757,0.13176737
-5.89194597,1.15161682,0.00274371,0.03323843,0.30870450,0.64586576,0.46139810,0.00000000,0.23030420,0.14211822
-5.88594297,1.23885148,0.00304516,0.03622499,0.33801378,0.68964753,0.49618992,0.00000000,0.25168338,0.15401695
-5.87993997,1.33496686,0.00338193,0.03977699,0.37111406,0.73656366,0.53517468,0.00000000,0.27673351,0.16731436
-5.87393697,1.43902406,0.00375125,0.04386267,0.40770777,0.78621025,0.57796961,0.00000000,0.30526642,0.18183716
-5.86793397,1.54994291,0.00414993,0.04844393,0.44744157,0.83812496,0.62413282,0.00000000,0.33705357,0.19738821
-5.86193097,1.66650428,0.00457435,0.05347580,0.48990517,0.89178917,0.67316289,0.00000000,0.37182256,0.21374760
-5.85592796,1.78735649,0.00502043,0.05890599,0.53463152,0.94663188,0.72450012,0.00000000,0.40925444,0.23067456
-5.84992496,1.91102639,0.00548368,0.06467467,0.58109875,1.00203538,0.77752969,0.00000000,0.44898198,0.24791023
-5.84392196,2.03593534,0.00595918,0.07071447,0.62873403,1.05734278,0.83158683,0.00000000,0.49058951,0.26518141
-5.83791896,2.16042013,0.00644171,0.07695077,0.67691969,1.11186728,0.88596432,0.00000000,0.53361440,0.28220526
-5.83191596,2.28275884,0.00692576,0.08330231,0.72500139,1.16490299,0.93992216,0.00000000,0.57755051,0.29869473
-5.82591296,2.40120093,0.00740567,0.08968219,0.77229862,1.21573731,0.99269932,0.00000000,0.62185377,0.31436467
-5.81990995,2.51400112,0.00787572,0.09599919,0.81811707,1.26366437,1.04352754,0.00000000,0.66594977,0.32893839
-5.81390695,2.61945620,0.00833024,0.10215942,0.86176282,1.30799948,1.09164653,0.00000000,0.70924356,0.34215452
-5.80790395,2.71594356,0.00876377,0.10806830,0.90255789,1.34809405,1.13632051,0.00000000,0.75113125,0.35377369
