energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,1.85318328,0.04407142,0.00120981,0.43525385,0.94458593,0.00605034,0.35313648
-5.99399700,1.89491842,0.04476554,0.00124515,0.44471978,0.96571388,0.00616474,0.36121168
-5.98799400,1.92642605,0.04520361,0.00127613,0.45178838,0.98155925,0.00624578,0.36735879
-5.98199100,1.94757730,0.04537187,0.00130296,0.45641745,0.99205159,0.00629190,0.37155751
-5.97598799,1.95855853,0.04526451,0.00132609,0.45863953,0.99728039,0.00630263,0.37384766
-5.96998499,1.95986903,0.04488353,0.00134618,0.45856128,0.99749411,0.00627865,0.37432868
-5.96398199,1.95230698,0.04423846,0.00136410,0.45636014,0.99309307,0.00622171,0.37315696
-5.95797899,1.93694344,0.04334576,0.00138090,0.45227822,0.98461646,0.00613459,0.37054078
-5.95197599,1.91508523,0.04222807,0.00139778,0.44661362,0.97272362,0.00602107,0.36673315
-5.94597299,1.88822781,0.04091321,0.00141600,0.43970950,0.95817032,0.00588578,0.36202274
-5.93996998,1.85799988,0.03943308,0.00143693,0.43194114,0.94178087,0.00573412,0.35672311
-5.93396698,1.82610187,0.03782246,0.00146188,0.42370175,0.92441707,0.00557217,0.35116089
-5.92796398,1.79424073,0.03611771,0.00149211,0.41538734,0.90694541,0.00540659,0.34566308
-5.92196098,1.76406375,0.03435552,0.00152877,0.40738138,0.89020366,0.00524459,0.34054429
-5.91595798,1.73709410,0.03257164,0.00157281,0.40003996,0.87496835,0.00509385,0.33609422
-5.90995498,1.71467089,0.03079977,0.00162492,0.39367787,0.86192455,0.00496264,0.33256603
-5.90395198,1.69789622,0.02907057,0.00168555,0.38855636,0.85163913,0.00485987,0.33016607
-5.89794897,1.68759153,0.02741078,0.00175477,0.38487309,0.84453860,0.00479534,0.32904536
-5.89194597,1.68426522,0.02584262,0.00183233,0.38275448,0.84089267,0.00477999,0.32929332
-5.88594297,1.68809270,0.02438336,0.00191759,0.38225109,0.84080390,0.00482636,0.33093384
-5.87993997,1.69891007,0.02304507,0.00200956,0.38333591,0.84420424,0.00494910,0.33392407
-5.87393697,1.71622147,0.02183467,0.00210688,0.38590589,0.85085826,0.00516564,0.33815577
-5.86793397,1.73921991,0.02075410,0.00220786,0.38978643,0.86037311,0.00549696,0.34345941
-5.86193097,1.76682073,0.01980071,0.00231054,0.39473868,0.87221472,0.00596855,0.34961064
-5.85592796,1.79770625,0.01896779,0.00241271,0.40046947,0.88572951,0.00661133,0.35633895
-5.84992496,1.83037968,0.01824526,0.00251203,0.40664313,0.90017069,0.00746287,0.36333823
-5.84392196,1.86322613,0.01762036,0.00260607,0.41289507,0.91472802,0.00856842,0.37027858
-5.83791896,1.89457790,0.01707853,0.00269238,0.41884616,0.92855972,0.00998216,0.37681911
-5.83191596,1.92278162,0.01660417,0.00276861,0.42411763,0.94082522,0.01176828,0.38262098
-5.82591296,1.94626408,0.01618149,0.00283259,0.42834556,0.95071734,0.01400195,0.38736031
-5.81990995,1.96359420,0.01579526,0.00288237,0.43119467,0.95749258,0.01677018,0.39074021
-5.81390695,1.97353866,0.01543154,0.00291633,0.43237059,0.96049832,0.02017228,0.39250171
-5.80790395,1.97510873,0.01507829,0.00293323,0.43163026,0.95919583,0.02432007,0.39243289
-5.80190095,1.96759673,0.01472595,0.00293224,0.42879011,0.95317822,0.02933746,0.39037605
-5.79589795,1.95060074,0.01436778,0.00291298,0.42373169,0.94218285,0.03535958,0.38623261
-5.78989495,1.92403680,0.01400028,0.00287557,0.41640463,0.92609773,0.04253116,0.37996555
-5.78389195,1.88813850,0.01362342,0.00282057,0.40682688,0.90496191,0.05100418,0.37159946
-5.77788894,1.84344438,0.01324073,0.00274898,0.39508246,0.87896020,0.06093469,0.36121824
-5.77188594,1.79077411,0.01285946,0.00266227,0.38131679,0.84841255,0.07247884,0.34896063
-5.76588294,1.73119490,0.01249060,0.00256223,0.36573008,0.81375891,0.08578805,0.33501395
-5.75987994,1.66598005,0.01214887,0.00245101,0.34856905,0.77554049,0.10100344,0.31960624
-5.75387694,1.59656175,0.01185279,0.00233101,0.33011760,0.73437832,0.11824959,0.30299739
-5.74787394,1.52448045,0.01162465,0.00220486,0.31068676,0.69095031,0.13762785,0.28546963
-5.74187094,1.45133320,0.01149064,0.00207530,0.29060453,0.64596786,0.15920944,0.26731777
-5.73586793,1.37872322,0.01148096,0.00194516,0.27020601,0.60015305,0.18302848,0.24883973
-5.72986493,1.30821283,0.01163002,0.00181731,0.24982431,0.55421734,0.20907548,0.23032763
-5.72386193,1.24128162,0.01197675,0.00169460,0.22978246,0.50884253,0.23729148,0.21205982
-5.71785893,1.17929126,0.01256495,0.00157981,0.21038675,0.46466473,0.26756328,0.19429416
-5.71185593,1.12345802,0.01344372,0.00147565,0.19192143,0.42226152,0.29972014,0.17726258
-5.70585293,1.07483371,0.01466795,0.00138472,0.17464516,0.38214276,0.33353226,0.16116719
-5.69984992,1.03429507,0.01629878,0.00130953,0.15878885,0.34474487,0.36871133,0.14617778
-5.69384692,1.00254141,0.01840416,0.00125247,0.14455505,0.31042848,0.40491336,0.13243081
-5.68784392,0.98009974,0.02105915,0.00121582,0.13211849,0.27947919,0.44174393,0.12002968
-5.68184092,0.96733652,0.02434625,0.00120180,0.12162768,0.25211088,0.47876588,0.10904611
-5.67583792,0.96447443,0.02835543,0.00121250,0.11320724,0.22847113,0.51550917,0.09952244
-5.66983492,0.97161289,0.03318388,0.00124999,0.10696055,0.20864812,0.55148284,0.09147467
-5.66383192,0.98875052,0.03893543,0.00131622,0.10297259,0.19267840,0.58618857,0.08489589
-5.65782891,1.01580783,0.04571951,0.00141310,0.10131244,0.18055506,0.61913534,0.07975997
