energy_ev,total_up,Cu_p_up,Cu_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,1.80300032,0.32374657,0.27384592,0.24020562,0.00082032,0.05597509,1.37890711
-5.99399700,1.79759224,0.31137968,0.27399405,0.23728031,0.00088831,0.05559700,1.38245203
-5.98799400,1.79790351,0.30086149,0.27559735,0.23566109,0.00096693,0.05529877,1.38817348
-5.98199100,1.80349210,0.29227974,0.27862050,0.23559062,0.00105667,0.05506759,1.39525883
-5.97598799,1.81382302,0.28569531,0.28301238,0.23729646,0.00115803,0.05488693,1.40284312
-5.96998499,1.82829377,0.28114333,0.28870929,0.24098687,0.00127147,0.05473731,1.41003969
-5.96398199,1.84626000,0.27863444,0.29563790,0.24684682,0.00139742,0.05459719,1.41597048
-5.95797899,1.86706014,0.27815629,0.30371793,0.25503410,0.00153622,0.05444401,1.41979508
-5.95197599,1.89003790,0.27967505,0.31286448,0.26567554,0.00168818,0.05425518,1.42073760
-5.94597299,1.91456178,0.28313679,0.32298963,0.27886328,0.00185346,0.05400904,1.41811027
-5.93996998,1.94004072,0.28846874,0.33400360,0.29465128,0.00203211,0.05368577,1.41133330
-5.93396698,1.96593573,0.29558030,0.34581520,0.31305191,0.00222400,0.05326819,1.39995047
-5.92796398,1.99176700,0.30436379,0.35833170,0.33403292,0.00242882,0.05274236,1.38363986
-5.92196098,2.01711681,0.31469498,0.37145817,0.35751481,0.00264602,0.05209813,1.36221994
-5.91595798,2.04162843,0.32643349,0.38509651,0.38336892,0.00287479,0.05132935,1.33565076
-5.90995498,2.06500165,0.33942313,0.39914412,0.41141620,0.00311406,0.05043401,1.30403062
-5.90395198,2.08698566,0.35349224,0.41349268,0.44142714,0.00336248,0.04941414,1.26758859
-5.89794897,2.10737008,0.36845426,0.42802689,0.47312281,0.00361839,0.04827555,1.22667330
-5.89194597,2.12597531,0.38410864,0.44262373,0.50617731,0.00387988,0.04702746,1.18173876
-5.88594297,2.14264277,0.40024205,0.45715202,0.54022175,0.00414474,0.04568195,1.13332784
-5.87993997,2.15722631,0.41663032,0.47147280,0.57484963,0.00441057,0.04425335,1.08205416
-5.87393697,2.16958521,0.43304079,0.48544027,0.60962387,0.00467474,0.04275759,1.02858315
-5.86793397,2.17957960,0.44923533,0.49890370,0.64408513,0.00493453,0.04121150,0.97361309
-5.86193097,2.18706852,0.46497401,0.51170990,0.67776140,0.00518710,0.03963216,0.91785667
-5.85592796,2.19191079,0.48001918,0.52370656,0.71017847,0.00542967,0.03803626,0.86202375
-5.84992496,2.19396872,0.49413998,0.53474606,0.74087102,0.00565949,0.03643952,0.80680584
-5.84392196,2.19311417,0.50711711,0.54468973,0.76939396,0.00587401,0.03485624,0.75286254
-5.83791896,2.18923652,0.51874766,0.55341228,0.79533346,0.00607088,0.03329893,0.70081023
-5.83191596,2.18225200,0.52884971,0.56080616,0.81831749,0.00624808,0.03177805,0.65121315
-5.82591296,2.17211339,0.53726672,0.56678571,0.83802518,0.00640396,0.03030181,0.60457670
-5.81990995,2.15881941,0.54387128,0.57129073,0.85419489,0.00653731,0.02887622,0.56134292
-5.81390695,2.14242307,0.54856815,0.57428927,0.86663052,0.00664736,0.02750506,0.52188788
-5.80790395,2.12303799,0.55129650,0.57577958,0.87520595,0.00673385,0.02619011,0.48652060
