energy_ev,total_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.07884876,0.00580673,0.19881487,0.28278196,0.12667717,0.50232516,0.00000000,0.27253749,0.27228957
-5.99399700,1.06039172,0.00578855,0.19434298,0.27551990,0.12154205,0.49562298,0.00000000,0.27334698,0.26586326
-5.98799400,1.04255245,0.00573383,0.18981406,0.26861785,0.11696034,0.48963416,0.00000000,0.27406516,0.25922381
-5.98199100,1.02567419,0.00564410,0.18529292,0.26211213,0.11298855,0.48450913,0.00000000,0.27479507,0.25245161
-5.97598799,1.01014093,0.00552174,0.18085067,0.25604951,0.10968156,0.48041357,0.00000000,0.27565690,0.24563961
-5.96998499,0.99636652,0.00536993,0.17656211,0.25048600,0.10709237,0.47752427,0.00000000,0.27678385,0.23889015
-5.96398199,0.98478137,0.00519256,0.17250280,0.24548478,0.10527163,0.47602378,0.00000000,0.27831710,0.23231128
-5.95797899,0.97581746,0.00499411,0.16874596,0.24111357,0.10426677,0.47609428,0.00000000,0.28040046,0.22601280
-5.95197599,0.96989248,0.00477955,0.16535947,0.23744155,0.10412103,0.47791093,0.00000000,0.28317470,0.22010233
-5.94597299,0.96739374,0.00455417,0.16240289,0.23453601,0.10487215,0.48163503,0.00000000,0.28677194,0.21468144
-5.93996998,0.96866290,0.00432347,0.15992498,0.23245903,0.10655101,0.48740749,0.00000000,0.29131030,0.20984212
-5.93396698,0.97398212,0.00409303,0.15796144,0.23126429,0.10918012,0.49534285,0.00000000,0.29688914,0.20566384
-5.92796398,0.98356232,0.00386837,0.15653340,0.23099426,0.11277222,0.50552419,0.00000000,0.30358501,0.20221114
-5.92196098,0.99753429,0.00365489,0.15564635,0.23167798,0.11732888,0.51799925,0.00000000,0.31144846,0.19953195
-5.91595798,1.01594266,0.00345768,0.15528983,0.23332933,0.12283939,0.53277781,0.00000000,0.32050188,0.19765673
-5.90995498,1.03874336,0.00328156,0.15543777,0.23594618,0.12927988,0.54983054,0.00000000,0.33073839,0.19659831
-5.90395198,1.06580416,0.00313092,0.15604946,0.23951018,0.13661281,0.56908919,0.00000000,0.34212169,0.19635246
-5.89794897,1.09690851,0.00300971,0.15707105,0.24398719,0.14478680,0.59044813,0.00000000,0.35458693,0.19689908
-5.89194597,1.13176205,0.00292144,0.15843769,0.24932849,0.15373696,0.61376704,0.00000000,0.36804241,0.19820403
-5.88594297,1.17000166,0.00286910,0.16007593,0.25547242,0.16338564,0.63887455,0.00000000,0.38237194,0.20022123
-5.87993997,1.21120624,0.00285520,0.16190650,0.26234642,0.17364356,0.66557262,0.00000000,0.39743786,0.20289517
-5.87393697,1.25490890,0.00288176,0.16384728,0.26986946,0.18441142,0.69364136,0.00000000,0.41308430,0.20616355
-5.86793397,1.30060998,0.00295029,0.16581625,0.27795445,0.19558179,0.72284411,0.00000000,0.42914084,0.20995995
-5.86193097,1.34779019,0.00306183,0.16773446,0.28651087,0.20704132,0.75293255,0.00000000,0.44542606,0.21421647
-5.85592796,1.39592369,0.00321696,0.16952884,0.29544711,0.21867318,0.78365170,0.00000000,0.46175127,0.21886630
-5.84992496,1.44449061,0.00341580,0.17113478,0.30467282,0.23035958,0.81474468,0.00000000,0.47792403,0.22384600
-5.84392196,1.49298867,0.00365804,0.17249838,0.31410094,0.24198433,0.84595719,0.00000000,0.49375152,0.22909771
-5.83791896,1.54094390,0.00394296,0.17357845,0.32364957,0.25343543,0.87704169,0.00000000,0.50904385,0.23457112
-5.83191596,1.58792030,0.00426943,0.17434811,0.33324352,0.26460741,0.90776137,0.00000000,0.52361715,0.24022517
-5.82591296,1.63352839,0.00463595,0.17479597,0.34281568,0.27540354,0.93789385,0.00000000,0.53729658,0.24602974
-5.81990995,1.67743275,0.00504069,0.17492709,0.35230824,0.28573780,0.96723480,0.00000000,0.54991931,0.25196703
-5.81390695,1.71935855,0.00548150,0.17476342,0.36167365,0.29553645,0.99560150,0.00000000,0.56133735,0.25803291
-5.80790395,1.75909721,0.00595595,0.17434406,0.37087556,0.30473940,1.02283628,0.00000000,0.57142050,0.26423809
-5.80190095,1.79651109,0.00646138,0.17372508,0.37988961,0.31330104,1.04880996,0.00000000,0.58005917,0.27060920
-5.79589795,1.83153722,0.00699494,0.17297910,0.38870407,0.32119094,1.07342515,0.00000000,0.58716713,0.27718957
-5.78989495,1.86419007,0.00755363,0.17219459,0.39732042,0.32839399,1.09661922,0.00000000,0.59268418,0.28403987
-5.78389195,1.89456300,0.00813437,0.17147479,0.40575374,0.33491034,1.11836696,0.00000000,0.59657856,0.29123839
-5.77788894,1.92282829,0.00873398,0.17093645,0.41403284,0.34075500,1.13868252,0.00000000,0.59884890,0.29888081
-5.77188594,1.94923560,0.00934930,0.17070815,0.42220011,0.34595713,1.15762043,0.00000000,0.59952580,0.30707955
-5.76588294,1.97410828,0.00997715,0.17092836,0.43031093,0.35055907,1.17527558,0.00000000,0.59867262,0.31596241
-5.75987994,1.99783755,0.01061438,0.17174317,0.43843266,0.35461517,1.19178176,0.00000000,0.59638551,0.32567050
-5.75387694,2.02087421,0.01125786,0.17330365,0.44664299,0.35819029,1.20730858,0.00000000,0.59279242,0.33635539
-5.74787394,2.04371774,0.01190449,0.17576289,0.45502769,0.36135821,1.22205681,0.00000000,0.58805119,0.34817541
-5.74187094,2.06690272,0.01255119,0.17927270,0.46367776,0.36419967,1.23625186,0.00000000,0.58234640,0.36129111
-5.73586793,2.09098280,0.01319482,0.18398006,0.47268584,0.36680033,1.25013558,0.00000000,0.57588524,0.37586005
-5.72986493,2.11651231,0.01383220,0.19002321,0.48214212,0.36924840,1.26395656,0.00000000,0.56889233,0.39203078
-5.72386193,2.14402601,0.01446005,0.19752772,0.49212971,0.37163216,1.27795915,0.00000000,0.56160361,0.40993643
-5.71785893,2.17401757,0.01507493,0.20660227,0.50271969,0.37403724,1.29237151,0.00000000,0.55425950,0.42968794
