energy_ev,total_up,Ag_p_up,Ag_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,3.23240709,0.95706029,1.11582892,0.34130659,1.51004147,0.00473402,0.09408855,0.56380340,0.00000000
-5.99399700,3.24791286,0.91545251,1.11725772,0.33661357,1.54288455,0.00494716,0.09225117,0.54880937,0.00000000
-5.98799400,3.26145251,0.87347889,1.11818001,0.33202706,1.57437418,0.00516315,0.09033316,0.53340731,0.00000000
-5.98199100,3.27229336,0.83167230,1.11839779,0.32755526,1.60374394,0.00538100,0.08836039,0.51780487,0.00000000
-5.97598799,3.27964863,0.79050327,1.11768566,0.32318983,1.63023469,0.00559940,0.08635505,0.50218851,0.00000000
-5.96998499,3.28269721,0.75037240,1.11579528,0.31890745,1.65311291,0.00581665,0.08433521,0.48672011,0.00000000
-5.96398199,3.28060913,0.71160663,1.11246258,0.31467255,1.67168998,0.00603061,0.08231460,0.47153514,0.00000000
-5.95797899,3.27257575,0.67445936,1.10741719,0.31044085,1.68534169,0.00623877,0.08030277,0.45674244,0.00000000
-5.95197599,3.25784344,0.63911389,1.10039385,0.30616349,1.69352740,0.00643823,0.07830535,0.44242551,0.00000000
-5.94597299,3.23574885,0.60568981,1.09114494,0.30179165,1.69580820,0.00662577,0.07632469,0.42864492,0.00000000
-5.93996998,3.20575399,0.57425157,1.07945363,0.29728110,1.69186292,0.00679794,0.07436055,0.41544177,0.00000000
-5.93396698,3.16747906,0.54481865,1.06514667,0.29259662,1.68150161,0.00695116,0.07241101,0.40284170,0.00000000
-5.92796398,3.12073100,0.51737640,1.04810621,0.28771588,1.66467537,0.00708184,0.07047344,0.39085932,0.00000000
-5.92196098,3.06552593,0.49188712,1.02827983,0.28263253,1.64148211,0.00718652,0.06854541,0.37950245,0.00000000
-5.91595798,3.00210397,0.46830038,1.00568811,0.27735835,1.61216766,0.00726201,0.06662559,0.36877619,0.00000000
-5.90995498,2.93093525,0.44656233,0.98042933,0.27192427,1.57712198,0.00730550,0.06471461,0.35868621,0.00000000
-5.90395198,2.85271639,0.42662342,0.95268079,0.26638021,1.53687034,0.00731477,0.06281559,0.34924140,0.00000000
-5.89794897,2.76835725,0.40844424,0.92269672,0.26079371,1.49205973,0.00728819,0.06093463,0.34045539,0.00000000
-5.89194597,2.67895832,0.39199935,0.89080277,0.25524745,1.44344080,0.00722492,0.05908096,0.33234722,0.00000000
-5.88594297,2.58577959,0.37727908,0.85738720,0.24983578,1.39184608,0.00712492,0.05726689,0.32494085,0.00000000
-5.87993997,2.49020213,0.36428940,0.82288931,0.24466041,1.33816521,0.00698898,0.05550752,0.31826380,0.00000000
-5.87393697,2.39368415,0.35305003,0.78778551,0.23982556,1.28331815,0.00681875,0.05382018,0.31234501,0.00000000
