energy_ev,total_up,Bi_p_up,Bi_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,5.24542580,0.32352651,0.00571535,0.08266848,3.31857529,2.61292075,1.48110188
-5.99399700,5.26018283,0.32856446,0.00577765,0.08252724,3.32563731,2.60324697,1.48751262
-5.98799400,5.26520384,0.33350727,0.00582781,0.08211805,3.32607620,2.59250765,1.48993844
-5.98199100,5.25984088,0.33829956,0.00586484,0.08144523,3.31950760,2.58008810,1.48835702
-5.97598799,5.24359972,0.34289818,0.00588799,0.08051779,3.30564005,2.56538749,1.48279556
-5.96998499,5.21615360,0.34727300,0.00589668,0.07934911,3.28428300,2.54784025,1.47332810
-5.96398199,5.17735268,0.35140724,0.00589063,0.07795646,3.25535218,2.52693567,1.46007216
-5.95797899,5.12722898,0.35529760,0.00586980,0.07636058,3.21887246,2.50223494,1.44318488
-5.95197599,5.06599724,0.35895387,0.00583444,0.07458508,3.17497837,2.47338513,1.42285890
-5.94597299,4.99405178,0.36239840,0.00578505,0.07265594,3.12391238,2.44012996,1.39931834
-5.93996998,4.91196005,0.36566518,0.00572246,0.07060090,3.06602139,2.40231697,1.37281488
-5.93396698,4.82045324,0.36879880,0.00564773,0.06844892,3.00175158,2.35990144,1.34362440
-5.92796398,4.72041468,0.37185320,0.00556220,0.06622965,2.93164217,2.31294696,1.31204406
-5.92196098,4.61286649,0.37489042,0.00546745,0.06397290,2.85631815,2.26162308,1.27838994
-5.91595798,4.49895502,0.37797926,0.00536529,0.06170819,2.77648248,2.20620043,1.24299536
-5.90995498,4.37993546,0.38119395,0.00525771,0.05946433,2.69290771,2.14704356,1.20620962
-5.90395198,4.25715593,0.38461294,0.00514691,0.05726909,2.60642738,2.08460219,1.16839713
-5.89794897,4.13204119,0.38831763,0.00503519,0.05514878,2.51792700,2.01940094,1.12993668
-5.89194597,4.00607594,0.39239131,0.00492499,0.05312808,2.42833470,1.95202829,1.09122074
-5.88594297,3.88078773,0.39691799,0.00481883,0.05122975,2.33861153,1.88312479,1.05265436
-5.87993997,3.75772932,0.40198142,0.00471926,0.04947441,2.24974105,1.81337095,1.01465363
-5.87393697,3.63846028,0.40766400,0.00462886,0.04788042,2.16271830,1.74347504,0.97764331
-5.86793397,3.52452776,0.41404573,0.00455017,0.04646367,2.07853795,1.67416084,0.94205364
-5.86193097,3.41744621,0.42120313,0.00448565,0.04523750,1.99818156,1.60615560,0.90831595
-5.85592796,3.31867619,0.42920807,0.00443768,0.04421252,1.92260387,1.54017821,0.87685737
-5.84992496,3.22960230,0.43812666,0.00440848,0.04339657,1.85271836,1.47692770,0.84809430
-5.84392196,3.15151050,0.44801799,0.00440009,0.04279461,1.78938216,1.41707221,0.82242501
-5.83791896,3.08556523,0.45893305,0.00441431,0.04240863,1.73338051,1.36123835,0.80022150
-5.83191596,3.03278682,0.47091353,0.00445270,0.04223764,1.68541134,1.31000126,0.78182075
-5.82591296,2.99402988,0.48399082,0.00451653,0.04227767,1.64607013,1.26387539,0.76751590
-5.81990995,2.96996334,0.49818510,0.00460671,0.04252175,1.61583588,1.22330610,0.75754747
-5.81390695,2.96105285,0.51350457,0.00472383,0.04296002,1.59505842,1.18866239,0.75209527
-5.80790395,2.96754639,0.52994494,0.00486809,0.04357986,1.58394780,1.16023069,0.75127109
-5.80190095,2.98946361,0.54748898,0.00503929,0.04436603,1.58256618,1.13821005,0.75511284
-5.79589795,3.02658968,0.56610635,0.00523681,0.04530091,1.59082277,1.12270881,0.76358025
-5.78989495,3.07847389,0.58575350,0.00545964,0.04636480,1.60847211,1.11374272,0.77655253
-5.78389195,3.14443352,0.60637375,0.00570633,0.04753621,1.63511600,1.11123473,0.79382820
-5.77788894,3.22356297,0.62789729,0.00597504,0.04879228,1.67020930,1.11501641,0.81512716
-5.77188594,3.31474817,0.65024133,0.00626353,0.05010915,1.71306954,1.12483092,0.84009516
-5.76588294,3.41668602,0.67331006,0.00656918,0.05146244,1.76289035,1.14033760,0.86831048
-5.75987994,3.52790846,0.69699461,0.00688904,0.05282765,1.81875826,1.16111788,0.89929293
-5.75387694,3.64681066,0.72117291,0.00721986,0.05418066,1.87967268,1.18668256,0.93251461
-5.74787394,3.77168252,0.74570946,0.00755815,0.05549815,1.94456848,1.21648024,0.96741247
-5.74187094,3.90074285,0.77045506,0.00790019,0.05675805,2.01234043,1.24990668,1.00340205
-5.73586793,4.03217523,0.79524662,0.00824216,0.05793992,2.08186897,1.28631491,1.03989207
-5.72986493,4.16416447,0.81990706,0.00858015,0.05902531,2.15204636,1.32502601,1.07629937
-5.72386193,4.29493299,0.84424553,0.00891026,0.05999808,2.22180244,1.36534021,1.11206364
-5.71785893,4.42277572,0.86805792,0.00922867,0.06084461,2.29012914,1.40654822,1.14666154
-5.71185593,4.54609278,0.89112795,0.00953171,0.06155404,2.35610287,1.44794258,1.17961953
-5.70585293,4.66341892,0.91322877,0.00981594,0.06211833,2.41890410,1.48882884,1.21052508
-5.69984992,4.77344878,0.93412529,0.01007824,0.06253234,2.47783331,1.52853637,1.23903573
-5.69384692,4.87505722,0.95357715,0.01031583,0.06279376,2.53232272,1.56642863,1.26488575
-5.68784392,4.96731421,0.97134244,0.01052637,0.06290305,2.58194356,1.60191279,1.28789006
-5.68184092,5.04949371,0.98718203,0.01070798,0.06286322,2.62640829,1.63444842,1.30794527
-5.67583792,5.12107634,1.00086451,0.01085929,0.06267963,2.66556805,1.66355514,1.32502784
-5.66983492,5.18174598,1.01217142,0.01097942,0.06235966,2.69940521,1.68881921,1.33918946
-5.66383192,5.23138037,1.02090286,0.01106805,0.06191237,2.72802147,1.70989869,1.35054975
-5.65782891,5.27003644,1.02688301,0.01112534,0.06134813,2.75162223,1.72652739,1.35928678
-5.65182591,5.29793104,1.02996560,0.01115193,0.06067821,2.77049766,1.73851733,1.36562571
-5.64582291,5.31541806,1.03003890,0.01114890,0.05991435,2.78500170,1.74575983,1.36982615
-5.63981991,5.32296330,1.02703021,0.01111774,0.05906842,2.79552986,1.74822518,1.37216875
-5.63381691,5.32111813,1.02090953,0.01106024,0.05815202,2.80249694,1.74596107,1.37294180
-5.62781391,5.31049362,1.01169244,0.01097846,0.05717615,2.80631582,1.73908975,1.37242823
-5.62181091,5.29173623,0.99944185,0.01087467,0.05615099,2.80737835,1.72780424,1.37089387
-5.61580790,5.26550649,0.98426883,0.01075127,0.05508573,2.80603932,1.71236355,1.36857730
-5.60980490,5.23246151,0.96633221,0.01061073,0.05398842,2.80260423,1.69308723,1.36568182
-5.60380190,5.19324229,0.94583721,0.01045557,0.05286604,2.79732151,1.67034935,1.36236989
-5.59779890,5.14846618,0.92303293,0.01028828,0.05172449,2.79037937,1.64457210,1.35876014
-5.59179590,5.09872454,0.89820889,0.01011133,0.05056881,2.78190742,1.61621901,1.35492715
-5.58579290,5.04458535,0.87169066,0.00992712,0.04940337,2.77198268,1.58578814,1.35090364
-5.57978989,4.98660020,0.84383465,0.00973799,0.04823215,2.76063959,1.55380504,1.34668513
-5.57378689,4.92531446,0.81502221,0.00954623,0.04705899,2.74788305,1.52081571,1.34223640
-5.56778389,4.86127970,0.78565304,0.00935406,0.04588796,2.73370373,1.48737941,1.33749955
-5.56178089,4.79506671,0.75613825,0.00916366,0.04472356,2.71809448,1.45406156,1.33240283
-5.55577789,4.72727785,0.72689285,0.00897720,0.04357102,2.70106663,1.42142641,1.32686990
-5.54977489,4.65855735,0.69832817,0.00879680,0.04243644,2.68266522,1.39002978,1.32082884
-5.54377189,4.58959815,0.67084398,0.00862457,0.04132688,2.66298205,1.36041174,1.31422035
-5.53776888,4.52114460,0.64482086,0.00846260,0.04025041,2.64216568,1.33308930,1.30700469
-5.53176588,4.45399015,0.62061256,0.00831293,0.03921595,2.62042782,1.30854922,1.29916714
-5.52576288,4.38896992,0.59853887,0.00817755,0.03823317,2.59804569,1.28724119,1.29072146
-5.51975988,4.32694835,0.57887899,0.00805835,0.03731217,2.57536034,1.26957136,1.28171157
-5.51375688,4.26880232,0.56186571,0.00795707,0.03646313,2.55277093,1.25589658,1.27221122
-5.50775388,4.21540095,0.54768046,0.00787529,0.03569600,2.53072565,1.24651952,1.26232205
-5.50175088,4.16758301,0.53644953,0.00781436,0.03501999,2.50970974,1.24168489,1.25217006
-5.49574787,4.12613350,0.52824155,0.00777534,0.03444319,2.49023155,1.24157699,1.24190111
