energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,V_p_up,V_d_up
-6.00000000,6.94775130,0.00153779,2.45058501,0.13534429,1.82606607,2.58258875,1.73953916,0.97776234,0.50257721
-5.99399700,7.01196099,0.00161781,2.46120337,0.13861613,1.86406167,2.60138192,1.73978931,0.97082454,0.51222038
-5.98799400,7.07221732,0.00170312,2.46588888,0.14191885,1.90616610,2.61439410,1.73441982,0.96623012,0.52317294
-5.98199100,7.12740037,0.00179251,2.46497299,0.14514300,1.95112862,2.62181536,1.72370883,0.96347845,0.53509883
-5.97598799,7.17649669,0.00188461,2.45888016,0.14818431,1.99766908,2.62392794,1.70802784,0.96203073,0.54764157
-5.96998499,7.21860932,0.00197793,2.44810962,0.15094642,2.04450864,2.62109003,1.68782733,0.96133052,0.56043339
-5.96398199,7.25296216,0.00207092,2.43321437,0.15334333,2.09039940,2.61371693,1.66361964,0.96082420,0.57310467
-5.95797899,7.27889916,0.00216195,2.41477846,0.15530153,2.13415224,2.60226047,1.63596002,0.95998058,0.58529343
-5.95197599,7.29587912,0.00224937,2.39339373,0.15676163,2.17466179,2.58718803,1.60542677,0.95830873,0.59665454
-5.94597299,7.30346732,0.00233159,2.36963711,0.15767956,2.21092803,2.56896212,1.57260138,0.95537339,0.60686819
-5.93996998,7.30132516,0.00240705,2.34404978,0.15802722,2.24207389,2.54802184,1.53804970,0.95080726,0.61564765
-5.93396698,7.28919929,0.00247430,2.31711918,0.15779255,2.26735859,2.52476706,1.50230499,0.94432005,0.62274576
-5.92796398,7.26691166,0.00253205,2.28926485,0.15697913,2.28618659,2.49954650,1.46585367,0.93570385,0.62796017
-5.92196098,7.23435182,0.00257916,2.26082877,0.15560522,2.29811230,2.47264997,1.42912423,0.92483507,0.63113724
-5.91595798,7.19147250,0.00261469,2.23207079,0.15370235,2.30284073,2.44430557,1.39247994,0.91167296,0.63217435
-5.90995498,7.13828943,0.00263794,2.20316914,0.15131361,2.30022462,2.41468168,1.35621541,0.89625520,0.63102077
-5.90395198,7.07488582,0.00264842,2.17422624,0.14849154,2.29025838,2.38389375,1.32055711,0.87869091,0.62767718
-5.89794897,7.00142146,0.00264591,2.14527909,0.14529589,2.27306965,2.35201535,1.28566750,0.85915179,0.62219381
-5.89194597,6.91814620,0.00263043,2.11631391,0.14179133,2.24890884,2.31909291,1.25165254,0.83786179,0.61466746
-5.88594297,6.82541696,0.00260222,2.08728390,0.13804504,2.21813739,2.28516308,1.21857188,0.81508612,0.60523754
-5.87993997,6.72371707,0.00256179,2.05812934,0.13412456,2.18121523,2.25027173,1.18645109,0.79112007,0.59408135
