energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.16625116,0.18282335,0.00305071,0.01936818,1.52101430,1.20936112,0.89090650
-5.99399700,2.17072482,0.18434287,0.00301686,0.01850738,1.52400070,1.20777670,0.89255260
-5.98799400,2.17308903,0.18593911,0.00298079,0.01765926,1.52499085,1.20440320,0.89342531
-5.98199100,2.17329944,0.18760627,0.00294313,0.01683610,1.52393158,1.19925137,0.89349474
-5.97598799,2.17125989,0.18933149,0.00290440,0.01604868,1.52074213,1.19231942,0.89270311
-5.96998499,2.16683022,0.19109498,0.00286501,0.01530609,1.51532094,1.18359635,0.89096905
-5.96398199,2.15983721,0.19287048,0.00282529,0.01461560,1.50755444,1.17306633,0.88819350
-5.95797899,2.15008794,0.19462595,0.00278546,0.01398261,1.49732690,1.16071356,0.88426680
-5.95197599,2.13738470,0.19632456,0.00274563,0.01341075,1.48453103,1.14652750,0.87907663
-5.94597299,2.12154069,0.19792587,0.00270584,0.01290194,1.46907854,1.13050782,0.87251636
-5.93996998,2.10239567,0.19938727,0.00266606,0.01245662,1.45091017,1.11266916,0.86449328
-5.93396698,2.07983063,0.20066552,0.00262620,0.01207399,1.43000453,1.09304499,0.85493642
-5.92796398,2.05378097,0.20171841,0.00258615,0.01175220,1.40638546,1.07169085,0.84380349
-5.92196098,2.02424731,0.20250650,0.00254579,0.01148867,1.38012736,1.04868636,0.83108652
-5.91595798,1.99130362,0.20299482,0.00250499,0.01128031,1.35135840,1.02413640,0.81681606
-5.90995498,1.95510227,0.20315452,0.00246369,0.01112376,1.32026138,0.99817105,0.80106372
-5.90395198,1.91587573,0.20296436,0.00242187,0.01101557,1.28707232,0.97094468,0.78394284
-5.89794897,1.87393497,0.20241205,0.00237956,0.01095236,1.25207679,0.94263407,0.76560740
-5.89194597,1.82966468,0.20149526,0.00233690,0.01093090,1.21560424,0.91343582,0.74624914
-5.88594297,1.78351549,0.20022236,0.00229411,0.01094817,1.17802068,0.88356317,0.72609310
-5.87993997,1.73599369,0.19861284,0.00225151,0.01100134,1.13971998,0.85324243,0.70539186
-5.87393697,1.68764884,0.19669722,0.00220951,0.01108775,1.10111427,0.82270921,0.68441855
-5.86793397,1.63905996,0.19451673,0.00216865,0.01120479,1.06262393,0.79220460,0.66345926
-5.86193097,1.59082082,0.19212245,0.00212952,0.01134983,1.02466752,0.76197150,0.64280501
