energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Na_s_up,S_s_up,S_p_up
-6.00000000,5.83681839,1.54482772,2.63865681,0.08924763,0.72208165,0.29136170,0.05172955,2.15318705
-5.99399700,6.08472668,1.65728538,2.73483449,0.09363005,0.73620422,0.30594325,0.05463107,2.26867009
-5.98799400,6.33708661,1.77357165,2.83185686,0.09778558,0.75037889,0.31978951,0.05774217,2.38706049
-5.98199100,6.59177501,1.89246976,2.92900148,0.10169132,0.76460378,0.33267704,0.06104061,2.50720705
-5.97598799,6.84649494,2.01269224,3.02545259,0.10533318,0.77884084,0.34439267,0.06449965,2.62791729
-5.96998499,7.09880299,2.13289798,3.12031128,0.10870581,0.79301404,0.35473948,0.06808831,2.74797274
-5.96398199,7.34614096,2.25171092,3.21260889,0.11181230,0.80700915,0.36354231,0.07177172,2.86614419
-5.95797899,7.58587114,2.36773971,3.30132332,0.11466331,0.82067500,0.37065249,0.07551154,2.98120645
-5.95197599,7.81531392,2.47959799,3.38539761,0.11727594,0.83382638,0.37595182,0.07926647,3.09195244
-5.94597299,8.03178703,2.58592475,3.46376010,0.11967227,0.84624833,0.37935539,0.08299282,3.19720606
-5.93996998,8.23264527,2.68540433,3.53534562,0.12187759,0.85770159,0.38081335,0.08664519,3.29583411
-5.93396698,8.41532018,2.77678568,3.59911699,0.12391857,0.86792924,0.38031145,0.09017715,3.38675693
-5.92796398,8.57735896,2.85890057,3.65408625,0.12582133,0.87666406,0.37787043,0.09354201,3.46895816
-5.92196098,8.71646222,2.93068067,3.69933508,0.12760958,0.88363647,0.37354442,0.09669359,3.54149359
-5.91595798,8.83052027,2.99117305,3.73403404,0.12930286,0.88858276,0.36741823,0.09958704,3.60349966
-5.90995498,8.91764770,3.03955427,3.75746009,0.13091512,0.89125333,0.35960401,0.10217966,3.65420154
-5.90395198,8.97621596,3.07514287,3.76901225,0.13245358,0.89142069,0.35023716,0.10443171,3.69292128
-5.89794897,9.00488384,3.09741013,3.76822508,0.13391788,0.88888706,0.33947191,0.10630725,3.71908614
-5.89194597,9.00262539,3.10598908,3.75477976,0.13529984,0.88349114,0.32747672,0.10777485,3.73223700
-5.88594297,8.96875483,3.10068166,3.72851279,0.13658345,0.87511411,0.31442963,0.10880838,3.73203694
-5.87993997,8.90294806,3.08146378,3.68942199,0.13774542,0.86368447,0.30051381,0.10938758,3.71827969
-5.87393697,8.80525971,3.04848809,3.63766983,0.13875602,0.84918176,0.28591343,0.10949869,3.69089754
-5.86793397,8.67613532,3.00208432,3.57358398,0.13958035,0.83163889,0.27081001,0.10913485,3.64996835
-5.86193097,8.51641754,2.94275675,3.49765502,0.14017979,0.81114311,0.25537921,0.10829640,3.59572101
-5.85592796,8.32734560,2.87117883,3.41053134,0.14051367,0.78783555,0.23978832,0.10699111,3.52853893
-5.84992496,8.11054747,2.78818445,3.31301116,0.14054109,0.76190936,0.22419418,0.10523410,3.44896078
-5.84392196,7.86802400,2.69475608,3.20603183,0.14022270,0.73360642,0.20874179,0.10304780,3.35767831
-5.83791896,7.60212500,2.59200951,3.09065647,0.13952245,0.70321285,0.19356334,0.10046150,3.25553058
-5.83191596,7.31551720,2.48117553,2.96805834,0.13840927,0.67105331,0.17877780,0.09751098,3.14349473
-5.82591296,7.01114454,2.36357872,2.83950295,0.13685841,0.63748432,0.16449080,0.09423776,3.02267300
-5.81990995,6.69218156,2.24061381,2.70632857,0.13485272,0.60288690,0.15079488,0.09068841,2.89427631
-5.81390695,6.36198112,2.11372022,2.56992538,0.13238350,0.56765857,0.13777001,0.08691356,2.75960481
-5.80790395,6.02401763,1.98435545,2.43171384,0.12945113,0.53220509,0.12548419,0.08296696,2.62002583
-5.80190095,5.68182758,1.85396815,2.29312270,0.12606532,0.49693222,0.11399424,0.07890437,2.47694999
-5.79589795,5.33894909,1.72397156,2.15556732,0.12224514,0.46223765,0.10334663,0.07478246,2.33180620
-5.78989495,4.99886218,1.59571836,2.02042863,0.11801859,0.42850337,0.09357832,0.07065768,2.18601638
-5.78389195,4.66493158,1.47047752,1.88903335,0.11342208,0.39608878,0.08471758,0.06658517,2.04097080
-5.77788894,4.34035363,1.34941399,1.76263575,0.10849950,0.36532457,0.07678478,0.06261765,1.89800469
-5.77188594,4.02810863,1.23357164,1.64240143,0.10330117,0.33650761,0.06979315,0.05880450,1.75837698
-5.76588294,3.73091982,1.12386007,1.52939327,0.09788261,0.30989691,0.06374944,0.05519080,1.62325163
-5.75987994,3.45121969,1.02104541,1.42455982,0.09230314,0.28571072,0.05865453,0.05181657,1.49368212
-5.75387694,3.19112421,0.92574515,1.32872620,0.08662448,0.26412471,0.05450396,0.04871612,1.37059931
-5.74787394,2.95241518,0.83842706,1.24258755,0.08090928,0.24527129,0.05128844,0.04591753,1.25480291
-5.74187094,2.73653055,0.75941184,1.16670505,0.07521965,0.22923992,0.04899413,0.04344228,1.14695650
-5.73586793,2.54456246,0.68887920,1.10150435,0.06961585,0.21607844,0.04760306,0.04130505,1.04758601
-5.72986493,2.37726239,0.62687680,1.04727642,0.06415493,0.20579508,0.04709327,0.03951365,0.95708148
-5.72386193,2.23505295,0.57333170,1.00418054,0.05888970,0.19836140,0.04743899,0.03806918,0.87570175
-5.71785893,2.11804527,0.52806359,0.97224936,0.05386767,0.19371560,0.04861072,0.03696627,0.80358165
-5.71185593,2.02606140,0.49079931,0.95139581,0.04913032,0.19176651,0.05057519,0.03619355,0.74074142
-5.70585293,1.95866077,0.46118811,0.94142170,0.04471253,0.19239781,0.05329535,0.03573419,0.68709783
-5.69984992,1.91516989,0.43881720,0.94202766,0.04064216,0.19547260,0.05673021,0.03556670,0.64247665
-5.69384692,1.89471442,0.42322710,0.95282440,0.03693993,0.20083813,0.06083470,0.03566573,0.60662599
-5.68784392,1.89625301,0.41392643,0.97334489,0.03361941,0.20833063,0.06555953,0.03600307,0.57923028
-5.68184092,1.91861197,0.41040595,1.00305728,0.03068727,0.21778016,0.07085096,0.03654869,0.55992444
-5.67583792,1.96052021,0.41215150,1.04137821,0.02814361,0.22901544,0.07665070,0.03727191,0.54830799
-5.66983492,2.02064377,0.41865583,1.08768631,0.02598254,0.24186858,0.08289577,0.03814250,0.54395886
-5.66383192,2.09761936,0.42942914,1.14133558,0.02419279,0.25617960,0.08951851,0.03913188,0.54644672
-5.65782891,2.19008624,0.44400825,1.20166827,0.02275845,0.27180076,0.09644663,0.04021424,0.55534553
-5.65182591,2.29671598,0.46196451,1.26802702,0.02165978,0.28860055,0.10360338,0.04136764,0.57024517
-5.64582291,2.41623948,0.48291026,1.33976597,0.02087404,0.30646727,0.11090795,0.04257491,0.59076208
-5.63981991,2.54747070,0.50650402,1.41626054,0.02037635,0.32531210,0.11827587,0.04382453,0.61654855
-5.63381691,2.68932659,0.53245427,1.49691563,0.02014051,0.34507161,0.12561976,0.04511127,0.64730066
-5.62781391,2.84084269,0.56052181,1.58117194,0.02013986,0.36570954,0.13285012,0.04643659,0.68276447
-5.62181091,3.00118382,0.59052076,1.66851044,0.02034794,0.38721771,0.13987635,0.04780891,0.72274051
-5.61580790,3.16964947,0.62231804,1.75845455,0.02073925,0.40961605,0.14660792,0.04924354,0.76708601
-5.60980490,3.34567333,0.65583139,1.85057020,0.02128974,0.43295158,0.15295565,0.05076237,0.81571497
-5.60380190,3.52881666,0.69102567,1.94446356,0.02197736,0.45729615,0.15883316,0.05239329,0.86859559
-5.59779890,3.71875522,0.72790766,2.03977657,0.02278232,0.48274309,0.16415836,0.05416935,0.92574495
-5.59179590,3.91525954,0.76651908,2.13618031,0.02368739,0.50940246,0.16885495,0.05612760,0.98722079
-5.58579290,4.11816873,0.80692797,2.23336634,0.02467794,0.53739512,0.17285396,0.05830777,1.05311032
-5.57978989,4.32735798,0.84921844,2.33103634,0.02574188,0.56684548,0.17609514,0.06075062,1.12351600
-5.57378689,4.54270035,0.89347894,2.42889030,0.02686953,0.59787315,0.17852836,0.06349621,1.19853851
-5.56778389,4.76402377,0.93978921,2.52661363,0.02805330,0.63058362,0.18011470,0.06658198,1.27825714
-5.56178089,4.99106446,0.98820628,2.62386379,0.02928728,0.66505813,0.18082740,0.07004074,1.36270818
-5.55577789,5.22341824,1.03874983,2.72025689,0.03056678,0.70134324,0.18065254,0.07389866,1.45186182
-5.54977489,5.46049183,1.09138755,2.81535490,0.03188773,0.73944017,0.17958943,0.07817332,1.54559860
-5.54377189,5.70145624,1.14602090,2.90865430,0.03324612,0.77929472,0.17765068,0.08287184,1.64368615
-5.53776888,5.94520478,1.20247210,2.99957668,0.03463742,0.82078795,0.17486195,0.08798929,1.74575768
-5.53176588,6.19031826,1.26047303,3.08746221,0.03605596,0.86372836,0.17126138,0.09350732,1.85129329
-5.52576288,6.43504011,1.31965665,3.17156654,0.03749441,0.90784594,0.16689871,0.09939318,1.95960534
-5.51975988,6.67726378,1.37955183,3.25106188,0.03894341,0.95278884,0.16183417,0.10559919,2.06982935
-5.51375688,6.91453479,1.43958202,3.32504259,0.04039116,0.99812278,0.15613700,0.11206269,2.18092139
-5.50775388,7.14406906,1.49906850,3.39253583,0.04182333,1.04333390,0.14988395,0.11870652,2.29166292
-5.50175088,7.36278867,1.55723828,3.45251723,0.04322298,1.08783509,0.14315749,0.12544013,2.40067385
-5.49574787,7.56737540,1.61323707,3.50393158,0.04457070,1.13097597,0.13604399,0.13216123,2.50643405
-5.48974487,7.75434143,1.66614700,3.54571809,0.04584497,1.17205647,0.12863189,0.13875797,2.60731316
-5.48374187,7.92011582,1.71500895,3.57683964,0.04702258,1.21034363,0.12100989,0.14511167,2.70160824
-5.47773887,8.06114416,1.75884860,3.59631508,0.04807925,1.24509136,0.11326515,0.15110004,2.78758830
-5.47173587,8.17399814,1.79670568,3.60325339,0.04899038,1.27556229,0.10548176,0.15660059,2.86354400
-5.46573287,8.25549078,1.82766501,3.59688838,0.04973187,1.30105110,0.09773928,0.16149445,2.92784103
-5.45972986,8.30279266,1.85088831,3.57661241,0.05028096,1.32090832,0.09011150,0.16567009,2.97897473
-5.45372686,8.31354396,1.86564532,3.54200759,0.05061712,1.33456354,0.08266552,0.16902709,3.01562381
-5.44772386,8.28595716,1.87134282,3.49287287,0.05072290,1.34154720,0.07546095,0.17147963,3.03670058
-5.44172086,8.21890525,1.86755018,3.42924569,0.05058465,1.34150959,0.06854948,0.17295959,3.04139539
-5.43571786,8.11199117,1.85402029,3.35141687,0.05019322,1.33423654,0.06197463,0.17341915,3.02921311
-5.42971486,7.96559449,1.83070466,3.25993789,0.04954439,1.31966075,0.05577177,0.17283272,2.99999980
-5.42371186,7.78089294,1.79776205,3.15561982,0.04863924,1.29786819,0.04996836,0.17119820,2.95395808
-5.41770885,7.55985696,1.75556002,3.03952397,0.04748422,1.26909940,0.04458436,0.16853734,2.89165048
-5.41170585,7.30521734,1.70466934,2.91294414,0.04609110,1.23374530,0.03963279,0.16489541,2.81399036
-5.40570285,7.02040700,1.64585151,2.77738138,0.04447671,1.19233792,0.03512051,0.16033998,2.72222072
-5.39969985,6.70947929,1.58003970,2.63451210,0.04266245,1.14553630,0.03104892,0.15495895,2.61788192
-5.39369685,6.37700633,1.50831432,2.48615091,0.04067369,1.09410816,0.02741491,0.14885801,2.50276963
-5.38769385,6.02796188,1.43187390,2.33420980,0.03853902,1.03890832,0.02421167,0.14215746,2.37888489
-5.38169085,5.66759382,1.35200296,2.18065525,0.03628943,0.98085466,0.02142954,0.13498864,2.24837851
-5.37568784,5.30129152,1.27003786,2.02746525,0.03395741,0.92090269,0.01905689,0.12749011,2.11349225
-5.36968484,4.93445366,1.18733236,1.87658779,0.03157606,0.86001987,0.01708082,0.11980374,1.97649904
-5.36368184,4.57236162,1.10522396,1.72990243,0.02917820,0.79916054,0.01548784,0.11207078,1.83964471
-5.35767884,4.22006290,1.02500249,1.58918639,0.02679560,0.73924257,0.01426445,0.10442817,1.70509334
-5.35167584,3.88226854,0.94788171,1.45608606,0.02445824,0.68112634,0.01339755,0.09700515,1.57487809
-5.34567284,3.56326724,0.87497494,1.33209467,0.02219371,0.62559676,0.01287484,0.08992018,1.45085877
-5.33966983,3.26685806,0.80727522,1.21853651,0.02002681,0.57334877,0.01268502,0.08327848,1.33468740
-5.33366683,2.99630246,0.74564017,1.11655746,0.01797916,0.52497649,0.01281790,0.07716998,1.22778207
-5.32766383,2.75429537,0.69078174,1.02712161,0.01606906,0.48096619,0.01326444,0.07166783,1.13130940
-5.32166083,2.54295417,0.64326063,0.95101311,0.01431148,0.44169272,0.01401664,0.06682754,1.04617520
-5.31565783,2.36382361,0.60348492,0.88884232,0.01271807,0.40741941,0.01506742,0.06268650,0.97302284
-5.30965483,2.21789434,0.57171256,0.84105516,0.01129738,0.37830085,0.01641037,0.05926414,0.91223833
-5.30365183,2.10563206,0.54805697,0.80794441,0.01005511,0.35438820,0.01803949,0.05656239,0.86396127
-5.29764882,2.02701444,0.53249526,0.78966164,0.00899437,0.33563648,0.01994882,0.05456660,0.82810044
-5.29164582,1.98157289,0.52487828,0.78622873,0.00811605,0.32191332,0.02213215,0.05324679,0.80435292
-5.28564282,1.96843648,0.52494209,0.79754786,0.00741912,0.31300880,0.02458256,0.05255914,0.79222577
-5.27963982,1.98637575,0.53232014,0.82340918,0.00690094,0.30864579,0.02729207,0.05244767,0.79105921
-5.27363682,2.03384456,0.54655593,0.86349553,0.00655751,0.30849050,0.03025119,0.05284616,0.80005053
-5.26763382,2.10901869,0.56711576,0.91738410,0.00638372,0.31216301,0.03344856,0.05368009,0.81827819
-5.26163082,2.20983062,0.59340131,0.98454489,0.00637346,0.31924738,0.03687051,0.05486876,0.84472546
-5.25562781,2.33400010,0.62476212,1.06433646,0.00651977,0.32930135,0.04050066,0.05632735,0.87830338
-5.24962481,2.47906122,0.66050775,1.15599955,0.00681483,0.34186549,0.04431962,0.05796904,0.91787293
-5.24362181,2.64238651,0.69991994,1.25864960,0.00725001,0.35647171,0.04830459,0.05970708,0.96226614
-5.23761881,2.82120943,0.74226463,1.37126924,0.00781580,0.37265123,0.05242919,0.06145679,1.01030643
-5.23161581,3.01264666,0.78680413,1.49270210,0.00850176,0.38994199,0.05666320,0.06313742,1.06082799
-5.22561281,3.21372161,0.83280950,1.62164935,0.00929649,0.40789554,0.06097253,0.06467397,1.11269446
-5.21960980,3.42139067,0.87957331,1.75667030,0.01018757,0.42608352,0.06531923,0.06599868,1.16481681
-5.21360680,3.63257368,0.92642265,1.89618830,0.01116156,0.44410369,0.06966169,0.06705245,1.21617068
-5.20760380,3.84418940,0.97273257,2.03850312,0.01220407,0.46158557,0.07395497,0.06778589,1.26581289
-5.20160080,4.05319683,1.01793967,2.18181037,0.01329987,0.47819571,0.07815137,0.06816021,1.31289718
-5.19559780,4.25664243,1.06155563,2.32422846,0.01443308,0.49364251,0.08220110,0.06814770,1.35668896
-5.18959480,4.45171269,1.10318039,2.46383291,0.01558745,0.50768051,0.08605323,0.06773198,1.39657878
-5.18359180,4.63579119,1.14251452,2.59869741,0.01674666,0.52011423,0.08965676,0.06690791,1.43209416
-5.17758879,4.80651822,1.17937013,2.72694058,0.01789475,0.53080108,0.09296186,0.06568114,1.46290939
-5.17158579,4.96185091,1.21367989,2.84677664,0.01901656,0.53965365,0.09592125,0.06406744,1.48885284
-5.16558279,5.10012093,1.24550328,2.95656802,0.02009820,0.54664087,0.09849164,0.06209173,1.50991122
-5.15957979,5.22008684,1.27502949,3.05487751,0.02112753,0.55178804,0.10063517,0.05978687,1.52623028
-5.15357679,5.32097755,1.30257629,3.14051718,0.02209457,0.55517555,0.10232081,0.05719230,1.53811161
-5.14757379,5.40252386,1.32858420,3.21259134,0.02299195,0.55693622,0.10352561,0.05435256,1.54600490
-5.14157079,5.46497479,1.35360561,3.27053093,0.02381519,0.55725104,0.10423580,0.05131568,1.55049559
-5.13556778,5.50909625,1.37828846,3.31411693,0.02456288,0.55634343,0.10444757,0.04813166,1.55228762
-5.12956478,5.53615019,1.40335451,3.34349071,0.02523678,0.55447186,0.10416753,0.04485090,1.55218134
-5.12356178,5.54785308,1.42957229,3.35915013,0.02584174,0.55192106,0.10341283,0.04152279,1.55104691
