energy_ev,total_up,Ir_p_up,Ir_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,3.65918448,0.80720246,1.66500812,0.11058148,0.03839491,0.53706516,0.03358197,1.26586108
-5.99399700,3.70627433,0.81526458,1.69533411,0.11707057,0.04152566,0.54588450,0.03319964,1.27197089
-5.98799400,3.77708102,0.83637024,1.73248871,0.12448078,0.04501320,0.55475925,0.03314284,1.29197309
-5.98199100,3.87311906,0.87086936,1.77724097,0.13282032,0.04880298,0.56399764,0.03344790,1.32620768
-5.97598799,3.99566297,0.91898419,1.83030646,0.14207722,0.05283761,0.57391988,0.03414663,1.37486072
-5.96998499,4.14567505,0.98079119,1.89230861,0.15221766,0.05705781,0.58484502,0.03526528,1.43794599
-5.96398199,4.32373108,1.05620091,1.96373882,0.16318484,0.06140361,0.59707665,0.03682336,1.51528697
-5.95797899,4.52994731,1.14493691,2.04491685,0.17489842,0.06581571,0.61088778,0.03883269,1.60650004
-5.95197599,4.76391205,1.24651480,2.13595338,0.18725464,0.07023687,0.62650554,0.04129639,1.71097999
-5.94597299,5.02462594,1.36022305,2.23671666,0.20012715,0.07461346,0.64409657,0.04420809,1.82788895
-5.93996998,5.31045451,1.48510702,2.34680499,0.21336860,0.07889697,0.66375356,0.04755133,1.95614969
-5.93396698,5.61909690,1.61995806,2.46552696,0.22681289,0.08304544,0.68548394,0.05129915,2.09444444
-5.92796398,5.94757389,1.76330901,2.59189086,0.24027814,0.08702474,0.70920119,0.05541392,2.24122010
-5.92196098,6.29223796,1.91343784,2.72460459,0.25357039,0.09080965,0.73471954,0.05984758,2.39470051
-5.91595798,6.64880742,2.06838038,2.86208684,0.26648766,0.09438451,0.76175243,0.06454206,2.55290627
-5.90995498,7.01242527,2.22595287,3.00248997,0.27882463,0.09774366,0.78991509,0.06943018,2.71368222
-5.90395198,7.37774275,2.38378486,3.14373442,0.29037746,0.10089125,0.81873147,0.07443676,2.87473239
-5.89794897,7.73902606,2.53936186,3.28355387,0.30094892,0.10384077,0.84764527,0.07948019,3.03366181
-5.89194597,8.09028362,2.69007722,3.41954995,0.31035332,0.10661399,0.87603496,0.08447418,3.18802431
-5.88594297,8.42540998,2.83329170,3.54925457,0.31842139,0.10923950,0.90323222,0.08932982,3.33537478
-5.87993997,8.73834155,2.96639882,3.67019778,0.32500474,0.11175089,0.92854309,0.09395779,3.47332442
-5.87393697,9.02321840,3.08689373,3.77997840,0.32997977,0.11418457,0.95127105,0.09827076,3.59959709
-5.86793397,9.27454592,3.19244279,3.87633461,0.33325097,0.11657739,0.97074097,0.10218571,3.71208447
-5.86193097,9.48734970,3.28095104,3.95721164,0.33475336,0.11896413,0.98632304,0.10562624,3.80889819
-5.85592796,9.65731731,3.35062462,4.02082364,0.33445412,0.12137506,0.99745541,0.10852474,3.88841664
-5.84992496,9.78092103,3.40002534,4.06570717,0.33235321,0.12383361,1.00366471,0.11082430,3.94932466
-5.84392196,9.85551618,3.42811485,4.09076407,0.32848305,0.12635431,1.00458342,0.11248030,3.99064441
-5.83791896,9.87941121,3.43428631,4.09529191,0.32290732,0.12894113,0.99996343,0.11346156,4.01175621
-5.83191596,9.85190664,3.41838223,4.07900099,0.31571874,0.13158634,0.98968504,0.11375117,4.01240846
-5.82591296,9.77330156,3.38069734,4.04201741,0.30703621,0.13426988,0.97376128,0.11334675,3.99271651
-5.81990995,9.64486811,3.32196660,3.98487234,0.29700121,0.13695933,0.95233718,0.11226026,3.95315046
-5.81390695,9.46879559,3.24333876,3.90847841,0.28577369,0.13961057,0.92568439,0.11051741,3.89451273
-5.80790395,9.24810746,3.14633690,3.81409473,0.27352765,0.14216901,0.89419127,0.10815658,3.81790665
-5.80190095,8.98655560,3.03280762,3.70328240,0.26044653,0.14457133,0.85834917,0.10522740,3.72469747
-5.79589795,8.68849709,2.90486133,3.57785282,0.24671865,0.14674777,0.81873558,0.10178909,3.61646776
-5.78989495,8.35875940,2.76480646,3.43981144,0.23253275,0.14862477,0.77599500,0.09790851,3.49496919
-5.78389195,8.00250001,2.61508022,3.29129951,0.21807396,0.15012787,0.73081846,0.09365811,3.36207279
-5.77788894,7.62506653,2.45817912,3.13453626,0.20352016,0.15118469,0.68392262,0.08911392,3.21971969
-5.77188594,7.23186278,2.29659177,2.97176395,0.18903887,0.15172798,0.63602945,0.08435350,3.06987419
-5.76588294,6.82822569,2.13273673,2.80519774,0.17478481,0.15169841,0.58784705,0.07945403,2.91448083
-5.75987994,6.41931676,1.96890735,2.63698189,0.16089805,0.15104715,0.54005268,0.07449067,2.75542655
-5.75387694,6.01003107,1.80722522,2.46915336,0.14750287,0.14973797,0.49327817,0.06953506,2.59450894
-5.74787394,5.60492531,1.64960353,2.30361354,0.13470713,0.14774895,0.44809836,0.06465417,2.43341109
-5.74187094,5.20816541,1.49772067,2.14210797,0.12260234,0.14507350,0.40502262,0.05990934,2.27368301
-5.73586793,4.82349321,1.35300413,1.98621401,0.11126407,0.14172088,0.36448951,0.05535574,2.11672950
-5.72986493,4.45421072,1.21662436,1.83733550,0.10075284,0.13771608,0.32686441,0.05104194,1.96380390
-5.72386193,4.10317986,1.08949752,1.69670353,0.09111531,0.13309906,0.29243993,0.04700981,1.81600696
-5.71785893,3.77283485,0.97229596,1.56538213,0.08238560,0.12792353,0.26143864,0.04329462,1.67428991
-5.71185593,3.46520446,0.86546506,1.44427751,0.07458679,0.12225517,0.23401766,0.03992523,1.53946089
-5.70585293,3.18194086,0.76924482,1.33414956,0.06773235,0.11616955,0.21027467,0.03692445,1.41219354
-5.69984992,2.92435243,0.68369450,1.23562438,0.06182756,0.10974972,0.19025481,0.03430938,1.29303700
-5.69384692,2.69343751,0.60871903,1.14920669,0.05687073,0.10308362,0.17395791,0.03209190,1.18242659
-5.68784392,2.48991715,0.54409559,1.07529128,0.05285431,0.09626150,0.16134579,0.03027902,1.08069418
