energy_ev,total_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,0.45686145,0.00024808,0.00000450,0.48993474,0.01543786,0.02531139,0.03237282
-5.99399700,0.46148417,0.00028876,0.00000530,0.46611399,0.01839923,0.03017142,0.03857663
-5.98799400,0.47014286,0.00033510,0.00000621,0.44379876,0.02177362,0.03571004,0.04564260
-5.98199100,0.48338923,0.00038741,0.00000726,0.42353602,0.02558471,0.04196612,0.05361889
-5.97598799,0.50168074,0.00044587,0.00000845,0.40579949,0.02985051,0.04896906,0.06254125
-5.96998499,0.52536109,0.00051058,0.00000979,0.39097750,0.03458193,0.05673634,0.07242989
-5.96398199,0.55464272,0.00058152,0.00001127,0.37936366,0.03978132,0.06527112,0.08328630
-5.95797899,0.58959230,0.00065850,0.00001291,0.37115030,0.04544126,0.07455999,0.09509036
-5.95197599,0.63011962,0.00074121,0.00001468,0.36642495,0.05154345,0.08457112,0.10779783
-5.94597299,0.67597066,0.00082916,0.00001660,0.36516977,0.05805799,0.09525284,0.12133848
-5.93996998,0.72672533,0.00092171,0.00001864,0.36726388,0.06494303,0.10653286,0.13561490
-5.93396698,0.78180040,0.00101807,0.00002080,0.37248847,0.07214488,0.11831824,0.15050236
-5.92796398,0.84045793,0.00111731,0.00002306,0.38053453,0.07959872,0.13049622,0.16584956
-5.92196098,0.90181930,0.00121842,0.00002539,0.39101292,0.08722979,0.14293596,0.18148072
-5.91595798,0.96488489,0.00132028,0.00002776,0.40346658,0.09495535,0.15549127,0.19719871
-5.90995498,1.02855910,0.00142174,0.00003016,0.41738448,0.10268703,0.16800429,0.21278944
-5.90395198,1.09168008,0.00152169,0.00003254,0.43221694,0.11033394,0.18031002,0.22802733
-5.89794897,1.15305355,0.00161906,0.00003487,0.44739190,0.11780607,0.19224171,0.24268176
-5.89194597,1.21148944,0.00171293,0.00003713,0.46233180,0.12501818,0.20363669,0.25652420
-5.88594297,1.26584027,0.00180254,0.00003928,0.47647031,0.13189379,0.21434277,0.26933589
-5.87993997,1.31503971,0.00188739,0.00004128,0.48926870,0.13836927,0.22422450,0.28091567
-5.87393697,1.35813984,0.00196728,0.00004312,0.50023110,0.14439775,0.23316949,0.29108761
-5.86793397,1.39434537,0.00204237,0.00004476,0.50891829,0.14995261,0.24109398,0.29970808
-5.86193097,1.42304345,0.00211318,0.00004620,0.51495950,0.15503044,0.24794781,0.30667200
-5.85592796,1.44382743,0.00218068,0.00004741,0.51806183,0.15965319,0.25371809,0.31191779
-5.84992496,1.45651355,0.00224627,0.00004840,0.51801696,0.16386939,0.25843165,0.31543080
-5.84392196,1.46114942,0.00231176,0.00004917,0.51470500,0.16775423,0.26215580,0.31724506
-5.83791896,1.45801391,0.00237940,0.00004972,0.50809523,0.17140843,0.26499745,0.31744310
-5.83191596,1.44760816,0.00245183,0.00005008,0.49824396,0.17495598,0.26710040,0.31615380
-5.82591296,1.43063788,0.00253201,0.00005026,0.48528946,0.17854045,0.26864088,0.31354841
-5.81990995,1.40798783,0.00262319,0.00005030,0.46944439,0.18232034,0.26982144,0.30983470
-5.81390695,1.38068927,0.00272881,0.00005024,0.45098600,0.18646333,0.27086339,0.30524964
-5.80790395,1.34988192,0.00285244,0.00005009,0.43024466,0.19113969,0.27199808,0.30005081
-5.80190095,1.31677212,0.00299769,0.00004992,0.40759112,0.19651519,0.27345733,0.29450692
-5.79589795,1.28258900,0.00316812,0.00004976,0.38342325,0.20274378,0.27546349,0.28888788
-5.78989495,1.24854066,0.00336714,0.00004963,0.35815264,0.20996030,0.27821950,0.28345492
-5.78389195,1.21577233,0.00359799,0.00004959,0.33219171,0.21827372,0.28189949,0.27845107
-5.77788894,1.18532843,0.00386362,0.00004966,0.30594186,0.22776110,0.28664037,0.27409260
-5.77188594,1.15812016,0.00416669,0.00004987,0.27978291,0.23846285,0.29253481,0.27056172
-5.76588294,1.13490005,0.00450953,0.00005023,0.25406438,0.25037930,0.29962599,0.26800086
-5.75987994,1.11624464,0.00489415,0.00005075,0.22909863,0.26346911,0.30790458,0.26650890
-5.75387694,1.10254586,0.00532226,0.00005144,0.20515617,0.27764954,0.31730796,0.26613938
-5.74787394,1.09401143,0.00579530,0.00005229,0.18246300,0.29279878,0.32772202,0.26690090
-5.74187094,1.09067420,0.00631454,0.00005328,0.16119999,0.30876022,0.33898540,0.26875956
-5.73586793,1.09240975,0.00688114,0.00005440,0.14150420,0.32534874,0.35089612,0.27164343
-5.72986493,1.09896145,0.00749624,0.00005563,0.12347177,0.34235861,0.36322042,0.27544878
-5.72386193,1.10997150,0.00816109,0.00005694,0.10716226,0.35957295,0.37570337,0.28004770
-5.71785893,1.12501667,0.00887715,0.00005829,0.09260412,0.37677403,0.38808093,0.28529692
-5.71185593,1.14364671,0.00964618,0.00005967,0.07980093,0.39375436,0.40009282,0.29104719
-5.70585293,1.16542380,0.01047036,0.00006105,0.06873814,0.41032761,0.41149568,0.29715296
-5.69984992,1.18996102,0.01135237,0.00006240,0.05939008,0.42633920,0.42207598,0.30348171
-5.69384692,1.21695803,0.01229545,0.00006372,0.05172686,0.44167576,0.43166187,0.30992274
-5.68784392,1.24623227,0.01330348,0.00006500,0.04572101,0.45627303,0.44013357,0.31639463
-5.68184092,1.27774410,0.01438097,0.00006625,0.04135365,0.47012175,0.44743174,0.32285140
-5.67583792,1.31161479,0.01553313,0.00006749,0.03861992,0.48327116,0.45356320,0.32928677
-5.66983492,1.34813625,0.01676581,0.00006874,0.03753357,0.49582973,0.45860395,0.33573647
-5.66383192,1.38777193,0.01808551,0.00007005,0.03813056,0.50796314,0.46269904,0.34227834
-5.65782891,1.43114881,0.01949932,0.00007148,0.04047154,0.51988930,0.46605927,0.34903036
-5.65182591,1.47904025,0.02101487,0.00007308,0.04464306,0.53187068,0.46895492,0.35614650
-5.64582291,1.53234055,0.02264028,0.00007492,0.05075742,0.54420405,0.47170648,0.36381062
-5.63981991,1.59203156,0.02438399,0.00007709,0.05895112,0.55720808,0.47467290,0.37222864
-5.63381691,1.65914272,0.02625475,0.00007967,0.06938173,0.57120929,0.47823774,0.38161930
-5.62781391,1.73470552,0.02826134,0.00008273,0.08222330,0.58652679,0.48279370,0.39220383
-5.62181091,1.81970411,0.03041250,0.00008635,0.09766013,0.60345657,0.48872627,0.40419494
-5.61580790,1.91502348,0.03271657,0.00009061,0.11587907,0.62225582,0.49639703,0.41778558
-5.60980490,2.02139705,0.03518129,0.00009556,0.13706041,0.64312816,0.50612729,0.43313785
-5.60380190,2.13935545,0.03781335,0.00010126,0.16136752,0.66621010,0.51818276,0.45037253
-5.59779890,2.26917839,0.04061801,0.00010772,0.18893555,0.69155961,0.53275980,0.46955969
-5.59179590,2.41085133,0.04359855,0.00011497,0.21985947,0.71914713,0.54997382,0.49071053
-5.58579290,2.56402889,0.04675571,0.00012298,0.25418191,0.74884949,0.56985031,0.51377116
-5.57978989,2.72800652,0.05008704,0.00013172,0.29188134,0.78044702,0.59231882,0.53861818
-5.57378689,2.90170207,0.05358630,0.00014112,0.33286106,0.81362415,0.61721015,0.56505666
