energy_ev,total_up,Fe_p_up,Fe_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.67146186,0.31155529,0.49445005,0.23523661,0.35852890,0.00556863,0.10510034,0.04491035,0.60988633
-5.99399700,1.69358141,0.31691671,0.51206415,0.23789124,0.35345116,0.00530370,0.10483419,0.04621763,0.62745207
-5.98799400,1.71673817,0.32413216,0.52863721,0.24089140,0.34906210,0.00511219,0.10464646,0.04735962,0.64559320
-5.98199100,1.74087918,0.33324063,0.54403288,0.24424285,0.34542773,0.00500055,0.10454493,0.04832838,0.66422852
-5.97598799,1.76588704,0.34423708,0.55811917,0.24793742,0.34259493,0.00497429,0.10453240,0.04911853,0.68324478
-5.96998499,1.79158176,0.35707212,0.57076934,0.25195247,0.34059266,0.00503790,0.10460657,0.04972725,0.70249654
-5.96398199,1.81772403,0.37165266,0.58186286,0.25625049,0.33943339,0.00519494,0.10475996,0.05015426,0.72180707
-5.95797899,1.84401984,0.38784349,0.59128667,0.26077910,0.33911458,0.00544797,0.10497991,0.05040172,0.74097025
-5.95197599,1.87012666,0.40546996,0.59893665,0.26547144,0.33962019,0.00579861,0.10524874,0.05047415,0.75975364
-5.94597299,1.89566100,0.42432154,0.60471943,0.27024703,0.34092209,0.00624756,0.10554396,0.05037827,0.77790271
-5.93996998,1.92020753,0.44415642,0.60855447,0.27501310,0.34298157,0.00679455,0.10583876,0.05012285,0.79514617
-5.93396698,1.94332952,0.46470689,0.61037636,0.27966657,0.34575059,0.00743840,0.10610255,0.04971857,0.81120242
-5.92796398,1.96458049,0.48568549,0.61013723,0.28409644,0.34917312,0.00817699,0.10630174,0.04917778,0.82578681
-5.92196098,1.98351669,0.50679178,0.60780921,0.28818678,0.35318632,0.00900731,0.10640066,0.04851440,0.83861958
-5.91595798,1.99971013,0.52771941,0.60338668,0.29182007,0.35772175,0.00992542,0.10636266,0.04774361,0.84943423
-5.90995498,2.01276162,0.54816346,0.59688831,0.29488087,0.36270649,0.01092654,0.10615128,0.04688173,0.85798579
-5.90395198,2.02231321,0.56782766,0.58835850,0.29725965,0.36806420,0.01200505,0.10573154,0.04594592,0.86405890
-5.89794897,2.02805969,0.58643124,0.57786832,0.29885660,0.37371620,0.01315457,0.10507120,0.04495398,0.86747505
-5.89194597,2.02975831,0.60371524,0.56551563,0.29958524,0.37958236,0.01436802,0.10414201,0.04392404,0.86809888
-5.88594297,2.02723640,0.61944797,0.55142433,0.29937569,0.38558201,0.01563766,0.10292085,0.04287430,0.86584296
-5.87993997,2.02039636,0.63342942,0.53574284,0.29817733,0.39163461,0.01695526,0.10139071,0.04182268,0.86067108
-5.87393697,2.00921782,0.64549453,0.51864152,0.29596084,0.39766038,0.01831210,0.09954144,0.04078654,0.85259960
