energy_ev,total_up,C_s_up,C_p_up,Na_s_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,8.15207654,0.02323905,0.71531818,0.17974825,6.37442352,4.90381363,0.10564099,1.89751105
-5.99399700,7.84995891,0.02286127,0.65490851,0.17343149,6.04525911,4.71312752,0.10248658,1.87182480
-5.98799400,7.55502256,0.02240307,0.59879985,0.16728777,5.73862420,4.52670407,0.09932972,1.84304237
-5.98199100,7.26886402,0.02186719,0.54717893,0.16142843,5.45661556,4.34540027,0.09619224,1.81149496
-5.97598799,6.99299578,0.02125771,0.50015989,0.15596294,5.20104786,4.16999230,0.09309652,1.77759611
-5.96998499,6.72887431,0.02057989,0.45779307,0.15099663,4.97347313,4.00120075,0.09006544,1.74183662
-5.96398199,6.47791869,0.01984017,0.42007393,0.14662830,4.77519438,3.83971095,0.08712226,1.70477591
-5.95797899,6.24151834,0.01904591,0.38695141,0.14294786,4.60727180,3.68618688,0.08429040,1.66702986
-5.95197599,6.02102875,0.01820535,0.35833570,0.14003400,4.47052098,3.54127785,0.08159316,1.62925553
-5.94597299,5.81775539,0.01732731,0.33410487,0.13795210,4.36550294,3.40561747,0.07905328,1.59213330
-5.93996998,5.63292670,0.01642105,0.31411055,0.13675213,4.29250701,3.27981529,0.07669254,1.55634709
-5.93396698,5.46765804,0.01549603,0.29818237,0.13646697,4.25152784,3.16444192,0.07453120,1.52256332
-5.92796398,5.32290887,0.01456170,0.28613135,0.13711089,4.24223870,3.06000885,0.07258749,1.49140958
-5.92196098,5.19943632,0.01362729,0.27775241,0.13867845,4.26396358,2.96694477,0.07087705,1.46345381
-5.91595798,5.09774841,0.01270163,0.27282597,0.14114381,4.31565101,2.88557026,0.06941241,1.43918496
-5.90995498,5.01806039,0.01179297,0.27111919,0.14446048,4.39585250,2.81607297,0.06820252,1.41899589
-5.90395198,4.96025759,0.01090882,0.27238676,0.14856166,4.50270855,2.75848535,0.06725237,1.40316948
-5.89794897,4.92386778,0.01005588,0.27637165,0.15336105,4.63394495,2.71266677,0.06656264,1.39186834
-5.89194597,4.90804579,0.00923994,0.28280610,0.15875436,4.78688140,2.67829191,0.06612957,1.38512891
-5.88594297,4.91157209,0.00846580,0.29141275,0.16462143,4.95845418,2.65484631,0.06594487,1.38286012
-5.87993997,4.93286663,0.00773733,0.30190643,0.17082885,5.14525349,2.64163033,0.06599584,1.38484681
-5.87393697,4.97001799,0.00705743,0.31399628,0.17723332,5.34357550,2.63777150,0.06626558,1.39075776
-5.86793397,5.02082747,0.00642812,0.32738857,0.18368530,5.54948802,2.64224511,0.06673340,1.40015811
-5.86193097,5.08286616,0.00585055,0.34178993,0.19003324,5.75890792,2.65390246,0.06737530,1.41252558
