energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.30051383,-0.54673672,0.00142263,-0.00041338,0.02630756,-0.03043528,0.42534839,-0.22790534,0.23046566,-0.05020131,0.37353589,-0.15065067,0.32726103,-0.13580461,0.76038836,-0.31077482,0.00000000,-0.00000000
-5.99399700,1.38737915,-0.55612131,0.00144806,-0.00042424,0.02772666,-0.02868528,0.44907756,-0.21910289,0.24856100,-0.05098855,0.39533370,-0.15197549,0.35120259,-0.14189048,0.81022400,-0.31808743,0.00000000,-0.00000000
-5.98799400,1.47448388,-0.57021037,0.00147631,-0.00044470,0.02915487,-0.02716242,0.47310752,-0.21225026,0.26693113,-0.05230709,0.41708124,-0.15470990,0.37522677,-0.14907032,0.86007893,-0.32815350,0.00000000,-0.00000000
-5.98199100,1.56085787,-0.58867260,0.00150966,-0.00047505,0.03055809,-0.02586643,0.49712005,-0.20733428,0.28538240,-0.05411849,0.43854576,-0.15876516,0.39907424,-0.15727776,0.90941440,-0.34076446,0.00000000,-0.00000000
-5.97598799,1.64549531,-0.61112769,0.00155068,-0.00051579,0.03190289,-0.02479289,0.52078588,-0.20431705,0.30370410,-0.05638178,0.45948430,-0.16404126,0.42247946,-0.16643483,0.95767110,-0.35568559,0.00000000,-0.00000000
-5.96998499,1.72737319,-0.63715968,0.00160220,-0.00056762,0.03315728,-0.02393361,0.54377024,-0.20314006,0.32167190,-0.05905477,0.47964743,-0.17043031,0.44517641,-0.17645570,1.00427917,-0.37266396,0.00000000,-0.00000000
-5.96398199,1.80547161,-0.66633202,0.00166725,-0.00063152,0.03429160,-0.02327723,0.56573914,-0.20372899,0.33905194,-0.06209546,0.49878377,-0.17782034,0.46690458,-0.18725073,1.04866932,-0.39143721,0.00000000,-0.00000000
-5.95797899,1.87879541,-0.69820379,0.00174897,-0.00070872,0.03527922,-0.02280985,0.58636619,-0.20599883,0.35560573,-0.06546336,0.51664501,-0.18609938,0.48741497,-0.19873093,1.09028476,-0.41174309,0.00000000,-0.00000000
-5.95197599,1.94639641,-0.73234640,0.00185058,-0.00080074,0.03609728,-0.02251576,0.60533986,-0.20985913,0.37109547,-0.06912101,0.53299142,-0.19515952,0.50647592,-0.21081235,1.12859363,-0.43332904,0.00000000,-0.00000000
-5.94597299,2.00739559,-0.76835984,0.00197528,-0.00090935,0.03672725,-0.02237814,0.62237092,-0.21521900,0.38528991,-0.07303516,0.54759767,-0.20490078,0.52387854,-0.22342043,1.16310150,-0.45596156,0.00000000,-0.00000000
