energy_ev,total_up,Sb_p_up,Sb_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,1.78195570,0.70707138,0.04547743,1.73625839,0.80018761,0.35718539,0.00000000
-5.99399700,1.72510371,0.66689334,0.04363065,1.62929490,0.77687502,0.36062985,0.00000000
-5.98799400,1.67514323,0.62959019,0.04188845,1.52828149,0.75633117,0.36592215,0.00000000
-5.98199100,1.63265667,0.59563094,0.04026349,1.43416532,0.73880107,0.37304358,0.00000000
-5.97598799,1.59800548,0.56539095,0.03876293,1.34766789,0.72443439,0.38193286,0.00000000
-5.96998499,1.57133561,0.53914819,0.03738877,1.26928686,0.71328786,0.39248951,0.00000000
-5.96398199,1.55258976,0.51708220,0.03613840,1.19930457,0.70533077,0.40457843,0.00000000
-5.95797899,1.54152533,0.49927546,0.03500532,1.13780221,0.70045297,0.41803555,0.00000000
-5.95197599,1.53773683,0.48571714,0.03397992,1.08467872,0.69847497,0.43267419,0.00000000
-5.94597299,1.54068162,0.47630873,0.03305036,1.03967313,0.69915935,0.44829176,0.00000000
-5.93996998,1.54970752,0.47087135,0.03220351,1.00238923,0.70222315,0.46467658,0.00000000
-5.93396698,1.56408105,0.46915440,0.03142573,0.97232140,0.70735031,0.48161454,0.00000000
-5.92796398,1.58301505,0.47084521,0.03070374,0.94888061,0.71420389,0.49889515,0.00000000
-5.92196098,1.60569471,0.47557939,0.03002523,0.93141950,0.72243744,0.51631688,0.00000000
-5.91595798,1.63130111,0.48295157,0.02937947,0.91925602,0.73170514,0.53369166,0.00000000
-5.90995498,1.65903156,0.49252634,0.02875765,0.91169468,0.74167052,0.55084816,0.00000000
-5.90395198,1.68811646,0.50384894,0.02815320,0.90804532,0.75201340,0.56763411,0.00000000
-5.89794897,1.71783244,0.51645580,0.02756181,0.90763885,0.76243524,0.58391741,0.00000000
-5.89194597,1.74751177,0.52988444,0.02698138,0.90984007,0.77266269,0.59958620,0.00000000
-5.88594297,1.77654837,0.54368280,0.02641188,0.91405740,0.78244966,0.61454814,0.00000000
-5.87993997,1.80440075,0.55741772,0.02585499,0.91974988,0.79157802,0.62872871,0.00000000
-5.87393697,1.83059250,0.57068258,0.02531377,0.92643154,0.79985725,0.64206920,0.00000000
-5.86793397,1.85471068,0.58310400,0.02479221,0.93367351,0.80712326,0.65452422,0.00000000
-5.86193097,1.87640303,0.59434743,0.02429480,0.94110424,0.81323676,0.66605912,0.00000000
-5.85592796,1.89537432,0.60412180,0.02382608,0.94840814,0.81808144,0.67664755,0.00000000
-5.84992496,1.91138249,0.61218300,0.02339026,0.95532306,0.82156214,0.68626925,0.00000000
-5.84392196,1.92423501,0.61833635,0.02299082,0.96163691,0.82360332,0.69490826,0.00000000
-5.83791896,1.93378568,0.62243791,0.02263030,0.96718373,0.82414788,0.70255163,0.00000000
-5.83191596,1.93993224,0.62439477,0.02231005,0.97183945,0.82315641,0.70918872,0.00000000
-5.82591296,1.94261454,0.62416426,0.02203015,0.97551746,0.82060693,0.71481097,0.00000000
-5.81990995,1.94181355,0.62175220,0.02178934,0.97816436,0.81649496,0.71941226,0.00000000
-5.81390695,1.93755072,0.61721015,0.02158512,0.97975560,0.81083390,0.72298959,0.00000000
-5.80790395,1.92988772,0.61063180,0.02141384,0.98029151,0.80365550,0.72554411,0.00000000
-5.80190095,1.91892599,0.60214853,0.02127089,0.97979330,0.79501033,0.72708221,0.00000000
-5.79589795,1.90480602,0.59192436,0.02115090,0.97829943,0.78496796,0.72761669,0.00000000
-5.78989495,1.88770597,0.58015023,0.02104800,0.97586196,0.77361684,0.72716768,0.00000000
-5.78389195,1.86783934,0.56703795,0.02095603,0.97254314,0.76106357,0.72576335,0.00000000
-5.77788894,1.84545167,0.55281382,0.02086884,0.96841215,0.74743168,0.72344020,0.00000000
-5.77188594,1.82081608,0.53771223,0.02078047,0.96354186,0.73285969,0.72024294,0.00000000
-5.76588294,1.79422766,0.52196935,0.02068533,0.95800586,0.71749855,0.71622384,0.00000000
-5.75987994,1.76599700,0.50581706,0.02057841,0.95187554,0.70150856,0.71144169,0.00000000
-5.75387694,1.73644287,0.48947747,0.02045536,0.94521755,0.68505586,0.70596029,0.00000000
-5.74787394,1.70588451,0.47315795,0.02031256,0.93809138,0.66830852,0.69984670,0.00000000
-5.74187094,1.67463379,0.45704712,0.02014716,0.93054742,0.65143272,0.69316915,0.00000000
-5.73586793,1.64298768,0.44131164,0.01995708,0.92262543,0.63458885,0.68599500,0.00000000
-5.72986493,1.61122133,0.42609409,0.01974096,0.91435344,0.61792803,0.67838869,0.00000000
