energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,2.45390224,0.00551913,0.68292423,0.61358330,0.25681791,0.00872520,0.57088217,2.20185219,0.72336770
-5.99399700,2.39803975,0.00497932,0.67314290,0.59553347,0.24367559,0.00843864,0.55409743,2.18838466,0.70698547
-5.98799400,2.33916393,0.00448833,0.66179543,0.57886570,0.23032425,0.00815037,0.53810705,2.17053212,0.68879143
-5.98199100,2.27815728,0.00404456,0.64905966,0.56369730,0.21698301,0.00786444,0.52311594,2.14871361,0.66907446
-5.97598799,2.21595068,0.00364627,0.63513178,0.55014233,0.20387086,0.00758557,0.50932824,2.12340342,0.64814969
-5.96998499,2.15350569,0.00329165,0.62022266,0.53831056,0.19120257,0.00731908,0.49694371,2.09512083,0.62635189
-5.96398199,2.09179776,0.00297896,0.60455412,0.52830675,0.17918526,0.00707093,0.48615505,2.06441937,0.60402867
-5.95797899,2.03180071,0.00270657,0.58835523,0.52023048,0.16801550,0.00684763,0.47714593,2.03187590,0.58153380
-5.95197599,1.97447269,0.00247303,0.57185858,0.51417610,0.15787710,0.00665621,0.47008974,1.99807969,0.55922061
-5.94597299,1.92074364,0.00227713,0.55529676,0.51023309,0.14893953,0.00650419,0.46514897,1.96362189,0.53743587
-5.93996998,1.87150421,0.00211787,0.53889903,0.50848634,0.14135677,0.00639944,0.46247496,1.92908533,0.51651400
-5.93396698,1.82759595,0.00199452,0.52288813,0.50901653,0.13526671,0.00635013,0.46220781,1.89503497,0.49677182
-5.92796398,1.78980255,0.00190654,0.50747746,0.51190023,0.13079074,0.00636455,0.46447627,1.86200888,0.47850393
-5.92196098,1.75884189,0.00185358,0.49286839,0.51720975,0.12803364,0.00645101,0.46939741,1.83050996,0.46197859
-5.91595798,1.73535846,0.00183541,0.47924787,0.52501256,0.12708341,0.00661763,0.47707576,1.80099812,0.44743432
-5.90995498,1.71991612,0.00185190,0.46678627,0.53537034,0.12801116,0.00687214,0.48760194,1.77388329,0.43507703
-5.90395198,1.71299079,0.00190287,0.45563533,0.54833743,0.13087076,0.00722161,0.50105059,1.74951895,0.42507773
-5.89794897,1.71496311,0.00198809,0.44592645,0.56395894,0.13569834,0.00767226,0.51747764,1.72819635,0.41757092
-5.89194597,1.72611104,0.00210716,0.43776905,0.58226843,0.14251154,0.00822912,0.53691689,1.71013954,0.41265331
-5.88594297,1.74660252,0.00225945,0.43124922,0.60328535,0.15130849,0.00889576,0.55937617,1.69550130,0.41038330
-5.87993997,1.77648851,0.00244400,0.42642850,0.62701239,0.16206666,0.00967399,0.58483315,1.68436003,0.41078073
-5.87393697,1.81569668,0.00265944,0.42334302,0.65343277,0.17474154,0.01056360,0.61323114,1.67671806,0.41382733
-5.86793397,1.86402626,0.00290397,0.42200289,0.68250788,0.18926542,0.01156211,0.64447506,1.67250134,0.41946745
-5.86193097,1.92114453,0.00317525,0.42239197,0.71417518,0.20554615,0.01266450,0.67842800,1.67156088,0.42760944
-5.85592796,1.98658543,0.00347042,0.42446803,0.74834671,0.22346634,0.01386313,0.71490863,1.67367604,0.43812739
-5.84992496,2.05975076,0.00378605,0.42816343,0.78490816,0.24288289,0.01514759,0.75368975,1.67855991,0.45086339
-5.84392196,2.13991438,0.00411813,0.43338626,0.82371867,0.26362714,0.01650471,0.79449810,1.68586661,0.46563023
-5.83791896,2.22622971,0.00446215,0.44002207,0.86461140,0.28550567,0.01791866,0.83701592,1.69520065,0.48221453
-5.83191596,2.31774058,0.00481310,0.44793605,0.90739473,0.30830199,0.01937117,0.88088393,1.70612812,0.50038028
-5.82591296,2.41339558,0.00516556,0.45697579,0.95185419,0.33177894,0.02084174,0.92570618,1.71818935,0.51987271
-5.81990995,2.51206552,0.00551380,0.46697453,0.99775494,0.35568209,0.02230813,0.97105636,1.73091269,0.54042251
-5.81390695,2.61256376,0.00585192,0.47775468,1.04484465,0.37974390,0.02374683,1.01648565,1.74382896,0.56175019
-5.80790395,2.71366891,0.00617395,0.48913178,1.09285676,0.40368864,0.02513360,1.06153173,1.75648591,0.58357067
-5.80190095,2.81414906,0.00647401,0.50091851,1.14151381,0.42723790,0.02644417,1.10572873,1.76846221,0.60559779
-5.79589795,2.91278690,0.00674648,0.51292878,1.19053089,0.45011652,0.02765488,1.14861767,1.77938026,0.62754894
-5.78989495,3.00840487,0.00698615,0.52498168,1.23961890,0.47205878,0.02874340,1.18975706,1.78891723,0.64914932
-5.78389195,3.09988925,0.00718836,0.53690518,1.28848766,0.49281447,0.02968942,1.22873323,1.79681398,0.67013615
-5.77788894,3.18621258,0.00734917,0.54853942,1.33684868,0.51215470,0.03047529,1.26516987,1.80288114,0.69026240
-5.77188594,3.26645330,0.00746544,0.55973943,1.38441761,0.52987718,0.03108657,1.29873656,1.80700231,0.70930008
-5.76588294,3.33981207,0.00753497,0.57037723,1.43091619,0.54581064,0.03151256,1.32915573,1.80913404,0.72704311
-5.75987994,3.40562396,0.00755654,0.58034318,1.47607390,0.55981835,0.03174661,1.35620793,1.80930254,0.74330952
-5.75387694,3.46336634,0.00752996,0.58954655,1.51962908,0.57180038,0.03178637,1.37973507,1.80759737,0.75794304
-5.74787394,3.51266186,0.00745606,0.59791530,1.56132967,0.58169464,0.03163389,1.39964163,1.80416216,0.77081412
-5.74187094,3.55327692,0.00733666,0.60539506,1.60093362,0.58947665,0.03129551,1.41589364,1.79918291,0.78182024
-5.73586793,3.58511539,0.00717451,0.61194745,1.63820896,0.59515793,0.03078169,1.42851574,1.79287432,0.79088555
-5.72986493,3.60820828,0.00697320,0.61754777,1.67293360,0.59878329,0.03010667,1.43758633,1.78546477,0.79796008
-5.72386193,3.62269995,0.00673700,0.62218222,1.70489507,0.60042702,0.02928798,1.44323109,1.77718061,0.80301826
-5.71785893,3.62883142,0.00647077,0.62584486,1.73389014,0.60018830,0.02834595,1.44561533,1.76823057,0.80605711
-5.71185593,3.62692203,0.00617977,0.62853439,1.75972460,0.59818599,0.02730302,1.44493554,1.75879100,0.80709413
-5.70585293,3.61735017,0.00586949,0.63025113,1.78221329,0.59455317,0.02618315,1.44141055,1.74899272,0.80616486
-5.69984992,3.60053434,0.00554553,0.63099417,1.80118049,0.58943167,0.02501112,1.43527284,1.73891013,0.80332054
-5.69384692,3.57691543,0.00521338,0.63075909,1.81646090,0.58296680,0.02381185,1.42676042,1.72855326,0.79862562
-5.68784392,3.54694122,0.00487837,0.62953626,1.82790128,0.57530276,0.02260979,1.41610970,1.71786318,0.79215561
-5.68184092,3.51105376,0.00454543,0.62730995,1.83536291,0.56657861,0.02142838,1.40354972,1.70671120,0.78399506
-5.67583792,3.46968038,0.00421911,0.62405823,1.83872484,0.55692533,0.02028949,1.38929791,1.69490195,0.77423599
-5.66983492,3.42322847,0.00390340,0.61975382,1.83788798,0.54646373,0.01921308,1.37355764,1.68218032,0.76297664
-5.66383192,3.37208413,0.00360176,0.61436572,1.83277999,0.53530351,0.01821678,1.35651747,1.66824212,0.75032065
-5.65782891,3.31661459,0.00331702,0.60786165,1.82336073,0.52354326,0.01731573,1.33835196,1.65274790,0.73637669
-5.65182591,3.25717368,0.00305145,0.60021106,1.80962800,0.51127133,0.01652237,1.31922399,1.63533944,0.72125831
-5.64582291,3.19410982,0.00280672,0.59138863,1.79162338,0.49856752,0.01584634,1.29928804,1.61565798,0.70508421
-5.63981991,3.12777554,0.00258397,0.58137793,1.76943770,0.48550523,0.01529451,1.27869420,1.59336346,0.68797844
-5.63381691,3.05853756,0.00238383,0.57017513,1.74321573,0.47215396,0.01487094,1.25759230,1.56815363,0.67007084
-5.62781391,2.98678635,0.00220650,0.55779237,1.71315968,0.45858186,0.01457701,1.23613587,1.53978216,0.65149721
-5.62181091,2.91294421,0.00205182,0.54426063,1.67953114,0.44485820,0.01441151,1.21448538,1.50807471,0.63239934
-5.61580790,2.83747104,0.00191930,0.52963197,1.64265108,0.43105540,0.01437076,1.19281044,1.47294208,0.61292469
-5.60980490,2.76086710,0.00180821,0.51398084,1.60289781,0.41725055,0.01444875,1.17129064,1.43438988,0.59322569
-5.60380190,2.68367234,0.00171763,0.49740447,1.56070252,0.40352639,0.01463734,1.15011503,1.39252401,0.57345865
-5.59779890,2.60646235,0.00164650,0.48002225,1.51654278,0.38997145,0.01492642,1.12947999,1.34755177,0.55378222
-5.59179590,2.52984087,0.00159368,0.46197416,1.47093384,0.37667955,0.01530410,1.10958587,1.29977863,0.53435558
-5.58579290,2.45442960,0.00155795,0.44341830,1.42441834,0.36374870,0.01575694,1.09063240,1.24960075,0.51533636
-5.57978989,2.38085584,0.00153811,0.42452777,1.37755470,0.35127931,0.01627018,1.07281350,1.19749379,0.49687843
-5.57378689,2.30973900,0.00153294,0.40548689,1.33090481,0.33937211,0.01682800,1.05631160,1.14399863,0.47912984
-5.56778389,2.24167687,0.00154124,0.38648725,1.28502167,0.32812571,0.01741382,1.04129228,1.08970483,0.46223082
-5.56178089,2.17723275,0.00156189,0.36772355,1.24043751,0.31763421,0.01801062,1.02789941,1.03523272,0.44631226
-5.55577789,2.11692437,0.00159381,0.34938967,1.19765312,0.30798481,0.01860131,1.01625141,0.98121506,0.43149456
-5.54977489,2.06121532,0.00163603,0.33167500,1.15712880,0.29925566,0.01916906,1.00643885,0.92827919,0.41788716
-5.54377189,2.01050962,0.00168767,0.31476131,1.11927737,0.29151425,0.01969772,0.99852368,0.87703050,0.40558852
-5.53776888,1.96514965,0.00174798,0.29882016,1.08445944,0.28481608,0.02017221,0.99254009,0.82803793,0.39468674
-5.53176588,1.92541730,0.00181637,0.28401100,1.05298110,0.27920397,0.02057892,0.98849701,0.78182193,0.38526070
-5.52576288,1.89153819,0.00189241,0.27047987,1.02509374,0.27470788,0.02090602,0.98638200,0.73884526,0.37738148
-5.51975988,1.86368808,0.00197586,0.25835863,1.00099593,0.27134519,0.02114385,0.98616616,0.69950678,0.37111396
