energy_ev,total_up,C_s_up,C_p_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-6.00000000,3.58535129,0.06544341,0.28248114,1.25871210,1.09155724,1.58356040,0.00000000,1.04730956,0.63593622
-5.99399700,3.70936119,0.06439648,0.29437756,1.29369373,1.13573004,1.63814946,0.00000000,1.07940301,0.66280744
-5.98799400,3.82615153,0.06312549,0.30620446,1.32562074,1.17845662,1.68880368,0.00000000,1.10887100,0.68786771
-5.98199100,3.93506431,0.06165082,0.31791435,1.35430638,1.21958378,1.73512626,0.00000000,1.13548802,0.71088903
-5.97598799,4.03551869,0.05999404,0.32945163,1.37958877,1.25897509,1.77676881,0.00000000,1.15905381,0.73167038
-5.96998499,4.12700812,0.05817750,0.34075146,1.40132887,1.29650745,1.81343361,0.00000000,1.17939332,0.75004054
-5.96398199,4.20909637,0.05622389,0.35173898,1.41940825,1.33206745,1.84487482,0.00000000,1.19635632,0.76586022
-5.95797899,4.28141296,0.05415579,0.36232900,1.43372703,1.36554804,1.87089890,0.00000000,1.20981677,0.77902377
-5.95197599,4.34364899,0.05199533,0.37242628,1.44420212,1.39684567,1.89136430,0.00000000,1.21967227,0.78946021
-5.94597299,4.39555402,0.04976390,0.38192643,1.45076624,1.42585848,1.90618094,0.00000000,1.22584371,0.79713390
-5.93996998,4.43693469,0.04748185,0.39071757,1.45336771,1.45248553,1.91530947,0.00000000,1.22827534,0.80204472
-5.93396698,4.46765559,0.04516830,0.39868259,1.45197124,1.47662743,1.91876072,0.00000000,1.22693542,0.80422789
-5.92796398,4.48764255,0.04284099,0.40570211,1.44655988,1.49818846,1.91659542,0.00000000,1.22181738,0.80375342
-5.92196098,4.49688835,0.04051617,0.41165792,1.43713775,1.51708003,1.90892416,0.00000000,1.21294168,0.80072520
-5.91595798,4.49546062,0.03820856,0.41643689,1.42373380,1.53322537,1.89590773,0.00000000,1.20035804,0.79527969
-5.90995498,4.48351117,0.03593135,0.41993504,1.40640597,1.54656528,1.87775758,0.00000000,1.18414806,0.78758415
-5.90395198,4.46128613,0.03369621,0.42206173,1.38524557,1.55706450,1.85473620,0.00000000,1.16442780,0.77783434
-5.89794897,4.42913567,0.03151333,0.42274354,1.36038155,1.56471837,1.82715708,0.00000000,1.14135013,0.76625168
-5.89194597,4.38752247,0.02939154,0.42192783,1.33198400,1.56955926,1.79538408,0.00000000,1.11510649,0.75307975
-5.88594297,4.33702764,0.02733837,0.41958564,1.30026674,1.57166239,1.75982960,0.00000000,1.08592771,0.73858008
-5.87993997,4.27835328,0.02536014,0.41571376,1.26548836,1.57115059,1.72095151,0.00000000,1.05408366,0.72302726
-5.87393697,4.21232064,0.02346206,0.41033592,1.22795164,1.56819766,1.67924840,0.00000000,1.01988140,0.70670341
-5.86793397,4.13986364,0.02164832,0.40350285,1.18800104,1.56303002,1.63525314,0.00000000,0.98366183,0.68989202
-5.86193097,4.06201725,0.01992219,0.39529141,1.14601817,1.55592646,1.58952460,0.00000000,0.94579473,0.67287143
-5.85592796,3.97990094,0.01828603,0.38580252,1.10241546,1.54721597,1.54263783,0.00000000,0.90667219,0.65590800
-5.84992496,3.89469773,0.01674141,0.37515830,1.05762802,1.53727355,1.49517274,0.00000000,0.86670083,0.63924924
-5.84392196,3.80762938,0.01528912,0.36349827,1.01210417,1.52651433,1.44770183,0.00000000,0.82629286,0.62311728
-5.83791896,3.71992902,0.01392923,0.35097507,0.96629505,1.51538593,1.40077731,0.00000000,0.78585656,0.60770276
-5.83191596,3.63281218,0.01266109,0.33774967,0.92064367,1.50435953,1.35491828,0.00000000,0.74578647,0.59315966
-5.82591296,3.54744763,0.01148342,0.32398650,0.87557406,1.49391993,1.31059844,0.00000000,0.70645384,0.57960110
-5.81990995,3.46492935,0.01039431,0.30984865,0.83148102,1.48455478,1.26823497,0.00000000,0.66819778,0.56709657
-5.81390695,3.38625073,0.00939127,0.29549335,0.78872084,1.47674343,1.22817902,0.00000000,0.63131753,0.55567058
-5.80790395,3.31228215,0.00847128,0.28106803,0.74760360,1.47094558,1.19070835,0.00000000,0.59606620,0.54530296
-5.80190095,3.24375269,0.00763083,0.26670696,0.70838724,1.46759005,1.15602238,0.00000000,0.56264635,0.53593081
-5.79589795,3.18123646,0.00686602,0.25252878,0.67127363,1.46706381,1.12423975,0.00000000,0.53120743,0.52745200
-5.78989495,3.12514389,0.00617264,0.23863483,0.63640683,1.46970146,1.09539870,0.00000000,0.50184535,0.51973021
-5.78389195,3.07571789,0.00554619,0.22510831,0.60387338,1.47577531,1.06945985,0.00000000,0.47460398,0.51260111
-5.77788894,3.03303456,0.00498206,0.21201438,0.57370464,1.48548612,1.04631143,0.00000000,0.44947845,0.50587966
-5.77188594,2.99700811,0.00447556,0.19940087,0.54588080,1.49895477,1.02577655,0.00000000,0.42642016,0.49936791
-5.76588294,2.96739918,0.00402201,0.18729976,0.52033643,1.51621483,1.00762206,0.00000000,0.40534299,0.49286324
-5.75987994,2.94382616,0.00361687,0.17572907,0.49696696,1.53720636,0.99156868,0.00000000,0.38613049,0.48616647
-5.75387694,2.92577854,0.00325578,0.16469514,0.47563609,1.56177106,0.97730185,0.00000000,0.36864365,0.47908957
-5.74787394,2.91263197,0.00293465,0.15419512,0.45618336,1.58964919,0.96448289,0.00000000,0.35272879,0.47146266
-5.74187094,2.90366435,0.00264969,0.14421946,0.43843182,1.62047830,0.95276009,0.00000000,0.33822536,0.46313999
-5.73586793,2.89807265,0.00239749,0.13475444,0.42219540,1.65379444,0.94177935,0.00000000,0.32497311,0.45400468
-5.72986493,2.89499027,0.00217501,0.12578441,0.40728568,1.68903590,0.93119408,0.00000000,0.31281862,0.44397218
-5.72386193,2.89350477,0.00197964,0.11729386,0.39351803,1.72554988,0.92067423,0.00000000,0.30162078,0.43299219
-5.71785893,2.89267604,0.00180913,0.10926922,0.38071681,1.76260233,0.90991423,0.00000000,0.29125521,0.42104924
-5.71185593,2.89155505,0.00166164,0.10170021,0.36871984,1.79939100,0.89863985,0.00000000,0.28161751,0.40816192
-5.70585293,2.88920304,0.00153570,0.09458108,0.35738187,1.83506175,0.88661390,0.00000000,0.27262531,0.39438087
-5.69984992,2.88471153,0.00143013,0.08791139,0.34657738,1.86872792,0.87364094,0.00000000,0.26421931,0.37978581
-5.69384692,2.87722283,0.00134407,0.08169664,0.33620259,1.89949240,0.85957086,0.00000000,0.25636326,0.36448171
-5.68784392,2.86595106,0.00127688,0.07594867,0.32617695,1.92647178,0.84430157,0.00000000,0.24904314,0.34859447
-5.68184092,2.85020337,0.00122811,0.07068590,0.31644410,1.94882206,0.82778088,0.00000000,0.24226565,0.33226627
-5.67583792,2.82940087,0.00119746,0.06593349,0.30697248,1.96576487,0.81000749,0.00000000,0.23605624,0.31565085
-5.66983492,2.80309874,0.00118474,0.06172337,0.29775572,1.97661334,0.79103132,0.00000000,0.23045682,0.29890892
-5.66383192,2.77100484,0.00118984,0.05809427,0.28881268,1.98079652,0.77095313,0.00000000,0.22552335,0.28220400
-5.65782891,2.73299594,0.00121265,0.05509166,0.28018748,1.97788143,0.74992348,0.00000000,0.22132349,0.26569856
-5.65182591,2.68913090,0.00125313,0.05276763,0.27194917,1.96759156,0.72814104,0.00000000,0.21793433,0.24955093
-5.64582291,2.63965998,0.00131122,0.05118071,0.26419128,1.94982110,0.70585029,0.00000000,0.21544047,0.23391269
-5.63981991,2.58502951,0.00138688,0.05039550,0.25703108,1.92464414,0.68333852,0.00000000,0.21393243,0.21892681
-5.63381691,2.52588145,0.00148009,0.05048220,0.25060841,1.89231824,0.66093224,0.00000000,0.21350529,0.20472635
-5.62781391,2.46304745,0.00159088,0.05151581,0.24508410,1.85328215,0.63899291,0.00000000,0.21425788,0.19143375
-5.62181091,2.39753716,0.00171935,0.05357514,0.24063788,1.80814770,0.61791208,0.00000000,0.21629210,0.17916060
-5.61580790,2.33052084,0.00186569,0.05674142,0.23746552,1.75768594,0.59810581,0.00000000,0.21971258,0.16800776
-5.60980490,2.26330654,0.00203027,0.06109655,0.23577542,1.70280819,0.58000860,0.00000000,0.22462644,0.15806580
-5.60380190,2.19731237,0.00221361,0.06672095,0.23578430,1.64454240,0.56406660,0.00000000,0.23114306,0.14941544
-5.59779890,2.13403440,0.00241645,0.07369109,0.23771225,1.58400606,0.55073034,0.00000000,0.23937368,0.14212816
-5.59179590,2.07501107,0.00263979,0.08207658,0.24177695,1.52237620,0.54044686,0.00000000,0.24943076,0.13626664
-5.58579290,2.02178504,0.00288488,0.09193700,0.24818728,1.46085796,0.53365141,0.00000000,0.26142686,0.13188496
-5.57978989,1.97586358,0.00315322,0.10331856,0.25713638,1.40065245,0.53075858,0.00000000,0.27547300,0.12902866
-5.57378689,1.93867834,0.00344656,0.11625063,0.26879431,1.34292519,0.53215321,0.00000000,0.29167630,0.12773436
-5.56778389,1.91154590,0.00376681,0.13074233,0.28330058,1.28877602,0.53818084,0.00000000,0.31013692,0.12802913
-5.56178089,1.89562983,0.00411605,0.14677934,0.30075673,1.23921139,0.54913812,0.00000000,0.33094424,0.12992947
-5.55577789,1.89190559,0.00449632,0.16432110,0.32121931,1.19511964,0.56526310,0.00000000,0.35417228,0.13344001
-5.54977489,1.90112899,0.00490963,0.18329855,0.34469348,1.15725016,0.58672582,0.00000000,0.37987449,0.13855190
-5.54377189,1.92380929,0.00535768,0.20361263,0.37112766,1.12619652,0.61361922,0.00000000,0.40807817,0.14524115
-5.53776888,1.96018753,0.00584184,0.22513360,0.40040937,1.10238411,0.64595089,0.00000000,0.43877849,0.15346676
-5.53176588,2.01022105,0.00636285,0.24770140,0.43236268,1.08606239,0.68363583,0.00000000,0.47193265,0.16316906
-5.52576288,2.07357450,0.00692073,0.27112706,0.46674754,1.07730162,0.72649073,0.00000000,0.50745428,0.17426809
-5.51975988,2.14961803,0.00751457,0.29519521,0.50326102,1.07599426,0.77422997,0.00000000,0.54520867,0.18666246
-5.51375688,2.23743280,0.00814240,0.31966767,0.54154073,1.08186052,0.82646395,0.00000000,0.58500882,0.20022860
-5.50775388,2.33582400,0.00880106,0.34428809,0.58117042,1.09445803,0.88269990,0.00000000,0.62661307,0.21482059
-5.50175088,2.44334135,0.00948608,0.36878736,0.62168769,1.11319524,0.94234558,0.00000000,0.66972421,0.23027076
-5.49574787,2.55830666,0.01019168,0.39288983,0.66259374,1.13734801,1.00471601,0.00000000,0.71399062,0.24639103
-5.48974487,2.67884817,0.01091078,0.41631988,0.70336472,1.16607908,1.06904336,0.00000000,0.75900941,0.26297503
-5.48374187,2.80294068,0.01163504,0.43880880,0.74346463,1.19845993,1.13448995,0.00000000,0.80433171,0.27980111
-5.47773887,2.92845078,0.01235504,0.46010144,0.78235901,1.23349430,1.20016415,0.00000000,0.84947005,0.29663612
-5.47173587,3.05318567,0.01306043,0.47996263,0.81952926,1.27014302,1.26513890,0.00000000,0.89390763,0.31323985
-5.46573287,3.17494451,0.01374023,0.49818290,0.85448667,1.30734944,1.32847227,0.00000000,0.93710939,0.32937005
-5.45972986,3.29157056,0.01438310,0.51458333,0.88678602,1.34406473,1.38922948,0.00000000,0.97853425,0.34478792
-5.45372686,3.40100258,0.01497769,0.52901930,0.91603773,1.37927268,1.44650570,0.00000000,1.01764834,0.35926373
-5.44772386,3.50132389,0.01551298,0.54138311,0.94191847,1.41201310,1.49944866,0.00000000,1.05393860,0.37258252
-5.44172086,3.59080742,0.01597871,0.55160520,0.96417944,1.44140341,1.54728038,0.00000000,1.08692620,0.38454951
-5.43571786,3.66795535,0.01636565,0.55965422,0.98265216,1.46665777,1.58931704,0.00000000,1.11617928,0.39499512
-5.42971486,3.73153207,0.01666601,0.56553577,0.99725141,1.48710335,1.62498629,0.00000000,1.14132453,0.40377932
-5.42371186,3.78058940,0.01687364,0.56929010,1.00797531,1.50219329,1.65384129,0.00000000,1.16205706,0.41079514
-5.41770885,3.81448346,0.01698435,0.57098895,1.01490249,1.51151607,1.67557088,0.00000000,1.17814823,0.41597126
-5.41170585,3.83288276,0.01699598,0.57073162,1.01818657,1.51480118,1.69000560,0.00000000,1.18945117,0.41927350
-5.40570285,3.83576762,0.01690852,0.56864073,1.01804825,1.51192095,1.69711931,0.00000000,1.19590381,0.42070518
-5.39969985,3.82342116,0.01672410,0.56485780,1.01476541,1.50288876,1.69702649,0.00000000,1.19752932,0.42030643
-5.39369685,3.79641275,0.01644687,0.55953883,1.00866187,1.48785375,1.68997544,0.00000000,1.19443402,0.41815238
-5.38769385,3.75557463,0.01608288,0.55285040,1.00009514,1.46709231,1.67633777,0.00000000,1.18680306,0.41435047
-5.38169085,3.70197320,0.01563980,0.54496606,0.98944402,1.44099698,1.65659481,0.00000000,1.17489392,0.40903687
-5.37568784,3.63687599,0.01512668,0.53606348,0.97709652,1.41006294,1.63132153,0.00000000,1.15902823,0.40237232
-5.36968484,3.56171594,0.01455357,0.52632229,0.96343863,1.37487290,1.60116888,0.00000000,1.13958226,0.39453748
-5.36368184,3.47805417,0.01393123,0.51592253,0.94884445,1.33608077,1.56684513,0.00000000,1.11697640,0.38572801
-5.35767884,3.38754261,0.01327070,0.50504384,0.93366801,1.29439462,1.52909713,0.00000000,1.09166420,0.37614952
-5.35167584,3.29188743,0.01258303,0.49386511,0.91823699,1.25055962,1.48869201,0.00000000,1.06412120,0.36601272
-5.34567284,3.19281439,0.01187891,0.48256451,0.90284843,1.20534111,1.44640012,0.00000000,1.03483401,0.35552861
-5.33966983,3.09203638,0.01116839,0.47131967,0.88776644,1.15950842,1.40297931,0.00000000,1.00428994,0.34490422
-5.33366683,2.99122394,0.01046068,0.46030784,0.87322156,1.11381951,1.35916123,0.00000000,0.97296728,0.33433856
-5.32766383,2.89197863,0.00976394,0.44970579,0.85941172,1.06900684,1.31563946,0.00000000,0.94132661,0.32401919
-5.32166083,2.79580938,0.00908519,0.43968931,0.84650420,1.02576441,1.27305966,0.00000000,0.90980301,0.31411922
-5.31565783,2.70411155,0.00843021,0.43043205,0.83463828,0.98473613,1.23201167,0.00000000,0.87879949,0.30479472
-5.30965483,2.61814854,0.00780357,0.42210381,0.82392822,0.94650551,1.19302313,0.00000000,0.84868133,0.29618269
-5.30365183,2.53903557,0.00720865,0.41486795,0.81446598,0.91158667,1.15655471,0.00000000,0.81977159,0.28839941
-5.29764882,2.46772537,0.00664773,0.40887813,0.80632349,0.88041665,1.12299639,0.00000000,0.79234755,0.28153906
-5.29164582,2.40499568,0.00612207,0.40427449,0.79955410,0.85334889,1.09266469,0.00000000,0.76663810,0.27567282
-5.28564282,2.35143837,0.00563210,0.40117916,0.79419311,0.83064809,1.06580064,0.00000000,0.74282202,0.27084820
-5.27963982,2.30745044,0.00517752,0.39969158,0.79025728,0.81248626,1.04256830,0.00000000,0.72102704,0.26708865
-5.27363682,2.27322687,0.00475743,0.39988372,0.78774339,0.79894011,1.02305388,0.00000000,0.70132976,0.26439349
-5.26763382,2.24875597,0.00437053,0.40179543,0.78662608,0.78998989,1.00726531,0.00000000,0.68375628,0.26273815
-5.26163082,2.23381738,0.00401520,0.40543030,0.78685511,0.78551977,0.99513259,0.00000000,0.66828369,0.26207468
-5.25562781,2.22798351,0.00368960,0.41075223,0.78835250,0.78531981,0.98650885,0.00000000,0.65484217,0.26233274
