energy_ev,total_up,Pb_p_up,Pb_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.16689488,0.08988965,0.00184257,0.88557344,0.24616281,0.00735742,0.73050476
-5.99399700,1.18463208,0.08817189,0.00189643,0.89580742,0.25100029,0.00739237,0.74593401
-5.98799400,1.19914588,0.08652576,0.00194480,0.90340740,0.25501888,0.00739303,0.75921203
-5.98199100,1.21022499,0.08496953,0.00198708,0.90827040,0.25815057,0.00735946,0.77014452
-5.97598799,1.21765356,0.08351047,0.00202266,0.91029438,0.26033156,0.00729213,0.77853963
-5.96998499,1.22121727,0.08214516,0.00205097,0.90938105,0.26150429,0.00719194,0.78421305
-5.96398199,1.22071156,0.08086037,0.00207144,0.90544032,0.26161961,0.00706020,0.78699413
-5.95797899,1.21595155,0.07963433,0.00208358,0.89839588,0.26063909,0.00689858,0.78673296
-5.95197599,1.20678309,0.07843852,0.00208694,0.88819155,0.25853732,0.00670911,0.78330779
-5.94597299,1.19309432,0.07723967,0.00208119,0.87479814,0.25530404,0.00649418,0.77663259
-5.93996998,1.17482686,0.07600200,0.00206609,0.85822016,0.25094593,0.00625648,0.76666404
-5.93396698,1.15198609,0.07468946,0.00204153,0.83850192,0.24548805,0.00599902,0.75340776
-5.92796398,1.12464965,0.07326794,0.00200755,0.81573264,0.23897469,0.00572507,0.73692317
-5.92196098,1.09297366,0.07170735,0.00196435,0.79005006,0.23146960,0.00543814,0.71732669
-5.91595798,1.05719619,0.06998336,0.00191227,0.76164225,0.22305566,0.00514196,0.69479312
-5.90995498,1.01763775,0.06807889,0.00185184,0.73074746,0.21383381,0.00484045,0.66955487
-5.90395198,0.97469852,0.06598515,0.00178371,0.69765187,0.20392144,0.00453768,0.64189924
-5.89794897,0.92885269,0.06370230,0.00170871,0.66268544,0.19345020,0.00423784,0.61216367
-5.89194597,0.88063995,0.06123973,0.00162779,0.62621580,0.18256342,0.00394521,0.58072924
-5.88594297,0.83065468,0.05861588,0.00154200,0.58864074,0.17141317,0.00366412,0.54801282
-5.87993997,0.77953338,0.05585775,0.00145250,0.55037950,0.16015717,0.00339894,0.51445809
-5.87393697,0.72794101,0.05300013,0.00136047,0.51186347,0.14895567,0.00315405,0.48052598
-5.86793397,0.67655680,0.05008457,0.00126716,0.47352658,0.13796842,0.00293381,0.44668495
-5.86193097,0.62606034,0.04715819,0.00117380,0.43579606,0.12735183,0.00274257,0.41340152
-5.85592796,0.57711844,0.04427244,0.00108162,0.39908386,0.11725650,0.00258461,0.38113142
-5.84992496,0.53037335,0.04148183,0.00099179,0.36377922,0.10782506,0.00246415,0.35031180
-5.84392196,0.48643264,0.03884264,0.00090540,0.33024259,0.09919043,0.00238531,0.32135448
-5.83791896,0.44586106,0.03641188,0.00082350,0.29880113,0.09147457,0.00235213,0.29464071
