energy_ev,total_up,Cd_p_up,Cd_d_up,Li_s_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,3.04404977,0.61159335,0.36126536,0.57318349,0.06885310,0.05708003,1.69931025,0.00000000
-5.99399700,2.99328059,0.59976956,0.35569483,0.55035785,0.06654346,0.05574914,1.67189621,0.00000000
-5.98799400,2.92636514,0.58476231,0.34817254,0.52538646,0.06390073,0.05418723,1.63532159,0.00000000
-5.98199100,2.84441640,0.56682333,0.33882321,0.49866204,0.06097270,0.05241446,1.59020450,0.00000000
-5.97598799,2.74879521,0.54625075,0.32780343,0.47058765,0.05781032,0.05045434,1.53730408,0.00000000
-5.96998499,2.64107522,0.52338144,0.31529771,0.44156680,0.05446624,0.04833337,1.47750053,0.00000000
-5.96398199,2.52300275,0.49858256,0.30151381,0.41199434,0.05099345,0.04608066,1.41177206,0.00000000
-5.95797899,2.39645315,0.47224278,0.28667747,0.38224812,0.04744397,0.04372746,1.34116988,0.00000000
-5.95197599,2.26338506,0.44476344,0.27102688,0.35268206,0.04386771,0.04130670,1.26679200,0.00000000
-5.94597299,2.12579448,0.41654997,0.25480689,0.32362032,0.04031140,0.03885254,1.18975687,0.00000000
-5.93996998,1.98566999,0.38800387,0.23826339,0.29535304,0.03681787,0.03639992,1.11117767,0.00000000
-5.93396698,1.84495074,0.35951567,0.22163791,0.26813347,0.03342535,0.03398418,1.03213816,0.00000000
-5.92796398,1.70548862,0.33145882,0.20516266,0.24217648,0.03016715,0.03164078,0.95367080,0.00000000
-5.92196098,1.56901552,0.30418511,0.18905629,0.21765847,0.02707143,0.02940507,0.87673787,0.00000000
-5.91595798,1.43711671,0.27802127,0.17352024,0.19471840,0.02416123,0.02731224,0.80221589,0.00000000
-5.90995498,1.31121087,0.25326727,0.15873605,0.17345992,0.02145463,0.02539730,0.73088382,0.00000000
-5.90395198,1.19253702,0.23019593,0.14486349,0.15395434,0.01896512,0.02369532,0.66341516,0.00000000
-5.89794897,1.08214827,0.20905408,0.13203957,0.13624430,0.01670200,0.02224171,0.60037383,0.00000000
-5.89194597,0.98091229,0.19006484,0.12037841,0.12034787,0.01467101,0.02107262,0.54221388,0.00000000
-5.88594297,0.88951768,0.17343116,0.10997194,0.10626294,0.01287486,0.02022553,0.48928245,0.00000000
-5.87993997,0.80848566,0.15933999,0.10089121,0.09397177,0.01131393,0.01973977,0.44182590,0.00000000
-5.87393697,0.73818602,0.14796716,0.09318832,0.08344532,0.00998686,0.01965722,0.39999827,0.00000000
-5.86793397,0.67885627,0.13948231,0.08689879,0.07464745,0.00889122,0.02002282,0.36387173,0.00000000
-5.86193097,0.63062281,0.13405378,0.08204412,0.06753865,0.00802400,0.02088520,0.33344837,0.00000000
-5.85592796,0.59352293,0.13185285,0.07863456,0.06207933,0.00738212,0.02229695,0.30867252,0.00000000
-5.84992496,0.56752628,0.13305721,0.07667173,0.05823235,0.00696285,0.02431487,0.28944335,0.00000000
-5.84392196,0.55255497,0.13785305,0.07615113,0.05596501,0.00676403,0.02699985,0.27562671,0.00000000
-5.83791896,0.54850093,0.14643565,0.07706427,0.05525012,0.00678430,0.03041640,0.26706616,0.00000000
-5.83191596,0.55523983,0.15900810,0.07940029,0.05606637,0.00702313,0.03463184,0.26359237,0.00000000
