energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up,W_p_up,W_d_up
-3.96498249,4.75830815,0.02320465,0.19387249,0.31230661,0.75606753,0.01329318,2.22905069,0.59911951,1.71029511
-3.95897949,4.72386159,0.02145515,0.19471460,0.30784846,0.77474565,0.01284263,2.24991923,0.58565176,1.66159736
-3.95297649,4.69948771,0.01975356,0.19602966,0.30400052,0.79617662,0.01242303,2.27724138,0.57434071,1.61437566
-3.94697349,4.68473109,0.01812018,0.19777335,0.30074932,0.81998067,0.01203375,2.31014692,0.56523653,1.56907752
-3.94097049,4.67872338,0.01657229,0.19988170,0.29805259,0.84569428,0.01167381,2.34755019,0.55832242,1.52603193
-3.93496748,4.68020976,0.01512391,0.20227369,0.29584192,0.87278090,0.01134177,2.38818202,0.55351713,1.48544086
-3.92896448,4.68759238,0.01378561,0.20485453,0.29402641,0.90064461,0.01103571,2.43062915,0.55067963,1.44737723
-3.92296148,4.69898884,0.01256453,0.20751934,0.29249721,0.92864660,0.01075325,2.47337956,0.54961552,1.41178883
-3.91695848,4.71230271,0.01146444,0.21015709,0.29113250,0.95612356,0.01049155,2.51487167,0.55008504,1.37850814
-3.91095548,4.72530288,0.01048597,0.21265468,0.28980274,0.98240759,0.01024741,2.55354553,0.55181216,1.34726682
-3.90495248,4.73570798,0.00962685,0.21490090,0.28837605,1.00684675,0.01001733,2.58789370,0.55449451,1.31771430
-3.89894947,4.74127220,0.00888227,0.21679026,0.28672319,1.02882539,0.00979762,2.61651002,0.55781365,1.28943911
-3.89294647,4.73986871,0.00824524,0.21822640,0.28472228,1.04778367,0.00958453,2.63813426,0.56144555,1.26199188
-3.88694347,4.72956721,0.00770704,0.21912506,0.28226287,1.06323522,0.00937436,2.65169107,0.56507075,1.23490878
-3.88094047,4.70870263,0.00725761,0.21941661,0.27924936,1.07478249,0.00916356,2.65632185,0.56838407,1.20773431
-3.87493747,4.67593220,0.00688600,0.21904785,0.27560366,1.08212898,0.00894888,2.65140862,0.57110353,1.18004237
-3.86893447,4.63027912,0.00658077,0.21798337,0.27126704,1.08508802,0.00872739,2.63658904,0.57297835,1.15145477
-3.86293147,4.57116145,0.00633035,0.21620616,0.26620130,1.08358764,0.00849662,2.61176259,0.57379576,1.12165651
-3.85692846,4.49840554,0.00612339,0.21371775,0.26038907,1.07767141,0.00825462,2.57708768,0.57338650,1.09040736
-3.85092546,4.41224407,0.00594909,0.21053768,0.25383362,1.06749524,0.00799992,2.53297029,0.57162890,1.05754943
-3.84492246,4.31329944,0.00579743,0.20670255,0.24655790,1.05332029,0.00773167,2.48004486,0.56845139,1.02301075
-3.83891946,4.20255360,0.00565934,0.20226459,0.23860319,1.03550234,0.00744952,2.41914827,0.56383344,0.98680493
-3.83291646,4.08130616,0.00552694,0.19728978,0.23002730,1.01447802,0.00715370,2.35128829,0.55780484,0.94902717
-3.82691346,3.95112285,0.00539354,0.19185571,0.22090249,0.99074869,0.00684493,2.27760770,0.55044339,0.90984721
-3.82091046,3.81377674,0.00525376,0.18604920,0.21131304,0.96486241,0.00652440,2.19934565,0.54187107,0.86949956
-3.81490745,3.67118486,0.00510354,0.17996366,0.20135286,0.93739494,0.00619372,2.11779767,0.53224876,0.82827176
-3.80890445,3.52534280,0.00494005,0.17369639,0.19112282,0.90893056,0.00585484,2.03427588,0.52176980,0.78649133
-3.80290145,3.37826000,0.00476169,0.16734589,0.18072826,0.88004342,0.00550997,1.95007089,0.51065249,0.74451202
-3.79689845,3.23189818,0.00456792,0.16100918,0.17027643,0.85128020,0.00516156,1.86641650,0.49913194,0.70270001
-3.79089545,3.08811529,0.00435919,0.15477925,0.15987418,0.82314478,0.00481215,1.78445867,0.48745159,0.66142068
-3.78489245,2.94861670,0.00413677,0.14874280,0.14962574,0.79608545,0.00446437,1.70522943,0.47585470,0.62102645
-3.77888944,2.81491551,0.00390260,0.14297818,0.13963077,0.77048506,0.00412080,1.62962665,0.46457628,0.58184617
-3.77288644,2.68830278,0.00365914,0.13755377,0.12998272,0.74665449,0.00378396,1.55840011,0.45383566,0.54417624
-3.76688344,2.56982859,0.00340917,0.13252670,0.12076747,0.72482944,0.00345621,1.49214404,0.44383031,0.50827383
-3.76088044,2.46029390,0.00315570,0.12794213,0.11206230,0.70517060,0.00313973,1.43129601,0.43473089,0.47435232
-3.75487744,2.36025289,0.00290178,0.12383293,0.10393524,0.68776685,0.00283644,1.37614199,0.42667790,0.44257872
-3.74887444,2.27002502,0.00265039,0.12021986,0.09644470,0.67264134,0.00254799,1.32682678,0.41978007,0.41307325
-3.74287144,2.18971535,0.00240434,0.11711224,0.08963950,0.65975978,0.00227574,1.28336909,0.41411429,0.38591077
-3.73686843,2.11924177,0.00216617,0.11450900,0.08355910,0.64904045,0.00202071,1.24568019,0.40972729,0.36112368
-3.73086543,2.05836698,0.00193812,0.11240012,0.07823413,0.64036533,0.00178363,1.21358498,0.40663855,0.33870624
-3.72486243,2.00673334,0.00172201,0.11076826,0.07368707,0.63359152,0.00156490,1.18684425,0.40484441,0.31861963
-3.71885943,1.96389835,0.00151930,0.10959059,0.06993301,0.62856253,0.00136463,1.16517679,0.40432281,0.30079774
-3.71285643,1.92936879,0.00133105,0.10884068,0.06698046,0.62511849,0.00118265,1.14828023,0.40503839,0.28515303
-3.70685343,1.90263161,0.00115792,0.10849019,0.06483215,0.62310509,0.00101854,1.13584949,0.40694747,0.27158234
-3.70085043,1.88317993,0.00100018,0.10851053,0.06348561,0.62238057,0.00087168,1.12759189,0.41000243,0.25997228
-3.69484742,1.87053304,0.00085782,0.10887408,0.06293370,0.62282053,0.00074123,1.12323820,0.41415524,0.25020404
-3.68884442,1.86424952,0.00073051,0.10955515,0.06316484,0.62432048,0.00062626,1.12254942,0.41935971,0.24215734
-3.68284142,1.86393335,0.00061767,0.11053041,0.06416304,0.62679608,0.00052568,1.12531893,0.42557244,0.23571370
-3.67683842,1.86923305,0.00051855,0.11177898,0.06590771,0.63018117,0.00043837,1.13137038,0.43275218,0.23075867
-3.67083542,1.87983479,0.00043223,0.11328205,0.06837327,0.63442409,0.00036316,1.14055171,0.44085786,0.22718342
-3.66483242,1.89545039,0.00035771,0.11502205,0.07152856,0.63948250,0.00029885,1.15272619,0.44984528,0.22488552
-3.65882941,1.91580184,0.00029393,0.11698160,0.07533623,0.64531727,0.00024429,1.16776121,0.45966298,0.22376925
-3.65282641,1.94060400,0.00023980,0.11914220,0.07975210,0.65188612,0.00019835,1.18551619,0.47024744,0.22374556
-3.64682341,1.96954728,0.00019424,0.12148287,0.08472469,0.65913737,0.00015996,1.20583052,0.48151821,0.22473178
-3.64082041,2.00228215,0.00015621,0.12397878,0.09019485,0.66700449,0.00012812,1.22851292,0.49337353,0.22665142
-3.63481741,2.03840709,0.00012473,0.12660009,0.09609580,0.67540184,0.00010193,1.25333309,0.50568670,0.22943410
-3.62881441,2.07746129,0.00009888,0.12931109,0.10235351,0.68422200,0.00008053,1.28001662,0.51830391,0.23301569
-3.62281141,2.11892314,0.00007782,0.13206968,0.10888752,0.69333492,0.00006319,1.30824373,0.53104371,0.23733889
-3.61680840,2.16221486,0.00006081,0.13482744,0.11561230,0.70258890,0.00004924,1.33765223,0.54369846,0.24235401
-3.61080540,2.20671345,0.00004718,0.13753006,0.12243902,0.71181352,0.00003810,1.36784463,0.55603785,0.24802013
-3.60480240,2.25176713,0.00003634,0.14011844,0.12927782,0.72082408,0.00002928,1.39839914,0.56781453,0.25430636
-3.59879940,2.29671646,0.00002779,0.14253020,0.13604039,0.72942751,0.00002234,1.42888387,0.57877148,0.26119309
-3.59279640,2.34091867,0.00002110,0.14470161,0.14264288,0.73742900,0.00001693,1.45887327,0.58865105,0.26867310
-3.58679340,2.38377332,0.00001591,0.14656988,0.14900882,0.74463919,0.00001274,1.48796579,0.59720503,0.27675219
-3.58079040,2.42474745,0.00001191,0.14807561,0.15507212,0.75088115,0.00000952,1.51580139,0.60420518,0.28544923
-3.57478739,2.46339830,0.00000885,0.14916530,0.16077966,0.75599681,0.00000706,1.54207764,0.60945378,0.29479535
