energy_ev,total_up,Fe_p_up,Fe_d_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.84999933,0.72602362,0.48517619,1.61400504,0.58503348,0.01958044,0.68994546,1.09726350,0.00000000
-5.99399700,2.79494404,0.70133794,0.47451320,1.59395502,0.57736437,0.01898115,0.68846134,1.05959074,0.00000000
-5.98799400,2.73260466,0.67505338,0.46246598,1.56892966,0.56820865,0.01828855,0.68465864,1.02011269,0.00000000
-5.98199100,2.66427625,0.64770426,0.44928985,1.53960154,0.55774759,0.01751386,0.67867793,0.97955123,0.00000000
-5.97598799,2.59144480,0.61985111,0.43527513,1.50677252,0.54621289,0.01666954,0.67073489,0.93865856,0.00000000
-5.96998499,2.51576092,0.59206870,0.42074172,1.47135772,0.53388282,0.01576901,0.66111669,0.89820350,0.00000000
-5.96398199,2.43900645,0.56493324,0.40603255,1.43436494,0.52107643,0.01482624,0.65017550,0.85895668,0.00000000
-5.95797899,2.36305454,0.53900937,0.39150601,1.39687002,0.50814583,0.01385538,0.63831923,0.82167490,0.00000000
-5.95197599,2.28982410,0.51483681,0.37752751,1.35998863,0.49546687,0.01287042,0.62599989,0.78708482,0.00000000
-5.94597299,2.22122964,0.49291746,0.36446049,1.32484519,0.48342832,0.01188479,0.61369953,0.75586652,0.00000000
-5.93996998,2.15912809,0.47370293,0.35265711,1.29253995,0.47241999,0.01091114,0.60191468,0.72863710,0.00000000
-5.93396698,2.10526416,0.45758294,0.34244885,1.26411506,0.46282007,0.00996097,0.59113944,0.70593489,0.00000000
-5.92796398,2.06121610,0.44487512,0.33413752,1.24052100,0.45498223,0.00904449,0.58184797,0.68820482,0.00000000
-5.92196098,2.02834384,0.43581614,0.32798668,1.22258427,0.44922287,0.00817044,0.57447714,0.67578524,0.00000000
-5.91595798,2.00774142,0.43055482,0.32421406,1.21097784,0.44580909,0.00734597,0.56940981,0.66889694,0.00000000
-5.90995498,2.00019574,0.42914732,0.32298503,1.20619530,0.44494779,0.00657661,0.56695954,0.66763466,0.00000000
-5.90395198,2.00615331,0.43155463,0.32440744,1.20853005,0.44677641,0.00586629,0.56735739,0.67196173,0.00000000
-5.89794897,2.02569667,0.43764258,0.32852796,1.21806032,0.45135569,0.00521735,0.57074132,0.68170800,0.00000000
-5.89194597,2.05853175,0.44718443,0.33533013,1.23464100,0.45866483,0.00463069,0.57714866,0.69657151,0.00000000
-5.88594297,2.10398712,0.45986612,0.34473411,1.25790287,0.46859936,0.00410587,0.58651218,0.71612408,0.00000000
-5.87993997,2.16102555,0.47529414,0.35659819,1.28725945,0.48097178,0.00364128,0.59865986,0.73982073,0.00000000
-5.87393697,2.22826814,0.49300578,0.37072207,1.32192181,0.49551519,0.00323431,0.61331854,0.76701294,0.00000000
-5.86793397,2.30403031,0.51248170,0.38685176,1.36092074,0.51188969,0.00288154,0.63012143,0.79696554,0.00000000
-5.86193097,2.38636899,0.53316042,0.40468595,1.40313606,0.52969164,0.00257890,0.64861919,0.82887658,0.00000000
-5.85592796,2.47313936,0.55445427,0.42388375,1.44733192,0.54846519,0.00232192,0.66829434,0.86189996,0.00000000
-5.84992496,2.56205946,0.57576643,0.44407348,1.49219706,0.56771597,0.00210582,0.68857836,0.89516976,0.00000000
-5.84392196,2.65078029,0.59650841,0.46486230,1.53638858,0.58692628,0.00192574,0.70887099,0.92782568,0.00000000
-5.83791896,2.73695900,0.61611746,0.48584632,1.57857745,0.60557136,0.00177682,0.72856085,0.95903866,0.00000000
-5.83191596,2.81833228,0.63407317,0.50662096,1.61749420,0.62313598,0.00165436,0.74704670,0.98803557,0.00000000
-5.82591296,2.89278731,0.64991279,0.52679124,1.65197269,0.63913085,0.00155392,0.76375844,1.01412223,0.00000000
-5.81990995,2.95842740,0.66324454,0.54598157,1.68099042,0.65310815,0.00147136,0.77817693,1.03670365,0.00000000
-5.81390695,3.01362975,0.67375845,0.56384490,1.70370349,0.66467558,0.00140295,0.78985199,1.05530086,0.00000000
-5.80790395,3.05709318,0.68123433,0.58007088,1.71947475,0.67350834,0.00134536,0.79841775,1.06956343,0.00000000
-5.80190095,3.08787380,0.68554646,0.59439272,1.72789408,0.67935877,0.00129572,0.80360466,1.07927732,0.00000000
-5.79589795,3.10540742,0.68666489,0.60659274,1.72878970,0.68206296,0.00125160,0.80524792,1.08436775,0.00000000
-5.78989495,3.10951793,0.68465329,0.61650625,1.72223025,0.68154449,0.00121101,0.80329179,1.08489682,0.00000000
-5.78389195,3.10041138,0.67966344,0.62402379,1.70851750,0.67781486,0.00117236,0.79778979,1.08105622,0.00000000
-5.77788894,3.07865647,0.67192665,0.62909171,1.68817009,0.67097097,0.00113446,0.78890086,1.07315528,0.00000000
-5.77188594,3.04515227,0.66174254,0.63171106,1.66189909,0.66118958,0.00109648,0.77688156,1.06160497,0.00000000
-5.76588294,3.00108505,0.64946558,0.63193482,1.63057651,0.64871916,0.00105788,0.76207502,1.04689859,0.00000000
-5.75987994,2.94787607,0.63549023,0.62986378,1.59519836,0.63386956,0.00101840,0.74489681,1.02959006,0.00000000
-5.75387694,2.88712294,0.62023508,0.62564114,1.55684380,0.61699998,0.00097799,0.72581871,1.01027078,0.00000000
-5.74787394,2.82053706,0.60412693,0.61944599,1.51663227,0.59850575,0.00093679,0.70535097,0.98954614,0.00000000
-5.74187094,2.74987993,0.58758532,0.61148613,1.47568055,0.57880448,0.00089508,0.68402376,0.96801273,0.00000000
-5.73586793,2.67690099,0.57100833,0.60199037,1.43506158,0.55832227,0.00085322,0.66236878,0.94623711,0.00000000
-5.72986493,2.60327951,0.55476005,0.59120063,1.39576665,0.53748037,0.00081166,0.64090154,0.92473725,0.00000000
-5.72386193,2.53057273,0.53916033,0.57936413,1.35867260,0.51668291,0.00077087,0.62010521,0.90396708,0.00000000
-5.71785893,2.46017208,0.52447706,0.56672606,1.32451510,0.49630602,0.00073133,0.60041637,0.88430492,0.00000000
-5.71185593,2.39326880,0.51092132,0.55352277,1.29386905,0.47668872,0.00069354,0.58221323,0.86604605,0.00000000
-5.70585293,2.33082995,0.49864522,0.53997588,1.26713642,0.45812581,0.00065797,0.56580672,0.84939950,0.00000000
-5.69984992,2.27358497,0.48774267,0.52628745,1.24454193,0.44086286,0.00062504,0.55143440,0.83448907,0.00000000
-5.69384692,2.22202281,0.47825263,0.51263619,1.22613613,0.42509332,0.00059516,0.53925747,0.82135821,0.00000000
-5.68784392,2.17639882,0.47016459,0.49917498,1.21180555,0.41095768,0.00056872,0.52936059,0.80997834,0.00000000
