energy_ev,total_up,C_s_up,C_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.85804663,0.00320459,0.05645743,0.36296302,0.32706932,0.41303065,0.00000000,0.12940445,0.05712842
-5.99399700,0.84389718,0.00326209,0.05460849,0.36520575,0.32279503,0.40629954,0.00000000,0.13154891,0.05733484
-5.98799400,0.83371049,0.00335401,0.05291706,0.37008982,0.32027715,0.40137858,0.00000000,0.13480156,0.05792098
-5.98199100,0.82878639,0.00348717,0.05146808,0.37819858,0.32005254,0.39885923,0.00000000,0.13937863,0.05897116
-5.97598799,0.83036328,0.00366840,0.05034416,0.39008401,0.32263789,0.39929877,0.00000000,0.14548452,0.06056341
-5.96998499,0.83958427,0.00390437,0.04962384,0.40625056,0.32851601,0.40320423,0.00000000,0.15330561,0.06276683
-5.96398199,0.85746478,0.00420136,0.04937990,0.42713953,0.33812236,0.41101740,0.00000000,0.16300416,0.06563910
-5.95797899,0.88486234,0.00456514,0.04967785,0.45311432,0.35183199,0.42310104,0.00000000,0.17471248,0.06922417
-5.95197599,0.92244920,0.00500068,0.05057466,0.48444700,0.36994734,0.43972683,0.00000000,0.18852747,0.07355011
-5.94597299,0.97068833,0.00551202,0.05211751,0.52130656,0.39268698,0.46106529,0.00000000,0.20450576,0.07862745
-5.93996998,1.02981354,0.00610203,0.05434290,0.56374930,0.42017571,0.48717788,0.00000000,0.22265957,0.08444781
-5.93396698,1.09981411,0.00677222,0.05727581,0.61171149,0.45243617,0.51801160,0.00000000,0.24295347,0.09098297
-5.92796398,1.18042461,0.00752255,0.06092911,0.66500495,0.48938245,0.55339626,0.00000000,0.26530210,0.09818458
-5.92196098,1.27112033,0.00835127,0.06530314,0.72331554,0.53081582,0.59304461,0.00000000,0.28956919,0.10598431
-5.91595798,1.37111872,0.00925480,0.07038550,0.78620490,0.57642302,0.63655540,0.00000000,0.31556778,0.11429463
-5.90995498,1.47938736,0.01022757,0.07615101,0.85311555,0.62577731,0.68341949,0.00000000,0.34306184,0.12301029
-5.90395198,1.59465845,0.01126202,0.08256192,0.92337940,0.67834259,0.73302896,0.00000000,0.37176933,0.13201025
-5.89794897,1.71545018,0.01234857,0.08956828,0.99622955,0.73348061,0.78468914,0.00000000,0.40136675,0.14116033
-5.89194597,1.84009457,0.01347566,0.09710860,1.07081524,0.79046159,0.83763348,0.00000000,0.43149504,0.15031633
-5.88594297,1.96677173,0.01462990,0.10511066,1.14621964,0.84847792,0.89104079,0.00000000,0.46176686,0.15932763
-5.87993997,2.09354980,0.01579621,0.11349266,1.22148001,0.90666105,0.94405475,0.00000000,0.49177505,0.16804114
-5.87393697,2.21842977,0.01695813,0.12216448,1.29560970,0.96410110,0.99580500,0.00000000,0.52110209,0.17630552
-5.86793397,2.33939408,0.01809811,0.13102927,1.36762149,1.01986871,1.04542936,0.00000000,0.54933033,0.18397550
-5.86193097,2.45445776,0.01919788,0.13998519,1.43655132,1.07303874,1.09209657,0.00000000,0.57605266,0.19091615
-5.85592796,2.56172044,0.02023891,0.14892733,1.50148190,1.12271483,1.13502872,0.00000000,0.60088334,0.19700700
-5.84992496,2.65941768,0.02120288,0.15774975,1.56156530,1.16805418,1.17352284,0.00000000,0.62346865,0.20214581
-5.84392196,2.74596977,0.02207218,0.16634773,1.61604392,1.20829168,1.20697074,0.00000000,0.64349692,0.20625179
-5.83791896,2.82002625,0.02283038,0.17461990,1.66426897,1.24276223,1.23487647,0.00000000,0.66070765,0.20926831
-5.83191596,2.88050450,0.02346274,0.18247050,1.70571606,1.27092070,1.25687070,0.00000000,0.67489940,0.21116477
-5.82591296,2.92662079,0.02395667,0.18981144,1.73999732,1.29235837,1.27272146,0.00000000,0.68593601,0.21193773
-5.81990995,2.95791247,0.02430213,0.19656436,1.76686964,1.30681528,1.28234082,0.00000000,0.69375103,0.21161108
-5.81390695,2.97425043,0.02449192,0.20266235,1.78623900,1.31418793,1.28578709,0.00000000,0.69835009,0.21023545
-5.80790395,2.97584098,0.02452196,0.20805151,1.79816061,1.31453179,1.28326250,0.00000000,0.69981101,0.20788657
-5.80190095,2.96321716,0.02439142,0.21269208,1.80283502,1.30805859,1.27510618,0.00000000,0.69828173,0.20466292
-5.79589795,2.93721945,0.02410272,0.21655934,1.80060044,1.29512834,1.26178290,0.00000000,0.69397592,0.20068259
-5.78989495,2.89896669,0.02366152,0.21964398,1.79192155,1.27623634,1.24386759,0.00000000,0.68716651,0.19607945
-5.78389195,2.84981805,0.02307647,0.22195211,1.77737517,1.25199574,1.22202638,0.00000000,0.67817723,0.19099890
-5.77788894,2.79132763,0.02235899,0.22350481,1.75763331,1.22311625,1.19699476,0.00000000,0.66737247,0.18559317
-5.77188594,2.72519310,0.02152285,0.22433727,1.73344417,1.19037991,1.16955355,0.00000000,0.65514580,0.18001650
-5.76588294,2.65320060,0.02058377,0.22449743,1.70561158,1.15461475,1.14050356,0.00000000,0.64190749,0.17442025
-5.75987994,2.57716764,0.01955889,0.22404433,1.67497347,1.11666766,1.11063994,0.00000000,0.62807151,0.16894818
-5.75387694,2.49888638,0.01846629,0.22304605,1.64237998,1.07737723,1.08072700,0.00000000,0.61404242,0.16373206
-5.74787394,2.42006909,0.01732443,0.22157740,1.60867173,1.03754777,1.05147447,0.00000000,0.60020268,0.15888772
-5.74187094,2.34229797,0.01615166,0.21971736,1.57465870,0.99792555,1.02351608,0.00000000,0.58690078,0.15451171
-5.73586793,2.26698091,0.01496569,0.21754643,1.54110030,0.95917793,0.99739117,0.00000000,0.57444061,0.15067864
-5.72986493,2.19531473,0.01378319,0.21514392,1.50868709,0.92187629,0.97352994,0.00000000,0.56307255,0.14743937
-5.72386193,2.12825704,0.01261943,0.21258529,1.47802445,0.88648318,0.95224285,0.00000000,0.55298647,0.14481998
-5.71785893,2.06650751,0.01148795,0.20993962,1.44961861,0.85334403,0.93371465,0.00000000,0.54430694,0.14282166
-5.71185593,2.01049885,0.01040036,0.20726739,1.42386544,0.82268368,0.91800280,0.00000000,0.53709086,0.14142138
-5.70585293,1.96039774,0.00936622,0.20461850,1.40104218,0.79460748,0.90504074,0.00000000,0.53132749,0.14057350
-5.69984992,1.91611502,0.00839298,0.20203075,1.38130236,0.76910684,0.89464535,0.00000000,0.52694091,0.14021200
-5.69384692,1.87732464,0.00748602,0.19952881,1.36467400,0.74606876,0.88652848,0.00000000,0.52379471,0.14025347
-5.68784392,1.84349024,0.00664875,0.19712364,1.35106138,0.72528872,0.88031190,0.00000000,0.52169884,0.14060059
-5.68184092,1.81389806,0.00588273,0.19481256,1.34025008,0.70648633,0.87554512,0.00000000,0.52041811,0.14114601
-5.67583792,1.78769468,0.00518791,0.19257975,1.33191544,0.68932279,0.87172506,0.00000000,0.51968218,0.14177652
-5.66983492,1.76392793,0.00456287,0.19039738,1.32563421,0.67341960,0.86831711,0.00000000,0.51919652,0.14237726
-5.66383192,1.74158934,0.00400502,0.18822718,1.32089909,0.65837748,0.86477642,0.00000000,0.51865394,0.14283594
-5.65782891,1.71965645,0.00351094,0.18602248,1.31713569,0.64379479,0.86056881,0.00000000,0.51774616,0.14304682
-5.65182591,1.69713338,0.00307656,0.18373050,1.31372172,0.62928480,0.85519031,0.00000000,0.51617519,0.14291432
-5.64582291,1.67308820,0.00269749,0.18129500,1.31000753,0.61449110,0.84818495,0.00000000,0.51366376,0.14235622
-5.63981991,1.64668594,0.00236919,0.17865897,1.30533761,0.59910063,0.83915980,0.00000000,0.50996483,0.14130623
-5.63381691,1.61721629,0.00208721,0.17576740,1.29907226,0.58285412,0.82779725,0.00000000,0.50486952,0.13971600
-5.62781391,1.58411512,0.00184739,0.17256986,1.29060881,0.56555349,0.81386389,0.00000000,0.49821350,0.13755638
-5.62181091,1.54697964,0.00164596,0.16902301,1.27940158,0.54706633,0.79721605,0.00000000,0.48988154,0.13481804
-5.61580790,1.50557690,0.00147974,0.16509261,1.26498006,0.52732738,0.77780189,0.00000000,0.47981012,0.13151143
-5.60980490,1.45984587,0.00134618,0.16075532,1.24696453,0.50633734,0.75566034,0.00000000,0.46798826,0.12766603
-5.60380190,1.40989350,0.00124347,0.15599990,1.22507878,0.48415909,0.73091695,0.00000000,0.45445655,0.12332915
-5.59779890,1.35598544,0.00117059,0.15082799,1.19915928,0.46091200,0.70377725,0.00000000,0.43930447,0.11856420
