energy_ev,total_up,Hg_p_up,Hg_d_up,Mg_p_up,Mg_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,6.34922297,0.52999511,4.69641282,0.42620183,0.00000000,0.18793640,0.07765496,0.08367390,0.74758199
-5.99399700,5.93741711,0.50031646,4.34981860,0.41930470,0.00000000,0.17482348,0.07127549,0.08216987,0.72411437
-5.98799400,5.53327550,0.47175580,4.00890880,0.41182571,0.00000000,0.16207101,0.06524973,0.08048763,0.70109432
-5.98199100,5.14110683,0.44455133,3.67746405,0.40377634,0.00000000,0.14987378,0.05961946,0.07863661,0.67869554
-5.97598799,4.76489733,0.41891769,3.35891554,0.39520562,0.00000000,0.13840996,0.05441846,0.07663296,0.65711952
-5.96998499,4.40825787,0.39504658,3.05629328,0.38620092,0.00000000,0.12783805,0.04967302,0.07449983,0.63659531
-5.96398199,4.07438326,0.37310748,2.77218951,0.37688704,0.00000000,0.11829455,0.04540254,0.07226734,0.61737725
-5.95797899,3.76602311,0.35324827,2.50873696,0.36742354,0.00000000,0.10989232,0.04162028,0.06997223,0.59974074
-5.95197599,3.48546335,0.33559554,2.26760120,0.35800038,0.00000000,0.10271943,0.03833406,0.06765723,0.58397600
-5.94597299,3.23451708,0.32025444,2.04998547,0.34883205,0.00000000,0.09683861,0.03554697,0.06537011,0.57037993
-5.93996998,3.01452299,0.30730804,1.85664630,0.34015030,0.00000000,0.09228727,0.03325804,0.06316251,0.55924641
-5.93396698,2.82634988,0.29681611,1.68791753,0.33219586,0.00000000,0.08907779,0.03146272,0.06108842,0.55085525
-5.92796398,2.67040566,0.28881348,1.54374072,0.32520936,0.00000000,0.08719825,0.03015332,0.05920257,0.54546036
-5.92196098,2.54664959,0.28330801,1.42369962,0.31942197,0.00000000,0.08661347,0.02931922,0.05755861,0.54327757
-5.91595798,2.45460684,0.28027836,1.32705690,0.31504589,0.00000000,0.08726624,0.02894704,0.05620728,0.54447261
-5.90995498,2.39338486,0.27967182,1.25279148,0.31226540,0.00000000,0.08907879,0.02902058,0.05519447,0.54914999
-5.90395198,2.36169150,0.28140238,1.19963522,0.31122857,0.00000000,0.09195450,0.02952074,0.05455945,0.55734323
-5.89794897,2.35785525,0.28534935,1.16610823,0.31204015,0.00000000,0.09577976,0.03042536,0.05433315,0.56900701
-5.89194597,2.37984817,0.29135670,1.15055233,0.31475597,0.00000000,0.10042606,0.03170898,0.05453669,0.58401176
-5.88594297,2.42531248,0.29923339,1.15116277,0.31937895,0.00000000,0.10575229,0.03334272,0.05518017,0.60214116
-5.87993997,2.49159180,0.30875481,1.16601835,0.32585710,0.00000000,0.11160728,0.03529410,0.05626174,0.62309264
-5.87393697,2.57576796,0.31966553,1.19311055,0.33408362,0.00000000,0.11783258,0.03752708,0.05776712,0.64648130
-5.86793397,2.67470424,0.33168329,1.23037215,0.34389898,0.00000000,0.12426537,0.04000216,0.05966945,0.67184711
-5.86193097,2.78509547,0.34450434,1.27570600,0.35509515,0.00000000,0.13074171,0.04267667,0.06192963,0.69866531
-5.85592796,2.90352510,0.35780992,1.32701441,0.36742179,0.00000000,0.13709982,0.04550527,0.06449704,0.72635982
-5.84992496,3.02652885,0.37127387,1.38222946,0.38059411,0.00000000,0.14318346,0.04844061,0.06731072,0.75431913
-5.84392196,3.15066398,0.38457091,1.43934432,0.39430231,0.00000000,0.14884537,0.05143422,0.07030097,0.78191429
-5.83791896,3.27258257,0.39738557,1.49644535,0.40822203,0.00000000,0.15395054,0.05443751,0.07339122,0.80851817
-5.83191596,3.38910710,0.40942123,1.55174452,0.42202570,0.00000000,0.15837931,0.05740297,0.07650030,0.83352549
-5.82591296,3.49730556,0.42040907,1.60361127,0.43539399,0.00000000,0.16203010,0.06028539,0.07954487,0.85637264
-5.81990995,3.59456359,0.43011632,1.65060301,0.44802727,0.00000000,0.16482177,0.06304316,0.08244197,0.87655659
-5.81390695,3.67865066,0.43835384,1.69149285,0.45965627,0.00000000,0.16669533,0.06563955,0.08511164,0.89365214
-5.80790395,3.74777726,0.44498219,1.72529354,0.47005178,0.00000000,0.16761508,0.06804385,0.08747950,0.90732659
-5.80190095,3.80064061,0.44991633,1.75127617,0.47903268,0.00000000,0.16756905,0.07023236,0.08947908,0.91735149
-5.79589795,3.83645616,0.45312840,1.76898270,0.48647220,0.00000000,0.16656870,0.07218924,0.09105395,0.92361054
-5.78989495,3.85497320,0.45464856,1.77823117,0.49230191,0.00000000,0.16464779,0.07390693,0.09215952,0.92610364
-5.78389195,3.85647319,0.45456376,1.77911302,0.49651337,0.00000000,0.16186067,0.07538639,0.09276437,0.92494659
-5.77788894,3.84175039,0.45301441,1.77198223,0.49915730,0.00000000,0.15827988,0.07663695,0.09285117,0.92036654
-5.77188594,3.81207487,0.45018901,1.75743613,0.50034027,0.00000000,0.15399309,0.07767575,0.09241702,0.91269328
-5.76588294,3.76913927,0.44631703,1.73628845,0.50021912,0.00000000,0.14909979,0.07852695,0.09147337,0.90234673
-5.75987994,3.71499091,0.44166016,1.70953543,0.49899320,0.00000000,0.14370756,0.07922052,0.09004538,0.88982116
-5.75387694,3.65195200,0.43650231,1.67831598,0.49689502,0.00000000,0.13792825,0.07979082,0.08817091,0.87566670
-5.74787394,3.58253109,0.43113882,1.64386759,0.49417949,0.00000000,0.13187420,0.08027494,0.08589903,0.86046897
-5.74187094,3.50932931,0.42586511,1.60747945,0.49111239,0.00000000,0.12565462,0.08071095,0.08328830,0.84482775
-5.73586793,3.43494527,0.42096550,1.57044475,0.48795858,0.00000000,0.11937235,0.08113607,0.08040478,0.82933537
-5.72986493,3.36188245,0.41670235,1.53401402,0.48497046,0.00000000,0.11312098,0.08158490,0.07731995,0.81455600
-5.72386193,3.29246302,0.41330620,1.49935126,0.48237724,0.00000000,0.10698261,0.08208773,0.07410855,0.80100639
-5.71785893,3.22875118,0.41096716,1.46749471,0.48037547,0.00000000,0.10102620,0.08266915,0.07084656,0.78913909
-5.71185593,3.17248942,0.40982796,1.43932355,0.47912128,0.00000000,0.09530653,0.08334681,0.06760920,0.77932860
-5.70585293,3.12504950,0.40997884,1.41553193,0.47872464,0.00000000,0.08986386,0.08413067,0.06446926,0.77186109
-5.69984992,3.08740027,0.41145466,1.39661115,0.47924579,0.00000000,0.08472424,0.08502246,0.06149556,0.76692790
-5.69384692,3.06009270,0.41423412,1.38284033,0.48069414,0.00000000,0.07990029,0.08601564,0.05875178,0.76462314
-5.68784392,3.04326259,0.41824123,1.37428606,0.48302936,0.00000000,0.07539257,0.08709573,0.05629542,0.76494515
-5.68184092,3.03664980,0.42334894,1.37081045,0.48616477,0.00000000,0.07119127,0.08824096,0.05417722,0.76780193
-5.67583792,3.03963300,0.42938476,1.37208717,0.48997271,0.00000000,0.06727819,0.08942330,0.05244062,0.77301978
-5.66983492,3.05127752,0.43613816,1.37762465,0.49429155,0.00000000,0.06362887,0.09060974,0.05112154,0.78035510
-5.66383192,3.07039411,0.44336932,1.38679507,0.49893411,0.00000000,0.06021477,0.09176383,0.05024824,0.78950838
-5.65782891,3.09560536,0.45081911,1.39886800,0.50369682,0.00000000,0.05700540,0.09284728,0.04984133,0.80013992
-5.65182591,3.12541703,0.45821967,1.41304700,0.50836952,0.00000000,0.05397024,0.09382166,0.04991378,0.81188645
-5.64582291,3.15829077,0.46530529,1.42850774,0.51274512,0.00000000,0.05108047,0.09465013,0.05047102,0.82437799
-5.63981991,3.19271539,0.47182319,1.44443584,0.51662894,0.00000000,0.04831040,0.09529898,0.05151099,0.83725413
-5.63381691,3.22727358,0.47754365,1.46006314,0.51984729,0.00000000,0.04563855,0.09573908,0.05302417,0.85017918
-5.62781391,3.26070149,0.48226933,1.47470066,0.52225489,0.00000000,0.04304844,0.09594713,0.05499365,0.86285554
-5.62181091,3.29193918,0.48584322,1.48776724,0.52374106,0.00000000,0.04052891,0.09590659,0.05739516,0.87503483
-5.61580790,3.32016985,0.48815502,1.49881254,0.52423425,0.00000000,0.03807431,0.09560841,0.06019719,0.88652640
-5.60980490,3.34484703,0.48914580,1.50753383,0.52370506,0.00000000,0.03568422,0.09505139,0.06336109,0.89720301
-5.60380190,3.36570882,0.48881063,1.51378578,0.52216754,0.00000000,0.03336303,0.09424227,0.06684143,0.90700353
-5.59779890,3.38277915,0.48719926,1.51758313,0.51967892,0.00000000,0.03111928,0.09319553,0.07058637,0.91593274
-5.59179590,3.39635649,0.48441476,1.51909626,0.51633766,0.00000000,0.02896489,0.09193293,0.07453836,0.92405819
-5.58579290,3.40699087,0.48061015,1.51863989,0.51228030,0.00000000,0.02691430,0.09048282,0.07863493,0.93150462
-5.57978989,3.41545040,0.47598327,1.51665554,0.50767687,0.00000000,0.02498351,0.08887917,0.08280988,0.93844601
-5.57378689,3.42267906,0.47077007,1.51368864,0.50272537,0.00000000,0.02318919,0.08716057,0.08699449,0.94509571
-5.56778389,3.42974755,0.46523642,1.51036107,0.49764535,0.00000000,0.02154783,0.08536900,0.09111915,0.95169523
-5.56178089,3.43779926,0.45966896,1.50734064,0.49267085,0.00000000,0.02007490,0.08354855,0.09511496,0.95850185
-5.55577789,3.44799346,0.45436514,1.50530840,0.48804294,0.00000000,0.01878415,0.08174416,0.09891559,0.96577585
-5.54977489,3.46144806,0.44962281,1.50492551,0.48400193,0.00000000,0.01768697,0.08000026,0.10245900,0.97376753
-5.54377189,3.47918372,0.44572985,1.50680065,0.48077965,0.00000000,0.01679193,0.07835952,0.10568923,0.98270468
-5.53776888,3.50207171,0.44295388,1.51145951,0.47859176,0.00000000,0.01610435,0.07686161,0.10855798,0.99278075
-5.53176588,3.53078693,0.44153273,1.51931747,0.47763042,0.00000000,0.01562601,0.07554210,0.11102593,1.00414417
-5.52576288,3.56576804,0.44166570,1.53065650,0.47805749,0.00000000,0.01535502,0.07443142,0.11306376,1.01688919
-5.51975988,3.60718588,0.44350597,1.54560730,0.47999829,0.00000000,0.01528568,0.07355400,0.11465282,1.03104841
-5.51375688,3.65492137,0.44715444,1.56413718,0.48353630,0.00000000,0.01540857,0.07292748,0.11578532,1.04658736
-5.50775388,3.70855367,0.45265518,1.58604444,0.48870884,0.00000000,0.01571062,0.07256220,0.11646410,1.06340122
-5.50175088,3.76735912,0.45999253,1.61095916,0.49550389,0.00000000,0.01617536,0.07246077,0.11670200,1.08131393
-5.49574787,3.83032125,0.46909017,1.63835071,0.50385831,0.00000000,0.01678320,0.07261792,0.11652076,1.10007967
-5.48974487,3.89615146,0.47981195,1.66754158,0.51365745,0.00000000,0.01751181,0.07302045,0.11594963,1.11938682
-5.48374187,3.96332031,0.49196475,1.69772702,0.52473641,0.00000000,0.01833662,0.07364752,0.11502373,1.13886428
