energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,0.69621781,0.04019948,0.01364689,0.15685787,0.27819379,0.21389034,0.00000000
-5.99399700,0.64471222,0.03751037,0.01223906,0.14403667,0.25919936,0.19483226,0.00000000
-5.98799400,0.59669356,0.03506006,0.01092326,0.13219195,0.24153377,0.17678140,0.00000000
-5.98199100,0.55258209,0.03286359,0.00970514,0.12139175,0.22536010,0.15988859,0.00000000
-5.97598799,0.51269768,0.03092903,0.00858920,0.11168234,0.21079514,0.14428113,0.00000000
-5.96998499,0.47725906,0.02925746,0.00757883,0.10308853,0.19790890,0.13006272,0.00000000
-5.96398199,0.44638701,0.02784322,0.00667638,0.09561472,0.18672569,0.11731427,0.00000000
-5.95797899,0.42011094,0.02667430,0.00588326,0.08924667,0.17722684,0.10609567,0.00000000
-5.95197599,0.39837851,0.02573308,0.00520017,0.08395375,0.16935471,0.09644813,0.00000000
-5.94597299,0.38106754,0.02499702,0.00462715,0.07969169,0.16301786,0.08839714,0.00000000
-5.93996998,0.36799961,0.02443967,0.00416388,0.07640554,0.15809712,0.08195559,0.00000000
-5.93396698,0.35895446,0.02403164,0.00380972,0.07403280,0.15445208,0.07712697,0.00000000
-5.92796398,0.35368451,0.02374168,0.00356396,0.07250651,0.15192798,0.07390832,0.00000000
-5.92196098,0.35192873,0.02353778,0.00342585,0.07175815,0.15036245,0.07229279,0.00000000
-5.91595798,0.35342512,0.02338819,0.00339470,0.07172024,0.14959197,0.07227162,0.00000000
-5.90995498,0.35792124,0.02326243,0.00346993,0.07232852,0.14945777,0.07383530,0.00000000
-5.90395198,0.36518229,0.02313219,0.00365096,0.07352356,0.14981086,0.07697395,0.00000000
-5.89794897,0.37499640,0.02297207,0.00393722,0.07525187,0.15051623,0.08167672,0.00000000
-5.89194597,0.38717691,0.02276024,0.00432792,0.07746631,0.15145586,0.08793036,0.00000000
-5.88594297,0.40156163,0.02247890,0.00482194,0.08012597,0.15253064,0.09571688,0.00000000
-5.87993997,0.41800933,0.02211460,0.00541756,0.08319538,0.15366114,0.10501058,0.00000000
