energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Li_s_up,Li_s_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
-6.00000000,2.82811645,-1.48415086,1.24200293,-0.48759469,0.62578005,-0.16697297,0.34098221,-0.28032869,0.00213426,-0.01930425,0.50768313,-0.25867651,0.02734579,-0.01986557,0.97618929,-0.56212541
-5.99399700,2.92736010,-1.52557688,1.27919244,-0.51182710,0.65725546,-0.16844735,0.34957629,-0.29189545,0.00221623,-0.01982998,0.52776387,-0.26400665,0.02799506,-0.02063416,1.00646485,-0.58203795
-5.98799400,3.02130713,-1.57028693,1.31329019,-0.53674587,0.68860770,-0.17000973,0.35681942,-0.30352948,0.00229185,-0.02032129,0.54756027,-0.26958592,0.02863257,-0.02149231,1.03384384,-0.60371829
-5.98199100,3.10821615,-1.61819901,1.34350237,-0.56206812,0.71953082,-0.17166722,0.36252281,-0.31516195,0.00235935,-0.02076931,0.56679438,-0.27533912,0.02923589,-0.02244985,1.05765047,-0.62720058
-5.97598799,3.18651478,-1.66922108,1.36910936,-0.58752631,0.74974079,-0.17342986,0.36652834,-0.32672560,0.00241714,-0.02116607,0.58520605,-0.28120103,0.02978376,-0.02351555,1.07728438,-0.65249818
-5.96998499,3.25483000,-1.72324497,1.38948325,-0.61287383,0.77897761,-0.17530951,0.36871241,-0.33815609,0.00246388,-0.02150467,0.60255646,-0.28711664,0.03025645,-0.02469654,1.09223512,-0.67960022
-5.96398199,3.31201161,-1.78013858,1.40410246,-0.63788925,0.80700602,-0.17731847,0.36898881,-0.34939268,0.00249843,-0.02177940,0.61863069,-0.29304071,0.03063616,-0.02599784,1.10209403,-0.70846781
-5.95797899,3.35714846,-1.83973633,1.41256320,-0.66237885,0.83361494,-0.17946806,0.36731044,-0.36037863,0.00251997,-0.02198594,0.63323938,-0.29893686,0.03090725,-0.02742180,1.10656311,-0.73902984
-5.95197599,3.38957737,-1.90182842,1.41458752,-0.68617749,0.85861579,-0.18176710,0.36366993,-0.37106087,0.00252792,-0.02212136,0.64621946,-0.30477603,0.03105658,-0.02896769,1.10546075,-0.77117877
-5.94597299,3.40888493,-1.96614943,1.41002776,-0.70914774,0.88184014,-0.18422039,0.35809903,-0.38138931,0.00252203,-0.02218418,0.65743424,-0.31053466,0.03107369,-0.03063127,1.09872404,-0.80476655
-5.93996998,3.41490280,-2.03236703,1.39886754,-0.73117740,0.90313687,-0.18682724,0.35066702,-0.39131561,0.00250230,-0.02217429,0.66677290,-0.31619234,0.03095098,-0.03240448,1.08640769,-0.83960091
-5.93396698,3.40769710,-2.10007173,1.38121932,-0.75217575,0.92236948,-0.18958019,0.34147808,-0.40079173,0.00246908,-0.02209292,0.67414974,-0.32172944,0.03068379,-0.03427523,1.06867965,-0.87544257
-5.92796398,3.38755304,-2.16876854,1.35731881,-0.77206869,0.93941375,-0.19246392,0.33066779,-0.40976832,0.00242296,-0.02194248,0.67950327,-0.32712457,0.03027053,-0.03622731,1.04581369,-0.91200359
-5.92196098,3.35495575,-2.23787166,1.32751656,-0.79079342,0.95415635,-0.19545446,0.31839900,-0.41819317,0.00236484,-0.02172641,0.68279548,-0.33235220,0.02971259,-0.03824046,1.01817916,-0.94894743
-5.91595798,3.31056864,-2.30670317,1.29226721,-0.80829298,0.96649456,-0.19851886,0.30485705,-0.42600998,0.00229585,-0.02144901,0.68401130,-0.33738066,0.02901430,-0.04029059,0.98622841,-0.98589094
-5.90995498,3.25521024,-2.37449659,1.25211669,-0.82451124,0.97633746,-0.20161520,0.29024477,-0.43315753,0.00221737,-0.02111523,0.68315858,-0.34217052,0.02818279,-0.04235012,0.95048238,-1.02240871
