energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-6.00000000,6.38173666,1.53875339,3.88819661,0.00443128,0.54477502,0.70048805,0.77445160,0.00811141,1.21872655
-5.99399700,6.26335023,1.49441778,3.83015834,0.00407539,0.52979784,0.68744305,0.75583543,0.00749552,1.19515799
-5.98799400,6.13597824,1.44894647,3.76511421,0.00373711,0.51308769,0.67511165,0.73712346,0.00692945,1.17142855
-5.98199100,6.00078984,1.40269831,3.69376087,0.00341923,0.49486417,0.66353697,0.71841429,0.00641848,1.14762908
-5.97598799,5.85890405,1.35599907,3.61680280,0.00312384,0.47536341,0.65271598,0.69977486,0.00596632,1.12380409
-5.96998499,5.71138005,1.30914117,3.53494147,0.00285231,0.45483290,0.64260373,0.68124343,0.00557514,1.09995736
-5.96398199,5.55920968,1.26238434,3.44886483,0.00260533,0.43352613,0.63311895,0.66283346,0.00524561,1.07605878
-5.95797899,5.40331172,1.21595681,3.35923736,0.00238297,0.41169707,0.62415052,0.64453790,0.00497705,1.05205190
-5.95197599,5.24452759,1.17005685,3.26669088,0.00218472,0.38959481,0.61556472,0.62633381,0.00476749,1.02786177
-5.94597299,5.08361851,1.12485435,3.17181629,0.00200961,0.36745834,0.60721251,0.60818703,0.00461384,1.00340267
-5.93996998,4.92126381,1.08049243,3.07515663,0.00185627,0.34551186,0.59893683,0.59005657,0.00451201,0.97858530
-5.93396698,4.75806064,1.03708891,2.97720156,0.00172303,0.32396058,0.59057942,0.57189876,0.00445709,0.95332331
-5.92796398,4.59452496,0.99473760,2.87838365,0.00160797,0.30298722,0.58198706,0.55367086,0.00444347,0.92753881
-5.92196098,4.43109413,0.95350953,2.77907660,0.00150905,0.28274935,0.57301684,0.53533413,0.00446504,0.90116693
-5.91595798,4.26813107,0.91345405,2.67959551,0.00142416,0.26337749,0.56354065,0.51685637,0.00451529,0.87415924
-5.90995498,4.10593015,0.87460000,2.58019927,0.00135120,0.24497421,0.55344853,0.49821380,0.00458752,0.84648619
-5.90395198,3.94472474,0.83695696,2.48109499,0.00128811,0.22761397,0.54265110,0.47939245,0.00467495,0.81813845
-5.89794897,3.78469638,0.80051672,2.38244429,0.00123295,0.21134391,0.53108096,0.46038904,0.00477086,0.78912755
-5.89194597,3.62598535,0.76525493,2.28437120,0.00118393,0.19618528,0.51869334,0.44121135,0.00486878,0.75948560
-5.88594297,3.46870232,0.73113314,2.18697131,0.00113942,0.18213562,0.50546584,0.42187824,0.00496254,0.72926450
-5.87993997,3.31294075,0.69810108,2.09032174,0.00109801,0.16917137,0.49139766,0.40241932,0.00504648,0.69853463
-5.87393697,3.15878934,0.66609926,1.99449141,0.00105847,0.15725096,0.47650824,0.38287435,0.00511550,0.66738312
-5.86793397,3.00634436,0.63506180,1.89955121,0.00101980,0.14631809,0.46083563,0.36329237,0.00516519,0.63591193
-5.86193097,2.85572091,0.60491937,1.80558347,0.00098121,0.13630517,0.44443447,0.34373071,0.00519187,0.60423564
-5.85592796,2.70706295,0.57560227,1.71269039,0.00094211,0.12713672,0.42737393,0.32425377,0.00519271,0.57247919
-5.84992496,2.56055139,0.54704337,1.62100093,0.00090209,0.11873264,0.40973552,0.30493174,0.00516574,0.54077549
-5.84392196,2.41640999,0.51918094,1.53067599,0.00086092,0.11101123,0.39161093,0.28583914,0.00510985,0.50926299
-5.83791896,2.27490879,0.49196115,1.44191159,0.00081853,0.10389194,0.37309986,0.26705342,0.00502482,0.47808328
-5.83191596,2.13636494,0.46534021,1.35493997,0.00077499,0.09729767,0.35430797,0.24865337,0.00491128,0.44737866
-5.82591296,2.00114097,0.43928600,1.27002876,0.00073047,0.09115672,0.33534492,0.23071760,0.00477064,0.41728978
-5.81990995,1.86964059,0.41377923,1.18747818,0.00068524,0.08540423,0.31632250,0.21332305,0.00460505,0.38795333
-5.81390695,1.74230239,0.38881396,1.10761659,0.00063963,0.07998325,0.29735287,0.19654346,0.00441729,0.35949984
-5.80790395,1.61959167,0.36439758,1.03079470,0.00059404,0.07484532,0.27854694,0.18044803,0.00421066,0.33205163
-5.80190095,1.50199105,0.34055022,0.95737876,0.00054887,0.06995073,0.26001281,0.16510014,0.00398891,0.30572088
-5.79589795,1.38999005,0.31730367,0.88774305,0.00050456,0.06526840,0.24185435,0.15055620,0.00375604,0.28060799
-5.78989495,1.28407441,0.29469985,0.82226211,0.00046153,0.06077542,0.22416994,0.13686479,0.00351629,0.25680009
-5.78389195,1.18471545,0.27278885,0.76130298,0.00042020,0.05645642,0.20705124,0.12406586,0.00327393,0.23436993
-5.77788894,1.09235991,0.25162683,0.70521785,0.00038093,0.05230274,0.19058217,0.11219031,0.00303318,0.21337502
-5.77188594,1.00742059,0.23127364,0.65433710,0.00034409,0.04831142,0.17483803,0.10125964,0.00279817,0.19385708
-5.76588294,0.93026805,0.21179046,0.60896325,0.00030998,0.04448416,0.15988472,0.09128600,0.00257276,0.17584187
-5.75987994,0.86122353,0.19323743,0.56936546,0.00027887,0.04082628,0.14577818,0.08227231,0.00236054,0.15933935
-5.75387694,0.80055304,0.17567145,0.53577496,0.00025098,0.03734562,0.13256397,0.07421267,0.00216476,0.14434415
-5.74787394,0.74846265,0.15914411,0.50838110,0.00022648,0.03405159,0.12027706,0.06709292,0.00198828,0.13083631
-5.74187094,0.70509482,0.14369999,0.48732800,0.00020552,0.03095420,0.10894174,0.06089133,0.00183355,0.11878234
-5.73586793,0.67052564,0.12937521,0.47271160,0.00018818,0.02806328,0.09857176,0.05557936,0.00170260,0.10813653
-5.72986493,0.64476262,0.11619629,0.46457700,0.00017454,0.02538779,0.08917061,0.05112260,0.00159702,0.09884231
-5.72386193,0.62774313,0.10417941,0.46291595,0.00016461,0.02293522,0.08073191,0.04748158,0.00151798,0.09083392
-5.71785893,0.61933298,0.09333001,0.46766434,0.00015839,0.02071116,0.07323999,0.04461274,0.00146622,0.08403805
-5.71185593,0.61932526,0.08364266,0.47869965,0.00015584,0.01871896,0.06667055,0.04246918,0.00144206,0.07837554
-5.70585293,0.62743932,0.07510128,0.49583844,0.00015690,0.01695955,0.06099137,0.04100158,0.00144544,0.07376306
-5.69984992,0.64331996,0.06767958,0.51883390,0.00016146,0.01543127,0.05616317,0.04015886,0.00147586,0.07011481
-5.69384692,0.66653688,0.06134172,0.54737371,0.00016941,0.01412992,0.05214046,0.03988887,0.00153245,0.06734403
-5.68784392,0.69658476,0.05604316,0.58107846,0.00018058,0.01304874,0.04887234,0.04013900,0.00161396,0.06536443
-5.68184092,0.73288418,0.05173166,0.61950094,0.00019479,0.01217860,0.04630351,0.04085669,0.00171873,0.06409157
-5.67583792,0.77478374,0.04834828,0.66212660,0.00021181,0.01150813,0.04437504,0.04198992,0.00184477,0.06344395
-5.66983492,0.82156373,0.04582859,0.70837571,0.00023138,0.01102396,0.04302532,0.04348766,0.00198968,0.06334406
-5.66383192,0.87244174,0.04410381,0.75760736,0.00025319,0.01071094,0.04219086,0.04530027,0.00215076,0.06371922
-5.65782891,0.92658048,0.04310196,0.80912572,0.00027690,0.01055247,0.04180717,0.04737992,0.00232496,0.06450228
-5.65182591,0.98309802,0.04274908,0.86218874,0.00030213,0.01053072,0.04180955,0.04968100,0.00250895,0.06563217
-5.64582291,1.04108043,0.04297035,0.91601919,0.00032847,0.01062702,0.04213392,0.05216051,0.00269915,0.06705435
-5.63981991,1.09959686,0.04369121,0.96981822,0.00035545,0.01082214,0.04271760,0.05477852,0.00289178,0.06872100
-5.63381691,1.15771663,0.04483844,1.02278091,0.00038261,0.01109663,0.04350006,0.05749848,0.00308296,0.07059126
-5.62781391,1.21452801,0.04634113,1.07411350,0.00040944,0.01143115,0.04442369,0.06028769,0.00326873,0.07263117
-5.62181091,1.26915794,0.04813163,1.12305172,0.00043544,0.01180681,0.04543451,0.06311756,0.00344517,0.07481357
-5.61580790,1.32079200,0.05014637,1.16887950,0.00046010,0.01220549,0.04648280,0.06596391,0.00360849,0.07711786
-5.60980490,1.36869362,0.05232656,1.21094716,0.00048292,0.01261012,0.04752377,0.06880704,0.00375511,0.07952954
-5.60380190,1.41222180,0.05461877,1.24868822,0.00050344,0.01300502,0.04851803,0.07163184,0.00388175,0.08203968
-5.59779890,1.45084614,0.05697535,1.28163410,0.00052123,0.01337609,0.04943202,0.07442756,0.00398556,0.08464422
-5.59179590,1.48415852,0.05935468,1.30942568,0.00053591,0.01371106,0.05023831,0.07718753,0.00406413,0.08734304
-5.58579290,1.51188061,0.06172124,1.33182119,0.00054716,0.01399964,0.05091578,0.07990863,0.00411562,0.09013900
-5.57978989,1.53386672,0.06404550,1.34869984,0.00055474,0.01423366,0.05144954,0.08259062,0.00413878,0.09303673
-5.57378689,1.55010155,0.06630355,1.36006097,0.00055850,0.01440707,0.05183083,0.08523526,0.00413301,0.09604135
-5.56778389,1.56069312,0.06847666,1.36601859,0.00055835,0.01451599,0.05205662,0.08784531,0.00409833,0.09915715
-5.56178089,1.56586080,0.07055058,1.36679149,0.00055433,0.01455858,0.05212912,0.09042345,0.00403541,0.10238613
-5.55577789,1.56591927,0.07251476,1.36268958,0.00054653,0.01453498,0.05205510,0.09297115,0.00394554,0.10572668
-5.54977489,1.56125903,0.07436149,1.35409687,0.00053515,0.01444707,0.05184513,0.09548751,0.00383057,0.10917223
