energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,3.72577995,0.00337395,2.25907722,0.10653888,0.37316111,3.14007250,1.90101365
-5.99399700,4.05844056,0.00363776,2.46714757,0.11516671,0.40372626,3.42475270,2.07856101
-5.98799400,4.39379068,0.00389527,2.67842972,0.12363772,0.43389143,3.71263603,2.25946063
-5.98199100,4.72803455,0.00414238,2.89077130,0.13181938,0.46321749,4.00057047,2.44197468
-5.97598799,5.05717410,0.00437492,3.10187671,0.13957598,0.49125408,4.28521814,2.62423734
-5.96998499,5.37709481,0.00458880,3.30935184,0.14677233,0.51755124,4.56312434,2.80428900
-5.96398199,5.68365838,0.00478007,3.51075290,0.15327757,0.54167164,4.83079271,2.98011396
-5.95797899,5.97279885,0.00494512,3.70363765,0.15896910,0.56320302,5.08476383,3.14968012
-5.95197599,6.24061850,0.00508072,3.88561723,0.16373639,0.58177030,5.32169429,3.31097942
-5.94597299,6.48348004,0.00518417,4.05440680,0.16748456,0.59704673,5.53843332,3.46206766
-5.93996998,6.69809148,0.00525336,4.20787325,0.17013749,0.60876391,5.73209430,3.60110242
-5.93396698,6.88158090,0.00528687,4.34407845,0.17164039,0.61671981,5.90011848,3.72637813
-5.92796398,7.03155841,0.00528400,4.46131697,0.17196170,0.62078484,6.04032907,3.83635717
-5.92196098,7.14616372,0.00524479,4.55814724,0.17109417,0.62090549,6.15097409,3.92969671
-5.91595798,7.22409798,0.00517004,4.63341562,0.16905517,0.61710536,6.23075699,4.00527058
-5.90995498,7.26463988,0.00506126,4.68627332,0.16588606,0.60948378,6.27885484,4.06218630
-5.90395198,7.26764614,0.00492064,4.71618614,0.16165087,0.59821186,6.29492411,4.09979713
-5.89794897,7.23353776,0.00475095,4.72293757,0.15643410,0.58352641,6.27909512,4.11770952
-5.89194597,7.16327332,0.00455548,4.70662575,0.15033797,0.56572185,6.23195591,4.11578635
