energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.59993062,0.00380043,0.07213429,0.01304306,0.99549232,1.10034606,0.28861791
-5.99399700,1.66113073,0.00357973,0.07761230,0.01226128,1.03154466,1.16552473,0.30049825
-5.98799400,1.73000367,0.00339373,0.08354275,0.01154515,1.07227550,1.23587603,0.31374357
-5.98199100,1.80635993,0.00324500,0.08989979,0.01090741,1.11758613,1.31105928,0.32830719
-5.97598799,1.88979784,0.00313537,0.09664717,0.01035841,1.16724734,1.39059518,0.34410287
-5.96998499,1.97970262,0.00306594,0.10373792,0.00990601,1.22089903,1.47386732,0.36100506
-5.96398199,2.07525161,0.00303704,0.11111428,0.00955548,1.27805361,1.56012781,0.37885025
-5.95797899,2.17542571,0.00304832,0.11870799,0.00930946,1.33810325,1.64850688,0.39743949
-5.95197599,2.27902686,0.00309872,0.12644088,0.00916803,1.40033067,1.73802665,0.41654202
-5.94597299,2.38470121,0.00318655,0.13422583,0.00912877,1.46392358,1.82761868,0.43590000
-5.93996998,2.49096769,0.00330950,0.14196800,0.00918696,1.52799215,1.91614511,0.45523410
-5.93396698,2.59625119,0.00346472,0.14956654,0.00933572,1.59158945,2.00242303,0.47425000
-5.92796398,2.69891995,0.00364889,0.15691638,0.00956625,1.65373433,2.08525158,0.49264556
-5.92196098,2.79732607,0.00385827,0.16391052,0.00986813,1.71343621,2.16344103,0.51011849
-5.91595798,2.88984832,0.00408879,0.17044235,0.01022962,1.76972119,2.23584328,0.52637435
-5.90995498,2.97493607,0.00433617,0.17640821,0.01063792,1.82165893,2.30138280,0.54113468
-5.90395198,3.05115314,0.00459596,0.18171001,0.01107963,1.86838935,2.35908702,0.55414500
-5.89794897,3.11722016,0.00486373,0.18625788,0.01154102,1.90914851,2.40811534,0.56518246
-5.89194597,3.17205412,0.00513509,0.18997260,0.01200844,1.94329266,2.44778549,0.57406288
-5.88594297,3.21480358,0.00540588,0.19278802,0.01246869,1.97031976,2.47759634,0.58064690
-5.87993997,3.24487834,0.00567221,0.19465304,0.01290938,1.98988748,2.49724613,0.58484510
-5.87393697,3.26197206,0.00593059,0.19553335,0.01331925,2.00182695,2.50664528,0.58662175
-5.86793397,3.26607704,0.00617802,0.19541261,0.01368849,2.00615164,2.50592310,0.58599716
-5.86193097,3.25749005,0.00641201,0.19429328,0.01400898,2.00306082,2.49542779,0.58304837
-5.85592796,3.23680898,0.00663069,0.19219675,0.01427453,1.99293725,2.47571968,0.57790816
-5.84992496,3.20491990,0.00683276,0.18916305,0.01448099,1.97633910,2.44755768,0.57076247
-5.84392196,3.16297496,0.00701755,0.18524992,0.01462633,1.95398610,2.41187921,0.56184603
-5.83791896,3.11236173,0.00718492,0.18053132,0.01471068,1.92674051,2.36977444,0.55143667
-5.83191596,3.05466491,0.00733525,0.17509558,0.01473618,1.89558340,2.32245560,0.53984815
-5.82591296,2.99162197,0.00746935,0.16904298,0.01470694,1.86158709,2.27122264,0.52742199
-5.81990995,2.92507414,0.00758833,0.16248306,0.01462875,1.82588495,2.21742646,0.51451853
-5.81390695,2.85691490,0.00769354,0.15553178,0.01450886,1.78963945,2.16243130,0.50150747
-5.80790395,2.78903758,0.00778641,0.14830836,0.01435564,1.75400999,2.10757773,0.48875831
-5.80190095,2.72328438,0.00786837,0.14093229,0.01417829,1.72012136,2.05414758,0.47663099
-5.79589795,2.66139839,0.00794071,0.13352034,0.01398640,1.68903438,2.00333227,0.46546701
-5.78989495,2.60498035,0.00800452,0.12618375,0.01378966,1.66171935,1.95620560,0.45558144
-5.78389195,2.55545160,0.00806059,0.11902577,0.01359745,1.63903343,1.91370179,0.44725583
-5.77788894,2.51402397,0.00810938,0.11213947,0.01341855,1.62170236,1.87659939,0.44073243
-5.77188594,2.48167750,0.00815099,0.10560603,0.01326080,1.61030700,1.84551121,0.43620966
-5.76588294,2.45914595,0.00818517,0.09949342,0.01313086,1.60527465,1.82088018,0.43383896
-5.75987994,2.44691004,0.00821135,0.09385557,0.01303403,1.60687516,1.80298070,0.43372293
-5.75387694,2.44519780,0.00822868,0.08873201,0.01297408,1.61522125,1.79192480,0.43591478
-5.74787394,2.45399122,0.00823612,0.08414785,0.01295315,1.63027275,1.78767218,0.44041880
-5.74187094,2.47303815,0.00823251,0.08011428,0.01297175,1.65184381,1.79004312,0.44719186
-5.73586793,2.50186832,0.00821666,0.07662929,0.01302874,1.67961254,1.79873319,0.45614568
-5.72986493,2.53981228,0.00818743,0.07367881,0.01312144,1.71313234,1.81332869,0.46714962
-5.72386193,2.58602211,0.00814383,0.07123793,0.01324574,1.75184406,1.83332189,0.48003397
-5.71785893,2.63949315,0.00808508,0.06927241,0.01339623,1.79508873,1.85812529,0.49459347
-5.71185593,2.69908561,0.00801067,0.06774023,0.01356643,1.84212006,1.88708450,0.51059100
-5.70585293,2.76354603,0.00792035,0.06659322,0.01374896,1.89211682,1.91948921,0.52776136
-5.69984992,2.83152790,0.00781424,0.06577867,0.01393581,1.94419476,1.95458246,0.54581510
-5.69384692,2.90161173,0.00769271,0.06524091,0.01411856,1.99741816,1.99156839,0.56444246
-5.68784392,2.97232456,0.00755643,0.06492283,0.01428867,2.05081142,2.02961882,0.58331734
-5.68184092,3.04215943,0.00740632,0.06476729,0.01443764,2.10337071,2.06787939,0.60210158
-5.67583792,3.10959509,0.00724348,0.06471839,0.01455736,2.15407624,2.10547578,0.62044934
-5.66983492,3.17311648,0.00706913,0.06472264,0.01464025,2.20190538,2.14152090,0.63801195
-5.66383192,3.23123627,0.00688457,0.06472998,0.01467949,2.24584695,2.17512355,0.65444306
-5.65782891,3.28251784,0.00669112,0.06469465,0.01466923,2.28491684,2.20539903,0.66940420
-5.65182591,3.32559951,0.00649004,0.06457586,0.01460471,2.31817496,2.23148209,0.68257076
-5.64582291,3.35922011,0.00628254,0.06433845,0.01448239,2.34474341,2.25254222,0.69363827
-5.63981991,3.38224515,0.00606970,0.06395322,0.01430005,2.36382550,2.26780109,0.70232880
-5.63381691,3.39369317,0.00585250,0.06339726,0.01405679,2.37472506,2.27655160,0.70839755
-5.62781391,3.39276117,0.00563179,0.06265409,0.01375311,2.37686543,2.27817800,0.71163903
-5.62181091,3.37884818,0.00540829,0.06171360,0.01339081,2.36980728,2.27217595,0.71189295
-5.61580790,3.35157570,0.00518267,0.06057196,0.01297295,2.35326439,2.25817161,0.70904933
-5.60980490,3.31080394,0.00495551,0.05923135,0.01250375,2.32711646,2.23593861,0.70305261
-5.60380190,3.25664265,0.00472738,0.05769953,0.01198843,2.29141822,2.20541166,0.69390451
-5.59779890,3.18945564,0.00449885,0.05598937,0.01143308,2.24640388,2.16669599,0.68166548
-5.59179590,3.10985822,0.00427054,0.05411825,0.01084444,2.19248666,2.12007158,0.66645445
-5.58579290,3.01870714,0.00404314,0.05210732,0.01022974,2.13025276,2.06599162,0.64844687
-5.57978989,2.91708302,0.00381745,0.04998083,0.00959647,2.06044985,2.00507491,0.62787102
-5.57378689,2.80626539,0.00359437,0.04776523,0.00895221,1.98397019,1.93809211,0.60500262
-5.56778389,2.68770112,0.00337489,0.04548839,0.00830441,1.90182881,1.86594620,0.58015786
-5.56178089,2.56296728,0.00316016,0.04317874,0.00766023,1.81513746,1.78964781,0.55368521
-5.55577789,2.43372948,0.00295136,0.04086442,0.00702638,1.72507527,1.71028625,0.52595609
-5.54977489,2.30169757,0.00274978,0.03857253,0.00640898,1.63285720,1.62899747,0.49735491
-5.54377189,2.16858004,0.00255672,0.03632836,0.00581347,1.53970145,1.54693026,0.46826889
-5.53776888,2.03603919,0.00237349,0.03415477,0.00524454,1.44679717,1.46521206,0.43907782
-5.53176588,1.90564845,0.00220134,0.03207166,0.00470605,1.35527365,1.38491587,0.41014449
-5.52576288,1.77885380,0.00204145,0.03009553,0.00420105,1.26617222,1.30702962,0.38180579
-5.51975988,1.65694043,0.00189484,0.02823919,0.00373180,1.18042184,1.23242918,0.35436517
-5.51375688,1.54100591,0.00176239,0.02651161,0.00329976,1.09881929,1.16185618,0.32808637
-5.50775388,1.43194066,0.00164476,0.02491791,0.00290568,1.02201450,1.09590119,0.30318885
-5.50175088,1.33041622,0.00154239,0.02345947,0.00254968,0.95050146,1.03499309,0.27984490
-5.49574787,1.23688144,0.00145545,0.02213417,0.00223134,0.88461479,0.97939460,0.25817856
-5.48974487,1.15156630,0.00138383,0.02093677,0.00194978,0.82453190,0.92920396,0.23826616
-5.48374187,1.07449300,0.00132719,0.01985936,0.00170379,0.77028022,0.88436250,0.22013853
-5.47773887,1.00549331,0.00128487,0.01889191,0.00149192,0.72174920,0.84466742,0.20378449
-5.47173587,0.94423124,0.00125596,0.01802282,0.00131261,0.67870609,0.80978900,0.18915565
-5.46573287,0.89022987,0.00123934,0.01723958,0.00116427,0.64081482,0.77929133,0.17617203
-5.45972986,0.84290100,0.00123362,0.01652938,0.00104541,0.60765698,0.75265558,0.16472829
