energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mg_p_up,Mg_p_down,Mg_d_up,Mg_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.70470124,-2.70470124,0.00573750,-0.00573750,0.83388383,-0.83388383,0.22540076,-0.22540076,0.00000000,-0.00000000,1.03918712,-1.03918712,1.90866552,-1.90866552,0.41295354,-0.41295354,0.00000000,-0.00000000
-5.99399700,2.62305329,-2.62305329,0.00482983,-0.00482983,0.81647603,-0.81647603,0.21316339,-0.21316339,0.00000000,-0.00000000,1.00897458,-1.00897458,1.86676189,-1.86676189,0.39000771,-0.39000771,0.00000000,-0.00000000
-5.98799400,2.53807351,-2.53807351,0.00403960,-0.00403960,0.79646308,-0.79646308,0.20209683,-0.20209682,0.00000000,-0.00000000,0.97617267,-0.97617267,1.82004671,-1.82004671,0.36858944,-0.36858944,0.00000000,-0.00000000
-5.98199100,2.44967669,-2.44967670,0.00335727,-0.00335727,0.77393598,-0.77393598,0.19203274,-0.19203274,0.00000000,-0.00000000,0.94094422,-0.94094423,1.76856646,-1.76856646,0.34854488,-0.34854488,0.00000000,-0.00000000
-5.97598799,2.35783546,-2.35783546,0.00277285,-0.00277285,0.74901996,-0.74901997,0.18280056,-0.18280056,0.00000000,-0.00000000,0.90348844,-0.90348844,1.71243568,-1.71243568,0.32970760,-0.32970760,0.00000000,-0.00000000
-5.96998499,2.26260066,-2.26260066,0.00227624,-0.00227624,0.72187555,-0.72187555,0.17423429,-0.17423429,0.00000000,-0.00000000,0.86404036,-0.86404036,1.65184639,-1.65184639,0.31190793,-0.31190793,0.00000000,-0.00000000
-5.96398199,2.16411679,-2.16411679,0.00185752,-0.00185752,0.69269832,-0.69269832,0.16617831,-0.16617831,0.00000000,-0.00000000,0.82286899,-0.82286899,1.58707382,-1.58707382,0.29498139,-0.29498139,0.00000000,-0.00000000
-5.95797899,2.06263180,-2.06263180,0.00150713,-0.00150713,0.66171723,-0.66171723,0.15849227,-0.15849227,0.00000000,-0.00000000,0.78027392,-0.78027392,1.51847824,-1.51847824,0.27877594,-0.27877594,0.00000000,-0.00000000
-5.95197599,1.95850088,-1.95850089,0.00121611,-0.00121611,0.62919160,-0.62919161,0.15105478,-0.15105478,0.00000000,-0.00000000,0.73658067,-0.73658067,1.44650274,-1.44650274,0.26315780,-0.26315780,0.00000000,-0.00000000
-5.94597299,1.85218441,-1.85218441,0.00097613,-0.00097613,0.59540677,-0.59540677,0.14376594,-0.14376594,0.00000000,-0.00000000,0.69213489,-0.69213489,1.37166698,-1.37166698,0.24801582,-0.24801582,0.00000000,-0.00000000
