energy_ev,total_up,total_down,As_p_up,As_p_down,As_d_up,As_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,1.40235138,-1.40235138,0.30814501,-0.30814501,0.00000000,-0.00000000,0.57638664,-0.57638664,0.25460319,-0.25460319,0.57258270,-0.57258270,0.00000000,-0.00000000
-5.99399700,1.36691348,-1.36691348,0.29088073,-0.29088073,0.00000000,-0.00000000,0.54957168,-0.54957168,0.24936064,-0.24936064,0.56663070,-0.56663070,0.00000000,-0.00000000
-5.98799400,1.32910133,-1.32910133,0.27418710,-0.27418710,0.00000000,-0.00000000,0.52315678,-0.52315678,0.24358589,-0.24358589,0.55872137,-0.55872137,0.00000000,-0.00000000
-5.98199100,1.28868771,-1.28868772,0.25802699,-0.25802699,0.00000000,-0.00000000,0.49709562,-0.49709563,0.23722096,-0.23722096,0.54875548,-0.54875548,0.00000000,-0.00000000
-5.97598799,1.24552704,-1.24552705,0.24236655,-0.24236655,0.00000000,-0.00000000,0.47134851,-0.47134851,0.23022739,-0.23022739,0.53667890,-0.53667890,0.00000000,-0.00000000
-5.96998499,1.19956563,-1.19956563,0.22717732,-0.22717732,0.00000000,-0.00000000,0.44588764,-0.44588764,0.22258793,-0.22258793,0.52248714,-0.52248714,0.00000000,-0.00000000
-5.96398199,1.15084780,-1.15084780,0.21243789,-0.21243789,0.00000000,-0.00000000,0.42070134,-0.42070135,0.21430732,-0.21430732,0.50622777,-0.50622777,0.00000000,-0.00000000
-5.95797899,1.09951764,-1.09951765,0.19813492,-0.19813492,0.00000000,-0.00000000,0.39579719,-0.39579719,0.20541216,-0.20541216,0.48800081,-0.48800082,0.00000000,-0.00000000
-5.95197599,1.04581635,-1.04581636,0.18426369,-0.18426369,0.00000000,-0.00000000,0.37120378,-0.37120378,0.19594990,-0.19594990,0.46795690,-0.46795691,0.00000000,-0.00000000
-5.94597299,0.99007548,-0.99007548,0.17082804,-0.17082804,0.00000000,-0.00000000,0.34697131,-0.34697132,0.18598706,-0.18598706,0.44629344,-0.44629344,0.00000000,-0.00000000
-5.93996998,0.93270649,-0.93270649,0.15783991,-0.15783991,0.00000000,-0.00000000,0.32317101,-0.32317102,0.17560670,-0.17560671,0.42324893,-0.42324893,0.00000000,-0.00000000
-5.93396698,0.87418732,-0.87418733,0.14531847,-0.14531847,0.00000000,-0.00000000,0.29989346,-0.29989346,0.16490538,-0.16490538,0.39909579,-0.39909580,0.00000000,-0.00000000
-5.92796398,0.81504665,-0.81504666,0.13328886,-0.13328886,0.00000000,-0.00000000,0.27724608,-0.27724608,0.15398964,-0.15398964,0.37413210,-0.37413210,0.00000000,-0.00000000
-5.92196098,0.75584677,-0.75584678,0.12178084,-0.12178084,0.00000000,-0.00000000,0.25535004,-0.25535005,0.14297235,-0.14297236,0.34867259,-0.34867259,0.00000000,-0.00000000
-5.91595798,0.69716595,-0.69716596,0.11082715,-0.11082715,0.00000000,-0.00000000,0.23433669,-0.23433670,0.13196898,-0.13196898,0.32303950,-0.32303950,0.00000000,-0.00000000
-5.90995498,0.63958113,-0.63958114,0.10046198,-0.10046199,0.00000000,-0.00000000,0.21434385,-0.21434386,0.12109391,-0.12109391,0.29755356,-0.29755357,0.00000000,-0.00000000
-5.90395198,0.58365179,-0.58365180,0.09071942,-0.09071943,0.00000000,-0.00000000,0.19551218,-0.19551219,0.11045717,-0.11045717,0.27252565,-0.27252565,0.00000000,-0.00000000
-5.89794897,0.52990560,-0.52990561,0.08163206,-0.08163206,0.00000000,-0.00000000,0.17798179,-0.17798180,0.10016145,-0.10016145,0.24824936,-0.24824936,0.00000000,-0.00000000
-5.89194597,0.47882645,-0.47882646,0.07322978,-0.07322978,0.00000000,-0.00000000,0.16188927,-0.16188927,0.09029970,-0.09029970,0.22499480,-0.22499480,0.00000000,-0.00000000
-5.88594297,0.43084514,-0.43084514,0.06553885,-0.06553885,0.00000000,-0.00000000,0.14736518,-0.14736518,0.08095329,-0.08095329,0.20300382,-0.20300383,0.00000000,-0.00000000
-5.87993997,0.38633296,-0.38633297,0.05858122,-0.05858122,0.00000000,-0.00000000,0.13453219,-0.13453219,0.07219074,-0.07219075,0.18248665,-0.18248665,0.00000000,-0.00000000
-5.87393697,0.34559819,-0.34559820,0.05237412,-0.05237412,0.00000000,-0.00000000,0.12350366,-0.12350366,0.06406714,-0.06406714,0.16362004,-0.16362004,0.00000000,-0.00000000
-5.86793397,0.30888524,-0.30888525,0.04692994,-0.04692994,0.00000000,-0.00000000,0.11438283,-0.11438283,0.05662405,-0.05662405,0.14654682,-0.14654682,0.00000000,-0.00000000
-5.86193097,0.27637630,-0.27637630,0.04225634,-0.04225634,0.00000000,-0.00000000,0.10726239,-0.10726239,0.04989002,-0.04989002,0.13137667,-0.13137667,0.00000000,-0.00000000
-5.85592796,0.24819498,-0.24819499,0.03835652,-0.03835652,0.00000000,-0.00000000,0.10222437,-0.10222437,0.04388147,-0.04388147,0.11818793,-0.11818794,0.00000000,-0.00000000
-5.84992496,0.22441159,-0.22441160,0.03522967,-0.03522967,0.00000000,-0.00000000,0.09934019,-0.09934019,0.03860399,-0.03860399,0.10703025,-0.10703025,0.00000000,-0.00000000
-5.84392196,0.20504948,-0.20504948,0.03287154,-0.03287154,0.00000000,-0.00000000,0.09867086,-0.09867086,0.03405385,-0.03405385,0.09792772,-0.09792772,0.00000000,-0.00000000
-5.83791896,0.19009199,-0.19009199,0.03127496,-0.03127496,0.00000000,-0.00000000,0.10026704,-0.10026704,0.03021969,-0.03021969,0.09088244,-0.09088244,0.00000000,-0.00000000
-5.83191596,0.17948958,-0.17948958,0.03043048,-0.03043048,0.00000000,-0.00000000,0.10416899,-0.10416899,0.02708425,-0.02708425,0.08587808,-0.08587808,0.00000000,-0.00000000
-5.82591296,0.17316673,-0.17316673,0.03032682,-0.03032682,0.00000000,-0.00000000,0.11040630,-0.11040630,0.02462611,-0.02462611,0.08288334,-0.08288334,0.00000000,-0.00000000
-5.81990995,0.17102820,-0.17102820,0.03095137,-0.03095137,0.00000000,-0.00000000,0.11899734,-0.11899734,0.02282127,-0.02282127,0.08185520,-0.08185520,0.00000000,-0.00000000
-5.81390695,0.17296457,-0.17296457,0.03229045,-0.03229045,0.00000000,-0.00000000,0.12994853,-0.12994853,0.02164465,-0.02164465,0.08274166,-0.08274166,0.00000000,-0.00000000
-5.80790395,0.17885663,-0.17885663,0.03432958,-0.03432958,0.00000000,-0.00000000,0.14325326,-0.14325326,0.02107128,-0.02107128,0.08548412,-0.08548412,0.00000000,-0.00000000
-5.80190095,0.18857887,-0.18857887,0.03705351,-0.03705351,0.00000000,-0.00000000,0.15889073,-0.15889072,0.02107733,-0.02107733,0.09001913,-0.09001913,0.00000000,-0.00000000
-5.79589795,0.20200169,-0.20200169,0.04044620,-0.04044620,0.00000000,-0.00000000,0.17682462,-0.17682462,0.02164084,-0.02164084,0.09627971,-0.09627971,0.00000000,-0.00000000
