energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
1.85192596,2.09710763,0.24804056,0.00000000,1.20914495,1.08826478,0.72708851,0.00000000
1.85792896,2.10329117,0.24806196,0.00000000,1.21560573,1.09569734,0.71923198,0.00000000
1.86393197,2.10564108,0.24786298,0.00000000,1.21949571,1.10105771,0.70966090,0.00000000
1.86993497,2.10460046,0.24748894,0.00000000,1.22110157,1.10454791,0.69856342,0.00000000
1.87593797,2.10071675,0.24699320,0.00000000,1.22077173,1.10643404,0.68614921,0.00000000
1.88194097,2.09461927,0.24643526,0.00000000,1.21890121,1.10703420,0.67264552,0.00000000
1.88794397,2.08699283,0.24587846,0.00000000,1.21591433,1.10670386,0.65829251,0.00000000
1.89394697,2.07854852,0.24538735,0.00000000,1.21224619,1.10581937,0.64333800,0.00000000
1.89994997,2.06999303,0.24502492,0.00000000,1.20832365,1.10476018,0.62803177,0.00000000
1.90595298,2.06199768,0.24484975,0.00000000,1.20454657,1.10389081,0.61261949,0.00000000
1.91195598,2.05516856,0.24491313,0.00000000,1.20127027,1.10354315,0.59733648,0.00000000
1.91795898,2.05001922,0.24525634,0.00000000,1.19878979,1.10400009,0.58240157,0.00000000
1.92396198,2.04694700,0.24590827,0.00000000,1.19732689,1.10548120,0.56801121,0.00000000
1.92996498,2.04621423,0.24688331,0.00000000,1.19702013,1.10813113,0.55433411,0.00000000
1.93596798,2.04793506,0.24817980,0.00000000,1.19791861,1.11201133,0.54150663,0.00000000
1.94197099,2.05206872,0.24977909,0.00000000,1.19997966,1.11709547,0.52962922,0.00000000
1.94797399,2.05841939,0.25164517,0.00000000,1.20307049,1.12326887,0.51876393,0.00000000
1.95397699,2.06664283,0.25372511,0.00000000,1.20697387,1.13033188,0.50893333,0.00000000
1.95997999,2.07625963,0.25595010,0.00000000,1.21139740,1.13800725,0.50012085,0.00000000
1.96598299,2.08667427,0.25823728,0.00000000,1.21598622,1.14595097,0.49227256,0.00000000
1.97198599,2.09719951,0.26049216,0.00000000,1.22033840,1.15376635,0.48530046,0.00000000
1.97798899,2.10708480,0.26261167,0.00000000,1.22402238,1.16102050,0.47908710,0.00000000
