energy_ev,total_up,Re_p_up,Re_d_up,S_s_up,S_p_up,Sb_p_up,Sb_d_up
-6.00000000,2.51085821,1.12356681,1.19122797,0.01070896,1.70520783,0.07680288,0.00432009
-5.99399700,2.56306461,1.15028133,1.21723763,0.01065602,1.74373862,0.07808788,0.00436522
-5.98799400,2.61393104,1.17576778,1.24265638,0.01057574,1.78112684,0.07934322,0.00440749
-5.98199100,2.66160065,1.19915672,1.26657522,0.01046676,1.81607726,0.08052273,0.00444407
-5.97598799,2.70427431,1.21961884,1.28810970,0.01032863,1.84733786,0.08158268,0.00447226
-5.96998499,2.74027719,1.23639582,1.30643179,0.01016188,1.87374564,0.08248358,0.00448958
-5.96398199,2.76812065,1.24882849,1.32079962,0.00996815,1.89426926,0.08319186,0.00449390
-5.95797899,2.78655703,1.25638153,1.33058385,0.00975017,1.90804658,0.08368132,0.00448349
-5.95197599,2.79462513,1.25866335,1.33528971,0.00951184,1.91441602,0.08393429,0.00445715
-5.94597299,2.79168500,1.25544069,1.33457402,0.00925818,1.91294021,0.08394241,0.00441423
-5.93996998,2.77744057,1.24664718,1.32825638,0.00899531,1.90342141,0.08370719,0.00435464
-5.93396698,2.75194991,1.23238578,1.31632445,0.00873038,1.88590817,0.08324014,0.00427893
-5.92796398,2.71562270,1.21292510,1.29893321,0.00847149,1.86069309,0.08256257,0.00418821
-5.92196098,2.66920566,1.18868973,1.27639833,0.00822757,1.82830216,0.08170512,0.00408417
-5.91595798,2.61375656,1.16024533,1.24918410,0.00800826,1.78947617,0.08070697,0.00396898
-5.90995498,2.55060831,1.12827894,1.21788660,0.00782380,1.74514508,0.07961476,0.00384529
-5.90395198,2.48132452,1.09357559,1.18321279,0.00768479,1.69639655,0.07848137,0.00371609
-5.89794897,2.40764857,1.05699195,1.14595648,0.00760209,1.64443990,0.07736449,0.00358465
-5.89194597,2.33144783,1.01942823,1.10697203,0.00758659,1.59056684,0.07632502,0.00345444
-5.88594297,2.25465534,0.98179932,1.06714695,0.00764899,1.53611038,0.07542546,0.00332898
-5.87993997,2.17921070,0.94500611,1.02737420,0.00779960,1.48240351,0.07472818,0.00321183
-5.87393697,2.10700218,0.90990806,0.98852517,0.00804806,1.43073872,0.07429376,0.00310639
-5.86793397,2.03981178,0.87729781,0.95142436,0.00840309,1.38232989,0.07417933,0.00301590
-5.86193097,1.97926481,0.84787867,0.91682620,0.00887226,1.33827750,0.07443701,0.00294331
-5.85592796,1.92678538,0.82224548,0.88539507,0.00946164,1.29953817,0.07511247,0.00289121
-5.84992496,1.88355893,0.80086951,0.85768863,0.01017557,1.26689938,0.07624368,0.00286178
-5.84392196,1.85050271,0.78408761,0.83414519,0.01101641,1.24095986,0.07785984,0.00285673
-5.83791896,1.82824494,0.77209594,0.81507512,0.01198423,1.22211620,0.07998060,0.00287727
-5.83191596,1.81711287,0.76494821,0.80065662,0.01307670,1.21055590,0.08261549,0.00292406
-5.82591296,1.81713013,0.76255851,0.79093560,0.01428881,1.20625677,0.08576372,0.00299724
-5.81990995,1.82802296,0.76470844,0.78582976,0.01561288,1.20899279,0.08941423,0.00309639
-5.81390695,1.84923530,0.77105826,0.78513638,0.01703843,1.21834582,0.09354610,0.00322057
-5.80790395,1.87995172,0.78116153,0.78854360,0.01855226,1.23372298,0.09812924,0.00336835
-5.80190095,1.91912770,0.79448286,0.79564462,0.02013861,1.25437871,0.10312540,0.00353782
-5.79589795,1.96552589,0.81041789,0.80595417,0.02177932,1.27944108,0.10848938,0.00372671
-5.78989495,2.01775721,0.82831505,0.81892684,0.02345421,1.30794104,0.11417047,0.00393237
-5.78389195,2.07432525,0.84749799,0.83397633,0.02514142,1.33884390,0.12011407,0.00415193
-5.77788894,2.13367256,0.86728820,0.85049504,0.02681792,1.37108173,0.12626324,0.00438230
-5.77188594,2.19422696,0.88702672,0.86787327,0.02846003,1.40358569,0.13256042,0.00462031
-5.76588294,2.25444645,0.90609435,0.88551741,0.03004402,1.43531709,0.13894892,0.00486278
-5.75987994,2.31286114,0.92392948,0.90286630,0.03154669,1.46529621,0.14537431,0.00510660
-5.75387694,2.36811061,0.94004298,0.91940555,0.03294601,1.49262777,0.15178556,0.00534877
-5.74787394,2.41897571,0.95402968,0.93467904,0.03422169,1.51652251,0.15813589,0.00558655
-5.74187094,2.46440368,0.96557592,0.94829758,0.03535569,1.53631395,0.16438331,0.00581744
-5.73586793,2.50352598,0.97446316,0.95994441,0.03633273,1.55147011,0.17049083,0.00603925
-5.72986493,2.53566854,0.98056752,0.96937757,0.03714064,1.56159992,0.17642626,0.00625014
-5.72386193,2.56035443,0.98385552,0.97642924,0.03777065,1.56645443,0.18216182,0.00644860
-5.71785893,2.57729927,0.98437620,0.98100239,0.03821751,1.56592288,0.18767334,0.00663347
-5.71185593,2.58640021,0.98225040,0.98306494,0.03847959,1.56002440,0.19293942,0.00680391
-5.70585293,2.58771932,0.97765763,0.98264212,0.03855871,1.54889571,0.19794037,0.00695936
-5.69984992,2.58146260,0.97082131,0.97980740,0.03846004,1.53277581,0.20265722,0.00709948
-5.69384692,2.56795603,0.96199334,0.97467263,0.03819170,1.51198839,0.20707075,0.00722412
-5.68784392,2.54762002,0.95143855,0.96737793,0.03776445,1.48692305,0.21116080,0.00733322
-5.68184092,2.52094368,0.93942008,0.95808200,0.03719121,1.45801608,0.21490579,0.00742681
-5.67583792,2.48846022,0.92618629,0.94695320,0.03648654,1.42573182,0.21828269,0.00750488
