energy_ev,total_up,Cr_p_up,Cr_d_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,2.44619777,0.88566233,0.28471989,0.43680423,1.16780512,0.00297748,0.22283019,0.94493984,0.00000000
-5.99399700,2.49374183,0.91582289,0.28741968,0.44845240,1.18771751,0.00305474,0.22967053,0.97008982,0.00000000
-5.98799400,2.54548656,0.94949739,0.29155100,0.46148122,1.20908955,0.00316973,0.23635495,0.99686629,0.00000000
-5.98199100,2.60045613,0.98626223,0.29699452,0.47568009,1.23150313,0.00332123,0.24276590,1.02493405,0.00000000
-5.97598799,2.65773960,1.02572035,0.30362047,0.49086898,1.25455971,0.00350833,0.24880086,1.05400425,0.00000000
-5.96998499,2.71651484,1.06750989,0.31129323,0.50690275,1.27789067,0.00373050,0.25437512,1.08384105,0.00000000
-5.96398199,2.77606794,1.11131043,0.31987588,0.52367322,1.30116625,0.00398755,0.25942378,1.11426561,0.00000000
-5.95797899,2.83580693,1.15684631,0.32923432,0.54110909,1.32410272,0.00427962,0.26390296,1.14515708,0.00000000
-5.95197599,2.89526936,1.20388675,0.33924094,0.55917335,1.34646748,0.00460714,0.26779005,1.17645038,0.00000000
-5.94597299,2.95412321,1.25224273,0.34977757,0.57785854,1.36808195,0.00497076,0.27108305,1.20813081,0.00000000
-5.93996998,3.01216107,1.30176067,0.36073762,0.59717997,1.38882200,0.00537126,0.27379885,1.24022563,0.00000000
-5.93396698,3.06928799,1.35231332,0.37202729,0.61716732,1.40861607,0.00580939,0.27597084,1.27279305,0.00000000
-5.92796398,3.12550361,1.40378825,0.38356593,0.63785504,1.42744093,0.00628579,0.27764561,1.30590905,0.00000000
-5.92196098,3.18087953,1.45607480,0.39528548,0.65927218,1.44531547,0.00680081,0.27887923,1.33965292,0.00000000
-5.91595798,3.23553341,1.50905019,0.40712914,0.68143231,1.46229259,0.00735434,0.27973310,1.37409205,0.00000000
-5.90995498,3.28960105,1.56256589,0.41904939,0.70432409,1.47844996,0.00794564,0.28026981,1.40926719,0.00000000
-5.90395198,3.34320832,1.61643513,0.43100551,0.72790312,1.49387981,0.00857321,0.28054901,1.44517879,0.00000000
-5.89794897,3.39644453,1.67042255,0.44296085,0.75208575,1.50867851,0.00923459,0.28062377,1.48177541,0.00000000
-5.89194597,3.44933881,1.72423678,0.45488000,0.77674516,1.52293650,0.00992629,0.28053747,1.51894497,0.00000000
-5.88594297,3.50184095,1.77752677,0.46672606,0.80171003,1.53672894,0.01064365,0.28032147,1.55650933,0.00000000
-5.87993997,3.55380772,1.82988212,0.47845825,0.82676608,1.55010776,0.01138084,0.27999363,1.59422274,0.00000000
-5.87393697,3.60499562,1.88083779,0.49002994,0.85166024,1.56309548,0.01213082,0.27955783,1.63177413,0.00000000
-5.86793397,3.65506021,1.92988296,0.50138730,0.87610743,1.57568095,0.01288541,0.27900438,1.66879346,0.00000000
-5.86193097,3.70356207,1.97647373,0.51246855,0.89979949,1.58781745,0.01363541,0.27831139,1.70486142,0.00000000
-5.85592796,3.74997887,2.02004893,0.52320387,0.92241567,1.59942288,0.01437076,0.27744681,1.73952229,0.00000000
-5.84992496,3.79372266,2.06004820,0.53351603,0.94363418,1.61038230,0.01508075,0.27637123,1.77229907,0.00000000
-5.84392196,3.83416133,2.09593133,0.54332150,0.96314406,1.62055225,0.01575429,0.27504094,1.80270993,0.00000000
-5.83791896,3.87064263,2.12719755,0.55253208,0.98065659,1.62976685,0.01638020,0.27341127,1.83028526,0.00000000
-5.83191596,3.90251954,2.15340382,0.56105693,0.99591574,1.63784513,0.01694755,0.27143987,1.85458417,0.00000000
-5.82591296,3.92917527,2.17418081,0.56880472,1.00870682,1.64459922,0.01744596,0.26908976,1.87520961,0.00000000
-5.81990995,3.95004662,2.18924583,0.57568598,1.01886307,1.64984292,0.01786595,0.26633188,1.89182139,0.00000000
-5.81390695,3.96464442,2.19841180,0.58161528,1.02626980,1.65340034,0.01819923,0.26314709,1.90414630,0.00000000
-5.80790395,3.97257027,2.20159187,0.58651334,1.03086582,1.65511407,0.01843898,0.25952745,1.91198513,0.00000000
-5.80190095,3.97352882,2.19879958,0.59030887,1.03264236,1.65485264,0.01858005,0.25547674,1.91521622,0.00000000
-5.79589795,3.96733535,2.19014450,0.59294012,1.03163954,1.65251707,0.01861914,0.25101022,1.91379566,0.00000000
-5.78989495,3.95391878,2.17582398,0.59435608,1.02794079,1.64804615,0.01855491,0.24615369,1.90775432,0.00000000
-5.78389195,3.93332042,2.15611153,0.59451737,1.02166569,1.64142053,0.01838800,0.24094193,1.89719222,0.00000000
-5.77788894,3.90568900,2.13134270,0.59339688,1.01296174,1.63266545,0.01812099,0.23541671,1.88227070,0.00000000
-5.77188594,3.87127277,2.10189954,0.59098004,1.00199580,1.62185209,0.01775832,0.22962445,1.86320317,0.00000000
-5.76588294,3.83040959,2.06819457,0.58726502,0.98894553,1.60909771,0.01730608,0.22361380,1.84024504,0.00000000
-5.75987994,3.78351567,2.03065534,0.58226269,0.97399169,1.59456443,0.01677189,0.21743322,1.81368360,0.00000000
-5.75387694,3.73107388,1.98971050,0.57599648,0.95731149,1.57845691,0.01616454,0.21112879,1.78382842,0.00000000
-5.74787394,3.67362228,1.94577817,0.56850223,0.93907356,1.56101881,0.01549382,0.20474238,1.75100280,0.00000000
-5.74187094,3.61174323,1.89925709,0.55982796,0.91943463,1.54252819,0.01477016,0.19831027,1.71553669,0.00000000
-5.73586793,3.54605349,1.85052104,0.55003361,0.89853803,1.52329188,0.01400436,0.19186224,1.67776119,0.00000000
-5.72986493,3.47719535,1.79991648,0.53919073,0.87651396,1.50363883,0.01320729,0.18542127,1.63800483,0.00000000
-5.72386193,3.40582862,1.74776332,0.52738215,0.85348142,1.48391247,0.01238968,0.17900377,1.59659143,0.00000000
-5.71785893,3.33262345,1.69435850,0.51470146,0.82955128,1.46446227,0.01156182,0.17262024,1.55383935,0.00000000
-5.71185593,3.25825345,1.63998167,0.50125239,0.80483040,1.44563452,0.01073340,0.16627637,1.51006182,0.00000000
-5.70585293,3.18338888,1.58490254,0.48714803,0.77942613,1.42776248,0.00991334,0.15997443,1.46556786,0.00000000
-5.69984992,3.10868951,1.52938886,0.47250972,0.75345090,1.41115624,0.00910964,0.15371487,1.42066353,0.00000000
-5.69384692,3.03479689,1.47371443,0.45746575,0.72702639,1.39609243,0.00832933,0.14749789,1.37565286,0.00000000
-5.68784392,2.96232590,1.41816628,0.44214974,0.70028694,1.38280422,0.00757842,0.14132505,1.33083829,0.00000000
-5.68184092,2.89185541,1.36305036,0.42669875,0.67338186,1.37147199,0.00686187,0.13520064,1.28652018,0.00000000
-5.67583792,2.82391838,1.30869512,0.41125112,0.64647638,1.36221503,0.00618359,0.12913276,1.24299520,0.00000000
-5.66983492,2.75899145,1.25545266,0.39594404,0.61975122,1.35508482,0.00554655,0.12313413,1.20055362,0.00000000
-5.66383192,2.69748456,1.20369702,0.38091105,0.59340061,1.35006022,0.00495276,0.11722247,1.15947530,0.00000000
-5.65782891,2.63973099,1.15381970,0.36627931,0.56762893,1.34704501,0.00440339,0.11142047,1.12002471,0.00000000
-5.65182591,2.58597843,1.10622245,0.35216694,0.54264605,1.34586795,0.00389887,0.10575538,1.08244506,0.00000000
-5.64582291,2.53638165,1.06130749,0.33868043,0.51866173,1.34628579,0.00343894,0.10025828,1.04695201,0.00000000
-5.63981991,2.49099720,1.01946584,0.32591213,0.49587919,1.34798903,0.00302275,0.09496292,1.01372706,0.00000000
-5.63381691,2.44978068,0.98106400,0.31393814,0.47448834,1.35061053,0.00264899,0.08990444,0.98291133,0.00000000
-5.62781391,2.41258687,0.94642987,0.30281643,0.45465899,1.35373667,0.00231594,0.08511785,0.95459983,0.00000000
-5.62181091,2.37917290,0.91583851,0.29258547,0.43653426,1.35692066,0.00202154,0.08063643,0.92883686,0.00000000
-5.61580790,2.34920447,0.88949844,0.28326326,0.42022479,1.35969754,0.00176352,0.07649018,0.90561259,0.00000000
-5.60980490,2.32226506,0.86753929,0.27484702,0.40580375,1.36160022,0.00153941,0.07270428,0.88486139,0.00000000
-5.60380190,2.29786774,0.85000140,0.26731333,0.39330313,1.36217585,0.00134662,0.06929776,0.86646182,0.00000000
-5.59779890,2.27546921,0.83682809,0.26061890,0.38271140,1.36100181,0.00118252,0.06628243,0.85023858,0.00000000
-5.59179590,2.25448558,0.82786097,0.25470192,0.37397266,1.35770061,0.00104443,0.06366199,0.83596627,0.00000000
-5.58579290,2.23430923,0.82283876,0.24948388,0.36698744,1.35195293,0.00092970,0.06143156,0.82337507,0.00000000
-5.57978989,2.21432617,0.82139979,0.24487194,0.36161497,1.34350837,0.00083574,0.05957747,0.81215799,0.00000000
-5.57378689,2.19393325,0.82308839,0.24076166,0.35767711,1.33219325,0.00076001,0.05807748,0.80197955,0.00000000
-5.56778389,2.17255464,0.82736480,0.23704011,0.35496345,1.31791536,0.00070011,0.05690130,0.79248559,0.00000000
